Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.35, 0.35, 0.210301, 0.35, 0.35, 7150
2022-02-03T05:00:00Z, 0.35, 0.35, 0.35, 0.35, 0.35, 1245
2022-02-02T05:00:00Z, 0.2999, 0.35, 0.2999, 0.3342, 0.3342, 9692
2022-02-01T05:00:00Z, 0.25, 0.3, 0.2302, 0.2998, 0.2998, 39110
2022-01-31T05:00:00Z, 0.25, 0.2501, 0.2493, 0.249799, 0.249799, 41521
2022-01-28T05:00:00Z, 0.28, 0.28, 0.2402, 0.250051, 0.250051, 90662
2022-01-27T05:00:00Z, 0.315, 0.33245, 0.2798, 0.28, 0.28, 163470
2022-01-26T05:00:00Z, 0.3005, 0.3005, 0.3005, 0.3005, 0.3005, 0
2022-01-25T05:00:00Z, 0.3001, 0.32, 0.3, 0.3005, 0.3005, 58137
2022-01-24T05:00:00Z, 0.34, 0.34, 0.301, 0.3343, 0.3343, 39213
2022-01-21T05:00:00Z, 0.401, 0.4102, 0.3439, 0.3439, 0.3439, 15012
2022-01-20T05:00:00Z, 0.48, 0.48, 0.48, 0.48, 0.48, 0
2022-01-19T05:00:00Z, 0.4795, 0.48, 0.4795, 0.48, 0.48, 1318
2022-01-18T05:00:00Z, 0.4801, 0.4803, 0.48, 0.4803, 0.4803, 1525
2022-01-14T05:00:00Z, 0.4776, 0.4776, 0.4776, 0.4776, 0.4776, 244
2022-01-13T05:00:00Z, 0.5101, 0.5103, 0.5101, 0.5103, 0.5103, 500
2022-01-12T05:00:00Z, 0.5799, 0.6089, 0.5102, 0.5104, 0.5104, 11383
2022-01-11T05:00:00Z, 0.55, 0.55, 0.55, 0.55, 0.55, 25067
2022-01-10T05:00:00Z, 0.55, 0.55, 0.55, 0.55, 0.55, 4280
2022-01-07T05:00:00Z, 0.55, 0.55, 0.4606, 0.54, 0.54, 66828
2022-01-06T05:00:00Z, 0.56, 0.5955, 0.5593, 0.5955, 0.5955, 2740
2022-01-05T05:00:00Z, 0.5501, 0.5501, 0.55, 0.55, 0.55, 1350
2022-01-04T05:00:00Z, 0.5501, 0.55485, 0.55, 0.55, 0.55, 1075
2022-01-03T05:00:00Z, 0.55, 0.5596, 0.55, 0.55, 0.55, 9090
2021-12-31T05:00:00Z, 0.5495, 0.5596, 0.510101, 0.5595, 0.5595, 2820
2021-12-30T05:00:00Z, 0.519799, 0.519799, 0.519799, 0.519799, 0.519799, 0
2021-12-29T05:00:00Z, 0.519801, 0.549399, 0.519799, 0.519799, 0.519799, 471
2021-12-28T05:00:00Z, 0.51, 0.51, 0.501496, 0.51, 0.51, 700
2021-12-27T05:00:00Z, 0.57, 0.57, 0.519899, 0.54765, 0.54765, 5570
2021-12-23T05:00:00Z, 0.55, 0.55, 0.4803, 0.4872, 0.4872, 11595
2021-12-22T05:00:00Z, 0.54, 0.5641, 0.452301, 0.564, 0.564, 17494
2021-12-21T05:00:00Z, 0.4949, 0.5, 0.452, 0.4999, 0.4999, 363642
2021-12-20T05:00:00Z, 0.49, 0.54, 0.4503, 0.4503, 0.4503, 44349
2021-12-17T05:00:00Z, 0.65, 0.6697, 0.48, 0.54, 0.54, 300725
2021-12-16T05:00:00Z, 0.48, 0.4899, 0.4512, 0.4899, 0.4899, 4062
2021-12-15T05:00:00Z, 0.51, 0.499949, 0.4502, 0.499949, 0.499949, 7910
2021-12-14T05:00:00Z, 0.4501, 0.500101, 0.4501, 0.500001, 0.500001, 21030
2021-12-13T05:00:00Z, 0.49, 0.49, 0.4601, 0.4601, 0.4601, 27900
2021-12-10T05:00:00Z, 0.501, 0.501, 0.501, 0.501, 0.501, 0
2021-12-09T05:00:00Z, 0.5159, 0.516, 0.501, 0.501, 0.501, 20701
2021-12-08T05:00:00Z, 0.5003, 0.5174, 0.49, 0.5002, 0.5002, 16400
2021-12-07T05:00:00Z, 0.5186, 0.5186, 0.51, 0.5177, 0.5177, 650
2021-12-06T05:00:00Z, 0.519, 0.519, 0.5098, 0.5137, 0.5137, 1646
2021-12-03T05:00:00Z, 0.52, 0.52, 0.495, 0.5, 0.5, 6092
2021-12-02T05:00:00Z, 0.495, 0.519999, 0.495, 0.5146, 0.5146, 14300
2021-12-01T05:00:00Z, 0.5, 0.52, 0.495, 0.52, 0.52, 20300
2021-11-30T05:00:00Z, 0.51, 0.51, 0.495, 0.4999, 0.4999, 22491
2021-11-29T05:00:00Z, 0.5001, 0.5498, 0.492549, 0.509378, 0.509378, 76965
2021-11-26T05:00:00Z, 0.5001, 0.510101, 0.5001, 0.5001, 0.5001, 5050
2021-11-24T05:00:00Z, 0.5195, 0.52, 0.5, 0.52, 0.52, 1399
2021-11-23T05:00:00Z, 0.502, 0.528, 0.5, 0.5175, 0.5175, 46158
2021-11-22T05:00:00Z, 0.517, 0.517, 0.517, 0.517, 0.517, 0
2021-11-19T05:00:00Z, 0.517, 0.538, 0.5, 0.517, 0.517, 110862
2021-11-18T05:00:00Z, 0.5, 0.52, 0.5, 0.5, 0.5, 5750
2021-11-17T05:00:00Z, 0.52, 0.54, 0.5198, 0.5201, 0.5201, 51320
2021-11-16T05:00:00Z, 0.51, 0.57, 0.5, 0.5201, 0.5201, 42702
2021-11-15T05:00:00Z, 0.5, 0.519899, 0.5, 0.518, 0.518, 305020
2021-11-12T05:00:00Z, 0.5, 0.54, 0.5, 0.5, 0.5, 308452
2021-11-11T05:00:00Z, 0.6, 0.6, 0.5, 0.5, 0.5, 441200
