Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.72, 9.72, 9.7, 9.7, 9.7, 1874
2022-02-07T05:00:00Z, 9.7, 9.72, 9.7, 9.72, 9.72, 17476
2022-02-04T05:00:00Z, 9.69, 9.7117, 9.69, 9.7, 9.7, 1758
2022-02-03T05:00:00Z, 9.68, 9.72, 9.68, 9.72, 9.72, 7390
2022-02-02T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 0
2022-02-01T05:00:00Z, 9.7, 9.72, 9.7, 9.72, 9.72, 9266
2022-01-31T05:00:00Z, 9.685, 9.7, 9.69, 9.7, 9.7, 137219
2022-01-28T05:00:00Z, 9.68, 9.68, 9.68, 9.68, 9.68, 4178
2022-01-27T05:00:00Z, 9.68, 9.68, 9.68, 9.68, 9.68, 378
2022-01-26T05:00:00Z, 9.69, 9.7, 9.68, 9.68, 9.68, 210411
2022-01-25T05:00:00Z, 9.67, 9.7, 9.67, 9.7, 9.7, 1515
2022-01-24T05:00:00Z, 9.7, 9.71, 9.69, 9.69, 9.69, 11369
2022-01-21T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 7528
2022-01-20T05:00:00Z, 9.72, 9.72, 9.7, 9.7, 9.7, 117676
2022-01-19T05:00:00Z, 9.725, 9.725, 9.7101, 9.7101, 9.7101, 5484
2022-01-18T05:00:00Z, 9.72, 9.73, 9.72, 9.72, 9.72, 91791
2022-01-14T05:00:00Z, 9.76, 9.7302, 9.73, 9.7302, 9.7302, 701
2022-01-13T05:00:00Z, 9.74, 9.74, 9.74, 9.74, 9.74, 622
2022-01-12T05:00:00Z, 9.75, 9.74, 9.74, 9.74, 9.74, 2146
2022-01-11T05:00:00Z, 9.78, 9.78, 9.74, 9.74, 9.74, 28809
2022-01-10T05:00:00Z, 9.76, 9.8, 9.74, 9.8, 9.8, 74785
2022-01-07T05:00:00Z, 9.735, 9.77, 9.72, 9.77, 9.77, 100233
2022-01-06T05:00:00Z, 9.75, 9.75, 9.73, 9.73, 9.73, 1536023
2022-01-05T05:00:00Z, 9.74, 9.75, 9.74, 9.75, 9.75, 289078
2022-01-04T05:00:00Z, 9.74, 9.75, 9.73, 9.74, 9.74, 56632
