Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.1, 10.12, 10.1, 10.1, 10.1, 407
2022-02-07T05:00:00Z, 10.1001, 10.125, 10.1001, 10.125, 10.125, 500
2022-02-04T05:00:00Z, 10.13, 10.13, 10.13, 10.13, 10.13, 101
2022-02-03T05:00:00Z, 10.11, 10.11, 10.11, 10.11, 10.11, 0
2022-02-02T05:00:00Z, 10.13, 10.11, 10.11, 10.11, 10.11, 1773
2022-02-01T05:00:00Z, 10.11, 10.11, 10.11, 10.11, 10.11, 5611
2022-01-31T05:00:00Z, 10.1, 10.1, 10.1, 10.1, 10.1, 673
2022-01-28T05:00:00Z, 10.1, 10.1, 10.1, 10.1, 10.1, 954
2022-01-27T05:00:00Z, 10.15, 10.15, 10.15, 10.15, 10.15, 0
2022-01-26T05:00:00Z, 10.15, 10.15, 10.15, 10.15, 10.15, 0
2022-01-25T05:00:00Z, 10.15, 10.15, 10.15, 10.15, 10.15, 0
2022-01-24T05:00:00Z, 10.15, 10.1501, 10.15, 10.15, 10.15, 2148
2022-01-21T05:00:00Z, 10.15, 10.1506, 10.15, 10.1506, 10.1506, 4725
2022-01-20T05:00:00Z, 10.185, 10.185, 10.185, 10.185, 10.185, 0
2022-01-19T05:00:00Z, 10.185, 10.185, 10.185, 10.185, 10.185, 0
2022-01-18T05:00:00Z, 10.185, 10.185, 10.185, 10.185, 10.185, 0
2022-01-14T05:00:00Z, 10.185, 10.185, 10.185, 10.185, 10.185, 0
2022-01-13T05:00:00Z, 10.185, 10.185, 10.185, 10.185, 10.185, 0
2022-01-12T05:00:00Z, 10.2, 10.2, 10.185, 10.185, 10.185, 10316
2022-01-11T05:00:00Z, 10.18, 10.2, 10.18, 10.2, 10.2, 1326
2022-01-10T05:00:00Z, 10.17, 10.17, 10.17, 10.17, 10.17, 0
2022-01-07T05:00:00Z, 10.17, 10.17, 10.17, 10.17, 10.17, 0
2022-01-06T05:00:00Z, 10.2, 10.2, 10.17, 10.17, 10.17, 4550
2022-01-05T05:00:00Z, 10.26, 10.26, 10.26, 10.26, 10.26, 0
2022-01-04T05:00:00Z, 10.27, 10.27, 10.23, 10.26, 10.26, 1312
2022-01-03T05:00:00Z, 10.18, 10.274, 10.18, 10.274, 10.274, 967
2021-12-31T05:00:00Z, 10.25, 10.26, 10.25, 10.26, 10.26, 968
2021-12-30T05:00:00Z, 10.33, 10.33, 10.33, 10.33, 10.33, 137
2021-12-29T05:00:00Z, 10.18, 10.18, 10.18, 10.18, 10.18, 100
2021-12-28T05:00:00Z, 10.3, 10.3, 10.3, 10.3, 10.3, 1000
2021-12-27T05:00:00Z, 10.26, 10.28, 10.26, 10.28, 10.28, 10225
2021-12-23T05:00:00Z, 10.25, 10.26, 10.26, 10.26, 10.26, 105
2021-12-22T05:00:00Z, 10.22, 10.22, 10.22, 10.22, 10.22, 0
2021-12-21T05:00:00Z, 10.205, 10.3, 10.12, 10.22, 10.22, 8285
2021-12-20T05:00:00Z, 10.18, 10.3, 10.29, 10.3, 10.3, 2442
2021-12-17T05:00:00Z, 10.25, 10.3, 10.25, 10.29, 10.29, 33984
2021-12-16T05:00:00Z, 10.38, 10.25, 10.25, 10.25, 10.25, 259
