Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.03, 3.1, 2.955, 3.04, 3.04, 356958
2022-02-07T05:00:00Z, 2.88, 3.14, 2.86, 3.07, 3.07, 854544
2022-02-04T05:00:00Z, 2.68, 2.85, 2.66, 2.81, 2.81, 487074
2022-02-03T05:00:00Z, 2.74, 2.83, 2.69, 2.71, 2.71, 411881
2022-02-02T05:00:00Z, 2.92, 2.98, 2.77, 2.8, 2.8, 481242
2022-02-01T05:00:00Z, 2.86, 3.025, 2.83, 2.98, 2.98, 700950
2022-01-31T05:00:00Z, 2.75, 2.93, 2.69, 2.92, 2.92, 626954
2022-01-28T05:00:00Z, 2.7, 2.7101, 2.59, 2.68, 2.68, 923337
2022-01-27T05:00:00Z, 2.85, 2.85, 2.7, 2.71, 2.71, 573879
2022-01-26T05:00:00Z, 2.9, 3.02, 2.785, 2.82, 2.82, 682336
2022-01-25T05:00:00Z, 2.85, 2.94, 2.8, 2.86, 2.86, 476393
2022-01-24T05:00:00Z, 2.84, 2.95, 2.68, 2.93, 2.93, 897224
2022-01-21T05:00:00Z, 2.95, 2.999, 2.85, 2.89, 2.89, 848346
2022-01-20T05:00:00Z, 3, 3.13, 2.95, 2.95, 2.95, 1110881
2022-01-19T05:00:00Z, 3.138, 3.14, 3, 3.01, 3.01, 1181603
2022-01-18T05:00:00Z, 3.19, 3.27, 3.06, 3.06, 3.06, 714251
2022-01-14T05:00:00Z, 3.35, 3.4, 3.16, 3.3, 3.3, 768715
2022-01-13T05:00:00Z, 3.42, 3.53, 3.35, 3.36, 3.36, 524913
2022-01-12T05:00:00Z, 3.59, 3.63, 3.4, 3.42, 3.42, 579360
2022-01-11T05:00:00Z, 3.5, 3.68, 3.48, 3.58, 3.58, 634110
2022-01-10T05:00:00Z, 3.5, 3.53, 3.35, 3.47, 3.47, 713510
2022-01-07T05:00:00Z, 3.64, 3.67, 3.5, 3.51, 3.51, 493878
2022-01-06T05:00:00Z, 3.56, 3.645, 3.41, 3.61, 3.61, 754674
2022-01-05T05:00:00Z, 3.8, 3.89, 3.56, 3.58, 3.58, 661485
2022-01-04T05:00:00Z, 4.05, 4.12, 3.81, 3.84, 3.84, 607344
2022-01-03T05:00:00Z, 3.81, 4.095, 3.77, 4.06, 4.06, 500677
2021-12-31T05:00:00Z, 3.94, 3.95, 3.72, 3.75, 3.75, 923475
2021-12-30T05:00:00Z, 3.7, 3.93, 3.68, 3.87, 3.87, 676107
2021-12-29T05:00:00Z, 3.76, 3.81, 3.68, 3.7, 3.7, 356376
2021-12-28T05:00:00Z, 3.93, 4.0599, 3.79, 3.79, 3.79, 515041
2021-12-27T05:00:00Z, 4.09, 4.1, 3.95, 3.95, 3.95, 790389
2021-12-23T05:00:00Z, 4.02, 4.165, 3.98, 4.11, 4.11, 914146
2021-12-22T05:00:00Z, 3.99, 4.105, 3.91, 4, 4, 889735
2021-12-21T05:00:00Z, 4.05, 4.11, 3.97, 4.01, 4.01, 586347
2021-12-20T05:00:00Z, 3.81, 4.14, 3.76, 4.06, 4.06, 1013108
2021-12-17T05:00:00Z, 3.58, 3.99, 3.46, 3.9, 3.9, 1918637
2021-12-16T05:00:00Z, 3.63, 3.72, 3.55, 3.61, 3.61, 768423
2021-12-15T05:00:00Z, 3.49, 3.69, 3.38, 3.68, 3.68, 932163
2021-12-14T05:00:00Z, 3.55, 3.61, 3.431, 3.5, 3.5, 990014
2021-12-13T05:00:00Z, 3.64, 3.7, 3.49, 3.61, 3.61, 606246
2021-12-10T05:00:00Z, 3.75, 3.89, 3.585, 3.62, 3.62, 1144589
2021-12-09T05:00:00Z, 3.86, 3.9, 3.67, 3.69, 3.69, 527560
2021-12-08T05:00:00Z, 3.9, 3.945, 3.765, 3.83, 3.83, 1201134
2021-12-07T05:00:00Z, 3.68, 3.995, 3.6861, 3.89, 3.89, 966616
2021-12-06T05:00:00Z, 3.58, 3.63, 3.47, 3.59, 3.59, 1122651
2021-12-03T05:00:00Z, 3.63, 3.7, 3.52, 3.58, 3.58, 1021248
