Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.17, 2.17, 2.17, 2.17, 2.17, 6649
2022-02-07T05:00:00Z, 2.2, 2.2, 2.2, 2.2, 2.2, 1079
2022-02-04T05:00:00Z, 2.16, 2.16, 2.16, 2.16, 2.16, 243
2022-02-03T05:00:00Z, 2.28, 2.28, 2.28, 2.28, 2.28, 0
2022-02-02T05:00:00Z, 2.2, 2.28, 2.2, 2.28, 2.28, 14696
2022-02-01T05:00:00Z, 2.3, 2.36, 2.2, 2.33, 2.33, 218144
2022-01-31T05:00:00Z, 2.31, 2.39, 2.255, 2.39, 2.39, 26929
2022-01-28T05:00:00Z, 2.3, 2.34, 2.2, 2.33, 2.33, 22741
2022-01-27T05:00:00Z, 2.41, 2.41, 2.35, 2.35, 2.35, 1301
2022-01-26T05:00:00Z, 2.42, 2.42, 2.42, 2.42, 2.42, 0
2022-01-25T05:00:00Z, 2.42, 2.42, 2.42, 2.42, 2.42, 0
2022-01-24T05:00:00Z, 2.26, 2.43, 2.23, 2.42, 2.42, 4382
2022-01-21T05:00:00Z, 2.38, 2.46, 2.33, 2.33, 2.33, 1287
2022-01-20T05:00:00Z, 2.42, 2.42, 2.32, 2.32, 2.32, 1500
2022-01-19T05:00:00Z, 2.33, 2.4, 2.3, 2.4, 2.4, 5601
2022-01-18T05:00:00Z, 2.28, 2.36, 2.22, 2.35, 2.35, 198140
2022-01-14T05:00:00Z, 2.27, 2.39, 2.26, 2.36, 2.36, 109121
2022-01-13T05:00:00Z, 2.28, 2.36, 2.26, 2.36, 2.36, 47107
2022-01-12T05:00:00Z, 2.33, 2.42, 2.29, 2.42, 2.42, 126985
2022-01-11T05:00:00Z, 2.49, 2.49, 2.45, 2.47, 2.47, 4500
2022-01-10T05:00:00Z, 2.4, 2.5, 2.37, 2.42, 2.42, 3916
2022-01-07T05:00:00Z, 2.41, 2.415, 2.39, 2.4, 2.4, 2078
2022-01-06T05:00:00Z, 2.4, 2.54, 2.34, 2.46, 2.46, 25666
2022-01-05T05:00:00Z, 2.49, 2.5, 2.44, 2.5, 2.5, 25431
2022-01-04T05:00:00Z, 2.57, 2.57, 2.4, 2.5, 2.5, 5457
2022-01-03T05:00:00Z, 2.47, 2.52, 2.41, 2.5, 2.5, 4394
2021-12-31T05:00:00Z, 2.5, 2.53, 2.47, 2.47, 2.47, 4205
2021-12-30T05:00:00Z, 2.5, 2.5, 2.4587, 2.4587, 2.4587, 4908
2021-12-29T05:00:00Z, 2.44, 2.46, 2.42, 2.44, 2.44, 6703
2021-12-28T05:00:00Z, 2.32, 2.44, 2.31, 2.44, 2.44, 129547
2021-12-27T05:00:00Z, 2.38, 2.44, 2.3, 2.44, 2.44, 329548
2021-12-23T05:00:00Z, 2.18, 2.38, 2.15, 2.38, 2.38, 582729
2021-12-22T05:00:00Z, 2.36, 2.38, 2.35, 2.38, 2.38, 10154
2021-12-21T05:00:00Z, 2.11, 2.38, 2.1001, 2.38, 2.38, 4591
2021-12-20T05:00:00Z, 2.29, 2.46, 2.29, 2.3, 2.3, 8248
2021-12-17T05:00:00Z, 2.32, 2.33, 2.17, 2.32, 2.32, 10909
2021-12-16T05:00:00Z, 2.17, 2.17, 2.17, 2.17, 2.17, 750
2021-12-15T05:00:00Z, 2.03, 2.08, 2.03, 2.08, 2.08, 13598
2021-12-14T05:00:00Z, 2.14, 2.14, 2.06, 2.08, 2.08, 2850
2021-12-13T05:00:00Z, 2.2, 2.2, 2, 2.08, 2.08, 41644
2021-12-10T05:00:00Z, 2.07, 2.18, 2.07, 2.08, 2.08, 6122
2021-12-09T05:00:00Z, 2.14, 2.17, 2.14, 2.14, 2.14, 2894
2021-12-08T05:00:00Z, 2.1, 2.14, 2.0701, 2.14, 2.14, 700
2021-12-07T05:00:00Z, 2.1, 2.1, 2.06, 2.06, 2.06, 224
2021-12-06T05:00:00Z, 2.02, 2.09, 1.99, 2.025, 2.025, 12876
2021-12-03T05:00:00Z, 1.95, 2.03, 1.95, 2.02, 2.02, 4278
2021-12-02T05:00:00Z, 1.92, 1.95, 1.81, 1.95, 1.95, 1634
2021-12-01T05:00:00Z, 1.8, 1.86, 1.78, 1.8, 1.8, 8565
2021-11-30T05:00:00Z, 1.8, 1.8, 1.74, 1.78, 1.78, 67288
2021-11-29T05:00:00Z, 1.72, 1.8, 1.7, 1.78, 1.78, 81127
2021-11-26T05:00:00Z, 1.8, 1.8, 1.74, 1.74, 1.74, 11852
2021-11-24T05:00:00Z, 1.72, 1.85, 1.72, 1.8, 1.8, 1900
2021-11-23T05:00:00Z, 1.72, 1.81, 1.7, 1.8, 1.8, 30608
2021-11-22T05:00:00Z, 1.63, 1.73, 1.59, 1.71, 1.71, 454992
2021-11-19T05:00:00Z, 1.65, 1.65, 1.57, 1.57, 1.57, 4233
2021-11-18T05:00:00Z, 1.72, 1.78, 1.69, 1.71, 1.71, 126350
2021-11-17T05:00:00Z, 1.93, 2.0186, 1.89, 1.92, 1.92, 101348
2021-11-16T05:00:00Z, 1.99, 1.99, 1.81, 1.81, 1.81, 117569
2021-11-15T05:00:00Z, 1.99, 2.04, 1.96, 1.99, 1.99, 2621
2021-11-12T05:00:00Z, 2.08, 2.08, 1.99, 1.99, 1.99, 615
2021-11-11T05:00:00Z, 2.11, 2.18, 2.11, 2.17, 2.17, 3107
2021-11-10T05:00:00Z, 2.08, 2.11, 2.07, 2.11, 2.11, 7541
2021-11-09T05:00:00Z, 1.96, 1.97, 1.9, 1.97, 1.97, 25200
2021-11-08T05:00:00Z, 1.95, 1.98, 1.91, 1.94, 1.94, 43073
2021-11-05T04:00:00Z, 1.98, 1.98, 1.98, 1.98, 1.98, 400
2021-11-04T04:00:00Z, 1.9, 1.9, 1.9, 1.9, 1.9, 0
2021-11-03T04:00:00Z, 1.91, 1.91, 1.86, 1.9, 1.9, 2010
2021-11-02T04:00:00Z, 1.93, 1.93, 1.8, 1.8, 1.8, 23570
2021-11-01T04:00:00Z, 1.94, 1.94, 1.9, 1.9, 1.9, 7793
2021-10-29T04:00:00Z, 1.82, 1.86, 1.76, 1.86, 1.86, 8374
2021-10-28T04:00:00Z, 1.8, 1.82, 1.76, 1.81, 1.81, 22823
2021-10-27T04:00:00Z, 1.7, 1.74, 1.68, 1.68, 1.68, 31054
2021-10-26T04:00:00Z, 1.71, 1.82, 1.72, 1.75, 1.75, 25975
2021-10-25T04:00:00Z, 1.69, 1.71, 1.67, 1.67, 1.67, 1400
2021-10-22T04:00:00Z, 1.74, 1.74, 1.74, 1.74, 1.74, 400
2021-10-21T04:00:00Z, 1.83, 1.83, 1.74, 1.74, 1.74, 19562
2021-10-20T04:00:00Z, 1.8, 1.8, 1.75, 1.8, 1.8, 31336
2021-10-19T04:00:00Z, 1.73, 1.81, 1.71, 1.73, 1.73, 77746
2021-10-18T04:00:00Z, 1.9, 1.86, 1.83, 1.83, 1.83, 500
2021-10-15T04:00:00Z, 1.93, 1.93, 1.89, 1.92, 1.92, 25003
2021-10-14T04:00:00Z, 1.89, 1.9, 1.8, 1.89, 1.89, 83665
2021-10-13T04:00:00Z, 1.83, 1.83, 1.83, 1.83, 1.83, 0
2021-10-12T04:00:00Z, 1.76, 1.84, 1.73, 1.83, 1.83, 25200
2021-10-11T04:00:00Z, 1.8, 1.8, 1.77, 1.8, 1.8, 42876
2021-10-08T04:00:00Z, 1.9, 1.9, 1.9, 1.9, 1.9, 0
2021-10-07T04:00:00Z, 1.9, 1.9, 1.9, 1.9, 1.9, 398
2021-10-06T04:00:00Z, 1.84, 1.885, 1.76, 1.8, 1.8, 32900
2021-10-05T04:00:00Z, 1.81, 1.85, 1.8, 1.85, 1.85, 31538
2021-10-04T04:00:00Z, 1.81, 1.81, 1.73, 1.73, 1.73, 26079
2021-10-01T04:00:00Z, 1.81, 1.89, 1.76, 1.84, 1.84, 33492
2021-09-30T04:00:00Z, 1.75, 1.83, 1.75, 1.82, 1.82, 59773
2021-09-29T04:00:00Z, 1.74, 1.77, 1.6, 1.62, 1.62, 82658
2021-09-28T04:00:00Z, 1.74, 1.8, 1.62, 1.62, 1.62, 3800
2021-09-27T04:00:00Z, 1.8, 1.83, 1.8, 1.83, 1.83, 400
2021-09-24T04:00:00Z, 1.76, 1.8, 1.74, 1.74, 1.74, 7852
2021-09-23T04:00:00Z, 1.82, 1.81, 1.8, 1.81, 1.81, 3784
2021-09-22T04:00:00Z, 1.73, 1.79, 1.7, 1.75, 1.75, 23503
2021-09-21T04:00:00Z, 1.65, 1.65, 1.62, 1.62, 1.62, 3627
2021-09-20T04:00:00Z, 1.72, 1.74, 1.65, 1.65, 1.65, 146943
2021-09-17T04:00:00Z, 1.68, 1.79, 1.64, 1.7583, 1.7583, 40697
2021-09-16T04:00:00Z, 1.66, 1.67, 1.6, 1.6, 1.6, 12370
2021-09-15T04:00:00Z, 1.5801, 1.5901, 1.58, 1.5901, 1.5901, 720
2021-09-14T04:00:00Z, 1.57, 1.67, 1.56, 1.57, 1.57, 55000
2021-09-13T04:00:00Z, 1.63, 1.71, 1.61, 1.66, 1.66, 244927
2021-09-10T04:00:00Z, 1.69, 1.725, 1.6, 1.61, 1.61, 81741
2021-09-09T04:00:00Z, 1.76, 1.76, 1.705, 1.76, 1.76, 11365
2021-09-08T04:00:00Z, 1.77, 1.78, 1.7, 1.73, 1.73, 77948
2021-09-07T04:00:00Z, 1.78, 1.88, 1.72, 1.78, 1.78, 182453
2021-09-03T04:00:00Z, 1.74, 1.9, 1.7, 1.76, 1.76, 59792
2021-09-02T04:00:00Z, 1.85, 1.86, 1.7, 1.746, 1.746, 34644
2021-09-01T04:00:00Z, 1.71, 1.89, 1.69, 1.73, 1.73, 10900
2021-08-31T04:00:00Z, 1.79, 1.9, 1.73, 1.78, 1.78, 526301
2021-08-30T04:00:00Z, 1.87, 1.94, 1.65, 1.65, 1.65, 457622
2021-08-27T04:00:00Z, 1.88, 1.93, 1.78, 1.85, 1.85, 186127
2021-08-26T04:00:00Z, 1.89, 1.89, 1.89, 1.89, 1.89, 200
2021-08-25T04:00:00Z, 1.83, 1.9, 1.78, 1.9, 1.9, 9009
2021-08-24T04:00:00Z, 1.83, 1.93, 1.74, 1.86, 1.86, 163796
2021-08-23T04:00:00Z, 1.88, 1.9, 1.72, 1.79, 1.79, 56057
2021-08-20T04:00:00Z, 1.8, 1.9, 1.76, 1.9, 1.9, 64095
2021-08-19T04:00:00Z, 1.9, 1.95, 1.81, 1.87, 1.87, 34752
2021-08-18T04:00:00Z, 1.76, 2.05, 1.69, 1.95, 1.95, 160391
2021-08-17T04:00:00Z, 2.07, 2.13, 2.05, 2.06, 2.06, 25023
2021-08-16T04:00:00Z, 2.46, 2.5, 1.62, 2.12, 2.12, 98176
2021-08-13T04:00:00Z, 1.98, 2.11, 1.9, 2.11, 2.11, 71692
2021-08-12T04:00:00Z, 1.95, 2.11, 1.91, 2.11, 2.11, 119560
2021-08-11T04:00:00Z, 2.06, 2.06, 2.06, 2.06, 2.06, 0
2021-08-10T04:00:00Z, 2.03, 2.23, 1.9501, 2.06, 2.06, 6922
2021-08-09T04:00:00Z, 2.44, 2.44, 2.44, 2.44, 2.44, 0
2021-08-06T04:00:00Z, 2.44, 2.44, 2.44, 2.44, 2.44, 0
2021-08-05T04:00:00Z, 2.45, 2.47, 2.44, 2.44, 2.44, 3698
2021-08-04T04:00:00Z, 2.21, 2.24, 2.24, 2.24, 2.24, 281
2021-08-03T04:00:00Z, 2.23, 2.23, 2.23, 2.23, 2.23, 0
2021-08-02T04:00:00Z, 2.27, 2.33, 2.23, 2.23, 2.23, 1042
2021-07-30T04:00:00Z, 2.51, 2.53, 2.13, 2.33, 2.33, 7300
2021-07-29T04:00:00Z, 2.54, 2.56, 2.46, 2.47, 2.47, 15740
2021-07-28T04:00:00Z, 2.48, 2.48, 2.45, 2.45, 2.45, 200
2021-07-27T04:00:00Z, 2.47, 2.47, 2.47, 2.47, 2.47, 0
2021-07-26T04:00:00Z, 2.47, 2.57, 2.39, 2.47, 2.47, 78103
2021-07-23T04:00:00Z, 2.41, 2.6, 2.41, 2.6, 2.6, 6847
2021-07-22T04:00:00Z, 2.6, 2.6, 2.6, 2.6, 2.6, 0
2021-07-21T04:00:00Z, 2.7, 2.7, 2.56, 2.6, 2.6, 2455
2021-07-20T04:00:00Z, 2.49, 2.61, 2.49, 2.52, 2.52, 92790
2021-07-19T04:00:00Z, 2.45, 2.74, 2.36, 2.53, 2.53, 23037
2021-07-16T04:00:00Z, 2.42, 3.1, 2.38, 2.56, 2.56, 40268
2021-07-15T04:00:00Z, 2.36, 2.72, 2.36, 2.72, 2.72, 6325
2021-07-14T04:00:00Z, 2.4, 2.55, 2.31, 2.55, 2.55, 34444
2021-07-13T04:00:00Z, 2.4, 2.57, 2.38, 2.57, 2.57, 11491
2021-07-12T04:00:00Z, 2.4, 2.46, 2.21, 2.35, 2.35, 66084
2021-07-09T04:00:00Z, 2.37, 2.37, 2.36, 2.37, 2.37, 2285
2021-07-08T04:00:00Z, 2.3, 2.41, 2.16, 2.3, 2.3, 150662
