Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.73, 9.74, 9.735, 9.74, 9.74, 102455
2022-02-07T05:00:00Z, 9.73, 9.74, 9.72, 9.7306, 9.7306, 112556
2022-02-04T05:00:00Z, 9.73, 9.73, 9.72, 9.72, 9.72, 14981
2022-02-03T05:00:00Z, 9.72, 9.735, 9.72, 9.73, 9.73, 12409
2022-02-02T05:00:00Z, 9.74, 9.75, 9.73, 9.73, 9.73, 18494
2022-02-01T05:00:00Z, 9.71, 9.77, 9.71, 9.74, 9.74, 33978
2022-01-31T05:00:00Z, 9.72, 9.72, 9.71, 9.71, 9.71, 150586
2022-01-28T05:00:00Z, 9.72, 9.74, 9.72, 9.72, 9.72, 17459
2022-01-27T05:00:00Z, 9.72, 9.73, 9.72, 9.73, 9.73, 13744
2022-01-26T05:00:00Z, 9.74, 9.75, 9.72, 9.75, 9.75, 20268
2022-01-25T05:00:00Z, 9.71, 9.71, 9.7099, 9.71, 9.71, 10940
2022-01-24T05:00:00Z, 9.75, 9.75, 9.73, 9.74, 9.74, 21769
2022-01-21T05:00:00Z, 9.75, 9.75, 9.74, 9.74, 9.74, 35079
2022-01-20T05:00:00Z, 9.76, 9.76, 9.75, 9.75, 9.75, 27060
2022-01-19T05:00:00Z, 9.75, 9.75, 9.75, 9.75, 9.75, 2235
2022-01-18T05:00:00Z, 9.75, 9.76, 9.75, 9.75, 9.75, 3969
2022-01-14T05:00:00Z, 9.76, 9.7567, 9.7567, 9.7567, 9.7567, 112
2022-01-13T05:00:00Z, 9.76, 9.76, 9.76, 9.76, 9.76, 0
2022-01-12T05:00:00Z, 9.75, 9.76, 9.75, 9.76, 9.76, 7066
2022-01-11T05:00:00Z, 9.755, 9.755, 9.755, 9.755, 9.755, 0
2022-01-10T05:00:00Z, 9.79, 9.755, 9.74, 9.755, 9.755, 207
2022-01-07T05:00:00Z, 9.77, 9.8, 9.76, 9.8, 9.8, 1415
2022-01-06T05:00:00Z, 9.75, 9.76, 9.74, 9.75, 9.75, 89857
2022-01-05T05:00:00Z, 9.76, 9.76, 9.76, 9.76, 9.76, 0
2022-01-04T05:00:00Z, 9.76, 9.78, 9.75, 9.76, 9.76, 5506
2022-01-03T05:00:00Z, 9.76, 9.77, 9.75, 9.75, 9.75, 13874
