Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 21.93, 22.56, 21.82, 22.49, 22.49, 8498439
2022-02-07T05:00:00Z, 21.95, 22.07, 21.6, 21.8, 21.8, 5463112
2022-02-04T05:00:00Z, 21.64, 22.09, 21.51, 21.91, 21.91, 6175379
2022-02-03T05:00:00Z, 22.05, 22.26, 21.705, 21.76, 21.76, 5233916
2022-02-02T05:00:00Z, 22.095, 22.36, 21.85, 22.31, 22.31, 5694263
2022-02-01T05:00:00Z, 22.17, 22.32, 21.91, 22.16, 22.16, 6899442
2022-01-31T05:00:00Z, 21.79, 22.22, 21.6001, 22.18, 22.18, 9900610
2022-01-28T05:00:00Z, 21.94, 22.17, 21.615, 22.15, 22.15, 4170266
2022-01-27T05:00:00Z, 22.69, 23.03, 22.035, 22.07, 22.07, 6695101
2022-01-26T05:00:00Z, 22.57, 23.08, 22.185, 22.42, 22.42, 7013876
2022-01-25T05:00:00Z, 22.08, 22.315, 21.77, 22.17, 22.17, 9347104
2022-01-24T05:00:00Z, 22.46, 22.63, 21.54, 22.59, 22.59, 10279970
2022-01-21T05:00:00Z, 23.27, 23.475, 22.885, 22.95, 22.95, 5943891
2022-01-20T05:00:00Z, 23.265, 24.05, 23.2, 23.39, 23.39, 7825949
2022-01-19T05:00:00Z, 22.61, 23.235, 22.565, 23.07, 23.07, 5712105
2022-01-18T05:00:00Z, 22.83, 22.95, 22.4601, 22.59, 22.59, 4515147
2022-01-14T05:00:00Z, 23.19, 23.25, 22.83, 23.06, 23.06, 4461147
2022-01-13T05:00:00Z, 23.43, 23.68, 23.215, 23.27, 23.27, 3038845
2022-01-12T05:00:00Z, 23.46, 23.7, 23.245, 23.43, 23.43, 3591588
2022-01-11T05:00:00Z, 23, 23.385, 23, 23.34, 23.34, 3959525
2022-01-10T05:00:00Z, 23.3, 23.31, 22.6798, 22.96, 22.96, 7237857
2022-01-07T05:00:00Z, 23.26, 23.47, 22.975, 23.1, 23.1, 4640018
2022-01-06T05:00:00Z, 23.33, 23.7, 23.16, 23.24, 23.24, 6013495
2022-01-05T05:00:00Z, 24.36, 24.475, 23.32, 23.33, 23.33, 6386005
2022-01-04T05:00:00Z, 24.5, 24.655, 24.265, 24.45, 24.45, 4103144
2022-01-03T05:00:00Z, 24.41, 24.7, 24.04, 24.38, 24.38, 2740729
2021-12-31T05:00:00Z, 24.03, 24.43, 24.01, 24.3, 24.3, 2490644
2021-12-30T05:00:00Z, 23.89, 24.285, 23.82, 24.17, 24.17, 3200786
2021-12-29T05:00:00Z, 23.65, 23.91, 23.615, 23.78, 23.78, 2609633
2021-12-28T05:00:00Z, 23.72, 24.005, 23.65, 23.74, 23.74, 1906096
2021-12-27T05:00:00Z, 23.54, 23.735, 23.44, 23.67, 23.67, 2796089
2021-12-23T05:00:00Z, 23.58, 23.73, 23.51, 23.55, 23.55, 3788891
2021-12-22T05:00:00Z, 23.58, 23.76, 23.47, 23.57, 23.57, 3581540
2021-12-21T05:00:00Z, 23.45, 24, 23.38, 23.71, 23.71, 4937969
2021-12-20T05:00:00Z, 23.65, 23.76, 22.74, 23.22, 23.22, 5565160
2021-12-17T05:00:00Z, 23.79, 24.305, 23.59, 24.09, 24.09, 6206377
2021-12-16T05:00:00Z, 24.15, 24.7, 24.06, 24.06, 24.06, 4537836
2021-12-15T05:00:00Z, 23.53, 24.16, 23.49, 24.13, 24.13, 3662756
2021-12-14T05:00:00Z, 23.88, 24.04, 23.51, 23.61, 23.61, 5294923
2021-12-13T05:00:00Z, 24.35, 24.35, 23.775, 23.92, 23.92, 5358817
2021-12-10T05:00:00Z, 24.68, 24.8, 24.265, 24.42, 24.42, 3408336
2021-12-09T05:00:00Z, 24.75, 24.975, 24.525, 24.55, 24.55, 4522533
2021-12-08T05:00:00Z, 24.84, 25.05, 24.65, 24.88, 24.88, 3037503
2021-12-07T05:00:00Z, 24.64, 25.04, 24.565, 24.82, 24.82, 3681413
2021-12-06T05:00:00Z, 24.08, 24.66, 23.85, 24.36, 24.36, 5584385
2021-12-03T05:00:00Z, 24.29, 24.34, 23.54, 23.76, 23.76, 6149154
2021-12-02T05:00:00Z, 23.53, 24.275, 23.15, 24.08, 24.08, 5468106
2021-12-01T05:00:00Z, 23.72, 24.46, 23.53, 23.58, 23.58, 9031240
2021-11-30T05:00:00Z, 23.6, 23.86, 23.1, 23.38, 23.38, 10314555
2021-11-29T05:00:00Z, 24, 24.11, 23.54, 23.62, 23.62, 4293575
2021-11-26T05:00:00Z, 24.2, 24.265, 23.75, 23.83, 23.83, 2493208
2021-11-24T05:00:00Z, 24.52, 24.92, 24.26, 24.72, 24.72, 4127316
2021-11-23T05:00:00Z, 24.9, 24.985, 24.57, 24.61, 24.61, 2530975
2021-11-22T05:00:00Z, 24.65, 25.145, 24.52, 24.94, 24.94, 4610546
2021-11-19T05:00:00Z, 24.34, 24.63, 24.26, 24.58, 24.58, 4309926
2021-11-18T05:00:00Z, 24.77, 24.83, 24.115, 24.47, 24.47, 2910090
2021-11-17T05:00:00Z, 24.68, 24.9, 24.39, 24.75, 24.75, 4114498
2021-11-16T05:00:00Z, 25.02, 25.07, 24.74, 25.06, 25.06, 2726917
2021-11-15T05:00:00Z, 24.9, 25.09, 24.67, 25.03, 25.03, 3204526
2021-11-12T05:00:00Z, 24.82, 24.86, 24.365, 24.72, 24.72, 4150562
2021-11-11T05:00:00Z, 24.21, 25.02, 24.2, 24.88, 24.88, 7503913
2021-11-10T05:00:00Z, 23.83, 24.25, 23.82, 24.1, 24.1, 3494541
2021-11-09T05:00:00Z, 23.98, 24.13, 23.67, 23.89, 23.89, 5095251
2021-11-08T05:00:00Z, 25.01, 25.1, 23.77, 23.91, 23.91, 7359147
2021-11-05T04:00:00Z, 25.3, 25.38, 24.94, 24.99, 24.99, 6858222
2021-11-04T04:00:00Z, 25.92, 25.95, 24.72, 25.12, 25.12, 5778297
2021-11-03T04:00:00Z, 25.39, 25.54, 24.975, 25.3, 25.3, 5914595
2021-11-02T04:00:00Z, 25.39, 25.49, 25.13, 25.37, 25.37, 4968734
