Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.3699, 0.3699, 0.3487, 0.3602, 0.3602, 578473
2022-02-07T05:00:00Z, 0.3599, 0.3798, 0.3523, 0.3669, 0.3669, 700316
2022-02-04T05:00:00Z, 0.3591, 0.3683, 0.34, 0.3599, 0.3599, 637791
2022-02-03T05:00:00Z, 0.351, 0.3616, 0.3295, 0.3484, 0.3484, 521407
2022-02-02T05:00:00Z, 0.37, 0.37, 0.3502, 0.3596, 0.3596, 525564
2022-02-01T05:00:00Z, 0.36, 0.37, 0.3543, 0.37, 0.37, 392583
2022-01-31T05:00:00Z, 0.333, 0.365, 0.33, 0.36, 0.36, 695425
2022-01-28T05:00:00Z, 0.327, 0.3331, 0.3193, 0.33, 0.33, 567048
2022-01-27T05:00:00Z, 0.35, 0.3599, 0.3111, 0.33, 0.33, 1253384
2022-01-26T05:00:00Z, 0.36, 0.3648, 0.341, 0.355, 0.355, 1406104
2022-01-25T05:00:00Z, 0.34, 0.3587, 0.3305, 0.3556, 0.3556, 857671
2022-01-24T05:00:00Z, 0.3122, 0.345, 0.294101, 0.3434, 0.3434, 1601240
2022-01-21T05:00:00Z, 0.3421, 0.3422, 0.3241, 0.3298, 0.3298, 1222743
2022-01-20T05:00:00Z, 0.3463, 0.3634, 0.3375, 0.3524, 0.3524, 889078
2022-01-19T05:00:00Z, 0.3504, 0.3519, 0.3333, 0.3367, 0.3367, 859414
2022-01-18T05:00:00Z, 0.3536, 0.36, 0.3343, 0.34, 0.34, 1430335
2022-01-14T05:00:00Z, 0.35, 0.3684, 0.345, 0.3597, 0.3597, 786119
2022-01-13T05:00:00Z, 0.375, 0.3786, 0.357, 0.3592, 0.3592, 985949
2022-01-12T05:00:00Z, 0.375, 0.375, 0.358, 0.371, 0.371, 931752
2022-01-11T05:00:00Z, 0.3566, 0.3717, 0.3546, 0.3647, 0.3647, 675429
2022-01-10T05:00:00Z, 0.3601, 0.3709, 0.35305, 0.3552, 0.3552, 770377
2022-01-07T05:00:00Z, 0.36, 0.375, 0.3525, 0.3749, 0.3749, 514145
2022-01-06T05:00:00Z, 0.36, 0.3769, 0.35, 0.3575, 0.3575, 1155348
2022-01-05T05:00:00Z, 0.381, 0.3912, 0.357, 0.359, 0.359, 1103682
2022-01-04T05:00:00Z, 0.393, 0.401999, 0.38, 0.381, 0.381, 1330976
2022-01-03T05:00:00Z, 0.3681, 0.3977, 0.3605, 0.3939, 0.3939, 1789830
2021-12-31T05:00:00Z, 0.3751, 0.38, 0.35, 0.3553, 0.3553, 2904794
2021-12-30T05:00:00Z, 0.36, 0.385, 0.36, 0.3676, 0.3676, 1941569
2021-12-29T05:00:00Z, 0.38, 0.39, 0.36, 0.37, 0.37, 3131166
2021-12-28T05:00:00Z, 0.3949, 0.4005, 0.3784, 0.38, 0.38, 2038317
2021-12-27T05:00:00Z, 0.42, 0.4255, 0.4, 0.4, 0.4, 1203101
2021-12-23T05:00:00Z, 0.42, 0.43, 0.4118, 0.4202, 0.4202, 640917
2021-12-22T05:00:00Z, 0.41, 0.4284, 0.4058, 0.4225, 0.4225, 886075
2021-12-21T05:00:00Z, 0.403, 0.41, 0.395, 0.407, 0.407, 892688
2021-12-20T05:00:00Z, 0.4092, 0.42, 0.3948, 0.402, 0.402, 674820
2021-12-17T05:00:00Z, 0.41, 0.43, 0.402, 0.4205, 0.4205, 794971
2021-12-16T05:00:00Z, 0.42, 0.44, 0.41, 0.4123, 0.4123, 510625
2021-12-15T05:00:00Z, 0.4101, 0.4268, 0.4, 0.4122, 0.4122, 922442
2021-12-14T05:00:00Z, 0.423, 0.436, 0.4114, 0.417, 0.417, 804544
2021-12-13T05:00:00Z, 0.4316, 0.45, 0.4201, 0.436, 0.436, 502604
2021-12-10T05:00:00Z, 0.46, 0.464, 0.422, 0.4302, 0.4302, 715073
2021-12-09T05:00:00Z, 0.47, 0.486, 0.445, 0.4456, 0.4456, 780740
2021-12-08T05:00:00Z, 0.4474, 0.46, 0.441001, 0.4571, 0.4571, 462335
2021-12-07T05:00:00Z, 0.43, 0.4688, 0.4261, 0.4495, 0.4495, 779230
2021-12-06T05:00:00Z, 0.4095, 0.44, 0.38, 0.436, 0.436, 1656073
2021-12-03T05:00:00Z, 0.438, 0.4399, 0.3968, 0.4, 0.4, 2209885
