Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 4.11, 4.23, 4.04, 4.22, 4.22, 959054
2022-02-07T05:00:00Z, 3.9, 4.13, 3.89, 4.12, 4.12, 993167
2022-02-04T05:00:00Z, 3.89, 3.96, 3.735, 3.89, 3.89, 1292323
2022-02-03T05:00:00Z, 3.82, 3.92, 3.78, 3.84, 3.84, 768017
2022-02-02T05:00:00Z, 4.23, 4.27, 3.94, 3.96, 3.96, 685970
2022-02-01T05:00:00Z, 4.16, 4.31, 4.055, 4.21, 4.21, 1417251
2022-01-31T05:00:00Z, 3.89, 4.125, 3.86, 4.08, 4.08, 1603551
2022-01-28T05:00:00Z, 3.69, 3.86, 3.59, 3.85, 3.85, 1101686
2022-01-27T05:00:00Z, 3.99, 4.055, 3.67, 3.69, 3.69, 1350249
2022-01-26T05:00:00Z, 4.04, 4.22, 3.93, 3.98, 3.98, 1956116
2022-01-25T05:00:00Z, 4.03, 4.08, 3.86, 3.96, 3.96, 824807
2022-01-24T05:00:00Z, 3.94, 4.12, 3.75, 4.09, 4.09, 1921117
2022-01-21T05:00:00Z, 4.08, 4.2, 4.02, 4.02, 4.02, 1061206
2022-01-20T05:00:00Z, 4.4, 4.44, 4.13, 4.14, 4.14, 605443
2022-01-19T05:00:00Z, 4.22, 4.418, 4.25, 4.26, 4.26, 950826
2022-01-18T05:00:00Z, 4.36, 4.39, 4.21, 4.22, 4.22, 938827
2022-01-14T05:00:00Z, 4.37, 4.45, 4.2, 4.44, 4.44, 989833
2022-01-13T05:00:00Z, 4.58, 4.6, 4.335, 4.41, 4.41, 1683155
2022-01-12T05:00:00Z, 4.75, 4.84, 4.47, 4.47, 4.47, 1089365
2022-01-11T05:00:00Z, 4.74, 4.9, 4.67, 4.72, 4.72, 1286809
2022-01-10T05:00:00Z, 4.75, 4.92, 4.53, 4.72, 4.72, 1454200
2022-01-07T05:00:00Z, 5.08, 5.17, 4.81, 4.82, 4.82, 1551027
2022-01-06T05:00:00Z, 4.93, 5.11, 4.835, 5.04, 5.04, 1191159
2022-01-05T05:00:00Z, 5.34, 5.37, 4.955, 4.97, 4.97, 1033358
2022-01-04T05:00:00Z, 5.62, 5.69, 5.305, 5.36, 5.36, 781548
2022-01-03T05:00:00Z, 5.55, 5.76, 5.52, 5.65, 5.65, 744258
2021-12-31T05:00:00Z, 5.67, 5.77, 5.52, 5.52, 5.52, 568926
2021-12-30T05:00:00Z, 5.54, 5.835, 5.54, 5.69, 5.69, 762392
2021-12-29T05:00:00Z, 5.56, 5.6, 5.4699, 5.51, 5.51, 459443
2021-12-28T05:00:00Z, 5.68, 5.79, 5.57, 5.59, 5.59, 645999
2021-12-27T05:00:00Z, 5.91, 5.9896, 5.635, 5.7, 5.7, 827210
2021-12-23T05:00:00Z, 5.66, 5.91, 5.62, 5.91, 5.91, 616033
2021-12-22T05:00:00Z, 5.74, 5.81, 5.665, 5.71, 5.71, 584510
2021-12-21T05:00:00Z, 5.73, 5.83, 5.61, 5.74, 5.74, 673625
2021-12-20T05:00:00Z, 5.5, 5.78, 5.45, 5.67, 5.67, 666880
2021-12-17T05:00:00Z, 5.37, 5.77, 5.3, 5.65, 5.65, 1009119
2021-12-16T05:00:00Z, 5.7, 5.795, 5.42, 5.48, 5.48, 956349
2021-12-15T05:00:00Z, 5.41, 5.67, 5.21, 5.65, 5.65, 1942394
2021-12-14T05:00:00Z, 5.55, 5.62, 5.32, 5.37, 5.37, 1739210
2021-12-13T05:00:00Z, 6, 6, 5.535, 5.6, 5.6, 1923966
2021-12-10T05:00:00Z, 6.24, 6.32, 5.72, 5.89, 5.89, 2513130
2021-12-09T05:00:00Z, 6.88, 6.91, 6.19, 6.25, 6.25, 2943898
2021-12-08T05:00:00Z, 6.59, 6.9, 6.4, 6.83, 6.83, 1522920
2021-12-07T05:00:00Z, 6.24, 6.6, 6.15, 6.45, 6.45, 3007057
2021-12-06T05:00:00Z, 5.99, 6.135, 5.71, 6.1, 6.1, 1910461
2021-12-03T05:00:00Z, 6.5, 6.67, 5.94, 6.07, 6.07, 3364888
2021-12-02T05:00:00Z, 6.71, 6.8, 6.46, 6.58, 6.58, 1938121
2021-12-01T05:00:00Z, 6.8, 7.02, 6.69, 6.75, 6.75, 2120058
2021-11-30T05:00:00Z, 6.87, 6.96, 6.59, 6.82, 6.82, 2876106
2021-11-29T05:00:00Z, 7.12, 7.13, 6.87, 6.92, 6.92, 1596398
2021-11-26T05:00:00Z, 6.93, 7.13, 6.78, 6.97, 6.97, 1161643
2021-11-24T05:00:00Z, 6.67, 7.085, 6.56, 7.07, 7.07, 2607411
2021-11-23T05:00:00Z, 6.92, 6.97, 6.53, 6.81, 6.81, 4039871
2021-11-22T05:00:00Z, 7.12, 7.35, 6.36, 7.05, 7.05, 11102717
2021-11-19T05:00:00Z, 6.81, 6.85, 6.5425, 6.73, 6.73, 2067356
2021-11-18T05:00:00Z, 6.68, 6.82, 6.545, 6.81, 6.81, 1873213
2021-11-17T05:00:00Z, 6.2, 7, 6.12, 6.73, 6.73, 5535160
2021-11-16T05:00:00Z, 6.02, 6.18, 5.941, 6.12, 6.12, 1836314
2021-11-15T05:00:00Z, 5.92, 6.04, 5.846, 6.04, 6.04, 2330743
2021-11-12T05:00:00Z, 5.82, 5.91, 5.64, 5.91, 5.91, 2279677
2021-11-11T05:00:00Z, 5.74, 6.125, 5.73, 5.87, 5.87, 2130217
2021-11-10T05:00:00Z, 5.56, 5.8, 5.5, 5.65, 5.65, 2931599
2021-11-09T05:00:00Z, 6.33, 6.41, 6.18, 6.23, 6.23, 2424196
2021-11-08T05:00:00Z, 6.8, 6.81, 6.3, 6.34, 6.34, 1698037
2021-11-05T04:00:00Z, 6.52, 6.86, 6.41, 6.76, 6.76, 1532264
2021-11-04T04:00:00Z, 6.81, 6.97, 5.8, 6.46, 6.46, 4333315
2021-11-03T04:00:00Z, 7.07, 7.25, 6.995, 7.02, 7.02, 3440663
2021-11-02T04:00:00Z, 6.95, 7.08, 6.914, 7.07, 7.07, 1392182
2021-11-01T04:00:00Z, 6.84, 6.993, 6.77, 6.96, 6.96, 1271419
2021-10-29T04:00:00Z, 6.63, 6.9542, 6.585, 6.8, 6.8, 1956056
2021-10-28T04:00:00Z, 6.54, 6.67, 6.46, 6.63, 6.63, 1223633
2021-10-27T04:00:00Z, 6.75, 6.8393, 6.385, 6.58, 6.58, 1549974
2021-10-26T04:00:00Z, 6.2, 6.71, 6.19, 6.69, 6.69, 3223765
2021-10-25T04:00:00Z, 5.94, 6.2, 5.92, 6.19, 6.19, 912205
2021-10-22T04:00:00Z, 6.12, 6.1252, 5.785, 5.99, 5.99, 730476
2021-10-21T04:00:00Z, 6.2, 6.32, 6.12, 6.15, 6.15, 626963
2021-10-20T04:00:00Z, 6.01, 6.17, 5.975, 6.07, 6.07, 560310
2021-10-19T04:00:00Z, 5.88, 6.14, 5.85, 5.97, 5.97, 801793
2021-10-18T04:00:00Z, 5.91, 5.94, 5.725, 5.83, 5.83, 720328
2021-10-15T04:00:00Z, 6.02, 6.08, 5.89, 5.91, 5.91, 494071
2021-10-14T04:00:00Z, 5.95, 6.025, 5.855, 5.94, 5.94, 428842
2021-10-13T04:00:00Z, 5.96, 6.05, 5.825, 5.85, 5.85, 486363
2021-10-12T04:00:00Z, 5.81, 5.975, 5.79, 5.89, 5.89, 411691
2021-10-11T04:00:00Z, 5.66, 5.93, 5.61, 5.81, 5.81, 658134
2021-10-08T04:00:00Z, 5.94, 5.95, 5.63, 5.7, 5.7, 945867
2021-10-07T04:00:00Z, 5.69, 5.94, 5.65, 5.94, 5.94, 687171
2021-10-06T04:00:00Z, 5.77, 5.82, 5.63, 5.69, 5.69, 533576
2021-10-05T04:00:00Z, 5.84, 5.93, 5.7, 5.76, 5.76, 682426
2021-10-04T04:00:00Z, 6.09, 6.1, 5.82, 5.84, 5.84, 706697
2021-10-01T04:00:00Z, 6.25, 6.27, 5.86, 6.16, 6.16, 1107586
2021-09-30T04:00:00Z, 6.02, 6.35, 5.955, 6.18, 6.18, 1393395
2021-09-29T04:00:00Z, 6.09, 6.15, 5.8, 5.85, 5.85, 635312
2021-09-28T04:00:00Z, 6.16, 6.23, 5.99, 6.05, 6.05, 840905
2021-09-27T04:00:00Z, 6.2, 6.41, 6.11, 6.22, 6.22, 828077
2021-09-24T04:00:00Z, 6.53, 6.54, 6.21, 6.26, 6.26, 606162
2021-09-23T04:00:00Z, 6.47, 6.6, 6.35, 6.59, 6.59, 455244
2021-09-22T04:00:00Z, 6.43, 6.54, 6.34, 6.34, 6.34, 565109
2021-09-21T04:00:00Z, 6.34, 6.4811, 6.28, 6.39, 6.39, 653645
2021-09-20T04:00:00Z, 6.23, 6.4, 6.2, 6.3, 6.3, 886557
2021-09-17T04:00:00Z, 6.37, 6.4173, 6.145, 6.39, 6.39, 1198176
2021-09-16T04:00:00Z, 6.27, 6.385, 6.07, 6.35, 6.35, 1191910
2021-09-15T04:00:00Z, 6.35, 6.4665, 6.235, 6.33, 6.33, 840140
2021-09-14T04:00:00Z, 6.41, 6.64, 6.33, 6.43, 6.43, 869966
2021-09-13T04:00:00Z, 6.56, 6.6, 6.225, 6.37, 6.37, 888856
2021-09-10T04:00:00Z, 6.7, 6.74, 6.425, 6.48, 6.48, 1169685
2021-09-09T04:00:00Z, 6.77, 6.965, 6.63, 6.7, 6.7, 1305200
2021-09-08T04:00:00Z, 6.85, 7, 6.2, 6.8, 6.8, 2269428
2021-09-07T04:00:00Z, 6.67, 6.88, 6.65, 6.74, 6.74, 772536
2021-09-03T04:00:00Z, 7.05, 7.1, 6.66, 6.69, 6.69, 726289
2021-09-02T04:00:00Z, 7.16, 7.16, 6.88, 7.08, 7.08, 722123
2021-09-01T04:00:00Z, 7.09, 7.16, 6.999, 7.15, 7.15, 726821
2021-08-31T04:00:00Z, 7.07, 7.2, 6.87, 7.04, 7.04, 712961
2021-08-30T04:00:00Z, 7.24, 7.34, 7.02, 7.07, 7.07, 1203683
2021-08-27T04:00:00Z, 6.79, 7.285, 6.79, 7.21, 7.21, 1557049
2021-08-26T04:00:00Z, 6.61, 7.02, 6.59, 6.75, 6.75, 2192154
2021-08-25T04:00:00Z, 6.14, 6.685, 6.1, 6.6, 6.6, 1395655
2021-08-24T04:00:00Z, 6.16, 6.22, 5.98, 6.17, 6.17, 1803485
2021-08-23T04:00:00Z, 6, 6.17, 5.8701, 6.1, 6.1, 2247306
2021-08-20T04:00:00Z, 5.51, 5.8, 5.43, 5.73, 5.73, 1626341
2021-08-19T04:00:00Z, 5.69, 5.78, 5.52, 5.54, 5.54, 872386
2021-08-18T04:00:00Z, 5.83, 5.87, 5.69, 5.74, 5.74, 881888
2021-08-17T04:00:00Z, 5.77, 5.92, 5.63, 5.82, 5.82, 1397328
2021-08-16T04:00:00Z, 5.97, 6, 5.82, 5.87, 5.87, 847315
