Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.305, 14.57, 14.14, 14.53, 14.53, 306799
2022-02-07T05:00:00Z, 14.11, 14.25, 13.85, 14.17, 14.17, 377596
2022-02-04T05:00:00Z, 13.87, 14.24, 12.97, 13.97, 13.97, 1096161
2022-02-03T05:00:00Z, 14.09, 14.34, 13.87, 14, 14, 429622
2022-02-02T05:00:00Z, 14.51, 14.87, 14.1, 14.4, 14.4, 331035
2022-02-01T05:00:00Z, 14.46, 14.8, 14.23, 14.69, 14.69, 602370
2022-01-31T05:00:00Z, 14.14, 14.74, 14.18, 14.48, 14.48, 287432
2022-01-28T05:00:00Z, 14.17, 14.3, 13.81, 14.14, 14.14, 302220
2022-01-27T05:00:00Z, 13.71, 14.28, 13.39, 14.04, 14.04, 1031456
2022-01-26T05:00:00Z, 12.74, 13.2, 12.66, 12.78, 12.78, 411476
2022-01-25T05:00:00Z, 12.5, 12.79, 12.17, 12.62, 12.62, 320540
2022-01-24T05:00:00Z, 12.38, 12.61, 11.75, 12.52, 12.52, 627521
2022-01-21T05:00:00Z, 13.25, 13.6, 12.52, 12.52, 12.52, 312044
2022-01-20T05:00:00Z, 13.19, 13.995, 12.72, 13.34, 13.34, 998610
2022-01-19T05:00:00Z, 13.36, 13.54, 12.94, 13.21, 13.21, 537734
2022-01-18T05:00:00Z, 14.04, 14.01, 13.35, 13.42, 13.42, 176143
2022-01-14T05:00:00Z, 14.21, 14.56, 13.88, 14.05, 14.05, 859841
2022-01-13T05:00:00Z, 13.66, 14.13, 13.3, 14.12, 14.12, 506633
2022-01-12T05:00:00Z, 13.57, 13.7, 12.94, 13.23, 13.23, 1472026
2022-01-11T05:00:00Z, 13.49, 13.7, 13.29, 13.5, 13.5, 187202
2022-01-10T05:00:00Z, 13.53, 13.73, 13, 13.55, 13.55, 157326
2022-01-07T05:00:00Z, 13.75, 14.08, 13.48, 13.54, 13.54, 337510
2022-01-06T05:00:00Z, 13.5, 13.72, 13.17, 13.57, 13.57, 137794
2022-01-05T05:00:00Z, 14.17, 14.26, 13.38, 13.39, 13.39, 183592
2022-01-04T05:00:00Z, 14.83, 15.04, 13.8091, 14.22, 14.22, 134963
2022-01-03T05:00:00Z, 15.72, 15.85, 14.72, 14.81, 14.81, 278132
2021-12-31T05:00:00Z, 15.91, 15.98, 15.49, 15.71, 15.71, 169335
2021-12-30T05:00:00Z, 15.39, 16.21, 15.37, 15.96, 15.96, 310997
