Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.48, 10.815, 10.42, 10.78, 10.78, 3102472
2022-02-07T05:00:00Z, 10.035, 10.6256, 10.01, 10.54, 10.54, 4238257
2022-02-04T05:00:00Z, 9.74, 10.0653, 9.69, 9.88, 9.88, 3249813
2022-02-03T05:00:00Z, 9.88, 10.055, 9.64, 9.84, 9.84, 4599506
2022-02-02T05:00:00Z, 10.37, 10.45, 10.07, 10.08, 10.08, 4418793
2022-02-01T05:00:00Z, 10.33, 10.567, 10.15, 10.32, 10.32, 5191947
2022-01-31T05:00:00Z, 9.67, 10.17, 9.58, 10.16, 10.16, 4330895
2022-01-28T05:00:00Z, 9.4, 9.57, 9.2886, 9.54, 9.54, 4963970
2022-01-27T05:00:00Z, 9.98, 10.0911, 9.54, 9.55, 9.55, 7822013
2022-01-26T05:00:00Z, 10.38, 10.76, 10.085, 10.21, 10.21, 6890722
2022-01-25T05:00:00Z, 10.23, 10.5899, 10.15, 10.51, 10.51, 4380521
2022-01-24T05:00:00Z, 10.675, 10.74, 9.825, 10.43, 10.43, 9707048
2022-01-21T05:00:00Z, 11.665, 11.73, 10.95, 10.99, 10.99, 6886637
2022-01-20T05:00:00Z, 12.01, 12.12, 11.62, 11.65, 11.65, 8577887
2022-01-19T05:00:00Z, 10.82, 12.01, 10.745, 11.88, 11.88, 11515613
2022-01-18T05:00:00Z, 10.71, 10.9573, 10.44, 10.54, 10.54, 5580728
2022-01-14T05:00:00Z, 10.84, 10.8799, 10.51, 10.7, 10.7, 3139796
2022-01-13T05:00:00Z, 11.16, 11.27, 10.8929, 10.91, 10.91, 2806837
2022-01-12T05:00:00Z, 10.99, 11.18, 10.85, 11.14, 11.14, 3067524
2022-01-11T05:00:00Z, 10.47, 10.85, 10.325, 10.84, 10.84, 3213084
2022-01-10T05:00:00Z, 10.28, 10.42, 10.0924, 10.42, 10.42, 3178810
2022-01-07T05:00:00Z, 10.35, 10.49, 10.13, 10.32, 10.32, 3738037
2022-01-06T05:00:00Z, 10.29, 10.46, 10.1, 10.26, 10.26, 5096298
2022-01-05T05:00:00Z, 11.07, 11.375, 10.59, 10.63, 10.63, 5174511
2022-01-04T05:00:00Z, 11.03, 11.2077, 10.82, 10.96, 10.96, 3741228
2022-01-03T05:00:00Z, 10.945, 11.0312, 10.64, 10.92, 10.92, 2723531
2021-12-31T05:00:00Z, 11.14, 11.245, 10.98, 11.11, 11.11, 2900431
2021-12-30T05:00:00Z, 10.795, 11.21, 10.74, 11.04, 11.04, 3722469
2021-12-29T05:00:00Z, 11.205, 11.25, 10.73, 10.78, 10.78, 5021289
2021-12-28T05:00:00Z, 11.475, 11.69, 11.38, 11.45, 11.45, 2832391
2021-12-27T05:00:00Z, 11.5, 11.7, 11.3667, 11.46, 11.46, 3466406
2021-12-23T05:00:00Z, 11.36, 11.61, 11.21, 11.54, 11.54, 4311213
2021-12-22T05:00:00Z, 11.14, 11.42, 11.03, 11.39, 11.39, 2718633
2021-12-21T05:00:00Z, 11.03, 11.25, 10.93, 11.15, 11.15, 3769513
2021-12-20T05:00:00Z, 10.69, 10.895, 10.62, 10.86, 10.86, 3084269
2021-12-17T05:00:00Z, 10.88, 11.1, 10.735, 10.85, 10.85, 6827092
2021-12-16T05:00:00Z, 10.67, 10.98, 10.615, 10.79, 10.79, 5479414
2021-12-15T05:00:00Z, 10.26, 10.4473, 9.861, 10.35, 10.35, 6048823
2021-12-14T05:00:00Z, 10.38, 10.61, 10.24, 10.36, 10.36, 4059947
2021-12-13T05:00:00Z, 10.7, 10.915, 10.565, 10.64, 10.64, 3704664
2021-12-10T05:00:00Z, 10.995, 11.04, 10.68, 10.71, 10.71, 3717946
2021-12-09T05:00:00Z, 11.17, 11.25, 10.85, 10.88, 10.88, 3965205
2021-12-08T05:00:00Z, 11.37, 11.58, 11.18, 11.45, 11.45, 2672972
2021-12-07T05:00:00Z, 11.2, 11.49, 11.14, 11.38, 11.38, 4224680
