Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.68, 9.71, 9.68, 9.71, 9.71, 401
2022-02-07T05:00:00Z, 9.66, 9.71, 9.66, 9.71, 9.71, 4609
2022-02-04T05:00:00Z, 9.67, 9.71, 9.67, 9.71, 9.71, 14209
2022-02-03T05:00:00Z, 9.67, 9.71, 9.67, 9.68, 9.68, 5899
2022-02-02T05:00:00Z, 9.7, 9.7, 9.7, 9.7, 9.7, 3436
2022-02-01T05:00:00Z, 9.71, 9.73, 9.69, 9.72, 9.72, 9434
2022-01-31T05:00:00Z, 9.65, 9.67, 9.65, 9.67, 9.67, 1023
2022-01-28T05:00:00Z, 9.67, 9.67, 9.67, 9.67, 9.67, 0
2022-01-27T05:00:00Z, 9.67, 9.67, 9.67, 9.67, 9.67, 768
2022-01-26T05:00:00Z, 9.6803, 9.6803, 9.6803, 9.6803, 9.6803, 0
2022-01-25T05:00:00Z, 9.7, 9.7, 9.68, 9.6803, 9.6803, 3594
2022-01-24T05:00:00Z, 9.68, 9.68, 9.67, 9.67, 9.67, 135926
2022-01-21T05:00:00Z, 9.68, 9.69, 9.69, 9.69, 9.69, 785
2022-01-20T05:00:00Z, 9.71, 9.71, 9.7, 9.7, 9.7, 72698
2022-01-19T05:00:00Z, 9.73, 9.7105, 9.7105, 9.7105, 9.7105, 130
2022-01-18T05:00:00Z, 9.71, 9.71, 9.69, 9.7, 9.7, 103723
2022-01-14T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 0
2022-01-13T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 1405
2022-01-12T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 0
2022-01-11T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 200035
2022-01-10T05:00:00Z, 9.75, 9.75, 9.75, 9.75, 9.75, 0
2022-01-07T05:00:00Z, 9.71, 9.75, 9.71, 9.75, 9.75, 3537
2022-01-06T05:00:00Z, 9.74, 9.75, 9.71, 9.73, 9.73, 15335
2022-01-05T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 0
2022-01-04T05:00:00Z, 9.71, 9.71, 9.71, 9.71, 9.71, 0
2022-01-03T05:00:00Z, 9.7, 9.74, 9.69, 9.71, 9.71, 55400
2021-12-31T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 0
2021-12-30T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 0
2021-12-29T05:00:00Z, 9.72, 9.72, 9.705, 9.72, 9.72, 29405
2021-12-28T05:00:00Z, 9.71, 9.73, 9.71, 9.72, 9.72, 7324
2021-12-27T05:00:00Z, 9.72, 9.72, 9.72, 9.72, 9.72, 0
