Date, Open, High, Low, Close, Adj Close, Volume
2022-02-03T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 500
2022-02-07T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 0
2022-02-04T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 0
2022-02-03T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 500
2022-02-02T05:00:00Z, 9.83, 9.83, 9.83, 9.83, 9.83, 0
2022-02-01T05:00:00Z, 9.8, 9.85, 9.8, 9.83, 9.83, 1500
2022-01-31T05:00:00Z, 9.82, 9.82, 9.82, 9.82, 9.82, 0
2022-01-28T05:00:00Z, 9.82, 9.82, 9.82, 9.82, 9.82, 250
2022-01-27T05:00:00Z, 9.8, 9.8, 9.8, 9.8, 9.8, 300
2022-01-26T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 0
2022-01-25T05:00:00Z, 9.85, 9.85, 9.85, 9.85, 9.85, 1002
2022-01-24T05:00:00Z, 9.86, 9.86, 9.86, 9.86, 9.86, 0
2022-01-21T05:00:00Z, 9.86, 9.86, 9.86, 9.86, 9.86, 0
2022-01-20T05:00:00Z, 9.86, 9.86, 9.86, 9.86, 9.86, 0
2022-01-19T05:00:00Z, 9.86, 9.86, 9.86, 9.86, 9.86, 0
2022-01-18T05:00:00Z, 9.86, 9.86, 9.86, 9.86, 9.86, 200
2022-01-14T05:00:00Z, 9.9163, 9.9163, 9.9163, 9.9163, 9.9163, 0
2022-01-13T05:00:00Z, 9.9163, 9.9163, 9.9163, 9.9163, 9.9163, 0
2022-01-12T05:00:00Z, 9.9163, 9.9163, 9.9163, 9.9163, 9.9163, 0
2022-01-11T05:00:00Z, 9.9163, 9.9163, 9.9163, 9.9163, 9.9163, 1100
2022-01-10T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 0
2022-01-07T05:00:00Z, 9.9, 9.9, 9.8501, 9.87, 9.87, 1310
2022-01-06T05:00:00Z, 9.89, 9.89, 9.89, 9.89, 9.89, 200
2022-01-05T05:00:00Z, 9.91, 9.91, 9.91, 9.91, 9.91, 0
2022-01-04T05:00:00Z, 9.91, 9.91, 9.91, 9.91, 9.91, 0
2022-01-03T05:00:00Z, 10.005, 10.005, 9.91, 9.91, 9.91, 1460
2021-12-31T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-30T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-29T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-28T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-27T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-23T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-22T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-21T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
2021-12-20T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 0
