Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 18.58, 19.29, 18.24, 19.25, 19.25, 2294811
2022-02-07T05:00:00Z, 17.8, 19.015, 17.64, 18.79, 18.79, 2393985
2022-02-04T05:00:00Z, 16.9, 18.01, 16.58, 17.9, 17.9, 2130523
2022-02-03T05:00:00Z, 16.41, 17.23, 16.01, 16.74, 16.74, 1485597
2022-02-02T05:00:00Z, 16.81, 17.15, 16.15, 16.65, 16.65, 1146575
2022-02-01T05:00:00Z, 17.07, 17.29, 16.18, 17.07, 17.07, 3482832
2022-01-31T05:00:00Z, 15.58, 16.59, 15.285, 16.58, 16.58, 1349808
2022-01-28T05:00:00Z, 14.98, 15.37, 14.36, 15.33, 15.33, 2069111
2022-01-27T05:00:00Z, 15.72, 15.92, 15.01, 15.01, 15.01, 2053304
2022-01-26T05:00:00Z, 17.23, 17.4, 15.54, 15.67, 15.67, 4196101
2022-01-25T05:00:00Z, 16.51, 17.01, 16.12, 16.77, 16.77, 2394171
2022-01-24T05:00:00Z, 15.85, 17.135, 14.93, 17.06, 17.06, 3116625
2022-01-21T05:00:00Z, 17.03, 17.14, 16.22, 16.32, 16.32, 1764550
2022-01-20T05:00:00Z, 17.105, 18.16, 17, 17.06, 17.06, 1502840
2022-01-19T05:00:00Z, 18.1, 18.46, 16.84, 16.9, 16.9, 1767853
2022-01-18T05:00:00Z, 19.23, 19.32, 17.695, 17.83, 17.83, 2971087
2022-01-14T05:00:00Z, 20.06, 20.36, 18.55, 19.61, 19.61, 2528982
2022-01-13T05:00:00Z, 22.25, 22.65, 20.61, 20.63, 20.63, 1970680
2022-01-12T05:00:00Z, 23.5, 23.84, 22.49, 22.61, 22.61, 1911648
2022-01-11T05:00:00Z, 22.29, 23.79, 22.29, 23.59, 23.59, 1600000
2022-01-10T05:00:00Z, 23.075, 23.075, 21.29, 22.41, 22.41, 1694403
2022-01-07T05:00:00Z, 23.38, 23.51, 22.36, 23.26, 23.26, 1906739
2022-01-06T05:00:00Z, 24.27, 24.3, 23.235, 23.53, 23.53, 1529342
2022-01-05T05:00:00Z, 25.53, 25.89, 24.51, 24.53, 24.53, 883401
2022-01-04T05:00:00Z, 27.04, 27.5, 25.49, 25.67, 25.67, 1094154
2022-01-03T05:00:00Z, 26.91, 27.77, 26.45, 27.75, 27.75, 1163546
2021-12-31T05:00:00Z, 27.41, 28.05, 26.95, 27, 27, 675979
2021-12-30T05:00:00Z, 26.77, 27.65, 26.8289, 27.31, 27.31, 887332
2021-12-29T05:00:00Z, 26.48, 26.88, 26.16, 26.77, 26.77, 1043629
2021-12-28T05:00:00Z, 26.64, 27.14, 26.44, 26.67, 26.67, 2791376
2021-12-27T05:00:00Z, 27.39, 27.67, 26.74, 26.81, 26.81, 972947
2021-12-23T05:00:00Z, 27.15, 27.615, 26.71, 27.39, 27.39, 2304142
2021-12-22T05:00:00Z, 25.84, 27.1, 25.64, 27.06, 27.06, 2886811
2021-12-21T05:00:00Z, 24.35, 25.83, 24.32, 25.81, 25.81, 4503129
2021-12-20T05:00:00Z, 23.04, 24.585, 22.87, 24.22, 24.22, 5734834
2021-12-17T05:00:00Z, 21.93, 23.35, 21.43, 23.33, 23.33, 12568065
2021-12-16T05:00:00Z, 23.47, 23.75, 21.56, 22.11, 22.11, 4635142
2021-12-15T05:00:00Z, 22.38, 23.57, 21.915, 23.54, 23.54, 4436744
2021-12-14T05:00:00Z, 22.56, 23.25, 22.18, 22.55, 22.55, 2869064
2021-12-13T05:00:00Z, 22.8, 23.37, 22.45, 22.97, 22.97, 1636174
2021-12-10T05:00:00Z, 23.04, 23.25, 22.67, 22.86, 22.86, 1746135
2021-12-09T05:00:00Z, 23.5, 23.76, 22.85, 22.95, 22.95, 1405995
2021-12-08T05:00:00Z, 23.53, 23.9925, 23.22, 23.69, 23.69, 1564238
2021-12-07T05:00:00Z, 22.97, 23.805, 22.58, 23.41, 23.41, 1934666
2021-12-06T05:00:00Z, 22.16, 22.555, 21.57, 22.38, 22.38, 3041288
2021-12-03T05:00:00Z, 23.3, 23.45, 21.45, 21.62, 21.62, 4789860
2021-12-02T05:00:00Z, 22.59, 23.09, 22.51, 23.08, 23.08, 1734772
2021-12-01T05:00:00Z, 22.06, 23.03, 21.995, 22.5, 22.5, 4121914
2021-11-30T05:00:00Z, 21.28, 22.46, 21.28, 22, 22, 2785788
2021-11-29T05:00:00Z, 21.36, 21.92, 21.22, 21.43, 21.43, 1654961
2021-11-26T05:00:00Z, 21.98, 22.12, 21.495, 21.59, 21.59, 592954
2021-11-24T05:00:00Z, 21.92, 22.53, 21.5, 22.13, 22.13, 830434
