Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.79, 1.87, 1.71, 1.71, 1.71, 40198
2022-02-07T05:00:00Z, 1.86, 1.89, 1.75, 1.75, 1.75, 27516
2022-02-04T05:00:00Z, 1.88, 1.94, 1.8, 1.81, 1.81, 92682
2022-02-03T05:00:00Z, 1.75, 1.88, 1.75, 1.85, 1.85, 75371
2022-02-02T05:00:00Z, 1.78, 1.81, 1.7, 1.73, 1.73, 66420
2022-02-01T05:00:00Z, 1.74, 1.9, 1.62, 1.81, 1.81, 51550
2022-01-31T05:00:00Z, 1.57, 1.845, 1.52, 1.75, 1.75, 126828
2022-01-28T05:00:00Z, 1.54, 1.6, 1.44, 1.58, 1.58, 91576
2022-01-27T05:00:00Z, 1.53, 1.55, 1.45, 1.53, 1.53, 47801
2022-01-26T05:00:00Z, 1.61, 1.6588, 1.47, 1.48, 1.48, 76205
2022-01-25T05:00:00Z, 1.4, 1.6941, 1.35, 1.62, 1.62, 296651
2022-01-24T05:00:00Z, 1.49, 1.5, 1.33, 1.45, 1.45, 93796
2022-01-21T05:00:00Z, 1.54, 1.6, 1.38, 1.45, 1.45, 121625
2022-01-20T05:00:00Z, 1.45, 1.56, 1.37, 1.5, 1.5, 123268
2022-01-19T05:00:00Z, 1.52, 1.5499, 1.3876, 1.4, 1.4, 74016
2022-01-18T05:00:00Z, 1.47, 1.53, 1.41, 1.52, 1.52, 55399
2022-01-14T05:00:00Z, 1.58, 1.64, 1.45, 1.46, 1.46, 56428
2022-01-13T05:00:00Z, 1.62, 1.65, 1.57, 1.57, 1.57, 45032
2022-01-12T05:00:00Z, 1.73, 1.74, 1.58, 1.58, 1.58, 101697
2022-01-11T05:00:00Z, 1.6, 1.69, 1.59, 1.59, 1.59, 83089
2022-01-10T05:00:00Z, 1.56, 1.7361, 1.4946, 1.63, 1.63, 143172
2022-01-07T05:00:00Z, 1.62, 1.66, 1.48, 1.48, 1.48, 89029
2022-01-06T05:00:00Z, 1.62, 1.69, 1.5403, 1.65, 1.65, 77572
2022-01-05T05:00:00Z, 1.74, 1.8199, 1.62, 1.62, 1.62, 58375
2022-01-04T05:00:00Z, 1.77, 1.7893, 1.7, 1.76, 1.76, 24882
2022-01-03T05:00:00Z, 1.76, 1.82, 1.68, 1.73, 1.73, 191955
2021-12-31T05:00:00Z, 1.86, 1.87, 1.64, 1.64, 1.64, 289095
2021-12-30T05:00:00Z, 2.01, 2.07, 1.85, 1.85, 1.85, 215130
2021-12-29T05:00:00Z, 2.05, 2.15, 1.92, 2, 2, 132999
2021-12-28T05:00:00Z, 2.08, 2.13, 1.91, 1.91, 1.91, 170410
2021-12-27T05:00:00Z, 2.15, 2.21, 2, 2, 2, 164333
2021-12-23T05:00:00Z, 2.125, 2.29, 2.089, 2.21, 2.21, 192581
2021-12-22T05:00:00Z, 2.15, 2.19, 2.04, 2.06, 2.06, 67658
2021-12-21T05:00:00Z, 2.05, 2.19, 1.9, 2.18, 2.18, 105429
2021-12-20T05:00:00Z, 2.01, 2.1, 1.94, 1.94, 1.94, 92803
2021-12-17T05:00:00Z, 1.97, 2.2, 1.91, 2.09, 2.09, 150252
2021-12-16T05:00:00Z, 2, 2.24, 2, 2.02, 2.02, 89626
