Date, Open, High, Low, Close, Adj Close, Volume
2022-02-07T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 8274
2022-02-04T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2022-02-03T05:00:00Z, 9.93, 9.99, 9.93, 9.99, 9.99, 481
2022-02-02T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2022-02-01T05:00:00Z, 9.97, 9.99, 9.95, 9.99, 9.99, 9253
2022-01-31T05:00:00Z, 9.92, 9.92, 9.92, 9.92, 9.92, 2577
2022-01-28T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 193
2022-01-27T05:00:00Z, 9.9, 9.92, 9.92, 9.92, 9.92, 205
2022-01-26T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2022-01-25T05:00:00Z, 9.96, 9.96, 9.9, 9.9, 9.9, 7644
2022-01-24T05:00:00Z, 9.96, 9.97, 9.96, 9.96, 9.96, 56076
2022-01-21T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 6089
2022-01-20T05:00:00Z, 10, 10, 10, 10, 10, 0
2022-01-19T05:00:00Z, 9.98, 10, 9.98, 10, 10, 150798
2022-01-18T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-14T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-13T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-12T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-11T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-10T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2022-01-07T05:00:00Z, 10.02, 10.02, 10, 10.02, 10.02, 414
2022-01-06T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2022-01-05T05:00:00Z, 10, 9.98, 9.98, 9.98, 9.98, 215509
2022-01-04T05:00:00Z, 10, 10, 10, 10, 10, 3900
2022-01-03T05:00:00Z, 9.99, 10.005, 9.99, 10.005, 10.005, 28759
2021-12-31T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-30T05:00:00Z, 10, 10, 10, 10, 10, 171
2021-12-29T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-28T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-27T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-23T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 304
2021-12-22T05:00:00Z, 9.97, 9.98, 9.97, 9.98, 9.98, 1263
2021-12-21T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-20T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-17T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-16T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-15T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 11535
2021-12-14T05:00:00Z, 10, 9.99, 9.99, 9.99, 9.99, 354222
2021-12-13T05:00:00Z, 9.96, 10, 9.96, 10, 10, 6101
2021-12-10T05:00:00Z, 10, 9.96, 9.96, 9.96, 9.96, 518
2021-12-09T05:00:00Z, 10, 10, 10, 10, 10, 6668
2021-12-08T05:00:00Z, 9.96, 9.97, 9.96, 9.96, 9.96, 515
2021-12-07T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-06T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-03T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-02T05:00:00Z, 10, 10, 10, 10, 10, 0
