Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.85, 1.86, 1.795, 1.84, 1.84, 2488208
2022-02-07T05:00:00Z, 1.85, 1.92, 1.825, 1.87, 1.87, 1936560
2022-02-04T05:00:00Z, 1.785, 1.86, 1.76, 1.82, 1.82, 2691738
2022-02-03T05:00:00Z, 1.84, 1.9, 1.77, 1.78, 1.78, 3301138
2022-02-02T05:00:00Z, 2.01, 2.02, 1.87, 1.87, 1.87, 3348539
2022-02-01T05:00:00Z, 2.01, 2.05, 1.945, 2.02, 2.02, 3190266
2022-01-31T05:00:00Z, 1.92, 1.99, 1.89, 1.99, 1.99, 4332825
2022-01-28T05:00:00Z, 1.83, 1.92, 1.77, 1.91, 1.91, 4521529
2022-01-27T05:00:00Z, 2.02, 2.05, 1.81, 1.83, 1.83, 3094894
2022-01-26T05:00:00Z, 2.07, 2.15, 1.97, 1.97, 1.97, 2978759
2022-01-25T05:00:00Z, 1.98, 2.07, 1.94, 2.03, 2.03, 3263538
2022-01-24T05:00:00Z, 1.96, 2.07, 1.845, 2.07, 2.07, 5058642
2022-01-21T05:00:00Z, 2.05, 2.09, 1.99, 2, 2, 4371097
2022-01-20T05:00:00Z, 2.09, 2.2, 2.04, 2.04, 2.04, 3390542
2022-01-19T05:00:00Z, 2.11, 2.21, 2.08, 2.09, 2.09, 3267566
2022-01-18T05:00:00Z, 2.19, 2.2, 2.05, 2.05, 2.05, 3047915
2022-01-14T05:00:00Z, 2.14, 2.21, 2.035, 2.2, 2.2, 4391053
2022-01-13T05:00:00Z, 2.24, 2.31, 2.13, 2.13, 2.13, 3468899
2022-01-12T05:00:00Z, 2.3, 2.3281, 2.2, 2.21, 2.21, 2764048
2022-01-11T05:00:00Z, 2.28, 2.365, 2.2502, 2.29, 2.29, 1966851
2022-01-10T05:00:00Z, 2.17, 2.28, 2.155, 2.27, 2.27, 2338983
2022-01-07T05:00:00Z, 2.27, 2.3182, 2.19, 2.21, 2.21, 2399994
2022-01-06T05:00:00Z, 2.3, 2.32, 2.204, 2.26, 2.26, 2746186
2022-01-05T05:00:00Z, 2.36, 2.43, 2.24, 2.24, 2.24, 2809448
2022-01-04T05:00:00Z, 2.46, 2.485, 2.31, 2.36, 2.36, 2324697
2022-01-03T05:00:00Z, 2.31, 2.48, 2.28, 2.45, 2.45, 2483389
2021-12-31T05:00:00Z, 2.3, 2.35, 2.24, 2.26, 2.26, 3545016
2021-12-30T05:00:00Z, 2.27, 2.395, 2.2648, 2.29, 2.29, 2187094
2021-12-29T05:00:00Z, 2.3, 2.328, 2.215, 2.29, 2.29, 2286983
2021-12-28T05:00:00Z, 2.41, 2.47, 2.2, 2.28, 2.28, 6219296
2021-12-27T05:00:00Z, 2.5, 2.51, 2.39, 2.4, 2.4, 2480086
2021-12-23T05:00:00Z, 2.48, 2.57, 2.465, 2.53, 2.53, 1627885
2021-12-22T05:00:00Z, 2.53, 2.53, 2.43, 2.48, 2.48, 2088128
2021-12-21T05:00:00Z, 2.5, 2.54, 2.44, 2.49, 2.49, 3044154
2021-12-20T05:00:00Z, 2.42, 2.52, 2.35, 2.48, 2.48, 2793119
2021-12-17T05:00:00Z, 2.37, 2.57, 2.34, 2.45, 2.45, 16334478
2021-12-16T05:00:00Z, 2.45, 2.49, 2.3345, 2.37, 2.37, 3592266
2021-12-15T05:00:00Z, 2.39, 2.45, 2.22, 2.45, 2.45, 5896620
2021-12-14T05:00:00Z, 2.48, 2.53, 2.36, 2.38, 2.38, 5024347
2021-12-13T05:00:00Z, 2.49, 2.58, 2.43, 2.55, 2.55, 3518028
2021-12-10T05:00:00Z, 2.58, 2.63, 2.48, 2.5, 2.5, 2447039
2021-12-09T05:00:00Z, 2.66, 2.72, 2.55, 2.55, 2.55, 2327414
2021-12-08T05:00:00Z, 2.73, 2.731, 2.63, 2.7, 2.7, 2132029
2021-12-07T05:00:00Z, 2.61, 2.75, 2.61, 2.71, 2.71, 3256750
2021-12-06T05:00:00Z, 2.52, 2.59, 2.43, 2.54, 2.54, 2660494
2021-12-03T05:00:00Z, 2.67, 2.7, 2.51, 2.52, 2.52, 3483069
2021-12-02T05:00:00Z, 2.56, 2.685, 2.515, 2.67, 2.67, 3295523
2021-12-01T05:00:00Z, 2.7, 2.715, 2.56, 2.57, 2.57, 3304624
2021-11-30T05:00:00Z, 2.6, 2.74, 2.57, 2.71, 2.71, 3748156
2021-11-29T05:00:00Z, 2.72, 2.74, 2.61, 2.62, 2.62, 2572056
2021-11-26T05:00:00Z, 2.75, 2.765, 2.63, 2.67, 2.67, 2399920
2021-11-24T05:00:00Z, 2.72, 2.815, 2.68, 2.79, 2.79, 2183098
2021-11-23T05:00:00Z, 2.67, 2.78, 2.61, 2.75, 2.75, 2892471
2021-11-22T05:00:00Z, 2.78, 2.78, 2.65, 2.66, 2.66, 2612630
2021-11-19T05:00:00Z, 2.75, 2.81, 2.72, 2.78, 2.78, 1785598
2021-11-18T05:00:00Z, 2.81, 2.84, 2.7, 2.76, 2.76, 2632854
2021-11-17T05:00:00Z, 2.86, 2.9, 2.76, 2.8, 2.8, 2631460
2021-11-16T05:00:00Z, 2.84, 2.88, 2.8, 2.84, 2.84, 2594152
2021-11-15T05:00:00Z, 2.89, 2.92, 2.8426, 2.87, 2.87, 2591896
2021-11-12T05:00:00Z, 2.97, 2.99, 2.85, 2.87, 2.87, 2276300
2021-11-11T05:00:00Z, 2.87, 3.075, 2.845, 2.95, 2.95, 3425390
2021-11-10T05:00:00Z, 2.83, 2.915, 2.73, 2.77, 2.77, 2425988
2021-11-09T05:00:00Z, 2.88, 2.89, 2.77, 2.86, 2.86, 2089082
2021-11-08T05:00:00Z, 2.96, 2.96, 2.815, 2.87, 2.87, 2474356
2021-11-05T04:00:00Z, 3.05, 3.065, 2.87, 2.93, 2.93, 2718786
2021-11-04T04:00:00Z, 3.16, 3.3, 3.005, 3.04, 3.04, 2748537
2021-11-03T04:00:00Z, 3.23, 3.35, 3.18, 3.34, 3.34, 2355082
2021-11-02T04:00:00Z, 3.12, 3.25, 3.08, 3.24, 3.24, 2319275
2021-11-01T04:00:00Z, 2.91, 3.13, 2.88, 3.13, 3.13, 2921459
2021-10-29T04:00:00Z, 2.86, 2.97, 2.85, 2.87, 2.87, 1920910
2021-10-28T04:00:00Z, 2.72, 2.85, 2.7, 2.84, 2.84, 1815951
2021-10-27T04:00:00Z, 2.84, 2.85, 2.69, 2.69, 2.69, 2819539
2021-10-26T04:00:00Z, 2.89, 2.91, 2.81, 2.83, 2.83, 1498899
2021-10-25T04:00:00Z, 2.94, 2.946, 2.8, 2.86, 2.86, 1524081
2021-10-22T04:00:00Z, 2.86, 2.92, 2.8, 2.91, 2.91, 1783916
2021-10-21T04:00:00Z, 2.87, 3.01, 2.89, 2.9, 2.9, 1306634
2021-10-20T04:00:00Z, 2.89, 2.92, 2.85, 2.87, 2.87, 690630
2021-10-19T04:00:00Z, 2.83, 2.8899, 2.81, 2.85, 2.85, 1276168
2021-10-18T04:00:00Z, 2.85, 2.8665, 2.79, 2.81, 2.81, 1683582
2021-10-15T04:00:00Z, 2.92, 2.96, 2.84, 2.85, 2.85, 1703321
2021-10-14T04:00:00Z, 2.97, 2.985, 2.87, 2.92, 2.92, 1025972
2021-10-13T04:00:00Z, 2.95, 2.975, 2.87, 2.94, 2.94, 1083959
2021-10-12T04:00:00Z, 2.95, 2.97, 2.9, 2.95, 2.95, 1311785
2021-10-11T04:00:00Z, 2.8, 2.97, 2.77, 2.93, 2.93, 1248367
2021-10-08T04:00:00Z, 2.77, 2.85, 2.745, 2.81, 2.81, 1409875
2021-10-07T04:00:00Z, 2.77, 2.85, 2.759, 2.8, 2.8, 1174878
2021-10-06T04:00:00Z, 2.77, 2.84, 2.71, 2.75, 2.75, 1646638
2021-10-05T04:00:00Z, 2.88, 2.9, 2.7197, 2.79, 2.79, 2015596
2021-10-04T04:00:00Z, 2.83, 2.885, 2.73, 2.8, 2.8, 2273829
