Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 30.78, 31.085, 29.64, 30.15, 30.15, 199195
2022-02-07T05:00:00Z, 30.84, 31.52, 29.725, 31, 31, 225088
2022-02-04T05:00:00Z, 29.02, 31.15, 28.17, 30.85, 30.85, 392297
2022-02-03T05:00:00Z, 29.24, 29.81, 28.71, 28.81, 28.81, 248910
2022-02-02T05:00:00Z, 29.48, 31.27, 29.22, 30.12, 30.12, 355194
2022-02-01T05:00:00Z, 28.1, 29.83, 27.91, 29.78, 29.78, 292354
2022-01-31T05:00:00Z, 27.41, 28.85, 26.72, 28.49, 28.49, 282253
2022-01-28T05:00:00Z, 26.46, 27.39, 24.94, 27.3, 27.3, 252730
2022-01-27T05:00:00Z, 26.93, 27.88, 25.39, 25.68, 25.68, 352128
2022-01-26T05:00:00Z, 25.92, 28.19, 25.75, 26.65, 26.65, 305121
2022-01-25T05:00:00Z, 25.83, 26.5, 24.9519, 26.03, 26.03, 137830
2022-01-24T05:00:00Z, 24.94, 26.26, 24.45, 26.17, 26.17, 254253
2022-01-21T05:00:00Z, 25.71, 26.27, 25.28, 25.46, 25.46, 166992
2022-01-20T05:00:00Z, 26.87, 27.63, 25.68, 25.8, 25.8, 175299
2022-01-19T05:00:00Z, 27.23, 27.67, 26.06, 26.88, 26.88, 152784
2022-01-18T05:00:00Z, 26.55, 27.32, 26.43, 26.75, 26.75, 206485
2022-01-14T05:00:00Z, 25.66, 27.14, 25.21, 27.14, 27.14, 164247
2022-01-13T05:00:00Z, 25.8, 26.52, 25.1, 25.73, 25.73, 188410
2022-01-12T05:00:00Z, 26.74, 27.07, 25.82, 25.82, 25.82, 202578
2022-01-11T05:00:00Z, 25.81, 26.71, 25.56, 26.7, 26.7, 153623
2022-01-10T05:00:00Z, 25.78, 26.4098, 25.31, 25.85, 25.85, 308607
2022-01-07T05:00:00Z, 25.75, 26.74, 25.715, 26.14, 26.14, 286681
2022-01-06T05:00:00Z, 25, 25.91, 24.1, 25.86, 25.86, 278598
2022-01-05T05:00:00Z, 25.22, 25.69, 24.065, 24.31, 24.31, 584850
2022-01-04T05:00:00Z, 24.26, 24.635, 23.7501, 23.94, 23.94, 195797
2022-01-03T05:00:00Z, 23.21, 24.33, 23.17, 24.31, 24.31, 168876
2021-12-31T05:00:00Z, 23.83, 23.9849, 23.1101, 23.29, 23.29, 122817
2021-12-30T05:00:00Z, 23.76, 24.41, 23.48, 23.63, 23.63, 87747
2021-12-29T05:00:00Z, 23.72, 24, 23.2106, 23.56, 23.56, 121643
2021-12-28T05:00:00Z, 24, 24.45, 23.74, 23.8, 23.8, 103469
2021-12-27T05:00:00Z, 24.39, 24.61, 23.7, 23.93, 23.93, 117460
2021-12-23T05:00:00Z, 24.08, 24.975, 23.82, 24.62, 24.62, 105119
2021-12-22T05:00:00Z, 23.54, 24.163, 23.27, 23.83, 23.83, 116877
2021-12-21T05:00:00Z, 23.93, 24.11, 23.39, 23.75, 23.75, 155961
2021-12-20T05:00:00Z, 22.26, 24.195, 21.73, 23.95, 23.95, 280301
2021-12-17T05:00:00Z, 21.63, 23.79, 21.4748, 22.53, 22.53, 732229
2021-12-16T05:00:00Z, 22.26, 22.8, 21.6001, 21.81, 21.81, 167814
2021-12-15T05:00:00Z, 21.3, 21.95, 20.3, 21.9, 21.9, 316034
2021-12-14T05:00:00Z, 21.38, 21.67, 20.8, 21.19, 21.19, 202257
2021-12-13T05:00:00Z, 21.24, 21.82, 20.77, 21.6, 21.6, 148379
2021-12-10T05:00:00Z, 22.37, 22.5, 21.44, 21.53, 21.53, 145277
2021-12-09T05:00:00Z, 22.84, 23.38, 22.1, 22.14, 22.14, 142427
2021-12-08T05:00:00Z, 23.38, 23.82, 22.905, 23.16, 23.16, 125212
2021-12-07T05:00:00Z, 22.97, 23.945, 22.97, 23.38, 23.38, 173817
2021-12-06T05:00:00Z, 21.75, 22.82, 21.51, 22.62, 22.62, 94778
2021-12-03T05:00:00Z, 23.1, 23.585, 21.88, 22.04, 22.04, 191167
2021-12-02T05:00:00Z, 22.86, 23.77, 22.59, 23.55, 23.55, 172150
2021-12-01T05:00:00Z, 24.4, 24.8999, 22.94, 22.98, 22.98, 166675
2021-11-30T05:00:00Z, 22.6, 24.1, 22.6, 23.99, 23.99, 254616
2021-11-29T05:00:00Z, 24.06, 24.17, 22.69, 22.81, 22.81, 197834
2021-11-26T05:00:00Z, 24.99, 25.15, 23.62, 23.78, 23.78, 136050
2021-11-24T05:00:00Z, 24.63, 25.35, 24.14, 25.19, 25.19, 136868
2021-11-23T05:00:00Z, 24.42, 25.23, 23.5119, 25.06, 25.06, 271201
2021-11-22T05:00:00Z, 25.08, 25.08, 23.68, 24.4, 24.4, 165348
2021-11-19T05:00:00Z, 25, 25.395, 24.38, 24.76, 24.76, 121860
2021-11-18T05:00:00Z, 25.98, 26.183, 24.73, 24.98, 24.98, 209012
2021-11-17T05:00:00Z, 26.43, 26.66, 25.63, 25.84, 25.84, 165063
2021-11-16T05:00:00Z, 28.04, 28.495, 26.2, 26.43, 26.43, 223433
2021-11-15T05:00:00Z, 28.89, 29.18, 27.42, 27.75, 27.75, 207410
2021-11-12T05:00:00Z, 28.5, 29.03, 27.95, 28.95, 28.95, 143267
2021-11-11T05:00:00Z, 28.32, 28.665, 27.8351, 28.2, 28.2, 103959
2021-11-10T05:00:00Z, 29.62, 29.86, 28.28, 28.35, 28.35, 205619
2021-11-09T05:00:00Z, 29.43, 29.57, 28.725, 29.21, 29.21, 81666
2021-11-08T05:00:00Z, 30.45, 31.4, 29.6, 29.71, 29.71, 104550
2021-11-05T04:00:00Z, 29.83, 30.475, 29.4751, 30.39, 30.39, 164221
2021-11-04T04:00:00Z, 28.96, 29.98, 28.2, 29.51, 29.51, 252661
2021-11-03T04:00:00Z, 30.29, 31.3, 29.77, 31.29, 31.29, 214387
2021-11-02T04:00:00Z, 30.23, 30.68, 29.89, 30.22, 30.22, 129687
2021-11-01T04:00:00Z, 29.35, 30.55, 29.38, 30.47, 30.47, 158957
2021-10-29T04:00:00Z, 29.37, 29.72, 29.15, 29.22, 29.22, 63393
2021-10-28T04:00:00Z, 29, 29.13, 28.59, 29.09, 29.09, 132247
2021-10-27T04:00:00Z, 28.71, 28.8799, 28.18, 28.27, 28.27, 95727
2021-10-26T04:00:00Z, 28.99, 29.5, 28.67, 28.69, 28.69, 77340
2021-10-25T04:00:00Z, 29.12, 29.503, 28.69, 29.01, 29.01, 84391
2021-10-22T04:00:00Z, 29.14, 29.5, 28.8, 29.22, 29.22, 102990
2021-10-21T04:00:00Z, 29.68, 29.9, 29.17, 29.49, 29.49, 86632
2021-10-20T04:00:00Z, 29.88, 30.0281, 29.49, 29.53, 29.53, 96802
2021-10-19T04:00:00Z, 29.55, 30.27, 29.45, 29.8, 29.8, 74672
2021-10-18T04:00:00Z, 31.24, 31.39, 29.34, 29.58, 29.58, 167136
2021-10-15T04:00:00Z, 31.42, 31.65, 30.8, 31.24, 31.24, 131893
2021-10-14T04:00:00Z, 30.7, 31.155, 30.56, 31.07, 31.07, 142011
2021-10-13T04:00:00Z, 30.99, 31.1299, 29.915, 30.21, 30.21, 69128
2021-10-12T04:00:00Z, 30.67, 30.88, 30.06, 30.41, 30.41, 95563
2021-10-11T04:00:00Z, 30.34, 30.59, 30.0176, 30.24, 30.24, 71442
2021-10-08T04:00:00Z, 29.56, 30.4, 29.37, 30.29, 30.29, 104771
2021-10-07T04:00:00Z, 29.84, 30.06, 29.34, 29.56, 29.56, 106649
2021-10-06T04:00:00Z, 29.36, 29.7, 29, 29.31, 29.31, 101579
2021-10-05T04:00:00Z, 30.41, 30.6558, 29.48, 29.59, 29.59, 153449
2021-10-04T04:00:00Z, 30.66, 30.96, 30.25, 30.43, 30.43, 151601
2021-10-01T04:00:00Z, 30.29, 31.475, 30.25, 31.23, 31.23, 106521
2021-09-30T04:00:00Z, 30.31, 31.42, 30.0101, 31.2, 31.2, 131838
2021-09-29T04:00:00Z, 31.27, 31.51, 30.06, 30.17, 30.17, 212684
2021-09-28T04:00:00Z, 31.63, 31.95, 31.29, 31.5, 31.5, 121256
2021-09-27T04:00:00Z, 31.88, 32.46, 31.17, 31.95, 31.95, 117600
