Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.64, 3.77, 3.495, 3.76, 3.76, 2202096
2022-02-07T05:00:00Z, 3.56, 3.76, 3.53, 3.66, 3.66, 721453
2022-02-04T05:00:00Z, 3.41, 3.61, 3.38, 3.54, 3.54, 717471
2022-02-03T05:00:00Z, 3.53, 3.615, 3.41, 3.44, 3.44, 612471
2022-02-02T05:00:00Z, 3.64, 3.73, 3.45, 3.52, 3.52, 1180322
2022-02-01T05:00:00Z, 3.69, 3.88, 3.625, 3.72, 3.72, 956085
2022-01-31T05:00:00Z, 3.48, 3.67, 3.31, 3.67, 3.67, 703311
2022-01-28T05:00:00Z, 3.26, 3.43, 3.17, 3.43, 3.43, 757072
2022-01-27T05:00:00Z, 3.48, 3.54, 3.26, 3.26, 3.26, 1007709
2022-01-26T05:00:00Z, 3.51, 3.72, 3.38, 3.42, 3.42, 1096834
2022-01-25T05:00:00Z, 3.44, 3.655, 3.34, 3.51, 3.51, 1050869
2022-01-24T05:00:00Z, 3.15, 3.5, 3, 3.46, 3.46, 1721984
2022-01-21T05:00:00Z, 3.46, 3.52, 3.24, 3.25, 3.25, 914748
2022-01-20T05:00:00Z, 3.58, 3.72, 3.43, 3.47, 3.47, 811440
2022-01-19T05:00:00Z, 3.55, 3.7, 3.52, 3.54, 3.54, 941471
2022-01-18T05:00:00Z, 3.75, 3.76, 3.465, 3.49, 3.49, 1237638
2022-01-14T05:00:00Z, 3.6, 3.78, 3.55, 3.78, 3.78, 661868
2022-01-13T05:00:00Z, 3.775, 3.83, 3.35, 3.66, 3.66, 1126634
2022-01-12T05:00:00Z, 3.81, 3.879, 3.69, 3.73, 3.73, 776472
2022-01-11T05:00:00Z, 3.7, 3.96, 3.7, 3.81, 3.81, 1158041
2022-01-10T05:00:00Z, 3.81, 3.86, 3.6406, 3.84, 3.84, 899039
2022-01-07T05:00:00Z, 3.93, 4.09, 3.84, 3.85, 3.85, 619108
2022-01-06T05:00:00Z, 3.94, 4.05, 3.8, 3.94, 3.94, 1108082
2022-01-05T05:00:00Z, 4.18, 4.3, 3.9, 3.9, 3.9, 1312910
2022-01-04T05:00:00Z, 4.33, 4.4, 4.14, 4.24, 4.24, 843067
2022-01-03T05:00:00Z, 4.04, 4.29, 3.9303, 4.27, 4.27, 1007728
2021-12-31T05:00:00Z, 4.13, 4.18, 3.94, 4, 4, 1344216
2021-12-30T05:00:00Z, 4.01, 4.2269, 3.94, 4.06, 4.06, 1126982
2021-12-29T05:00:00Z, 4.1, 4.17, 3.95, 4.01, 4.01, 1174242
2021-12-28T05:00:00Z, 4.12, 4.47, 4.04, 4.06, 4.06, 1201060
2021-12-27T05:00:00Z, 4.16, 4.23, 3.98, 4.08, 4.08, 1880970
2021-12-23T05:00:00Z, 3.83, 4.22, 3.82, 4.17, 4.17, 2355275
2021-12-22T05:00:00Z, 3.46, 3.9292, 3.37, 3.84, 3.84, 6719590
2021-12-21T05:00:00Z, 3.98, 4.07, 3.4, 3.5, 3.5, 13094744
2021-12-20T05:00:00Z, 6.96, 7.26, 6.84, 7.13, 7.13, 1991654
2021-12-17T05:00:00Z, 6.85, 7.325, 6.69, 7.04, 7.04, 2956121
2021-12-16T05:00:00Z, 7.1, 7.135, 6.66, 6.77, 6.77, 825307
2021-12-15T05:00:00Z, 6.75, 7.15, 6.51, 7.1, 7.1, 1049005
2021-12-14T05:00:00Z, 6.9, 7.05, 6.7, 6.76, 6.76, 807147
2021-12-13T05:00:00Z, 6.89, 7.27, 6.7, 7.01, 7.01, 797943
2021-12-10T05:00:00Z, 7.15, 7.17, 6.89, 6.93, 6.93, 478870
2021-12-09T05:00:00Z, 7.25, 7.43, 7.03, 7.05, 7.05, 460426
2021-12-08T05:00:00Z, 7.4, 7.54, 7.26, 7.32, 7.32, 434262
2021-12-07T05:00:00Z, 6.88, 7.51, 6.7157, 7.33, 7.33, 1094083
2021-12-06T05:00:00Z, 6.8, 7.01, 6.57, 6.89, 6.89, 591495
2021-12-03T05:00:00Z, 7.29, 7.4, 6.8, 6.89, 6.89, 673242
2021-12-02T05:00:00Z, 7.42, 7.56, 7.13, 7.33, 7.33, 684542
2021-12-01T05:00:00Z, 7.98, 7.99, 7.35, 7.38, 7.38, 1079021
2021-11-30T05:00:00Z, 7.13, 7.79, 6.97, 7.67, 7.67, 920449
2021-11-29T05:00:00Z, 7.75, 7.8576, 7.1301, 7.16, 7.16, 1134559
2021-11-26T05:00:00Z, 7.98, 8.25, 7.32, 7.68, 7.68, 693111
2021-11-24T05:00:00Z, 7.77, 8, 7.66, 7.92, 7.92, 427902
2021-11-23T05:00:00Z, 7.96, 8.11, 7.71, 7.92, 7.92, 573593
2021-11-22T05:00:00Z, 7.95, 8.05, 7.72, 7.96, 7.96, 991800
2021-11-19T05:00:00Z, 8.18, 8.3, 7.84, 7.93, 7.93, 490364
2021-11-18T05:00:00Z, 8.31, 8.4, 7.95, 8.16, 8.16, 571408
2021-11-17T05:00:00Z, 8.6, 8.62, 8.23, 8.25, 8.25, 492569
2021-11-16T05:00:00Z, 8.52, 8.7, 8.47, 8.61, 8.61, 630848
2021-11-15T05:00:00Z, 8.84, 8.965, 8.62, 8.66, 8.66, 376171
2021-11-12T05:00:00Z, 9.02, 9.06, 8.74, 8.82, 8.82, 318181
2021-11-11T05:00:00Z, 9.09, 9.35, 8.84, 8.96, 8.96, 434666
2021-11-10T05:00:00Z, 9.145, 9.34, 8.93, 9.09, 9.09, 456370
2021-11-09T05:00:00Z, 9.1, 9.4, 8.965, 9.25, 9.25, 637872
2021-11-08T05:00:00Z, 8.95, 9.45, 8.91, 9.11, 9.11, 672944
2021-11-05T04:00:00Z, 9.15, 9.32, 8.833, 8.94, 8.94, 539431
2021-11-04T04:00:00Z, 9.64, 9.69, 9.15, 9.24, 9.24, 411835
2021-11-03T04:00:00Z, 8.83, 9.74, 8.6901, 9.63, 9.63, 1223622
2021-11-02T04:00:00Z, 9.26, 9.33, 8.22, 8.81, 8.81, 1739192
2021-11-01T04:00:00Z, 9.16, 9.44, 9.02, 9.24, 9.24, 751328
2021-10-29T04:00:00Z, 8.95, 9.19, 8.89, 9.1, 9.1, 609585
2021-10-28T04:00:00Z, 8.26, 9.09, 8.25, 9, 9, 853755
2021-10-27T04:00:00Z, 7.97, 8.4146, 7.91, 8.24, 8.24, 686804
2021-10-26T04:00:00Z, 8.02, 8.33, 7.96, 8.01, 8.01, 496097
2021-10-25T04:00:00Z, 7.98, 8.15, 7.88, 8.09, 8.09, 261447
2021-10-22T04:00:00Z, 8.05, 8.1, 7.84, 8.03, 8.03, 480081
2021-10-21T04:00:00Z, 8.15, 8.23, 8, 8.14, 8.14, 529096
2021-10-20T04:00:00Z, 8.37, 8.46, 8.08, 8.14, 8.14, 468365
2021-10-19T04:00:00Z, 8.45, 8.66, 8.3, 8.41, 8.41, 470740
2021-10-18T04:00:00Z, 8.35, 8.46, 8.2, 8.38, 8.38, 592845
2021-10-15T04:00:00Z, 8.8, 8.86, 8.3, 8.34, 8.34, 622125
2021-10-14T04:00:00Z, 8.72, 8.81, 8.59, 8.71, 8.71, 366447
2021-10-13T04:00:00Z, 8.58, 8.67, 8.48, 8.62, 8.62, 395617
2021-10-12T04:00:00Z, 8.65, 8.67, 8.48, 8.6, 8.6, 203573
2021-10-11T04:00:00Z, 8.38, 8.75, 8.36, 8.56, 8.56, 333007
2021-10-08T04:00:00Z, 8.63, 8.68, 8.27, 8.44, 8.44, 361520
2021-10-07T04:00:00Z, 8.28, 8.72, 8.21, 8.7, 8.7, 400604
2021-10-06T04:00:00Z, 8.81, 9.0711, 8.28, 8.33, 8.33, 621234
2021-10-05T04:00:00Z, 8.77, 9.4, 8.76, 8.97, 8.97, 855137
