Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 27.7, 28.88, 27.56, 28.58, 28.58, 670327
2022-02-07T05:00:00Z, 27.8, 28.54, 27.24, 27.79, 27.79, 643331
2022-02-04T05:00:00Z, 27.37, 28.1325, 27.04, 27.8, 27.8, 690056
2022-02-03T05:00:00Z, 28.35, 28.83, 27.125, 27.57, 27.57, 619184
2022-02-02T05:00:00Z, 29.06, 29.98, 28.34, 28.63, 28.63, 768092
2022-02-01T05:00:00Z, 29.35, 29.25, 27.67, 28.69, 28.69, 1122505
2022-01-31T05:00:00Z, 26.89, 28.51, 26.57, 28.38, 28.38, 1175887
2022-01-28T05:00:00Z, 25.39, 26.34, 24.94, 26.33, 26.33, 1099317
2022-01-27T05:00:00Z, 27.1, 27.705, 25.23, 25.61, 25.61, 873239
2022-01-26T05:00:00Z, 27.08, 27.825, 26.28, 26.6, 26.6, 900481
2022-01-25T05:00:00Z, 26.54, 26.73, 25.38, 26.06, 26.06, 743257
2022-01-24T05:00:00Z, 26.07, 27.42, 24.94, 27.41, 27.41, 778552
2022-01-21T05:00:00Z, 26.6, 27.815, 26.5, 26.59, 26.59, 939475
2022-01-20T05:00:00Z, 27.86, 28.21, 26.92, 26.99, 26.99, 717887
2022-01-19T05:00:00Z, 29, 29.45, 27.75, 27.86, 27.86, 742518
2022-01-18T05:00:00Z, 30, 30.2046, 28.58, 28.66, 28.66, 666687
2022-01-14T05:00:00Z, 30.51, 31.3, 30.23, 30.76, 30.76, 572724
2022-01-13T05:00:00Z, 32.76, 33.08, 30.6, 30.81, 30.81, 863206
2022-01-12T05:00:00Z, 32.77, 33.08, 32.02, 32.13, 32.13, 824364
2022-01-11T05:00:00Z, 32.18, 32.74, 31.5, 32.46, 32.46, 674564
2022-01-10T05:00:00Z, 31.6, 32.3, 31.35, 32.23, 32.23, 833479
2022-01-07T05:00:00Z, 33.04, 33.29, 32.02, 32.17, 32.17, 862867
2022-01-06T05:00:00Z, 33.02, 33.7, 32.44, 32.97, 32.97, 602044
2022-01-05T05:00:00Z, 35, 35.37, 33.16, 33.21, 33.21, 1795579
2022-01-04T05:00:00Z, 36.41, 36.92, 34.05, 35.28, 35.28, 1715122
2022-01-03T05:00:00Z, 36.33, 37.29, 35.95, 36.41, 36.41, 543406
2021-12-31T05:00:00Z, 36.21, 36.71, 35.7793, 36.18, 36.18, 393077
2021-12-30T05:00:00Z, 35.84, 36.75, 35.6, 36.07, 36.07, 469629
2021-12-29T05:00:00Z, 35.51, 36.06, 34.851, 35.6, 35.6, 672844
2021-12-28T05:00:00Z, 36.1, 38.281, 35.45, 35.68, 35.68, 1407909
2021-12-27T05:00:00Z, 35, 36.08, 34.25, 35.72, 35.72, 975529
2021-12-23T05:00:00Z, 33.99, 34.88, 33.73, 34.49, 34.49, 421357
2021-12-22T05:00:00Z, 33.64, 33.98, 33.16, 33.84, 33.84, 526077
2021-12-21T05:00:00Z, 33.61, 34.09, 32.66, 33.83, 33.83, 694165
2021-12-20T05:00:00Z, 32.54, 33.36, 32.1004, 32.8, 32.8, 931308
2021-12-17T05:00:00Z, 32.58, 33.85, 32.1293, 33.12, 33.12, 1917085
2021-12-16T05:00:00Z, 35.29, 36.77, 32.03, 32.77, 32.77, 1311953
2021-12-15T05:00:00Z, 33.23, 34.916, 32.82, 34.7, 34.7, 1377614
2021-12-14T05:00:00Z, 33.04, 33.59, 32.17, 33.05, 33.05, 904154
2021-12-13T05:00:00Z, 34, 34.87, 33.58, 33.61, 33.61, 640872
2021-12-10T05:00:00Z, 34.34, 34.505, 33.32, 33.87, 33.87, 608121
2021-12-09T05:00:00Z, 34.69, 35.2999, 33.78, 33.81, 33.81, 455319
2021-12-08T05:00:00Z, 34.08, 35.3, 33.5538, 34.86, 34.86, 556175
2021-12-07T05:00:00Z, 32.98, 35, 32.72, 34.55, 34.55, 896522
2021-12-06T05:00:00Z, 31.95, 32.49, 31.03, 32.06, 32.06, 741539
2021-12-03T05:00:00Z, 32.61, 32.79, 31.61, 32.25, 32.25, 650944
2021-12-02T05:00:00Z, 31.39, 32.5, 31.15, 31.8, 31.8, 946590
2021-12-01T05:00:00Z, 31.86, 32.5267, 31.47, 31.51, 31.51, 1264388
2021-11-30T05:00:00Z, 31.68, 31.92, 30.44, 31.23, 31.23, 1148818
2021-11-29T05:00:00Z, 31.49, 32.02, 31.3, 31.82, 31.82, 550539
2021-11-26T05:00:00Z, 30.8, 31.32, 30.31, 30.93, 30.93, 280239
2021-11-24T05:00:00Z, 30.82, 31.63, 30.5, 31.6, 31.6, 303355
2021-11-23T05:00:00Z, 31.39, 31.83, 30.18, 31.1, 31.1, 764465
2021-11-22T05:00:00Z, 32.81, 33.06, 31.62, 31.65, 31.65, 466399
2021-11-19T05:00:00Z, 32.4, 33.07, 32.24, 32.82, 32.82, 293966
2021-11-18T05:00:00Z, 33.01, 33.435, 32.17, 32.47, 32.47, 959731
2021-11-17T05:00:00Z, 33.4, 33.57, 32.66, 32.89, 32.89, 333100
2021-11-16T05:00:00Z, 32.93, 33.605, 32.8613, 33.48, 33.48, 460956
2021-11-15T05:00:00Z, 33.17, 33.36, 32.89, 33.08, 33.08, 404074
2021-11-12T05:00:00Z, 32.73, 33.31, 32.7, 32.97, 32.97, 289890
2021-11-11T05:00:00Z, 32.46, 32.87, 32.02, 32.73, 32.73, 567540
2021-11-10T05:00:00Z, 32, 32.69, 31.78, 32.04, 32.04, 953312
2021-11-09T05:00:00Z, 32.83, 32.9, 31.91, 32.64, 32.64, 1029367
2021-11-08T05:00:00Z, 32.46, 33.0195, 32.18, 32.68, 32.68, 988838
2021-11-05T04:00:00Z, 32.24, 32.765, 31.76, 32.22, 32.22, 806848
2021-11-04T04:00:00Z, 31.91, 32.05, 31.38, 31.93, 31.93, 435451
2021-11-03T04:00:00Z, 31.19, 31.99, 30.76, 31.8, 31.8, 1062262
2021-11-02T04:00:00Z, 31.49, 31.53, 30.84, 31.38, 31.38, 1249121
2021-11-01T04:00:00Z, 31.34, 31.4, 30.01, 31.34, 31.34, 4460685
2021-10-29T04:00:00Z, 34, 34.515, 32.69, 33.36, 33.36, 1005021
2021-10-28T04:00:00Z, 33.26, 35.97, 32.49, 33.83, 33.83, 2036735
2021-10-27T04:00:00Z, 33.06, 33.45, 32.69, 32.7, 32.7, 646683
2021-10-26T04:00:00Z, 33.31, 33.59, 32.81, 33.08, 33.08, 327752
2021-10-25T04:00:00Z, 33.44, 33.6, 32.91, 33.1, 33.1, 399659
2021-10-22T04:00:00Z, 33.35, 33.61, 32.53, 33.13, 33.13, 374167
2021-10-21T04:00:00Z, 32.08, 33.4, 32.03, 33.33, 33.33, 391817
2021-10-20T04:00:00Z, 32.12, 32.22, 31.36, 32.13, 32.13, 365430
2021-10-19T04:00:00Z, 31.45, 32.45, 31.29, 32.13, 32.13, 661310
2021-10-18T04:00:00Z, 31.11, 31.35, 30.31, 31.29, 31.29, 702195
2021-10-15T04:00:00Z, 30.87, 31.57, 30.58, 31.35, 31.35, 406673
2021-10-14T04:00:00Z, 30.42, 30.81, 30.01, 30.71, 30.71, 324628
2021-10-13T04:00:00Z, 30, 30.25, 29.49, 29.66, 29.66, 284368
2021-10-12T04:00:00Z, 30.03, 30.37, 29.53, 29.69, 29.69, 400483
2021-10-11T04:00:00Z, 30.05, 30.425, 29.58, 29.67, 29.67, 534095
2021-10-08T04:00:00Z, 30.63, 30.97, 30.12, 30.29, 30.29, 176566
2021-10-07T04:00:00Z, 30.6, 31.28, 30.41, 30.79, 30.79, 304780
2021-10-06T04:00:00Z, 29.92, 30.435, 29.46, 30.04, 30.04, 511304
2021-10-05T04:00:00Z, 30.31, 30.89, 30.17, 30.22, 30.22, 459853
2021-10-04T04:00:00Z, 31.37, 31.51, 29.41, 30.22, 30.22, 490689
2021-10-01T04:00:00Z, 32.02, 32.2, 31.16, 31.51, 31.51, 410594
2021-09-30T04:00:00Z, 32.59, 32.89, 31.88, 31.96, 31.96, 378851
2021-09-29T04:00:00Z, 33.28, 33.23, 31.33, 31.79, 31.79, 800575
2021-09-28T04:00:00Z, 33.61, 33.95, 32.6, 33.02, 33.02, 575692
2021-09-27T04:00:00Z, 34.01, 34.66, 33.75, 34.51, 34.51, 275174
2021-09-24T04:00:00Z, 34.81, 35.1, 34.34, 34.44, 34.44, 264241
2021-09-23T04:00:00Z, 34.42, 35.05, 34.19, 34.97, 34.97, 280967
2021-09-22T04:00:00Z, 33.7, 34.51, 33.48, 34.42, 34.42, 423046
2021-09-21T04:00:00Z, 33.88, 33.88, 33.09, 33.58, 33.58, 429862
2021-09-20T04:00:00Z, 33.35, 33.9, 32.53, 33.36, 33.36, 950576
2021-09-17T04:00:00Z, 35.6, 35.74, 34.5, 34.55, 34.55, 3722206
2021-09-16T04:00:00Z, 36.04, 36.85, 35.4, 35.74, 35.74, 1067754
2021-09-15T04:00:00Z, 33.99, 36.58, 33.9, 36.46, 36.46, 1573951
2021-09-14T04:00:00Z, 33.12, 34.3984, 32.83, 33.98, 33.98, 1132957
2021-09-13T04:00:00Z, 31.21, 33.85, 31.185, 33.29, 33.29, 1866485
2021-09-10T04:00:00Z, 31.1, 31.79, 30.71, 30.72, 30.72, 543082
2021-09-09T04:00:00Z, 31.19, 31.25, 30.45, 30.64, 30.64, 662021
2021-09-08T04:00:00Z, 31.05, 31.31, 30.52, 31.21, 31.21, 464699
2021-09-07T04:00:00Z, 31.03, 31.96, 30.93, 31.19, 31.19, 617617
2021-09-03T04:00:00Z, 30.69, 31.48, 30.58, 31.05, 31.05, 665296
2021-09-02T04:00:00Z, 30.08, 30.77, 29.99, 30.69, 30.69, 491896
2021-09-01T04:00:00Z, 29.89, 30.65, 29.72, 30.16, 30.16, 622983
2021-08-31T04:00:00Z, 30.11, 30.4, 29.6712, 30.05, 30.05, 1168999
2021-08-30T04:00:00Z, 30.39, 30.87, 29.93, 30.53, 30.53, 852925
2021-08-27T04:00:00Z, 29.58, 30.46, 29.35, 30.41, 30.41, 459760
2021-08-26T04:00:00Z, 29.1, 29.55, 28.88, 29.14, 29.14, 200528
2021-08-25T04:00:00Z, 29, 29.475, 28.62, 29.11, 29.11, 473074
2021-08-24T04:00:00Z, 28.31, 28.955, 28.16, 28.4, 28.4, 183263
2021-08-23T04:00:00Z, 28.74, 28.75, 27.95, 28.3, 28.3, 363828
2021-08-20T04:00:00Z, 28.1, 28.94, 27.93, 28.25, 28.25, 377049
2021-08-19T04:00:00Z, 27.43, 28.13, 27.28, 27.88, 27.88, 262065
2021-08-18T04:00:00Z, 27.91, 28.2799, 27.598, 27.83, 27.83, 354344
2021-08-17T04:00:00Z, 28.38, 28.91, 27.68, 28.14, 28.14, 221058
2021-08-16T04:00:00Z, 29.65, 30.06, 28.61, 29.13, 29.13, 582244
2021-08-13T04:00:00Z, 29.08, 29.605, 28.84, 29.59, 29.59, 263705
2021-08-12T04:00:00Z, 28.61, 29.25, 28.3, 29.16, 29.16, 404116
2021-08-11T04:00:00Z, 29.18, 29.48, 28.68, 28.92, 28.92, 247592
2021-08-10T04:00:00Z, 28.77, 29.29, 28.4, 29.23, 29.23, 274292
2021-08-09T04:00:00Z, 28.64, 29.05, 28.12, 28.72, 28.72, 328994
2021-08-06T04:00:00Z, 28.66, 29.12, 28.44, 28.53, 28.53, 280227
2021-08-05T04:00:00Z, 28.46, 28.96, 28.23, 28.89, 28.89, 347351
2021-08-04T04:00:00Z, 28.16, 28.63, 28.02, 28.52, 28.52, 372466
2021-08-03T04:00:00Z, 27.7, 28.24, 27.25, 28.22, 28.22, 407747
2021-08-02T04:00:00Z, 27.58, 28.24, 27.5, 27.73, 27.73, 577594
2021-07-30T04:00:00Z, 26.97, 27.46, 26.18, 27.41, 27.41, 856314
2021-07-29T04:00:00Z, 26.44, 27.58, 25.51, 27.12, 27.12, 1105790
2021-07-28T04:00:00Z, 25.13, 25.49, 24.79, 25.28, 25.28, 800111
2021-07-27T04:00:00Z, 25.69, 25.75, 24.44, 24.93, 24.93, 381675
2021-07-26T04:00:00Z, 26.15, 26.35, 25.71, 25.86, 25.86, 292577
2021-07-23T04:00:00Z, 25.8, 26.225, 25.44, 26.17, 26.17, 347065
2021-07-22T04:00:00Z, 26.42, 26.55, 25.77, 25.88, 25.88, 264198
2021-07-21T04:00:00Z, 26.14, 26.76, 25.87, 26.66, 26.66, 401545
2021-07-20T04:00:00Z, 25.49, 26.25, 25.14, 26.01, 26.01, 365900
2021-07-19T04:00:00Z, 24.76, 25.49, 24.285, 25.48, 25.48, 558941
2021-07-16T04:00:00Z, 26.01, 26.19, 25.1, 25.23, 25.23, 352912
2021-07-15T04:00:00Z, 26.11, 26.65, 25.62, 26.03, 26.03, 183490
2021-07-14T04:00:00Z, 27.5, 27.96, 26.67, 26.77, 26.77, 274413
2021-07-13T04:00:00Z, 27.82, 27.9804, 27.05, 27.3, 27.3, 275513
2021-07-12T04:00:00Z, 27.49, 28.0385, 27.41, 27.97, 27.97, 343416
2021-07-09T04:00:00Z, 27.22, 27.64, 26.98, 27.53, 27.53, 365278
2021-07-08T04:00:00Z, 26.8, 27.14, 26.24, 27.09, 27.09, 364656
2021-07-07T04:00:00Z, 28.29, 28.395, 27.41, 27.66, 27.66, 624981
2021-07-06T04:00:00Z, 27.7, 28.83, 27.5, 28.24, 28.24, 1133060
2021-07-02T04:00:00Z, 27.42, 27.7, 27.33, 27.64, 27.64, 322207
2021-07-01T04:00:00Z, 27.59, 27.73, 27.07, 27.37, 27.37, 563529
2021-06-30T04:00:00Z, 27.77, 28, 27.46, 27.7, 27.7, 363613
2021-06-29T04:00:00Z, 27.7, 27.99, 27.59, 27.75, 27.75, 229782
2021-06-28T04:00:00Z, 27.6, 27.79, 27.28, 27.71, 27.71, 354070
2021-06-25T04:00:00Z, 27.33, 27.66, 27.14, 27.32, 27.32, 1195801
2021-06-24T04:00:00Z, 26.95, 27.46, 26.77, 27.42, 27.42, 246237
2021-06-23T04:00:00Z, 26.72, 26.88, 26.46, 26.61, 26.61, 248878
2021-06-22T04:00:00Z, 26.55, 27, 26.25, 26.54, 26.54, 412600
2021-06-21T04:00:00Z, 26.4, 26.88, 26.18, 26.55, 26.55, 618665
2021-06-18T04:00:00Z, 26.96, 26.97, 25.81, 26.54, 26.54, 703235
2021-06-17T04:00:00Z, 27.18, 27.74, 26.96, 27.18, 27.18, 728203
2021-06-16T04:00:00Z, 27.4, 27.7225, 27.05, 27.27, 27.27, 595202
2021-06-15T04:00:00Z, 27.85, 28.27, 27.185, 27.25, 27.25, 508995
2021-06-14T04:00:00Z, 27.5, 28.19, 27.34, 27.86, 27.86, 505931
2021-06-11T04:00:00Z, 27.37, 27.5, 27.1, 27.47, 27.47, 275509
2021-06-10T04:00:00Z, 27.37, 27.47, 27.04, 27.4, 27.4, 364450
2021-06-09T04:00:00Z, 27.4, 27.48, 27.085, 27.29, 27.29, 467299
2021-06-08T04:00:00Z, 27.08, 27.5, 27.05, 27.36, 27.36, 598199
2021-06-07T04:00:00Z, 26.79, 27.02, 26.43, 26.84, 26.84, 900289
2021-06-04T04:00:00Z, 26.5, 26.98, 26.22, 26.93, 26.93, 391541
2021-06-03T04:00:00Z, 26.48, 27, 26.08, 26.28, 26.28, 483425
2021-06-02T04:00:00Z, 26.18, 26.65, 25.76, 26.65, 26.65, 803662
2021-06-01T04:00:00Z, 26.31, 26.44, 25.42, 26.22, 26.22, 519969
2021-05-28T04:00:00Z, 26.78, 26.97, 26.18, 26.21, 26.21, 513977
2021-05-27T04:00:00Z, 25.96, 26.94, 25.26, 26.71, 26.71, 1504901
2021-05-26T04:00:00Z, 25.47, 26.31, 24.71, 26.01, 26.01, 914084
2021-05-25T04:00:00Z, 25.14, 25.865, 24.97, 25.58, 25.58, 778177
2021-05-24T04:00:00Z, 24.18, 25.03, 23.99, 24.9, 24.9, 714264
2021-05-21T04:00:00Z, 24.71, 24.955, 23.78, 24.02, 24.02, 900934
2021-05-20T04:00:00Z, 24.08, 24.69, 23.89, 24.59, 24.59, 1414824
2021-05-19T04:00:00Z, 23.08, 24.24, 23.08, 23.99, 23.99, 490291
2021-05-18T04:00:00Z, 23.88, 24.46, 23.63, 23.68, 23.68, 623054
2021-05-17T04:00:00Z, 23.55, 23.95, 23.27, 23.8, 23.8, 738211
2021-05-14T04:00:00Z, 23.16, 23.96, 23.08, 23.74, 23.74, 438251
2021-05-13T04:00:00Z, 23.38, 23.83, 22.05, 22.88, 22.88, 789471
2021-05-12T04:00:00Z, 23.96, 24.42, 22.71, 22.81, 22.81, 709881
2021-05-11T04:00:00Z, 23.04, 24.68, 22.54, 24.45, 24.45, 776014
2021-05-10T04:00:00Z, 24.34, 24.66, 23.795, 23.94, 23.94, 696656
2021-05-07T04:00:00Z, 24.82, 25.25, 24.46, 24.79, 24.79, 459056
2021-05-06T04:00:00Z, 25.44, 26, 24.63, 24.82, 24.82, 399183
