Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.91, 11.15, 10.48, 10.8, 10.8, 934387
2022-02-07T05:00:00Z, 11.06, 11.44, 10.97, 11.23, 11.23, 916837
2022-02-04T05:00:00Z, 10.67, 11.17, 10.565, 11.02, 11.02, 1127782
2022-02-03T05:00:00Z, 11, 11.17, 10.5765, 10.6, 10.6, 1100312
2022-02-02T05:00:00Z, 11.74, 11.86, 11, 11.11, 11.11, 931871
2022-02-01T05:00:00Z, 11.57, 12.08, 11.14, 11.88, 11.88, 947098
2022-01-31T05:00:00Z, 10.68, 11.5, 10.57, 11.45, 11.45, 1287347
2022-01-28T05:00:00Z, 10.62, 10.76, 9.97, 10.62, 10.62, 1975219
2022-01-27T05:00:00Z, 11.6, 11.78, 10.37, 10.5, 10.5, 2106769
2022-01-26T05:00:00Z, 11.57, 12.14, 11.13, 11.22, 11.22, 1209350
2022-01-25T05:00:00Z, 11.25, 11.51, 10.79, 11.36, 11.36, 2272732
2022-01-24T05:00:00Z, 11.12, 11.48, 10.465, 11.34, 11.34, 2484601
2022-01-21T05:00:00Z, 11.44, 11.87, 11.36, 11.36, 11.36, 1754295
2022-01-20T05:00:00Z, 12.06, 12.2502, 11.52, 11.58, 11.58, 1491735
2022-01-19T05:00:00Z, 12.04, 12.34, 11.64, 11.68, 11.68, 2179179
2022-01-18T05:00:00Z, 12.81, 13.03, 11.77, 11.775, 11.775, 2499459
2022-01-14T05:00:00Z, 11.96, 13.34, 11.74, 13.28, 13.28, 3131102
2022-01-13T05:00:00Z, 12.29, 12.35, 11.78, 11.96, 11.96, 1543143
2022-01-12T05:00:00Z, 13.01, 13.06, 12.29, 12.33, 12.33, 2455916
2022-01-11T05:00:00Z, 12.41, 13.155, 12.24, 12.9, 12.9, 2554527
2022-01-10T05:00:00Z, 13.82, 13.87, 11.54, 12.2, 12.2, 6038111
2022-01-07T05:00:00Z, 13.66, 14.02, 13.37, 13.46, 13.46, 708434
2022-01-06T05:00:00Z, 13.83, 14.07, 13.4, 13.61, 13.61, 770956
2022-01-05T05:00:00Z, 14.75, 14.85, 13.72, 13.75, 13.75, 925351
2022-01-04T05:00:00Z, 15.25, 15.39, 14.1, 14.49, 14.49, 1168216
