Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.49, 9, 7.8, 8.14, 8.14, 71654
2022-02-07T05:00:00Z, 8.86, 8.88, 8.2983, 8.42, 8.42, 20190
2022-02-04T05:00:00Z, 9, 9.04, 8.422, 8.9, 8.9, 17794
2022-02-03T05:00:00Z, 9.4, 9.2186, 8.5759, 8.7825, 8.7825, 13564
2022-02-02T05:00:00Z, 9.53, 9.67, 9.0139, 9.3, 9.3, 26237
2022-02-01T05:00:00Z, 8.3, 8.895, 8.21, 8.82, 8.82, 35273
2022-01-31T05:00:00Z, 7.94, 8.45, 7.8484, 8.17, 8.17, 34670
2022-01-28T05:00:00Z, 7.17, 7.8, 7.15, 7.8, 7.8, 29763
2022-01-27T05:00:00Z, 7.54, 7.549, 7, 7.28, 7.28, 25222
2022-01-26T05:00:00Z, 7.21, 7.7119, 7.21, 7.4, 7.4, 23898
2022-01-25T05:00:00Z, 7.45, 7.5, 7.01, 7.24, 7.24, 31356
2022-01-24T05:00:00Z, 7.91, 7.91, 6.7578, 7.17, 7.17, 56510
2022-01-21T05:00:00Z, 7.91, 8.15, 7.5472, 7.97, 7.97, 32960
2022-01-20T05:00:00Z, 8, 8.4, 7.68, 8.23, 8.23, 34168
2022-01-19T05:00:00Z, 8.08, 8.415, 8, 8.15, 8.15, 31104
2022-01-18T05:00:00Z, 8.8, 8.89, 7.13, 8.19, 8.19, 131893
2022-01-14T05:00:00Z, 8.5, 9.04, 8.5, 8.99, 8.99, 26018
2022-01-13T05:00:00Z, 9.35, 9.35, 8.16, 8.75, 8.75, 56850
2022-01-12T05:00:00Z, 9.75, 9.89, 9.22, 9.345, 9.345, 46011
2022-01-11T05:00:00Z, 10.3, 10.3, 9.2, 9.9, 9.9, 46595
2022-01-10T05:00:00Z, 10.69, 10.7, 9.704, 10.3, 10.3, 48043
2022-01-07T05:00:00Z, 10.29, 10.94, 10.01, 10.75, 10.75, 40544
2022-01-06T05:00:00Z, 10.39, 10.6, 10, 10.5, 10.5, 12739
2022-01-05T05:00:00Z, 10.9, 11, 10.32, 10.38, 10.38, 26447
2022-01-04T05:00:00Z, 10.6, 11.1588, 10.3, 10.685, 10.685, 30903
2022-01-03T05:00:00Z, 11.21, 12.8576, 10.5, 10.5981, 10.5981, 51555
2021-12-31T05:00:00Z, 11, 11, 10.025, 10.3745, 10.3745, 11600
2021-12-30T05:00:00Z, 9.1, 10.5871, 8.5765, 10.48, 10.48, 65032
2021-12-29T05:00:00Z, 9.68, 9.8378, 9.01, 9.1, 9.1, 58453
2021-12-28T05:00:00Z, 10.97, 11.2504, 9.5, 9.68, 9.68, 76257
2021-12-27T05:00:00Z, 12.3, 12.5, 10.6275, 10.97, 10.97, 67378
2021-12-23T05:00:00Z, 12.58, 13.447, 11.8263, 11.9741, 11.9741, 54059
2021-12-22T05:00:00Z, 11.26, 14.95, 10.97, 12.625, 12.625, 186944
2021-12-21T05:00:00Z, 13.18, 18.2, 8.81, 10.5, 10.5, 102883
