Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.7, 7.7, 7.37, 7.49, 7.49, 34296
2022-02-07T05:00:00Z, 7.59, 7.72, 7.39, 7.62, 7.62, 47888
2022-02-04T05:00:00Z, 7.18, 7.65, 7.12, 7.59, 7.59, 50421
2022-02-03T05:00:00Z, 7.5, 7.565, 7.18, 7.27, 7.27, 48364
2022-02-02T05:00:00Z, 8.03, 8.07, 7.5, 7.53, 7.53, 46243
2022-02-01T05:00:00Z, 8.81, 8.8581, 8.07, 8.15, 8.15, 42719
2022-01-31T05:00:00Z, 8.25, 8.6, 8.01, 8.5, 8.5, 109283
2022-01-28T05:00:00Z, 7.65, 8.41, 7.55, 8.08, 8.08, 48700
2022-01-27T05:00:00Z, 8.54, 8.9496, 7.7, 7.79, 7.79, 93984
2022-01-26T05:00:00Z, 9.01, 9.2548, 8.3, 8.32, 8.32, 51541
2022-01-25T05:00:00Z, 8.97, 9.28, 8.35, 8.68, 8.68, 108515
2022-01-24T05:00:00Z, 8.19, 9.6, 8.05, 9.56, 9.56, 155415
2022-01-21T05:00:00Z, 8.81, 9.11, 8.3, 8.4, 8.4, 147344
2022-01-20T05:00:00Z, 8.83, 9.46, 8.3, 8.47, 8.47, 260517
2022-01-19T05:00:00Z, 9.29, 9.43, 8.77, 8.86, 8.86, 108019
2022-01-18T05:00:00Z, 10.06, 10.4699, 9.13, 9.29, 9.29, 53409
2022-01-14T05:00:00Z, 9.5, 10.56, 9.33, 10.41, 10.41, 125931
2022-01-13T05:00:00Z, 10.2, 10.37, 9.1, 9.56, 9.56, 137675
2022-01-12T05:00:00Z, 10.52, 10.73, 10.23, 10.32, 10.32, 42218
2022-01-11T05:00:00Z, 10.57, 10.82, 10.15, 10.5, 10.5, 294299
2022-01-10T05:00:00Z, 10.26, 10.66, 10.155, 10.54, 10.54, 114575
2022-01-07T05:00:00Z, 11.5, 11.5, 10.57, 10.73, 10.73, 147342
2022-01-06T05:00:00Z, 11.87, 12.23, 11.2, 11.41, 11.41, 82612
2022-01-05T05:00:00Z, 13.2, 13.32, 11.53, 11.58, 11.58, 57373
2022-01-04T05:00:00Z, 14.05, 14.15, 13.13, 13.3, 13.3, 101574
2022-01-03T05:00:00Z, 13.83, 14.17, 13.22, 13.89, 13.89, 107081
2021-12-31T05:00:00Z, 14.09, 14.4, 13.52, 13.85, 13.85, 95352
2021-12-30T05:00:00Z, 13.65, 14.1, 13.17, 13.88, 13.88, 52175
2021-12-29T05:00:00Z, 13.54, 13.77, 13.23, 13.24, 13.24, 44185
2021-12-28T05:00:00Z, 13.71, 14.18, 13.46, 13.64, 13.64, 111721
2021-12-27T05:00:00Z, 13.93, 14.12, 13.59, 13.76, 13.76, 79810
2021-12-23T05:00:00Z, 13.86, 14.09, 13.62, 13.75, 13.75, 215264
2021-12-22T05:00:00Z, 13.61, 14.04, 13.23, 13.72, 13.72, 209802
2021-12-21T05:00:00Z, 13.67, 14.2, 13.12, 13.95, 13.95, 555850
2021-12-20T05:00:00Z, 13.62, 13.8, 12.7214, 13.77, 13.77, 258757
2021-12-17T05:00:00Z, 12.96, 14.175, 12.49, 13.62, 13.62, 362247
2021-12-16T05:00:00Z, 13.27, 13.45, 12.01, 12.5, 12.5, 132160
2021-12-15T05:00:00Z, 11.84, 12.56, 11.79, 12.53, 12.53, 75125
2021-12-14T05:00:00Z, 12.84, 12.99, 11.65, 11.87, 11.87, 66634
2021-12-13T05:00:00Z, 12.87, 13.15, 12.1441, 12.99, 12.99, 90786
2021-12-10T05:00:00Z, 13, 13.2, 12.74, 12.78, 12.78, 84073
2021-12-09T05:00:00Z, 13.42, 13.57, 12.6888, 13.05, 13.05, 25104
