Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.285, 0.2871, 0.2421, 0.2499, 0.2499, 80945
2022-02-07T05:00:00Z, 0.2901, 0.3, 0.2398, 0.286, 0.286, 335613
2022-02-04T05:00:00Z, 0.3201, 0.3592, 0.3, 0.3489, 0.3489, 14434
2022-02-03T05:00:00Z, 0.3101, 0.3596, 0.3101, 0.3398, 0.3398, 2723
2022-02-02T05:00:00Z, 0.3199, 0.343, 0.31, 0.343, 0.343, 8134
2022-02-01T05:00:00Z, 0.32, 0.323299, 0.3, 0.32, 0.32, 53256
2022-01-31T05:00:00Z, 0.32, 0.34, 0.29, 0.29, 0.29, 68954
2022-01-28T05:00:00Z, 0.37, 0.35475, 0.32, 0.3299, 0.3299, 22875
2022-01-27T05:00:00Z, 0.35, 0.37, 0.2879, 0.3375, 0.3375, 177270
2022-01-26T05:00:00Z, 0.3453, 0.3688, 0.3452, 0.363, 0.363, 78128
2022-01-25T05:00:00Z, 0.39, 0.391, 0.3384, 0.3384, 0.3384, 283510
2022-01-24T05:00:00Z, 0.38, 0.4073, 0.36, 0.3896, 0.3896, 311591
2022-01-21T05:00:00Z, 0.375, 0.409799, 0.3597, 0.3953, 0.3953, 288535
2022-01-20T05:00:00Z, 0.38995, 0.404599, 0.3802, 0.389899, 0.389899, 125995
2022-01-19T05:00:00Z, 0.4095, 0.41, 0.3999, 0.40475, 0.40475, 72039
2022-01-18T05:00:00Z, 0.4115, 0.44, 0.3902, 0.41, 0.41, 113864
2022-01-14T05:00:00Z, 0.4801, 0.480988, 0.42, 0.4302, 0.4302, 102924
2022-01-13T05:00:00Z, 0.4851, 0.528, 0.46, 0.47, 0.47, 77702
2022-01-12T05:00:00Z, 0.52, 0.53, 0.47, 0.5099, 0.5099, 60586
2022-01-11T05:00:00Z, 0.505, 0.54, 0.4951, 0.52, 0.52, 15150
2022-01-10T05:00:00Z, 0.54, 0.5498, 0.5, 0.5, 0.5, 97577
2022-01-07T05:00:00Z, 0.545, 0.551226, 0.501, 0.5199, 0.5199, 148779
2022-01-06T05:00:00Z, 0.533, 0.57, 0.5311, 0.57, 0.57, 9072
2022-01-05T05:00:00Z, 0.562, 0.6388, 0.5313, 0.540551, 0.540551, 50074
2022-01-04T05:00:00Z, 0.57, 0.5899, 0.5556, 0.58, 0.58, 99672
2022-01-03T05:00:00Z, 0.57, 0.59, 0.56, 0.57, 0.57, 20021
2021-12-31T05:00:00Z, 0.58, 0.61, 0.57005, 0.57505, 0.57505, 92647
2021-12-30T05:00:00Z, 0.58, 0.6001, 0.57, 0.58, 0.58, 126202
2021-12-29T05:00:00Z, 0.53, 0.5989, 0.5252, 0.594, 0.594, 384850
2021-12-28T05:00:00Z, 0.5512, 0.5599, 0.5208, 0.5398, 0.5398, 276558
2021-12-27T05:00:00Z, 0.5701, 0.633342, 0.5508, 0.5595, 0.5595, 155217
2021-12-23T05:00:00Z, 0.5854, 0.636, 0.5825, 0.59, 0.59, 56413
2021-12-22T05:00:00Z, 0.63, 0.635, 0.5913, 0.5928, 0.5928, 144822
2021-12-21T05:00:00Z, 0.64005, 0.655, 0.6203, 0.6303, 0.6303, 88735
2021-12-20T05:00:00Z, 0.64, 0.672, 0.6401, 0.6575, 0.6575, 18636
2021-12-17T05:00:00Z, 0.6725, 0.7127, 0.6501, 0.685, 0.685, 32287
2021-12-16T05:00:00Z, 0.6901, 0.6901, 0.64, 0.6599, 0.6599, 89879
2021-12-15T05:00:00Z, 0.7101, 0.735, 0.68, 0.7349, 0.7349, 71239
2021-12-14T05:00:00Z, 0.74, 0.75, 0.7102, 0.75, 0.75, 15640
2021-12-13T05:00:00Z, 0.7278, 0.8358, 0.7278, 0.79, 0.79, 71647
2021-12-10T05:00:00Z, 0.7602, 0.78, 0.7401, 0.7651, 0.7651, 11750
2021-12-09T05:00:00Z, 0.75, 0.85, 0.75, 0.8301, 0.8301, 82537
2021-12-08T05:00:00Z, 0.71, 0.8, 0.6902, 0.78, 0.78, 312931
2021-12-07T05:00:00Z, 0.73, 0.75, 0.7, 0.75, 0.75, 117732
2021-12-06T05:00:00Z, 0.68, 0.7374, 0.68, 0.7374, 0.7374, 219502
2021-12-03T05:00:00Z, 0.7, 0.7262, 0.68, 0.6899, 0.6899, 32714
2021-12-02T05:00:00Z, 0.7245, 0.732301, 0.7001, 0.7001, 0.7001, 17010
2021-12-01T05:00:00Z, 0.7301, 0.7405, 0.73, 0.730501, 0.730501, 6897
2021-11-30T05:00:00Z, 0.7524, 0.7901, 0.73, 0.7437, 0.7437, 104209
2021-11-29T05:00:00Z, 0.768, 0.82, 0.7244, 0.8197, 0.8197, 27935
2021-11-26T05:00:00Z, 0.7775, 0.78, 0.7251, 0.78, 0.78, 190241
2021-11-24T05:00:00Z, 0.7604, 0.7994, 0.74, 0.779, 0.779, 26717
2021-11-23T05:00:00Z, 0.8, 0.815, 0.7521, 0.7599, 0.7599, 84707
2021-11-22T05:00:00Z, 0.79, 0.81, 0.7701, 0.794901, 0.794901, 60964
2021-11-19T05:00:00Z, 0.7952, 0.8863, 0.79, 0.82, 0.82, 58207
2021-11-18T05:00:00Z, 0.8402, 0.86, 0.77, 0.82, 0.82, 128550
2021-11-17T05:00:00Z, 0.83, 0.8999, 0.83, 0.8849, 0.8849, 54458
2021-11-16T05:00:00Z, 0.7802, 0.8699, 0.7802, 0.8699, 0.8699, 124920
2021-11-15T05:00:00Z, 0.7821, 0.82, 0.75, 0.78, 0.78, 86798
2021-11-12T05:00:00Z, 0.83, 0.86, 0.7701, 0.82, 0.82, 113238
2021-11-11T05:00:00Z, 0.7401, 0.8573, 0.730101, 0.8556, 0.8556, 69460
2021-11-10T05:00:00Z, 0.82, 0.84, 0.761001, 0.8, 0.8, 74733
2021-11-09T05:00:00Z, 0.81, 0.8514, 0.800201, 0.8499, 0.8499, 27481
2021-11-08T05:00:00Z, 0.8401, 0.874501, 0.8051, 0.8606, 0.8606, 88096
2021-11-05T04:00:00Z, 0.8023, 0.8989, 0.772, 0.89, 0.89, 45567
2021-11-04T04:00:00Z, 0.89, 0.91, 0.83, 0.845, 0.845, 65088
2021-11-03T04:00:00Z, 0.81, 0.8999, 0.8097, 0.895899, 0.895899, 172586
2021-11-02T04:00:00Z, 0.76, 0.8438, 0.7289, 0.83, 0.83, 196295
2021-11-01T04:00:00Z, 0.78, 0.8, 0.6801, 0.76, 0.76, 127871
2021-10-29T04:00:00Z, 0.77, 0.79, 0.73, 0.78, 0.78, 62851
2021-10-28T04:00:00Z, 0.77, 0.7797, 0.73, 0.77, 0.77, 74678
2021-10-27T04:00:00Z, 0.74, 0.77, 0.7251, 0.77, 0.77, 137910
2021-10-26T04:00:00Z, 0.67, 0.75, 0.66, 0.7, 0.7, 184780
2021-10-25T04:00:00Z, 0.6444, 0.66, 0.61, 0.6592, 0.6592, 48290
2021-10-22T04:00:00Z, 0.63, 0.65, 0.6011, 0.63, 0.63, 53459
2021-10-21T04:00:00Z, 0.6, 0.628551, 0.5855, 0.62, 0.62, 44095
2021-10-20T04:00:00Z, 0.61, 0.61, 0.583, 0.5975, 0.5975, 55139
2021-10-19T04:00:00Z, 0.59, 0.6097, 0.5811, 0.59, 0.59, 83450
2021-10-18T04:00:00Z, 0.6, 0.619599, 0.5802, 0.6103, 0.6103, 38284
2021-10-15T04:00:00Z, 0.6109, 0.6296, 0.6, 0.6259, 0.6259, 93257
2021-10-14T04:00:00Z, 0.62, 0.6392, 0.6003, 0.6348, 0.6348, 97914
2021-10-13T04:00:00Z, 0.6299, 0.6399, 0.6002, 0.619799, 0.619799, 105834
2021-10-12T04:00:00Z, 0.6058, 0.63, 0.605599, 0.6058, 0.6058, 6652
2021-10-11T04:00:00Z, 0.625, 0.63, 0.6013, 0.6014, 0.6014, 10589
2021-10-08T04:00:00Z, 0.6001, 0.645251, 0.6001, 0.63, 0.63, 42488
2021-10-07T04:00:00Z, 0.64, 0.655, 0.63, 0.6401, 0.6401, 23775
2021-10-06T04:00:00Z, 0.6, 0.64, 0.5901, 0.6381, 0.6381, 79738
2021-10-05T04:00:00Z, 0.61, 0.6132, 0.5811, 0.59, 0.59, 220229
2021-10-04T04:00:00Z, 0.69, 0.7, 0.62, 0.62, 0.62, 17557
2021-10-01T04:00:00Z, 0.68, 0.690001, 0.67, 0.69, 0.69, 63785
2021-09-30T04:00:00Z, 0.63, 0.6897, 0.6203, 0.68, 0.68, 55441
2021-09-29T04:00:00Z, 0.63, 0.69, 0.62, 0.68, 0.68, 48734
2021-09-28T04:00:00Z, 0.6598, 0.656, 0.62, 0.6498, 0.6498, 11690
2021-09-27T04:00:00Z, 0.5999, 0.65, 0.59, 0.6082, 0.6082, 32893
2021-09-24T04:00:00Z, 0.63, 0.6401, 0.63, 0.64, 0.64, 12173
2021-09-23T04:00:00Z, 0.65, 0.6501, 0.6159, 0.62, 0.62, 43306
2021-09-22T04:00:00Z, 0.64, 0.65, 0.608, 0.64, 0.64, 84928
2021-09-21T04:00:00Z, 0.5805, 0.609951, 0.575, 0.585, 0.585, 50237
2021-09-20T04:00:00Z, 0.6, 0.6, 0.5803, 0.5806, 0.5806, 44055
2021-09-17T04:00:00Z, 0.61, 0.6199, 0.600101, 0.6003, 0.6003, 14007
2021-09-16T04:00:00Z, 0.5902, 0.6196, 0.5902, 0.61, 0.61, 25850
2021-09-15T04:00:00Z, 0.591, 0.6098, 0.591, 0.609, 0.609, 13860
2021-09-14T04:00:00Z, 0.6099, 0.61, 0.5906, 0.5913, 0.5913, 10416
2021-09-13T04:00:00Z, 0.6, 0.6101, 0.5904, 0.5905, 0.5905, 24637
2021-09-10T04:00:00Z, 0.63, 0.63, 0.59, 0.6005, 0.6005, 39339
2021-09-09T04:00:00Z, 0.595, 0.6351, 0.59, 0.60995, 0.60995, 33507
2021-09-08T04:00:00Z, 0.62, 0.63, 0.59, 0.6102, 0.6102, 79701
2021-09-07T04:00:00Z, 0.62, 0.6599, 0.6, 0.61, 0.61, 91272
2021-09-03T04:00:00Z, 0.6, 0.658899, 0.5912, 0.63, 0.63, 36145
2021-09-02T04:00:00Z, 0.5889, 0.6489, 0.5889, 0.6, 0.6, 25760
2021-09-01T04:00:00Z, 0.5901, 0.6493, 0.5889, 0.61, 0.61, 87826
2021-08-31T04:00:00Z, 0.61, 0.65, 0.6, 0.61, 0.61, 32568
2021-08-30T04:00:00Z, 0.6, 0.68, 0.5601, 0.605, 0.605, 69932
2021-08-27T04:00:00Z, 0.67, 0.7, 0.6525, 0.655, 0.655, 84957
2021-08-26T04:00:00Z, 0.7005, 0.7799, 0.6805, 0.7001, 0.7001, 94623
2021-08-25T04:00:00Z, 0.68, 0.87, 0.6666, 0.75, 0.75, 426784
2021-08-24T04:00:00Z, 0.6999, 0.7, 0.661, 0.6816, 0.6816, 43816
2021-08-23T04:00:00Z, 0.685, 0.7105, 0.66, 0.69, 0.69, 26229
2021-08-20T04:00:00Z, 0.709, 0.7592, 0.685, 0.7099, 0.7099, 202208
2021-08-19T04:00:00Z, 0.76, 0.789, 0.75, 0.7596, 0.7596, 73005
2021-08-18T04:00:00Z, 0.77, 0.782, 0.75, 0.762501, 0.762501, 40043
2021-08-17T04:00:00Z, 0.7518, 0.78, 0.75, 0.7689, 0.7689, 124514
2021-08-16T04:00:00Z, 0.7788, 0.7955, 0.775, 0.78, 0.78, 24226
2021-08-13T04:00:00Z, 0.799, 0.799, 0.775, 0.7788, 0.7788, 78085
2021-08-12T04:00:00Z, 0.78, 0.785, 0.775, 0.7795, 0.7795, 27250
2021-08-11T04:00:00Z, 0.7815, 0.7963, 0.771, 0.7804, 0.7804, 19060
2021-08-10T04:00:00Z, 0.77, 0.8152, 0.77, 0.79, 0.79, 61646
2021-08-09T04:00:00Z, 0.7847, 0.7989, 0.78, 0.7837, 0.7837, 21007
2021-08-06T04:00:00Z, 0.785, 0.8088, 0.7848, 0.79, 0.79, 36669
2021-08-05T04:00:00Z, 0.77, 0.785, 0.765, 0.785, 0.785, 23300
2021-08-04T04:00:00Z, 0.761, 0.799, 0.7518, 0.79, 0.79, 130039
2021-08-03T04:00:00Z, 0.785, 0.81, 0.765, 0.771, 0.771, 27297
2021-08-02T04:00:00Z, 0.774, 0.81, 0.76, 0.78, 0.78, 89130
2021-07-30T04:00:00Z, 0.75, 0.8094, 0.75, 0.779, 0.779, 100774
2021-07-29T04:00:00Z, 0.77, 0.8, 0.77, 0.7733, 0.7733, 94364
2021-07-28T04:00:00Z, 0.78, 0.809, 0.751, 0.79, 0.79, 35579
2021-07-27T04:00:00Z, 0.8, 0.8, 0.755, 0.77, 0.77, 158283
2021-07-26T04:00:00Z, 0.7911, 0.8064, 0.77, 0.785551, 0.785551, 65564
2021-07-23T04:00:00Z, 0.801, 0.818899, 0.7801, 0.81, 0.81, 111673
2021-07-22T04:00:00Z, 0.79, 0.83, 0.7725, 0.8181, 0.8181, 138852
2021-07-21T04:00:00Z, 0.7912, 0.82, 0.79, 0.81, 0.81, 203476
2021-07-20T04:00:00Z, 0.7801, 0.8153, 0.7614, 0.7888, 0.7888, 424782
2021-07-19T04:00:00Z, 0.781, 0.8001, 0.7602, 0.785, 0.785, 87524
2021-07-16T04:00:00Z, 0.7901, 0.8, 0.7801, 0.8, 0.8, 126851
2021-07-15T04:00:00Z, 0.79, 0.819, 0.7799, 0.79, 0.79, 172888
2021-07-14T04:00:00Z, 0.8, 0.8389, 0.782, 0.836, 0.836, 94729
2021-07-13T04:00:00Z, 0.8272, 0.838, 0.7953, 0.8, 0.8, 55922
2021-07-12T04:00:00Z, 0.8109, 0.839851, 0.7925, 0.8072, 0.8072, 98946
2021-07-09T04:00:00Z, 0.83, 0.859, 0.810101, 0.85, 0.85, 120626
2021-07-08T04:00:00Z, 0.84, 0.86, 0.7767, 0.800101, 0.800101, 423803
2021-07-07T04:00:00Z, 0.83, 0.85, 0.810301, 0.825, 0.825, 53461
2021-07-06T04:00:00Z, 0.84, 0.9, 0.8201, 0.83, 0.83, 121515
2021-07-02T04:00:00Z, 0.85, 0.869999, 0.8101, 0.8201, 0.8201, 38468
2021-07-01T04:00:00Z, 0.8499, 0.8698, 0.83, 0.85, 0.85, 63222
2021-06-30T04:00:00Z, 0.81, 0.8491, 0.8, 0.8476, 0.8476, 47047
2021-06-29T04:00:00Z, 0.838, 0.8249, 0.7777, 0.8, 0.8, 77309
2021-06-28T04:00:00Z, 0.8, 0.9, 0.752, 0.7803, 0.7803, 276041
2021-06-25T04:00:00Z, 0.78, 0.797, 0.77, 0.77, 0.77, 45907
2021-06-24T04:00:00Z, 0.7602, 0.788907, 0.754, 0.765, 0.765, 39398
2021-06-23T04:00:00Z, 0.753, 0.79, 0.75, 0.752, 0.752, 48387
2021-06-22T04:00:00Z, 0.76, 0.766899, 0.75, 0.7512, 0.7512, 81737
2021-06-21T04:00:00Z, 0.78, 0.7801, 0.7515, 0.77, 0.77, 87956
2021-06-18T04:00:00Z, 0.7751, 0.792001, 0.7701, 0.789899, 0.789899, 55035
2021-06-17T04:00:00Z, 0.777, 0.81995, 0.768601, 0.8, 0.8, 93722
2021-06-16T04:00:00Z, 0.77, 0.794401, 0.7399, 0.7894, 0.7894, 121821
2021-06-15T04:00:00Z, 0.78, 0.78, 0.7513, 0.78, 0.78, 99332
2021-06-14T04:00:00Z, 0.79, 0.81, 0.78, 0.7946, 0.7946, 55890
2021-06-11T04:00:00Z, 0.79, 0.838999, 0.77, 0.7997, 0.7997, 78404
2021-06-10T04:00:00Z, 0.75, 0.785, 0.75, 0.7849, 0.7849, 77642
2021-06-09T04:00:00Z, 0.7489, 0.780199, 0.7489, 0.77, 0.77, 171754
2021-06-08T04:00:00Z, 0.68, 0.7498, 0.68, 0.74, 0.74, 128553
2021-06-07T04:00:00Z, 0.69, 0.6999, 0.6721, 0.6901, 0.6901, 80076
2021-06-04T04:00:00Z, 0.71, 0.71, 0.675, 0.704, 0.704, 136629
2021-06-03T04:00:00Z, 0.7297, 0.7297, 0.6749, 0.6988, 0.6988, 103552
2021-06-02T04:00:00Z, 0.6888, 0.71, 0.6712, 0.6988, 0.6988, 80214
2021-06-01T04:00:00Z, 0.7, 0.709799, 0.6723, 0.679899, 0.679899, 145296
2021-05-28T04:00:00Z, 0.71, 0.754318, 0.7, 0.7196, 0.7196, 107500
2021-05-27T04:00:00Z, 0.6833, 0.74, 0.6833, 0.73, 0.73, 84967
2021-05-26T04:00:00Z, 0.6804, 0.71, 0.6701, 0.7, 0.7, 135072
2021-05-25T04:00:00Z, 0.76, 0.7999, 0.69, 0.7103, 0.7103, 249505
2021-05-24T04:00:00Z, 0.68, 0.7799, 0.6501, 0.7601, 0.7601, 592332
2021-05-21T04:00:00Z, 0.86, 0.96, 0.8114, 0.8899, 0.8899, 243068
2021-05-20T04:00:00Z, 0.8201, 0.8899, 0.812, 0.8699, 0.8699, 63641
2021-05-19T04:00:00Z, 0.83, 0.8986, 0.81, 0.85, 0.85, 67238
2021-05-18T04:00:00Z, 0.8114, 0.899799, 0.8, 0.8245, 0.8245, 222995
2021-05-17T04:00:00Z, 0.8899, 0.89, 0.801, 0.81, 0.81, 159144
2021-05-14T04:00:00Z, 0.85, 0.89, 0.8498, 0.877899, 0.877899, 185655
2021-05-13T04:00:00Z, 0.9299, 0.94, 0.8108, 0.8111, 0.8111, 198861
2021-05-12T04:00:00Z, 0.98, 1.04, 0.9002, 0.9596, 0.9596, 59258
2021-05-11T04:00:00Z, 0.98, 0.99, 0.905, 0.959751, 0.959751, 328991
