Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.02, 14.2, 13.55, 13.85, 13.85, 704749
2022-02-07T05:00:00Z, 13.81, 14.5, 13.66, 14.1, 14.1, 581505
2022-02-04T05:00:00Z, 13.83, 13.88, 13.22, 13.68, 13.68, 423983
2022-02-03T05:00:00Z, 14.01, 14.67, 13.47, 13.65, 13.65, 800133
2022-02-02T05:00:00Z, 15.89, 16.45, 14.31, 14.38, 14.38, 793359
2022-02-01T05:00:00Z, 16.12, 16.57, 15.46, 16.31, 16.31, 825405
2022-01-31T05:00:00Z, 15.2, 16.04, 15.2, 16, 16, 534624
2022-01-28T05:00:00Z, 14.5, 15.23, 13.73, 15.2, 15.2, 621315
2022-01-27T05:00:00Z, 14.92, 15.13, 13.91, 14.36, 14.36, 898239
2022-01-26T05:00:00Z, 14.71, 16.09, 14.49, 14.67, 14.67, 1501902
2022-01-25T05:00:00Z, 15.59, 16.25, 15.16, 15.71, 15.71, 385212
2022-01-24T05:00:00Z, 15, 16.54, 14.565, 16.03, 16.03, 858556
2022-01-21T05:00:00Z, 16.07, 16.39, 15.24, 15.44, 15.44, 601189
2022-01-20T05:00:00Z, 16.93, 17.92, 15.93, 16.07, 16.07, 613784
2022-01-19T05:00:00Z, 16.9, 17.79, 16.66, 16.72, 16.72, 370722
2022-01-18T05:00:00Z, 18.39, 18.43, 16.61, 16.78, 16.78, 602465
2022-01-14T05:00:00Z, 18.33, 18.82, 17.05, 18.5, 18.5, 873274
2022-01-13T05:00:00Z, 19.05, 20.28, 18.36, 18.43, 18.43, 430864
2022-01-12T05:00:00Z, 20.21, 21.28, 18.83, 18.97, 18.97, 1210805
2022-01-11T05:00:00Z, 19.8, 22.08, 19.54, 20.52, 20.52, 581648
2022-01-10T05:00:00Z, 18.99, 19.92, 18.47, 19.74, 19.74, 656395
2022-01-07T05:00:00Z, 19.53, 20.12, 18.87, 19.19, 19.19, 385924
2022-01-06T05:00:00Z, 19.74, 20.495, 19.165, 19.57, 19.57, 219724
2022-01-05T05:00:00Z, 20.78, 21.57, 19.73, 19.99, 19.99, 289392
2022-01-04T05:00:00Z, 21.83, 22.05, 20.38, 20.82, 20.82, 249115
2022-01-03T05:00:00Z, 21.52, 22.4, 20.88, 22.06, 22.06, 211671
2021-12-31T05:00:00Z, 21.93, 22.5, 21.31, 21.49, 21.49, 299890
2021-12-30T05:00:00Z, 21.92, 23.2, 21.7, 21.93, 21.93, 267048
2021-12-29T05:00:00Z, 22.26, 22.57, 21.59, 21.93, 21.93, 183798
2021-12-28T05:00:00Z, 22.49, 23.3805, 22.16, 22.26, 22.26, 170941
2021-12-27T05:00:00Z, 23.1, 23.26, 21.88, 22.36, 22.36, 222335
2021-12-23T05:00:00Z, 22.02, 23.78, 21.45, 23.26, 23.26, 383428
2021-12-22T05:00:00Z, 21.81, 22.55, 20.31, 22.28, 22.28, 419424
2021-12-21T05:00:00Z, 22.82, 23.52, 22.29, 22.91, 22.91, 502652
2021-12-20T05:00:00Z, 22.99, 23.445, 21.62, 22.52, 22.52, 536356
2021-12-17T05:00:00Z, 22.62, 24.64, 22.36, 23.89, 23.89, 1815650
2021-12-16T05:00:00Z, 24.58, 24.83, 22.62, 22.87, 22.87, 316385
2021-12-15T05:00:00Z, 24, 25.19, 22.8566, 24.76, 24.76, 466928
2021-12-14T05:00:00Z, 22.85, 24.87, 22.41, 24, 24, 540045
2021-12-13T05:00:00Z, 30.29, 30.6699, 21.81, 23.56, 23.56, 2307170
2021-12-10T05:00:00Z, 30.58, 32.19, 30.12, 31.08, 31.08, 335526
2021-12-09T05:00:00Z, 32.77, 33.38, 30.47, 30.5, 30.5, 913795
2021-12-08T05:00:00Z, 32.7, 34.415, 32.0101, 33.1, 33.1, 1377231
2021-12-07T05:00:00Z, 32, 33.85, 30.27, 32.86, 32.86, 506039
2021-12-06T05:00:00Z, 29.02, 31.67, 28.0401, 31.56, 31.56, 283734
2021-12-03T05:00:00Z, 31.02, 31.22, 29.05, 29.35, 29.35, 442689
2021-12-02T05:00:00Z, 30.6, 31.78, 29.63, 31.01, 31.01, 1185498
2021-12-01T05:00:00Z, 33.13, 34.12, 30.64, 30.64, 30.64, 342939
2021-11-30T05:00:00Z, 33.22, 33.43, 31.59, 32.16, 32.16, 341893
2021-11-29T05:00:00Z, 34.05, 35.14, 33.02, 33.03, 33.03, 238421
2021-11-26T05:00:00Z, 36, 36.245, 32.65, 33.59, 33.59, 467806
2021-11-24T05:00:00Z, 36.57, 36.62, 34.98, 36.32, 36.32, 138398
2021-11-23T05:00:00Z, 36.91, 37.36, 35.31, 35.95, 35.95, 473423
2021-11-22T05:00:00Z, 38.57, 39.62, 36.45, 36.71, 36.71, 619090
2021-11-19T05:00:00Z, 41.07, 41.14, 37.19, 38.27, 38.27, 476412
2021-11-18T05:00:00Z, 42.24, 43.27, 40.39, 41.07, 41.07, 229890
2021-11-17T05:00:00Z, 44.85, 45.625, 42.61, 42.78, 42.78, 215625
2021-11-16T05:00:00Z, 45.5, 46.71, 43.53, 44.85, 44.85, 272650
2021-11-15T05:00:00Z, 45.31, 47.03, 44.263, 46.39, 46.39, 167063
2021-11-12T05:00:00Z, 43.95, 46.44, 43.01, 45.93, 45.93, 264180
2021-11-11T05:00:00Z, 42.65, 45.58, 42.37, 43.75, 43.75, 366367
2021-11-10T05:00:00Z, 41.22, 42.69, 40.9571, 42.21, 42.21, 925706
2021-11-09T05:00:00Z, 41.94, 42, 36.72, 40.93, 40.93, 1441325
2021-11-08T05:00:00Z, 51.06, 55.17, 51.01, 52.12, 52.12, 198174
2021-11-05T04:00:00Z, 54, 54, 48.58, 50.96, 50.96, 302044
2021-11-04T04:00:00Z, 61.37, 62.38, 46.46, 52.35, 52.35, 1056267
2021-11-03T04:00:00Z, 58.24, 62.315, 58.27, 61.93, 61.93, 190784
2021-11-02T04:00:00Z, 59.24, 59.17, 57.09, 58.85, 58.85, 111736
2021-11-01T04:00:00Z, 56.68, 59.31, 56.01, 58.39, 58.39, 113362
2021-10-29T04:00:00Z, 56.66, 58.255, 55.45, 56.04, 56.04, 135577
2021-10-28T04:00:00Z, 55.28, 57.89, 55.27, 57.79, 57.79, 73247
2021-10-27T04:00:00Z, 54.9, 55.85, 53.96, 55.28, 55.28, 99001
2021-10-26T04:00:00Z, 55.1, 56.6, 53.65, 54.9, 54.9, 158404
2021-10-25T04:00:00Z, 54.22, 55.4, 53.175, 54.96, 54.96, 164530
2021-10-22T04:00:00Z, 53.8, 54.42, 52.61, 54.05, 54.05, 97727
2021-10-21T04:00:00Z, 55.07, 56.0425, 53.55, 53.83, 53.83, 148407
2021-10-20T04:00:00Z, 53.75, 55.3, 53.34, 54.88, 54.88, 76065
2021-10-19T04:00:00Z, 55.32, 55.87, 53.775, 54.14, 54.14, 117549
2021-10-18T04:00:00Z, 58.81, 59.93, 53.49, 54.56, 54.56, 370835
2021-10-15T04:00:00Z, 60.64, 60.71, 58.58, 58.99, 58.99, 86981
2021-10-14T04:00:00Z, 60.18, 61.86, 59.04, 59.5, 59.5, 117213
2021-10-13T04:00:00Z, 60, 60.14, 58.78, 58.99, 58.99, 78821
2021-10-12T04:00:00Z, 61.49, 62.4033, 58.96, 59.55, 59.55, 107429
2021-10-11T04:00:00Z, 61.17, 62.0434, 60.08, 61.21, 61.21, 162185
2021-10-08T04:00:00Z, 64.09, 64.31, 60.79, 61.19, 61.19, 165574
2021-10-07T04:00:00Z, 69.83, 71.48, 62.35, 63.99, 63.99, 291539
2021-10-06T04:00:00Z, 73.79, 73.97, 67.04, 68.57, 68.57, 182933
2021-10-05T04:00:00Z, 72.37, 76.15, 71.59, 73.9, 73.9, 128034
2021-10-04T04:00:00Z, 72.58, 74.53, 70.4, 71.09, 71.09, 145679
2021-10-01T04:00:00Z, 73.71, 74.89, 70.81, 74.4, 74.4, 202037
2021-09-30T04:00:00Z, 75.03, 76.855, 73.405, 73.86, 73.86, 162823
2021-09-29T04:00:00Z, 74.08, 75.41, 72.46, 73.36, 73.36, 104687
2021-09-28T04:00:00Z, 75.8, 76.7, 74.49, 74.75, 74.75, 95878
2021-09-27T04:00:00Z, 75.92, 78.24, 73.46, 76.87, 76.87, 75371
2021-09-24T04:00:00Z, 78, 79.0043, 74.96, 74.98, 74.98, 75626
2021-09-23T04:00:00Z, 77.95, 78.93, 76.721, 78.78, 78.78, 66345
2021-09-22T04:00:00Z, 75.77, 78, 74.66, 77.37, 77.37, 94240
2021-09-21T04:00:00Z, 75.9, 76.29, 72.45, 76, 76, 110640
2021-09-20T04:00:00Z, 75.05, 76.66, 73.12, 74.28, 74.28, 357941
2021-09-17T04:00:00Z, 79.72, 81.19, 76.81, 77.81, 77.81, 878437
2021-09-16T04:00:00Z, 78, 80.99, 76.86, 80.91, 80.91, 100560
2021-09-15T04:00:00Z, 77.29, 79.31, 76.28, 78.19, 78.19, 150832
2021-09-14T04:00:00Z, 78, 79.335, 77.19, 78.06, 78.06, 126703
2021-09-13T04:00:00Z, 78.12, 79.17, 77.005, 78.12, 78.12, 130602
2021-09-10T04:00:00Z, 76.18, 78.9994, 75.84, 77.7, 77.7, 153987
