Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.08, 10.08, 10.0798, 10.08, 10.08, 57151
2022-02-07T05:00:00Z, 10.07, 10.09, 10.07, 10.07, 10.07, 14549
2022-02-04T05:00:00Z, 10.08, 10.08, 10.08, 10.08, 10.08, 0
2022-02-03T05:00:00Z, 10.05, 10.08, 10.05, 10.08, 10.08, 306
2022-02-02T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-02-01T05:00:00Z, 10.07, 10.06, 10.06, 10.06, 10.06, 61025
2022-01-31T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 0
2022-01-28T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 1182
2022-01-27T05:00:00Z, 10.07, 10.07, 10.04, 10.07, 10.07, 14646
2022-01-26T05:00:00Z, 10.07, 10.08, 10.07, 10.08, 10.08, 94552
2022-01-25T05:00:00Z, 10.0696, 10.0696, 10.0696, 10.0696, 10.0696, 0
2022-01-24T05:00:00Z, 10.09, 10.07, 10.0696, 10.0696, 10.0696, 11437
2022-01-21T05:00:00Z, 10.09, 10.09, 10.09, 10.09, 10.09, 0
2022-01-20T05:00:00Z, 10.07, 10.09, 10.0699, 10.09, 10.09, 92727
2022-01-19T05:00:00Z, 10.07, 10.07, 10.065, 10.07, 10.07, 8800
2022-01-18T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 5001
2022-01-14T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-01-13T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-01-12T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-01-11T05:00:00Z, 10.02, 10.06, 10.06, 10.06, 10.06, 962
2022-01-10T05:00:00Z, 10.0598, 10.0598, 10.0598, 10.0598, 10.0598, 0
2022-01-07T05:00:00Z, 10.06, 10.06, 10.0598, 10.0598, 10.0598, 17236
2022-01-06T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-01-05T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 100
2022-01-04T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 0
2022-01-03T05:00:00Z, 10.06, 10.06, 10.06, 10.06, 10.06, 3728
2021-12-31T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 0
2021-12-30T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 0
2021-12-29T05:00:00Z, 10.05, 10.08, 10.05, 10.05, 10.05, 2100
2021-12-28T05:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 0
2021-12-27T05:00:00Z, 10.03, 10.11, 10.03, 10.03, 10.03, 3243
2021-12-23T05:00:00Z, 10.05, 10.05, 10.05, 10.05, 10.05, 3425
2021-12-22T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 0
2021-12-21T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 0
2021-12-20T05:00:00Z, 10, 10.05, 10.04, 10.04, 10.04, 34616
2021-12-17T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 121000
2021-12-16T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 0
2021-12-15T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 0
2021-12-14T05:00:00Z, 10.04, 10.04, 10.04, 10.04, 10.04, 501
2021-12-13T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-10T05:00:00Z, 10, 10, 10, 10, 10, 217
2021-12-09T05:00:00Z, 10, 10, 10, 10, 10, 2000
2021-12-08T05:00:00Z, 10, 10, 10, 10, 10, 500
2021-12-07T05:00:00Z, 10.02, 10.01, 10.01, 10.01, 10.01, 1222
2021-12-06T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-12-03T05:00:00Z, 10.04, 10.01, 10, 10, 10, 2360
2021-12-02T05:00:00Z, 10, 10, 10, 10, 10, 1509
2021-12-01T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-30T05:00:00Z, 10.04, 10.04, 9.98, 9.98, 9.98, 6975
2021-11-29T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-26T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-24T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-23T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-22T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-19T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-11-18T05:00:00Z, 9.99, 9.98, 9.98, 9.98, 9.98, 381
2021-11-17T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 207
2021-11-16T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-15T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-12T05:00:00Z, 10.01, 10, 10, 10, 10, 5761
2021-11-11T05:00:00Z, 9.98, 9.98, 9.97, 9.97, 9.97, 1662
2021-11-10T05:00:00Z, 9.98, 9.98, 9.97, 9.97, 9.97, 517
2021-11-09T05:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 0
2021-11-08T05:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 0
2021-11-05T04:00:00Z, 9.97, 9.97, 9.97, 9.97, 9.97, 2489
2021-11-04T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-11-03T04:00:00Z, 9.98, 9.98, 9.96, 9.96, 9.96, 549
2021-11-02T04:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 241
2021-11-01T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-10-29T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 10009
2021-10-28T04:00:00Z, 9.97, 10.03, 9.91, 9.93, 9.93, 46861
2021-10-27T04:00:00Z, 10.03, 10.03, 10.03, 10.03, 10.03, 0
