Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.9, 16.82, 14.65, 16.43, 16.43, 51255993
2022-02-07T05:00:00Z, 15.51, 16, 14.68, 14.91, 14.91, 29733271
2022-02-04T05:00:00Z, 15, 15.7, 14.74, 15.35, 15.35, 32375818
2022-02-03T05:00:00Z, 15, 15.85, 14.65, 14.87, 14.87, 39183652
2022-02-02T05:00:00Z, 16.5, 17.065, 15.38, 15.42, 15.42, 48603821
2022-02-01T05:00:00Z, 18, 18.71, 16.52, 16.86, 16.86, 124392358
2022-01-31T05:00:00Z, 15.16, 16.25, 15, 16.06, 16.06, 41429849
2022-01-28T05:00:00Z, 14.65, 15.25, 13.4, 15.06, 15.06, 53927756
2022-01-27T05:00:00Z, 16.16, 16.59, 14.395, 14.52, 14.52, 50405243
2022-01-26T05:00:00Z, 16.22, 18.155, 15.65, 15.94, 15.94, 76616953
2022-01-25T05:00:00Z, 15.87, 16.62, 15.55, 16.02, 16.02, 42387932
2022-01-24T05:00:00Z, 16.21, 17.29, 14.23, 16.64, 16.64, 82557395
2022-01-21T05:00:00Z, 17.78, 18.56, 16.22, 17.97, 17.97, 65139045
2022-01-20T05:00:00Z, 18.57, 20.16, 17.95, 18.07, 18.07, 51016880
2022-01-19T05:00:00Z, 18.54, 19.42, 18.03, 18.32, 18.32, 35079480
2022-01-18T05:00:00Z, 19.76, 19.8879, 17.8, 18.84, 18.84, 55760307
2022-01-14T05:00:00Z, 20.35, 21.08, 19.51, 20.57, 20.57, 56974587
2022-01-13T05:00:00Z, 22.64, 23.15, 20.525, 20.66, 20.66, 40957340
2022-01-12T05:00:00Z, 22.86, 23.3598, 22.05, 22.72, 22.72, 27472582
2022-01-11T05:00:00Z, 22.4, 23.75, 22.09, 22.79, 22.79, 36063761
2022-01-10T05:00:00Z, 22.29, 22.8703, 21.25, 22.78, 22.78, 37733290
2022-01-07T05:00:00Z, 23.7, 24.3, 22.44, 22.99, 22.99, 49471880
2022-01-06T05:00:00Z, 22.96, 23.77, 20.8, 22.46, 22.46, 59095477
2022-01-05T05:00:00Z, 25.265, 25.3, 22.3618, 22.75, 22.75, 45150946
2022-01-04T05:00:00Z, 26.59, 26.67, 24.64, 25.49, 25.49, 33346338
2022-01-03T05:00:00Z, 27.36, 28.13, 26.42, 26.52, 26.52, 26808048
2021-12-31T05:00:00Z, 28.7, 29.4, 27.11, 27.2, 27.2, 23407141
2021-12-30T05:00:00Z, 27.88, 30.19, 27.6835, 28.94, 28.94, 36055033
2021-12-29T05:00:00Z, 27.8, 28.35, 26.62, 27.95, 27.95, 30981465
2021-12-28T05:00:00Z, 28.14, 29.74, 27.59, 27.72, 27.72, 31585186
2021-12-27T05:00:00Z, 28.31, 29.39, 27.01, 28.7, 28.7, 30782674
2021-12-23T05:00:00Z, 28.9, 29.43, 26.82, 28.52, 28.52, 36905883
2021-12-22T05:00:00Z, 29.9, 30.48, 28.04, 28.68, 28.68, 36975830
2021-12-21T05:00:00Z, 29.17, 32.23, 29.05, 30.3, 30.3, 46838216
2021-12-20T05:00:00Z, 28.99, 30.7, 28.11, 29.7, 29.7, 66913612
2021-12-17T05:00:00Z, 24.49, 30.71, 23.65, 29.12, 29.12, 144708409
2021-12-16T05:00:00Z, 25.4, 25.87, 24.0788, 24.45, 24.45, 43679877
2021-12-15T05:00:00Z, 24.47, 25.28, 22.53, 24.66, 24.66, 53178064
2021-12-14T05:00:00Z, 21, 25.12, 20.8, 24.5, 24.5, 107035448
2021-12-13T05:00:00Z, 27.5, 27.63, 22.46, 23.24, 23.24, 83537887
2021-12-10T05:00:00Z, 29.34, 29.93, 26, 27.44, 27.44, 58841717
2021-12-09T05:00:00Z, 31.59, 32.95, 29.31, 29.46, 29.46, 36551058
2021-12-08T05:00:00Z, 30.78, 33.92, 29.77, 32.35, 32.35, 46234160
2021-12-07T05:00:00Z, 30, 31.68, 29.5, 31.04, 31.04, 47915798
2021-12-06T05:00:00Z, 28.02, 30.47, 27.15, 28.79, 28.79, 45058824
2021-12-03T05:00:00Z, 30.64, 31.0645, 25.3101, 29.01, 29.01, 66167961
2021-12-02T05:00:00Z, 29.58, 31.219, 27.01, 30.28, 30.28, 54874959
2021-12-01T05:00:00Z, 34.71, 34.9362, 26.85, 28.57, 28.57, 63468654
2021-11-30T05:00:00Z, 36.82, 37.05, 32.75, 33.94, 33.94, 41321818
2021-11-29T05:00:00Z, 38.2, 38.43, 35.92, 36.84, 36.84, 24060814
2021-11-26T05:00:00Z, 36.14, 38.16, 36.13, 37.63, 37.63, 19729655
2021-11-24T05:00:00Z, 39.14, 39.33, 37.55, 38.89, 38.89, 18262275
2021-11-23T05:00:00Z, 41.28, 42.03, 38.07, 39.16, 39.16, 27375603
2021-11-22T05:00:00Z, 41.51, 42.99, 40.29, 41.24, 41.24, 28829949
2021-11-19T05:00:00Z, 40.41, 41.3799, 39.66, 40.87, 40.87, 20690796
2021-11-18T05:00:00Z, 42.4, 42.4, 39.78, 40.41, 40.41, 25260107
2021-11-17T05:00:00Z, 42.26, 44, 42.02, 42.13, 42.13, 23320022
2021-11-16T05:00:00Z, 41.9, 44.4325, 41.23, 42.6, 42.6, 38384075
2021-11-15T05:00:00Z, 40.29, 43.23, 40.21, 42.68, 42.68, 39916699
2021-11-12T05:00:00Z, 39.5, 40.4399, 39.12, 40, 40, 23622355
2021-11-11T05:00:00Z, 38.02, 40.2, 37.5, 39.46, 39.46, 30474322
2021-11-10T05:00:00Z, 38.8, 40.8691, 38.05, 38.29, 38.29, 32455839
2021-11-09T05:00:00Z, 42.42, 42.6, 39.25, 39.93, 39.93, 37888764
2021-11-08T05:00:00Z, 42.44, 45.95, 41.77, 45.06, 45.06, 70345148
2021-11-05T04:00:00Z, 41.3, 41.97, 39.93, 41.7, 41.7, 40070467
2021-11-04T04:00:00Z, 40.3, 41.3, 39.11, 40.05, 40.05, 28553482
2021-11-03T04:00:00Z, 40.96, 44.21, 38.88, 40.79, 40.79, 82189997
2021-11-02T04:00:00Z, 37.59, 38.8, 36.6308, 38.79, 38.79, 44360983
2021-11-01T04:00:00Z, 35.58, 37.185, 35.39, 37.07, 37.07, 34029302
2021-10-29T04:00:00Z, 35.32, 36.6298, 34.53, 35.37, 35.37, 32807062
2021-10-28T04:00:00Z, 35.06, 36.069, 34.86, 35.23, 35.23, 23776114
2021-10-27T04:00:00Z, 36.35, 36.79, 34.58, 34.76, 34.76, 26017488
2021-10-26T04:00:00Z, 36.5, 37.4, 35.7819, 36.05, 36.05, 27637025
2021-10-25T04:00:00Z, 36.4, 37.8492, 35.78, 36.83, 36.83, 30886601
2021-10-22T04:00:00Z, 37.25, 37.6709, 35.96, 36.6, 36.6, 46212304
2021-10-21T04:00:00Z, 40.93, 41.94, 38.8, 39.24, 39.24, 33943886
2021-10-20T04:00:00Z, 40.73, 41.75, 40.3, 40.88, 40.88, 31171694
2021-10-19T04:00:00Z, 43, 44.4404, 40.74, 40.8, 40.8, 52730822
2021-10-18T04:00:00Z, 40.86, 43.63, 40.49, 43.03, 43.03, 50019557
2021-10-15T04:00:00Z, 40.16, 41.79, 39.78, 40.74, 40.74, 46448928
2021-10-14T04:00:00Z, 37.76, 41.1, 37.75, 40.07, 40.07, 67675247
2021-10-13T04:00:00Z, 36.72, 38.15, 36.12, 37.91, 37.91, 33434859
2021-10-12T04:00:00Z, 37.24, 37.57, 36.22, 36.82, 36.82, 25188001
2021-10-11T04:00:00Z, 36.97, 38.66, 36.2982, 37.25, 37.25, 37345060
2021-10-08T04:00:00Z, 37.95, 38.78, 37.06, 37.19, 37.19, 29631185
2021-10-07T04:00:00Z, 36.74, 38.55, 36.6, 38.14, 38.14, 37689772
2021-10-06T04:00:00Z, 36.35, 37.65, 35.64, 36.83, 36.83, 35502179
2021-10-05T04:00:00Z, 36.81, 38.1, 36.19, 37.06, 37.06, 37692211
2021-10-04T04:00:00Z, 38.85, 39.03, 36.33, 36.77, 36.77, 39893969
2021-10-01T04:00:00Z, 39.24, 40.13, 37.75, 38.46, 38.46, 65897733
2021-09-30T04:00:00Z, 35.17, 41.78, 33.74, 38.06, 38.06, 102747993
2021-09-29T04:00:00Z, 37.22, 38.26, 35.37, 35.54, 35.54, 42994722
2021-09-28T04:00:00Z, 39.03, 39.13, 36.88, 36.99, 36.99, 39495148
