Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 21.08, 21.85, 20.87, 21.77, 21.77, 953021
2022-02-07T05:00:00Z, 21.16, 21.425, 20.7, 20.93, 20.93, 1124680
2022-02-04T05:00:00Z, 20.96, 21.13, 20.53, 20.96, 20.96, 999320
2022-02-03T05:00:00Z, 21.62, 21.87, 21.08, 21.18, 21.18, 770619
2022-02-02T05:00:00Z, 22.15, 22.44, 21.811, 22.09, 22.09, 880473
2022-02-01T05:00:00Z, 22.28, 22.39, 21.44, 21.95, 21.95, 787933
2022-01-31T05:00:00Z, 21.19, 22.04, 21.02, 22.02, 22.02, 1011793
2022-01-28T05:00:00Z, 20.52, 21.02, 19.78, 21.02, 21.02, 814244
2022-01-27T05:00:00Z, 21.6, 21.735, 20.11, 20.36, 20.36, 973604
2022-01-26T05:00:00Z, 22.17, 22.46, 21.21, 21.47, 21.47, 701581
2022-01-25T05:00:00Z, 21.51, 21.9, 21.04, 21.34, 21.34, 912856
2022-01-24T05:00:00Z, 21.23, 22.225, 20.35, 22.21, 22.21, 1300706
2022-01-21T05:00:00Z, 21.91, 22.5499, 21.6, 21.6, 21.6, 1066892
2022-01-20T05:00:00Z, 22.88, 23.35, 22.15, 22.17, 22.17, 866469
2022-01-19T05:00:00Z, 23.59, 24, 22.55, 22.56, 22.56, 798276
2022-01-18T05:00:00Z, 24.5, 24.5, 23.22, 23.25, 23.25, 1054935
2022-01-14T05:00:00Z, 23.81, 25.02, 23.4112, 24.99, 24.99, 870486
2022-01-13T05:00:00Z, 24.71, 24.9, 23.85, 23.97, 23.97, 797073
2022-01-12T05:00:00Z, 24.7, 24.88, 23.87, 24.3, 24.3, 855028
2022-01-11T05:00:00Z, 23.55, 24.465, 23.28, 24.32, 24.32, 780996
2022-01-10T05:00:00Z, 23.19, 23.73, 22.73, 23.7, 23.7, 1051781
2022-01-07T05:00:00Z, 25.4, 25.45, 23.66, 23.71, 23.71, 1010249
2022-01-06T05:00:00Z, 24.99, 25.45, 24.64, 25.2, 25.2, 845042
2022-01-05T05:00:00Z, 26, 26.16, 25.03, 25.05, 25.05, 1249260
2022-01-04T05:00:00Z, 26.36, 26.64, 25.2, 25.84, 25.84, 1279929
2022-01-03T05:00:00Z, 25.2, 26.36, 25, 26.24, 26.24, 1097489
2021-12-31T05:00:00Z, 24.83, 24.97, 24.64, 24.79, 24.79, 894406
2021-12-30T05:00:00Z, 24.64, 24.99, 24.3707, 24.6, 24.6, 760649
