Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 26.6, 27.28, 25.3761, 26.51, 26.51, 469167
2022-02-07T05:00:00Z, 25, 26.74, 24.75, 26.27, 26.27, 908714
2022-02-04T05:00:00Z, 25.38, 25.52, 24.76, 25.04, 25.04, 255993
2022-02-03T05:00:00Z, 25.02, 25.6, 24.63, 25.44, 25.44, 272451
2022-02-02T05:00:00Z, 24.33, 25.49, 23.85, 25.33, 25.33, 378032
2022-02-01T05:00:00Z, 23.12, 24.7, 22.97, 24.68, 24.68, 402512
2022-01-31T05:00:00Z, 26.09, 26.49, 22.07, 23.09, 23.09, 949768
2022-01-28T05:00:00Z, 25.23, 26.09, 24.9, 26.06, 26.06, 641190
2022-01-27T05:00:00Z, 24.86, 25.1769, 24.65, 25.03, 25.03, 138389
2022-01-26T05:00:00Z, 24.92, 25.36, 24.51, 24.63, 24.63, 219687
2022-01-25T05:00:00Z, 24.3, 24.99, 24, 24.91, 24.91, 147883
2022-01-24T05:00:00Z, 24.53, 24.94, 23.571, 24.72, 24.72, 165999
2022-01-21T05:00:00Z, 24.57, 25.3299, 24.22, 24.75, 24.75, 178668
2022-01-20T05:00:00Z, 25.1, 25.4, 24.61, 24.63, 24.63, 154131
2022-01-19T05:00:00Z, 25.44, 25.5, 24.89, 25.09, 25.09, 206113
2022-01-18T05:00:00Z, 25.1, 25.47, 24.8, 25.35, 25.35, 235976
2022-01-14T05:00:00Z, 24.74, 25.37, 24.481, 25.37, 25.37, 158536
2022-01-13T05:00:00Z, 25.61, 25.68, 24.7287, 24.91, 24.91, 228153
2022-01-12T05:00:00Z, 25.3, 25.65, 25.08, 25.61, 25.61, 388538
2022-01-11T05:00:00Z, 25.87, 25.87, 25.05, 25.3, 25.3, 288393
2022-01-10T05:00:00Z, 25.1, 25.87, 24.5317, 25.83, 25.83, 485928
2022-01-07T05:00:00Z, 23.63, 25.06, 23.62, 25.05, 25.05, 428918
2022-01-06T05:00:00Z, 23.19, 23.2, 22.8, 23.18, 23.18, 143716
2022-01-05T05:00:00Z, 23.05, 23.25, 22.96, 23.08, 23.08, 128740
2022-01-04T05:00:00Z, 23.07, 23.24, 22.86, 22.96, 22.96, 144580
2022-01-03T05:00:00Z, 23.29, 23.75, 22.87, 23.07, 23.07, 236418
