Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.8719, 0.8719, 0.82, 0.85, 0.85, 69127
2022-02-07T05:00:00Z, 0.87, 0.8888, 0.8342, 0.8719, 0.8719, 33612
2022-02-04T05:00:00Z, 0.84, 0.884, 0.8, 0.884, 0.884, 258885
2022-02-03T05:00:00Z, 0.87, 0.89, 0.7883, 0.7883, 0.7883, 113659
2022-02-02T05:00:00Z, 0.84, 0.9255, 0.82, 0.89, 0.89, 265330
2022-02-01T05:00:00Z, 0.76, 0.849999, 0.74, 0.8409, 0.8409, 100465
2022-01-31T05:00:00Z, 0.731, 0.81, 0.73, 0.7652, 0.7652, 160533
2022-01-28T05:00:00Z, 0.73, 0.8, 0.69, 0.741, 0.741, 558201
2022-01-27T05:00:00Z, 0.77, 0.8328, 0.7, 0.7148, 0.7148, 543495
2022-01-26T05:00:00Z, 0.875, 0.89, 0.803, 0.803, 0.803, 551988
2022-01-25T05:00:00Z, 0.895, 0.9098, 0.86, 0.8728, 0.8728, 308462
2022-01-24T05:00:00Z, 0.91, 0.949, 0.78, 0.86, 0.86, 1267200
2022-01-21T05:00:00Z, 1.32, 1.64, 1.02, 1.02, 1.02, 12949973
2022-01-20T05:00:00Z, 1.16, 1.33, 1.08, 1.31, 1.31, 2493440
2022-01-19T05:00:00Z, 1.08, 1.18, 1.05, 1.13, 1.13, 621193
2022-01-18T05:00:00Z, 1.09, 1.21, 1.05, 1.1, 1.1, 3482240
2022-01-14T05:00:00Z, 1.06, 1.07, 0.9615, 1.04, 1.04, 610799
2022-01-13T05:00:00Z, 1.05, 1.26, 1.03, 1.07, 1.07, 2306738
2022-01-12T05:00:00Z, 1, 1.09, 0.946, 1.02, 1.02, 999287
2022-01-11T05:00:00Z, 0.9001, 1.04, 0.8828, 1, 1, 279920
2022-01-10T05:00:00Z, 1.03, 1.08, 0.8941, 0.92, 0.92, 312852
2022-01-07T05:00:00Z, 1.13, 1.13, 1.055, 1.06, 1.06, 488335
2022-01-06T05:00:00Z, 1.09, 1.14, 1.04, 1.12, 1.12, 257969
2022-01-05T05:00:00Z, 1.03, 1.1427, 1.02, 1.11, 1.11, 628606
2022-01-04T05:00:00Z, 1.08, 1.09, 1.03, 1.05, 1.05, 63421
2022-01-03T05:00:00Z, 1.02, 1.15, 1.01, 1.1, 1.1, 580947
2021-12-31T05:00:00Z, 1.02, 1.03, 0.9224, 1.03, 1.03, 301817
2021-12-30T05:00:00Z, 1.06, 1.07, 1.01, 1.03, 1.03, 105096
2021-12-29T05:00:00Z, 0.942, 1.09, 0.92, 1.03, 1.03, 193123
2021-12-28T05:00:00Z, 1.01, 1.02, 0.8981, 0.9502, 0.9502, 465810
2021-12-27T05:00:00Z, 1.07, 1.09, 0.9821, 1.02, 1.02, 245639
2021-12-23T05:00:00Z, 1.13, 1.125, 1.05, 1.09, 1.09, 173994
2021-12-22T05:00:00Z, 1.12, 1.1799, 1.08, 1.13, 1.13, 144035
2021-12-21T05:00:00Z, 1.23, 1.23, 1.11, 1.14, 1.14, 309897
2021-12-20T05:00:00Z, 1.12, 1.33, 1.06, 1.24, 1.24, 1990457
2021-12-17T05:00:00Z, 1.09, 1.17, 1.08, 1.1, 1.1, 91457
2021-12-16T05:00:00Z, 1.08, 1.23, 1.08, 1.15, 1.15, 120687
2021-12-15T05:00:00Z, 1.16, 1.16, 1.05, 1.07, 1.07, 95047
2021-12-14T05:00:00Z, 1.14, 1.19, 1.13, 1.15, 1.15, 49033
2021-12-13T05:00:00Z, 1.2, 1.23, 1.1101, 1.13, 1.13, 95514
