Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 35.29, 36.06, 34.9, 35.37, 35.37, 93227
2022-02-07T05:00:00Z, 34.58, 35.29, 34.475, 35.1, 35.1, 66257
2022-02-04T05:00:00Z, 34.52, 35.15, 34.4694, 34.98, 34.98, 80543
2022-02-03T05:00:00Z, 34.22, 35.21, 34.19, 34.5, 34.5, 106996
2022-02-02T05:00:00Z, 35.92, 36.1398, 34.36, 34.47, 34.47, 86080
2022-02-01T05:00:00Z, 34, 35.97, 34, 35.87, 35.87, 366939
2022-01-31T05:00:00Z, 33.28, 34.3599, 33.125, 34, 34, 241652
2022-01-28T05:00:00Z, 33.85, 33.98, 31.021, 33.83, 33.83, 116311
2022-01-27T05:00:00Z, 34.75, 34.92, 33.49, 33.72, 33.72, 104235
2022-01-26T05:00:00Z, 35.06, 35.9632, 33.87, 34.48, 34.48, 146570
2022-01-25T05:00:00Z, 34.72, 35.37, 33.795, 34.94, 34.94, 144704
2022-01-24T05:00:00Z, 33.95, 35.04, 33.37, 34.85, 34.85, 663964
2022-01-21T05:00:00Z, 33.46, 34.31, 33.07, 33.81, 33.81, 138145
2022-01-20T05:00:00Z, 31.14, 34.475, 30.22, 33.48, 33.48, 156431
2022-01-19T05:00:00Z, 33.5, 34.01, 32.9, 33.11, 33.11, 132412
2022-01-18T05:00:00Z, 34.2, 34.37, 33.51, 33.69, 33.69, 90315
2022-01-14T05:00:00Z, 34.09, 34.92, 34.04, 34.49, 34.49, 122488
2022-01-13T05:00:00Z, 34.69, 35.4825, 34.4364, 34.65, 34.65, 50193
2022-01-12T05:00:00Z, 34.53, 34.84, 34.235, 34.44, 34.44, 87892
2022-01-11T05:00:00Z, 34.44, 34.57, 34, 34.43, 34.43, 44667
2022-01-10T05:00:00Z, 34.83, 35.29, 34.05, 34.29, 34.29, 41067
2022-01-07T05:00:00Z, 34.76, 34.98, 34.36, 34.79, 34.79, 81976
2022-01-06T05:00:00Z, 34.44, 34.92, 34.245, 34.74, 34.74, 118438
2022-01-05T05:00:00Z, 34.57, 35.02, 31.98, 34.01, 34.01, 76910
2022-01-04T05:00:00Z, 34.845, 35.06, 34.44, 34.44, 34.44, 66209
2022-01-03T05:00:00Z, 34.97, 35.335, 34.15, 34.56, 34.56, 90167
2021-12-31T05:00:00Z, 34.19, 34.77, 33.88, 34.55, 34.55, 104278
2021-12-30T05:00:00Z, 34.95, 35.04, 33.82, 33.9, 33.9, 58666
2021-12-29T05:00:00Z, 34.5, 35.43, 33.38, 34.77, 34.77, 70122
2021-12-28T05:00:00Z, 34.81, 35.19, 34.24, 34.84, 34.84, 86909
2021-12-27T05:00:00Z, 34.49, 35.05, 33.34, 34.75, 34.75, 91958
2021-12-23T05:00:00Z, 34.29, 34.75, 34.035, 34.14, 34.14, 60293
2021-12-22T05:00:00Z, 33.99, 34.82, 33.94, 34.59, 34.59, 120781
2021-12-21T05:00:00Z, 35.1, 35.88, 33.87, 34.2, 34.2, 146742
2021-12-20T05:00:00Z, 34.68, 35.205, 33.425, 35.04, 35.04, 226204
2021-12-17T05:00:00Z, 33.36, 36.72, 32.79, 35.63, 35.63, 488321
2021-12-16T05:00:00Z, 32.14, 34.18, 31.94, 33.77, 33.77, 228653
2021-12-15T05:00:00Z, 31, 31.78, 30.8, 31.39, 31.39, 607727
2021-12-14T05:00:00Z, 30.05, 31.395, 30, 31.35, 31.35, 130570
2021-12-13T05:00:00Z, 31.61, 31.61, 29.48, 30.27, 30.27, 179186
2021-12-10T05:00:00Z, 30.93, 31.72, 30.71, 31.66, 31.66, 69063
2021-12-09T05:00:00Z, 30.82, 30.985, 30.52, 30.76, 30.76, 60416
2021-12-08T05:00:00Z, 30.74, 31.27, 30.12, 31.07, 31.07, 81123
2021-12-07T05:00:00Z, 31, 31.26, 30.36, 30.56, 30.56, 110972
2021-12-06T05:00:00Z, 29.89, 30.94, 29.25, 30.65, 30.65, 126180
2021-12-03T05:00:00Z, 29.22, 29.82, 28.64, 29.42, 29.42, 78831
2021-12-02T05:00:00Z, 28.85, 29.89, 28.51, 29.61, 29.61, 68960
2021-12-01T05:00:00Z, 29.19, 29.17, 28.41, 28.48, 28.48, 89678
2021-11-30T05:00:00Z, 28.43, 28.65, 27.93, 28.15, 28.15, 138169
2021-11-29T05:00:00Z, 29.5, 30.115, 28.39, 28.92, 28.92, 86960
2021-11-26T05:00:00Z, 29.03, 29.85, 28.38, 29.26, 29.26, 78932
2021-11-24T05:00:00Z, 30.89, 30.96, 30.37, 30.64, 30.64, 43722
2021-11-23T05:00:00Z, 31.87, 32.28, 30.74, 30.97, 30.97, 88375
2021-11-22T05:00:00Z, 31.91, 32.67, 31.53, 31.88, 31.88, 187992
2021-11-19T05:00:00Z, 30.86, 31.92, 30.41, 31.33, 31.33, 726245
2021-11-18T05:00:00Z, 30.6, 31.85, 29.68, 31.64, 31.64, 203518
2021-11-17T05:00:00Z, 30.8, 30.56, 29.46, 30.1, 30.1, 112932
2021-11-16T05:00:00Z, 30.54, 30.565, 29.85, 30.36, 30.36, 52791
2021-11-15T05:00:00Z, 30.03, 30.11, 29.75, 30.1, 30.1, 52053
2021-11-12T05:00:00Z, 30.05, 30.14, 29.645, 29.92, 29.92, 27542
2021-11-11T05:00:00Z, 29.2, 30.41, 28.53, 30.01, 30.01, 41098
2021-11-10T05:00:00Z, 29.38, 29.5875, 29.195, 29.23, 29.23, 28987
2021-11-09T05:00:00Z, 29.6, 29.99, 28.3901, 29.57, 29.57, 45508
2021-11-08T05:00:00Z, 29.26, 30.6, 29.25, 29.98, 29.98, 52374
2021-11-05T04:00:00Z, 27.92, 29.24, 27.51, 29.05, 29.05, 51192
2021-11-04T04:00:00Z, 27.43, 27.6, 26.6, 27.18, 27.18, 36651
2021-11-03T04:00:00Z, 27.2, 27.57, 26.88, 27.3, 27.3, 47407
2021-11-02T04:00:00Z, 27.4, 27.41, 26.71, 26.75, 26.75, 45904
2021-11-01T04:00:00Z, 26.57, 27.57, 25.71, 27.34, 27.34, 70745
2021-10-29T04:00:00Z, 26.69, 26.84, 26.18, 26.55, 26.55, 35820
2021-10-28T04:00:00Z, 26.25, 27.21, 26.31, 26.68, 26.68, 41448
2021-10-27T04:00:00Z, 26.75, 27.4, 26.1, 26.5, 26.5, 44290
2021-10-26T04:00:00Z, 27.04, 27.29, 26.5, 26.61, 26.61, 40376
2021-10-25T04:00:00Z, 26.82, 27.04, 26.5, 26.96, 26.96, 29708
2021-10-22T04:00:00Z, 27.4, 28.11, 26.5, 26.6, 26.6, 25177
2021-10-21T04:00:00Z, 26.12, 27.14, 25.61, 26.5, 26.5, 68358
2021-10-20T04:00:00Z, 26.9, 27.49, 26.56, 26.72, 26.72, 33875
