Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.52, 2.77, 2.5, 2.77, 2.77, 10950884
2022-02-07T05:00:00Z, 3.15, 3.24, 2.82, 2.83, 2.83, 26333056
2022-02-04T05:00:00Z, 2.62, 3.41, 2.5, 3.03, 3.03, 86051149
2022-02-03T05:00:00Z, 2.15, 2.3399, 2, 2.31, 2.31, 6011508
2022-02-02T05:00:00Z, 2.4, 2.425, 2.18, 2.33, 2.33, 5291961
2022-02-01T05:00:00Z, 2.18, 2.35, 2.105, 2.33, 2.33, 4902346
2022-01-31T05:00:00Z, 1.91, 2.11, 1.9073, 2.1, 2.1, 2305254
2022-01-28T05:00:00Z, 1.82, 1.98, 1.75, 1.965, 1.965, 2883120
2022-01-27T05:00:00Z, 2.08, 2.1, 1.78, 1.79, 1.79, 2568308
2022-01-26T05:00:00Z, 2.21, 2.22, 1.95, 2, 2, 3532834
2022-01-25T05:00:00Z, 1.87, 2.115, 1.703, 2.04, 2.04, 3851904
2022-01-24T05:00:00Z, 1.8, 1.99, 1.77, 1.94, 1.94, 5415195
2022-01-21T05:00:00Z, 2.09, 2.16, 1.97, 2, 2, 5118546
2022-01-20T05:00:00Z, 2.36, 2.49, 2.195, 2.22, 2.22, 3614250
2022-01-19T05:00:00Z, 2.41, 2.5199, 2.3001, 2.32, 2.32, 2251404
2022-01-18T05:00:00Z, 2.58, 2.63, 2.39, 2.41, 2.41, 3279863
2022-01-14T05:00:00Z, 2.59, 2.685, 2.51, 2.66, 2.66, 3550789
2022-01-13T05:00:00Z, 2.9, 2.9026, 2.64, 2.66, 2.66, 3281368
2022-01-12T05:00:00Z, 2.94, 3.02, 2.8387, 2.86, 2.86, 2522134
2022-01-11T05:00:00Z, 2.82, 2.92, 2.75, 2.83, 2.83, 3394958
2022-01-10T05:00:00Z, 2.68, 2.82, 2.66, 2.81, 2.81, 3464347
2022-01-07T05:00:00Z, 3, 3.0244, 2.79, 2.88, 2.88, 4359608
2022-01-06T05:00:00Z, 3.11, 3.17, 2.91, 3.03, 3.03, 3664949
2022-01-05T05:00:00Z, 3.59, 3.78, 3.09, 3.1, 3.1, 8549929
2022-01-04T05:00:00Z, 3.53, 3.81, 3.3501, 3.46, 3.46, 3359970
2022-01-03T05:00:00Z, 3.19, 3.6, 3.14, 3.5, 3.5, 4664955
2021-12-31T05:00:00Z, 3.23, 3.3107, 3.105, 3.12, 3.12, 2797434
2021-12-30T05:00:00Z, 2.9, 3.2899, 2.9, 3.18, 3.18, 3515798
2021-12-29T05:00:00Z, 3.05, 3.15, 2.79, 2.95, 2.95, 7775099
