Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.39, 0.39, 0.39, 0.39, 0.39, 1100
2022-02-07T05:00:00Z, 0.4501, 0.4501, 0.385, 0.385, 0.385, 5531
2022-02-04T05:00:00Z, 0.3851, 0.3851, 0.3851, 0.3851, 0.3851, 0
2022-02-03T05:00:00Z, 0.3851, 0.3851, 0.325, 0.3851, 0.3851, 14947
2022-02-02T05:00:00Z, 0.4, 0.4, 0.4, 0.4, 0.4, 0
2022-02-01T05:00:00Z, 0.4, 0.4, 0.4, 0.4, 0.4, 0
2022-01-31T05:00:00Z, 0.43, 0.5, 0.4, 0.4, 0.4, 4110
2022-01-28T05:00:00Z, 0.36, 0.36, 0.36, 0.36, 0.36, 0
2022-01-27T05:00:00Z, 0.36, 0.36, 0.36, 0.36, 0.36, 5000
2022-01-26T05:00:00Z, 0.364, 0.4, 0.364, 0.364, 0.364, 26000
2022-01-25T05:00:00Z, 0.37, 0.4, 0.35, 0.3999, 0.3999, 13100
2022-01-24T05:00:00Z, 0.5001, 0.5001, 0.45, 0.45, 0.45, 1675
2022-01-21T05:00:00Z, 0.52, 0.52, 0.5, 0.5, 0.5, 5500
2022-01-20T05:00:00Z, 0.55, 0.55, 0.55, 0.55, 0.55, 0
2022-01-19T05:00:00Z, 0.6501, 0.65, 0.5489, 0.55, 0.55, 8669
2022-01-18T05:00:00Z, 0.59, 0.59, 0.59, 0.59, 0.59, 500
2022-01-14T05:00:00Z, 0.63, 0.65, 0.536, 0.65, 0.65, 4933
2022-01-13T05:00:00Z, 0.57, 0.6, 0.55, 0.5627, 0.5627, 18340
2022-01-12T05:00:00Z, 0.66, 0.66, 0.66, 0.66, 0.66, 1000
2022-01-11T05:00:00Z, 0.65, 0.65, 0.65, 0.65, 0.65, 0
2022-01-10T05:00:00Z, 0.6501, 0.6501, 0.65, 0.65, 0.65, 6300
2022-01-07T05:00:00Z, 0.68, 0.6999, 0.65001, 0.68, 0.68, 32373
2022-01-06T05:00:00Z, 0.7155, 0.74, 0.6399, 0.69, 0.69, 33379
2022-01-05T05:00:00Z, 0.6, 0.7827, 0.0001, 0.725, 0.725, 259435
