Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 20.12, 20.57, 19.9, 20.49, 20.49, 37688
2022-02-07T05:00:00Z, 20.1, 20.12, 19.655, 19.9, 19.9, 44784
2022-02-04T05:00:00Z, 19.71, 20.27, 19.52, 19.92, 19.92, 74031
2022-02-03T05:00:00Z, 20.73, 20.94, 19.88, 19.98, 19.98, 48202
2022-02-02T05:00:00Z, 21.65, 21.8066, 20.76, 20.87, 20.87, 40452
2022-02-01T05:00:00Z, 21.29, 21.61, 20.97, 21.48, 21.48, 52112
2022-01-31T05:00:00Z, 20.83, 21.41, 20.92, 21.39, 21.39, 49893
2022-01-28T05:00:00Z, 20.25, 21.07, 20.14, 21.065, 21.065, 84633
2022-01-27T05:00:00Z, 20.94, 21.06, 20.3, 20.46, 20.46, 64583
2022-01-26T05:00:00Z, 21, 21.38, 20.43, 20.7, 20.7, 43764
2022-01-25T05:00:00Z, 20.68, 21.18, 20.085, 20.78, 20.78, 58833
2022-01-24T05:00:00Z, 20.25, 21.2, 19.77, 21.02, 21.02, 63235
2022-01-21T05:00:00Z, 20.38, 20.58, 19.93, 20.23, 20.23, 135867
2022-01-20T05:00:00Z, 20.04, 20.61, 19.93, 20.5, 20.5, 158703
2022-01-19T05:00:00Z, 21, 21.5, 20.22, 20.22, 20.22, 49365
2022-01-18T05:00:00Z, 22.44, 22.58, 21.33, 21.45, 21.45, 67045
2022-01-14T05:00:00Z, 22.3, 22.64, 22.07, 22.6, 22.6, 39036
2022-01-13T05:00:00Z, 22.05, 22.89, 21.87, 22.5, 22.5, 59274
2022-01-12T05:00:00Z, 22.55, 22.9, 21.75, 21.89, 21.89, 89314
2022-01-11T05:00:00Z, 22.95, 23.5, 22.51, 22.67, 22.67, 58322
2022-01-10T05:00:00Z, 22.75, 23.02, 22.54, 23.02, 23.02, 53289
2022-01-07T05:00:00Z, 23.24, 23.48, 22.94, 22.98, 22.98, 38362
2022-01-06T05:00:00Z, 23.48, 23.53, 23.03, 23.18, 23.18, 32374
2022-01-05T05:00:00Z, 23.49, 24.73, 23.18, 23.26, 23.26, 72875
2022-01-04T05:00:00Z, 23.17, 23.59, 22.86, 23.47, 23.47, 52927
2022-01-03T05:00:00Z, 22.35, 23.1, 22.33, 23.01, 23.01, 53285
2021-12-31T05:00:00Z, 22.1, 22.365, 21.87, 22.25, 22.25, 37765
2021-12-30T05:00:00Z, 22.11, 22.545, 21.89, 22.11, 22.11, 47691
2021-12-29T05:00:00Z, 22.52, 22.67, 21.89, 22, 22, 45468
2021-12-28T05:00:00Z, 23.56, 23.74, 22.65, 22.81, 22.81, 168673
2021-12-27T05:00:00Z, 23.19, 23.57, 22.86, 23.45, 23.45, 62255
2021-12-23T05:00:00Z, 22.6, 23.07, 22.57, 23.01, 23.01, 43272
2021-12-22T05:00:00Z, 22.42, 22.61, 22.01, 22.5, 22.5, 70010
2021-12-21T05:00:00Z, 22.5, 22.62, 22.1, 22.38, 22.38, 79489
2021-12-20T05:00:00Z, 22.25, 22.485, 21.85, 22.27, 22.27, 120016
2021-12-17T05:00:00Z, 22, 23.02, 21.85, 22.56, 22.56, 641268
2021-12-16T05:00:00Z, 22.79, 22.97, 21.36, 21.94, 21.94, 228710
2021-12-15T05:00:00Z, 22.14, 22.81, 22.03, 22.71, 22.71, 116429
2021-12-14T05:00:00Z, 22.72, 23.11, 22.03, 22.2, 22.2, 147284
2021-12-13T05:00:00Z, 21.39, 22.95, 21.39, 22.63, 22.63, 105181
