Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 5.03, 5.44, 5.02, 5.36, 5.36, 78126
2022-02-07T05:00:00Z, 5.43, 5.48, 5.251, 5.36, 5.36, 48285
2022-02-04T05:00:00Z, 5.18, 5.34, 5.09, 5.34, 5.34, 63805
2022-02-03T05:00:00Z, 5.37, 5.41, 5.2, 5.23, 5.23, 102712
2022-02-02T05:00:00Z, 5.6, 5.61, 5.32, 5.36, 5.36, 793596
2022-02-01T05:00:00Z, 5.64, 5.765, 5.53, 5.59, 5.59, 166571
2022-01-31T05:00:00Z, 5.2, 5.56, 5.05, 5.51, 5.51, 235194
2022-01-28T05:00:00Z, 5.11, 5.13, 4.92, 5.09, 5.09, 232580
2022-01-27T05:00:00Z, 5.35, 5.43, 5, 5.01, 5.01, 151191
2022-01-26T05:00:00Z, 5.44, 5.58, 5.24, 5.24, 5.24, 292501
2022-01-25T05:00:00Z, 5.49, 5.49, 5.25, 5.27, 5.27, 333113
2022-01-24T05:00:00Z, 5.35, 5.63, 5.3005, 5.52, 5.52, 337868
2022-01-21T05:00:00Z, 5.48, 5.74, 5.39, 5.55, 5.55, 427128
2022-01-20T05:00:00Z, 5.74, 5.89, 5.56, 5.6, 5.6, 270966
2022-01-19T05:00:00Z, 5.6, 5.99, 5.315, 5.81, 5.81, 808114
2022-01-18T05:00:00Z, 5.9, 5.91, 5.63, 5.67, 5.67, 458437
2022-01-14T05:00:00Z, 6.09, 6.21, 5.77, 5.91, 5.91, 752216
2022-01-13T05:00:00Z, 6.81, 6.89, 6.21, 6.25, 6.25, 368356
2022-01-12T05:00:00Z, 7.28, 7.3, 6.87, 6.92, 6.92, 548827
2022-01-11T05:00:00Z, 7.41, 7.52, 6.97, 7.33, 7.33, 325748
2022-01-10T05:00:00Z, 7.22, 7.46, 7.0713, 7.32, 7.32, 224232
2022-01-07T05:00:00Z, 7.73, 7.75, 7.42, 7.47, 7.47, 100116
2022-01-06T05:00:00Z, 8.1, 8.19, 7.7, 7.79, 7.79, 122692
2022-01-05T05:00:00Z, 8.26, 8.319, 7.92, 8.19, 8.19, 266194
2022-01-04T05:00:00Z, 8.86, 8.75, 8.265, 8.33, 8.33, 228193
2022-01-03T05:00:00Z, 8.21, 9.11, 8.23, 8.77, 8.77, 218520
2021-12-31T05:00:00Z, 7.98, 8.96, 7.86, 8.43, 8.43, 618539
2021-12-30T05:00:00Z, 7.73, 7.92, 7.62, 7.88, 7.88, 178319
2021-12-29T05:00:00Z, 7.68, 7.93, 7.44, 7.79, 7.79, 181791
2021-12-28T05:00:00Z, 7.89, 7.94, 7.41, 7.68, 7.68, 326783
2021-12-27T05:00:00Z, 7.73, 7.92, 7.56, 7.89, 7.89, 275900
2021-12-23T05:00:00Z, 8.07, 8.085, 7.74, 7.84, 7.84, 339716
2021-12-22T05:00:00Z, 8.03, 8.1925, 7.792, 8.01, 8.01, 260354
2021-12-21T05:00:00Z, 8.25, 8.34, 7.91, 8.03, 8.03, 216670
2021-12-20T05:00:00Z, 8.09, 8.26, 7.96, 8.25, 8.25, 440271
2021-12-17T05:00:00Z, 7.93, 8.4, 7.81, 8.32, 8.32, 800288
2021-12-16T05:00:00Z, 8.12, 8.85, 7.93, 8, 8, 122543
2021-12-15T05:00:00Z, 7.85, 8.69, 7.52, 8.11, 8.11, 202965
2021-12-14T05:00:00Z, 7.91, 7.92, 7.59, 7.64, 7.64, 268734
2021-12-13T05:00:00Z, 8.11, 8.45, 7.86, 8.06, 8.06, 149495
2021-12-10T05:00:00Z, 8.35, 8.38, 8, 8.19, 8.19, 135359
2021-12-09T05:00:00Z, 8.84, 9, 8.29, 8.34, 8.34, 162255
2021-12-08T05:00:00Z, 8.58, 8.745, 8.38, 8.59, 8.59, 183033
2021-12-07T05:00:00Z, 8.28, 9.065, 8, 8.59, 8.59, 1569365
2021-12-06T05:00:00Z, 7.99, 8.3, 7.85, 7.98, 7.98, 265410
2021-12-03T05:00:00Z, 8.27, 8.485, 8, 8.12, 8.12, 265563
2021-12-02T05:00:00Z, 8.05, 8.48, 8.01, 8.41, 8.41, 188241
2021-12-01T05:00:00Z, 8.19, 8.37, 8.02, 8.1, 8.1, 195816
2021-11-30T05:00:00Z, 8.33, 8.33, 7.87, 7.96, 7.96, 108896
2021-11-29T05:00:00Z, 8.3, 8.42, 8, 8.1, 8.1, 144443
2021-11-26T05:00:00Z, 8.34, 8.42, 7.8, 8.26, 8.26, 141128
2021-11-24T05:00:00Z, 8.27, 8.515, 8.25, 8.4, 8.4, 156938
2021-11-23T05:00:00Z, 8.31, 8.6, 8.15, 8.23, 8.23, 241854
2021-11-22T05:00:00Z, 8.69, 8.79, 8.22, 8.31, 8.31, 150164
2021-11-19T05:00:00Z, 8.75, 8.9, 8.6, 8.75, 8.75, 237379
2021-11-18T05:00:00Z, 9.01, 9.41, 8.85, 8.89, 8.89, 250456
2021-11-17T05:00:00Z, 10.01, 10.09, 9.11, 9.29, 9.29, 322922
2021-11-16T05:00:00Z, 9.96, 10.39, 9.88, 10.11, 10.11, 376809
2021-11-15T05:00:00Z, 9.75, 10, 9.63, 9.95, 9.95, 359251
2021-11-12T05:00:00Z, 9.49, 9.65, 9.19, 9.64, 9.64, 330650
2021-11-11T05:00:00Z, 9.19, 9.46, 9.27, 9.4, 9.4, 357968
2021-11-10T05:00:00Z, 9.21, 9.32, 9.0035, 9.32, 9.32, 207487
2021-11-09T05:00:00Z, 9.1, 9.47, 8.85, 9.35, 9.35, 120933
2021-11-08T05:00:00Z, 9.18, 9.4, 9.15, 9.27, 9.27, 180220
2021-11-05T04:00:00Z, 9.3, 9.655, 9.18, 9.33, 9.33, 200969
2021-11-04T04:00:00Z, 9.6, 9.69, 9.11, 9.37, 9.37, 178798
2021-11-03T04:00:00Z, 9.66, 9.77, 9.47, 9.6, 9.6, 179735
2021-11-02T04:00:00Z, 9.69, 9.8899, 9.37, 9.62, 9.62, 206494
2021-11-01T04:00:00Z, 9.58, 9.745, 9.26, 9.68, 9.68, 720103
2021-10-29T04:00:00Z, 9.44, 9.5999, 9.27, 9.55, 9.55, 55750
2021-10-28T04:00:00Z, 9.44, 9.5899, 9.4, 9.51, 9.51, 33844
2021-10-27T04:00:00Z, 9.6, 9.625, 9.2601, 9.44, 9.44, 73215
2021-10-26T04:00:00Z, 9.65, 9.88, 9.2501, 9.54, 9.54, 166079
2021-10-25T04:00:00Z, 9.21, 9.92, 9.03, 9.65, 9.65, 263744
2021-10-22T04:00:00Z, 8.93, 9.05, 8.65, 9.01, 9.01, 280435
2021-10-21T04:00:00Z, 8.76, 9.1, 8.6061, 8.92, 8.92, 143620
2021-10-20T04:00:00Z, 9.2, 9.2, 8.52, 8.75, 8.75, 366889
2021-10-19T04:00:00Z, 8.48, 8.76, 8.38, 8.75, 8.75, 151624
2021-10-18T04:00:00Z, 8.38, 8.5, 8.11, 8.38, 8.38, 353245
2021-10-15T04:00:00Z, 8.55, 8.5, 8.23, 8.3, 8.3, 134448
2021-10-14T04:00:00Z, 8.5, 9.71, 8.28, 8.41, 8.41, 880810
2021-10-13T04:00:00Z, 8.3, 9.22, 8.15, 8.58, 8.58, 1681866
2021-10-12T04:00:00Z, 9.08, 9.19, 8.47, 8.48, 8.48, 159235
2021-10-11T04:00:00Z, 9.49, 9.49, 9, 9.15, 9.15, 92488
2021-10-08T04:00:00Z, 9.4, 9.555, 9.29, 9.39, 9.39, 180284
2021-10-07T04:00:00Z, 9.3, 9.63, 9.1, 9.22, 9.22, 75948
2021-10-06T04:00:00Z, 9.15, 9.23, 8.82, 9.2, 9.2, 96832
2021-10-05T04:00:00Z, 9.06, 9.22, 8.7, 9.22, 9.22, 83296
2021-10-04T04:00:00Z, 9.56, 9.79, 8.99, 9, 9, 199750
2021-10-01T04:00:00Z, 9.27, 9.94, 9.08, 9.56, 9.56, 132587
2021-09-30T04:00:00Z, 9.23, 9.4, 8.95, 9.06, 9.06, 462191
2021-09-29T04:00:00Z, 9.45, 9.8204, 9.05, 9.23, 9.23, 127973
2021-09-28T04:00:00Z, 9.53, 9.93, 9.38, 9.4, 9.4, 120587
2021-09-27T04:00:00Z, 9.5, 10.01, 9.26, 9.87, 9.87, 141525
2021-09-24T04:00:00Z, 9.47, 9.64, 9.19, 9.32, 9.32, 217640
2021-09-23T04:00:00Z, 9.22, 9.57, 8.9501, 9.2, 9.2, 106776
2021-09-22T04:00:00Z, 9.08, 9.18, 8.76, 9.07, 9.07, 67949
2021-09-21T04:00:00Z, 9.1, 9.22, 9.05, 9.08, 9.08, 67864
2021-09-20T04:00:00Z, 8.71, 9.2, 8.64, 9.16, 9.16, 128202
2021-09-17T04:00:00Z, 9.2, 9.28, 8.87, 8.88, 8.88, 217280
2021-09-16T04:00:00Z, 9.31, 9.63, 9.1837, 9.2, 9.2, 91525
