Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.22, 1.28, 1.2, 1.23, 1.23, 294663
2022-02-07T05:00:00Z, 1.23, 1.25, 1.18, 1.22, 1.22, 358909
2022-02-04T05:00:00Z, 1.23, 1.24, 1.19, 1.21, 1.21, 215549
2022-02-03T05:00:00Z, 1.27, 1.255, 1.16, 1.19, 1.19, 357956
2022-02-02T05:00:00Z, 1.31, 1.34, 1.22, 1.28, 1.28, 240507
2022-02-01T05:00:00Z, 1.31, 1.35, 1.29, 1.34, 1.34, 277282
2022-01-31T05:00:00Z, 1.2, 1.3, 1.2, 1.3, 1.3, 314931
2022-01-28T05:00:00Z, 1.14, 1.2, 1.13, 1.2, 1.2, 487385
2022-01-27T05:00:00Z, 1.22, 1.23, 1.13, 1.13, 1.13, 392963
2022-01-26T05:00:00Z, 1.25, 1.27, 1.19, 1.24, 1.24, 262628
2022-01-25T05:00:00Z, 1.19, 1.25, 1.15, 1.23, 1.23, 407782
2022-01-24T05:00:00Z, 1.15, 1.21, 1.09, 1.205, 1.205, 661097
2022-01-21T05:00:00Z, 1.25, 1.26, 1.18, 1.21, 1.21, 681235
2022-01-20T05:00:00Z, 1.26, 1.28, 1.22, 1.24, 1.24, 401363
2022-01-19T05:00:00Z, 1.3, 1.3, 1.21, 1.22, 1.22, 620002
2022-01-18T05:00:00Z, 1.31, 1.3599, 1.27, 1.28, 1.28, 410602
2022-01-14T05:00:00Z, 1.35, 1.36, 1.29, 1.34, 1.34, 373445
2022-01-13T05:00:00Z, 1.38, 1.39, 1.33, 1.35, 1.35, 411928
2022-01-12T05:00:00Z, 1.4, 1.41, 1.33, 1.38, 1.38, 675887
2022-01-11T05:00:00Z, 1.37, 1.45, 1.37, 1.39, 1.39, 366523
2022-01-10T05:00:00Z, 1.4, 1.41, 1.3, 1.38, 1.38, 574397
2022-01-07T05:00:00Z, 1.35, 1.42, 1.32, 1.39, 1.39, 457811
2022-01-06T05:00:00Z, 1.38, 1.4001, 1.32, 1.32, 1.32, 380261
2022-01-05T05:00:00Z, 1.5, 1.54, 1.33, 1.37, 1.37, 569605
2022-01-04T05:00:00Z, 1.52, 1.54, 1.43, 1.49, 1.49, 500675
2022-01-03T05:00:00Z, 1.39, 1.55, 1.37, 1.52, 1.52, 840813
2021-12-31T05:00:00Z, 1.44, 1.48, 1.345, 1.35, 1.35, 935010
2021-12-30T05:00:00Z, 1.38, 1.5, 1.36, 1.41, 1.41, 1037096
2021-12-29T05:00:00Z, 1.35, 1.45, 1.3, 1.35, 1.35, 857553
2021-12-28T05:00:00Z, 1.42, 1.44, 1.35, 1.37, 1.37, 709407
2021-12-27T05:00:00Z, 1.45, 1.47, 1.43, 1.43, 1.43, 1041651
2021-12-23T05:00:00Z, 1.47, 1.5, 1.445, 1.47, 1.47, 1004450
2021-12-22T05:00:00Z, 1.47, 1.5, 1.43, 1.47, 1.47, 1103455
2021-12-21T05:00:00Z, 1.48, 1.54, 1.46, 1.5, 1.5, 1368463
2021-12-20T05:00:00Z, 1.39, 1.46, 1.33, 1.39, 1.39, 1781830
2021-12-17T05:00:00Z, 1.44, 1.5767, 1.385, 1.5, 1.5, 3342952
2021-12-16T05:00:00Z, 1.22, 1.58, 1.19, 1.47, 1.47, 8426406
2021-12-15T05:00:00Z, 1.13, 1.27, 1.085, 1.19, 1.19, 5773768
2021-12-14T05:00:00Z, 1.36, 1.4, 1.08, 1.11, 1.11, 9901739
2021-12-13T05:00:00Z, 1.98, 1.9972, 1.87, 1.95, 1.95, 1879384
2021-12-10T05:00:00Z, 2.08, 2.09, 1.98, 1.99, 1.99, 945866
2021-12-09T05:00:00Z, 2.11, 2.135, 2, 2.01, 2.01, 510881
2021-12-08T05:00:00Z, 2.07, 2.15, 2.06, 2.09, 2.09, 428953
2021-12-07T05:00:00Z, 2.08, 2.1615, 2.06, 2.08, 2.08, 709428
2021-12-06T05:00:00Z, 2.04, 2.09, 1.955, 2.03, 2.03, 564929
2021-12-03T05:00:00Z, 2.09, 2.11, 1.97, 2, 2, 742243
2021-12-02T05:00:00Z, 2.12, 2.16, 2.065, 2.09, 2.09, 1029505
2021-12-01T05:00:00Z, 2.28, 2.28, 2.05, 2.07, 2.07, 813445
2021-11-30T05:00:00Z, 2.24, 2.29, 2.15, 2.2, 2.2, 1532731
2021-11-29T05:00:00Z, 2.27, 2.28, 2.175, 2.18, 2.18, 1383822
2021-11-26T05:00:00Z, 2.35, 2.4, 2.24, 2.28, 2.28, 714498
2021-11-24T05:00:00Z, 2.42, 2.495, 2.365, 2.4, 2.4, 794728
2021-11-23T05:00:00Z, 2.41, 2.49, 2.34, 2.45, 2.45, 436292
2021-11-22T05:00:00Z, 2.56, 2.59, 2.4, 2.42, 2.42, 752650
2021-11-19T05:00:00Z, 2.49, 2.56, 2.45, 2.51, 2.51, 450089
2021-11-18T05:00:00Z, 2.61, 2.65, 2.46, 2.46, 2.46, 643828
2021-11-17T05:00:00Z, 2.76, 2.78, 2.51, 2.62, 2.62, 1149842
2021-11-16T05:00:00Z, 2.57, 2.77, 2.522, 2.76, 2.76, 1235252
2021-11-15T05:00:00Z, 2.63, 2.65, 2.53, 2.58, 2.58, 957203
2021-11-12T05:00:00Z, 2.56, 2.76, 2.551, 2.64, 2.64, 2033880
2021-11-11T05:00:00Z, 2.38, 2.45, 2.36, 2.4, 2.4, 517554
2021-11-10T05:00:00Z, 2.45, 2.505, 2.37, 2.39, 2.39, 640046
2021-11-09T05:00:00Z, 2.46, 2.51, 2.35, 2.44, 2.44, 740454
2021-11-08T05:00:00Z, 2.47, 2.53, 2.42, 2.44, 2.44, 884979
2021-11-05T04:00:00Z, 2.48, 2.51, 2.37, 2.44, 2.44, 896888
2021-11-04T04:00:00Z, 2.5, 2.5, 2.31, 2.48, 2.48, 1387765
2021-11-03T04:00:00Z, 2.4, 2.51, 2.3601, 2.48, 2.48, 1140883
2021-11-02T04:00:00Z, 2.18, 2.39, 2.15, 2.38, 2.38, 1084642
2021-11-01T04:00:00Z, 2.1, 2.24, 2.08, 2.2, 2.2, 931820
2021-10-29T04:00:00Z, 2.15, 2.17, 2.04, 2.05, 2.05, 921763
2021-10-28T04:00:00Z, 2.04, 2.175, 2.03, 2.16, 2.16, 1416029
2021-10-27T04:00:00Z, 2.1, 2.15, 2.02, 2.04, 2.04, 1108861
2021-10-26T04:00:00Z, 2.15, 2.17, 2.08, 2.09, 2.09, 2330720
2021-10-25T04:00:00Z, 2.17, 2.31, 2.12, 2.14, 2.14, 1464961
2021-10-22T04:00:00Z, 2.17, 2.21, 2.14, 2.19, 2.19, 413179
2021-10-21T04:00:00Z, 2.12, 2.26, 2.11, 2.23, 2.23, 574581
2021-10-20T04:00:00Z, 2.17, 2.22, 2.12, 2.12, 2.12, 2415068
2021-10-19T04:00:00Z, 2.24, 2.3, 2.14, 2.18, 2.18, 1522235
2021-10-18T04:00:00Z, 2.28, 2.3, 2.15, 2.26, 2.26, 641570
2021-10-15T04:00:00Z, 2.29, 2.38, 2.2801, 2.3, 2.3, 638996
2021-10-14T04:00:00Z, 2.28, 2.31, 2.2524, 2.31, 2.31, 398290
2021-10-13T04:00:00Z, 2.189, 2.29, 2.17, 2.28, 2.28, 593972
2021-10-12T04:00:00Z, 2.24, 2.24, 2.1084, 2.19, 2.19, 746488
2021-10-11T04:00:00Z, 2.17, 2.23, 2.1636, 2.21, 2.21, 158142
2021-10-08T04:00:00Z, 2.22, 2.22, 2.17, 2.17, 2.17, 368108
2021-10-07T04:00:00Z, 2.24, 2.33, 2.2001, 2.21, 2.21, 318500
2021-10-06T04:00:00Z, 2.2, 2.34, 2.1705, 2.23, 2.23, 593046
2021-10-05T04:00:00Z, 2.23, 2.2686, 2.18, 2.23, 2.23, 278910
2021-10-04T04:00:00Z, 2.359, 2.36, 2.2, 2.23, 2.23, 653206
2021-10-01T04:00:00Z, 2.25, 2.38, 2.18, 2.36, 2.36, 912282
2021-09-30T04:00:00Z, 2.311, 2.34, 2.16, 2.18, 2.18, 1376311
2021-09-29T04:00:00Z, 2.41, 2.42, 2.26, 2.3, 2.3, 1074618
2021-09-28T04:00:00Z, 2.48, 2.49, 2.41, 2.41, 2.41, 617643
2021-09-27T04:00:00Z, 2.49, 2.57, 2.45, 2.5, 2.5, 1073852
2021-09-24T04:00:00Z, 2.63, 2.63, 2.473, 2.51, 2.51, 938104
2021-09-23T04:00:00Z, 2.61, 2.63, 2.53, 2.6, 2.6, 992642
2021-09-22T04:00:00Z, 2.64, 2.67, 2.58, 2.61, 2.61, 590238
2021-09-21T04:00:00Z, 2.62, 2.67, 2.58, 2.65, 2.65, 905987
2021-09-20T04:00:00Z, 2.65, 2.69, 2.55, 2.56, 2.56, 571436
2021-09-17T04:00:00Z, 2.71, 2.74, 2.67, 2.69, 2.69, 473239
2021-09-16T04:00:00Z, 2.7, 2.74, 2.65, 2.7, 2.7, 672273
2021-09-15T04:00:00Z, 2.71, 2.775, 2.67, 2.71, 2.71, 597019
2021-09-14T04:00:00Z, 2.76, 2.775, 2.67, 2.69, 2.69, 677654
2021-09-13T04:00:00Z, 2.86, 2.94, 2.74, 2.74, 2.74, 991844
2021-09-10T04:00:00Z, 2.95, 2.96, 2.81, 2.89, 2.89, 462949
2021-09-09T04:00:00Z, 2.92, 3, 2.8997, 2.94, 2.94, 403303
2021-09-08T04:00:00Z, 2.95, 3.025, 2.85, 2.94, 2.94, 804808
2021-09-07T04:00:00Z, 2.97, 3.03, 2.86, 2.95, 2.95, 546267
2021-09-03T04:00:00Z, 3.07, 3.11, 2.9024, 2.96, 2.96, 907531
2021-09-02T04:00:00Z, 2.92, 3.125, 2.91, 3.09, 3.09, 1297392
2021-09-01T04:00:00Z, 2.96, 2.99, 2.88, 2.9, 2.9, 578989
2021-08-31T04:00:00Z, 2.91, 3.01, 2.88, 2.99, 2.99, 868441
2021-08-30T04:00:00Z, 2.97, 3.07, 2.845, 2.9, 2.9, 1297108
2021-08-27T04:00:00Z, 3, 3.04, 2.88, 2.96, 2.96, 1704858
2021-08-26T04:00:00Z, 2.79, 3.05, 2.78, 2.98, 2.98, 1532433
2021-08-25T04:00:00Z, 2.81, 2.93, 2.7, 2.76, 2.76, 1552912
2021-08-24T04:00:00Z, 2.7, 2.93, 2.7, 2.86, 2.86, 1443083
2021-08-23T04:00:00Z, 2.58, 2.7, 2.555, 2.69, 2.69, 980125
2021-08-20T04:00:00Z, 2.34, 2.64, 2.32, 2.54, 2.54, 1241673
2021-08-19T04:00:00Z, 2.43, 2.47, 2.34, 2.35, 2.35, 869701
2021-08-18T04:00:00Z, 2.491, 2.51, 2.4499, 2.46, 2.46, 500630
2021-08-17T04:00:00Z, 2.5, 2.51, 2.43, 2.51, 2.51, 468538
2021-08-16T04:00:00Z, 2.64, 2.6499, 2.495, 2.5, 2.5, 639847
2021-08-13T04:00:00Z, 2.7, 2.81, 2.61, 2.63, 2.63, 734293
2021-08-12T04:00:00Z, 2.53, 2.64, 2.52, 2.6, 2.6, 695364
2021-08-11T04:00:00Z, 2.72, 2.74, 2.51, 2.52, 2.52, 1392292
2021-08-10T04:00:00Z, 2.8, 2.81, 2.68, 2.69, 2.69, 634040
2021-08-09T04:00:00Z, 2.86, 2.9, 2.77, 2.78, 2.78, 601027
2021-08-06T04:00:00Z, 2.659, 2.85, 2.65, 2.85, 2.85, 1443024
2021-08-05T04:00:00Z, 2.62, 2.735, 2.58, 2.61, 2.61, 1136051
2021-08-04T04:00:00Z, 2.7, 2.7499, 2.59, 2.6, 2.6, 816022
2021-08-03T04:00:00Z, 2.66, 2.79, 2.63, 2.63, 2.63, 1260461
2021-08-02T04:00:00Z, 2.68, 2.72, 2.63, 2.66, 2.66, 1289900
2021-07-30T04:00:00Z, 2.62, 2.78, 2.6, 2.69, 2.69, 856138
2021-07-29T04:00:00Z, 2.7, 2.74, 2.61, 2.61, 2.61, 695597
2021-07-28T04:00:00Z, 2.61, 2.755, 2.59, 2.7, 2.7, 583735
2021-07-27T04:00:00Z, 2.74, 2.75, 2.55, 2.65, 2.65, 2651082
2021-07-26T04:00:00Z, 2.77, 2.87, 2.71, 2.72, 2.72, 824804
2021-07-23T04:00:00Z, 2.83, 2.865, 2.7101, 2.76, 2.76, 744015
2021-07-22T04:00:00Z, 2.93, 2.98, 2.82, 2.83, 2.83, 626230
2021-07-21T04:00:00Z, 2.88, 2.99, 2.8605, 2.92, 2.92, 799593
2021-07-20T04:00:00Z, 2.91, 2.93, 2.8124, 2.85, 2.85, 673619
2021-07-19T04:00:00Z, 2.77, 2.93, 2.75, 2.89, 2.89, 978866
2021-07-16T04:00:00Z, 2.9, 2.94, 2.79, 2.86, 2.86, 930934
2021-07-15T04:00:00Z, 2.98, 3, 2.77, 2.86, 2.86, 3054566
2021-07-14T04:00:00Z, 3.03, 3.125, 2.95, 2.98, 2.98, 2330583
2021-07-13T04:00:00Z, 3.18, 3.23, 2.99, 3.03, 3.03, 2205296
2021-07-12T04:00:00Z, 3.261, 3.27, 3.16, 3.17, 3.17, 844700
2021-07-09T04:00:00Z, 3.24, 3.28, 3.17, 3.23, 3.23, 1459972
2021-07-08T04:00:00Z, 3.24, 3.28, 3.21, 3.23, 3.23, 1299291
2021-07-07T04:00:00Z, 3.27, 3.365, 3.2226, 3.32, 3.32, 1017460
2021-07-06T04:00:00Z, 3.33, 3.35, 3.25, 3.26, 3.26, 837624
2021-07-02T04:00:00Z, 3.39, 3.4, 3.2777, 3.34, 3.34, 798790
2021-07-01T04:00:00Z, 3.32, 3.43, 3.24, 3.41, 3.41, 1918058
2021-06-30T04:00:00Z, 3.36, 3.42, 3.29, 3.32, 3.32, 1007514
2021-06-29T04:00:00Z, 3.41, 3.43, 3.321, 3.36, 3.36, 1136015
2021-06-28T04:00:00Z, 3.41, 3.45, 3.32, 3.39, 3.39, 1257578
2021-06-25T04:00:00Z, 3.49, 3.49, 3.34, 3.4, 3.4, 1079396
2021-06-24T04:00:00Z, 3.38, 3.46, 3.37, 3.41, 3.41, 725516
2021-06-23T04:00:00Z, 3.32, 3.37, 3.285, 3.34, 3.34, 1040674
2021-06-22T04:00:00Z, 3.34, 3.34, 3.22, 3.31, 3.31, 1298600
2021-06-21T04:00:00Z, 3.44, 3.45, 3.288, 3.33, 3.33, 1027065
2021-06-18T04:00:00Z, 3.41, 3.525, 3.38, 3.4, 3.4, 1172180
2021-06-17T04:00:00Z, 3.42, 3.56, 3.36, 3.47, 3.47, 1239220
2021-06-16T04:00:00Z, 3.51, 3.6, 3.33, 3.38, 3.38, 3666662
2021-06-15T04:00:00Z, 3.8, 3.8, 3.5, 3.5, 3.5, 3258273
2021-06-14T04:00:00Z, 3.95, 4, 3.71, 3.72, 3.72, 3562191
2021-06-11T04:00:00Z, 4.21, 4.23, 3.61, 3.76, 3.76, 12941220
2021-06-10T04:00:00Z, 5.46, 5.69, 5.35, 5.53, 5.53, 1558033
2021-06-09T04:00:00Z, 5.59, 5.59, 5.32, 5.35, 5.35, 590857
2021-06-08T04:00:00Z, 5.57, 5.7827, 5.4, 5.5, 5.5, 964274
2021-06-07T04:00:00Z, 5.41, 5.583, 5.35, 5.45, 5.45, 814795
2021-06-04T04:00:00Z, 5.48, 5.5, 5.29, 5.31, 5.31, 494296
2021-06-03T04:00:00Z, 5.46, 5.53, 5.34, 5.43, 5.43, 329292
2021-06-02T04:00:00Z, 5.45, 5.625, 5.3, 5.52, 5.52, 697682
2021-06-01T04:00:00Z, 5.35, 5.62, 5.3, 5.45, 5.45, 487944
2021-05-28T04:00:00Z, 5.22, 5.42, 5.22, 5.3, 5.3, 352216
2021-05-27T04:00:00Z, 5.27, 5.32, 5.14, 5.21, 5.21, 395912
2021-05-26T04:00:00Z, 5.16, 5.38, 5.13, 5.31, 5.31, 363732
2021-05-25T04:00:00Z, 5.24, 5.33, 5.16, 5.18, 5.18, 234438
2021-05-24T04:00:00Z, 5.42, 5.44, 5.195, 5.26, 5.26, 353653
2021-05-21T04:00:00Z, 5.38, 5.45, 5.225, 5.4, 5.4, 332738
2021-05-20T04:00:00Z, 5.16, 5.4, 5.14, 5.35, 5.35, 360031
2021-05-19T04:00:00Z, 5.18, 5.24, 5.04, 5.15, 5.15, 614603
2021-05-18T04:00:00Z, 4.93, 5.33, 4.93, 5.24, 5.24, 811542
2021-05-17T04:00:00Z, 4.84, 4.955, 4.82, 4.92, 4.92, 306249
2021-05-14T04:00:00Z, 4.68, 4.89, 4.615, 4.86, 4.86, 355847
2021-05-13T04:00:00Z, 4.82, 4.85, 4.525, 4.61, 4.61, 616853
2021-05-12T04:00:00Z, 4.83, 4.88, 4.74, 4.77, 4.77, 425224
2021-05-11T04:00:00Z, 4.55, 4.88, 4.51, 4.83, 4.83, 657095
2021-05-10T04:00:00Z, 4.88, 4.88, 4.705, 4.75, 4.75, 627366
2021-05-07T04:00:00Z, 4.85, 4.98, 4.75, 4.85, 4.85, 909554
2021-05-06T04:00:00Z, 4.86, 4.91, 4.71, 4.85, 4.85, 789650
2021-05-05T04:00:00Z, 5.31, 5.34, 4.9, 4.92, 4.92, 2199273
2021-05-04T04:00:00Z, 5.51, 5.55, 5.3, 5.49, 5.49, 1053121
2021-05-03T04:00:00Z, 5.65, 5.72, 5.52, 5.58, 5.58, 826283
2021-04-30T04:00:00Z, 5.75, 5.84, 5.53, 5.64, 5.64, 908705
2021-04-29T04:00:00Z, 5.68, 5.75, 5.49, 5.63, 5.63, 1076293
2021-04-28T04:00:00Z, 5.2, 5.56, 5.1, 5.46, 5.46, 717669
2021-04-27T04:00:00Z, 5.32, 5.38, 5.15, 5.16, 5.16, 400270
2021-04-26T04:00:00Z, 5.11, 5.3, 5.06, 5.28, 5.28, 672975
2021-04-23T04:00:00Z, 5.07, 5.15, 4.99, 5.12, 5.12, 492668
2021-04-22T04:00:00Z, 4.96, 5.07, 4.84, 5.04, 5.04, 699910
2021-04-21T04:00:00Z, 4.84, 4.885, 4.735, 4.85, 4.85, 937592
2021-04-20T04:00:00Z, 5.02, 5.09, 4.73, 4.79, 4.79, 1170279
2021-04-19T04:00:00Z, 5.14, 5.1808, 4.97, 5.05, 5.05, 895880
2021-04-16T04:00:00Z, 5.5, 5.5, 5.07, 5.115, 5.115, 1259617
2021-04-15T04:00:00Z, 5.25, 5.49, 5.24, 5.48, 5.48, 1523345
2021-04-14T04:00:00Z, 5.11, 5.28, 5.02, 5.19, 5.19, 1068906
2021-04-13T04:00:00Z, 5.1, 5.14, 4.96, 5.11, 5.11, 971582
2021-04-12T04:00:00Z, 5.27, 5.26, 5.015, 5.04, 5.04, 947030
2021-04-09T04:00:00Z, 5.19, 5.36, 5.09, 5.25, 5.25, 1529060
2021-04-08T04:00:00Z, 5.68, 5.72, 5.16, 5.17, 5.17, 3021769
2021-04-07T04:00:00Z, 5.62, 5.855, 5.565, 5.63, 5.63, 1077792
2021-04-06T04:00:00Z, 5.78, 5.875, 5.58, 5.61, 5.61, 1380787
2021-04-05T04:00:00Z, 6.04, 6.06, 5.7271, 5.8, 5.8, 1415286
2021-04-01T04:00:00Z, 6.06, 6.09, 5.87, 6, 6, 1430860
2021-03-31T04:00:00Z, 6.23, 6.24, 5.83, 5.975, 5.975, 2259487
2021-03-30T04:00:00Z, 5.8, 6.46, 5.72, 6.22, 6.22, 4847526
2021-03-29T04:00:00Z, 5.84, 5.95, 5.52, 5.88, 5.88, 2536903
2021-03-26T04:00:00Z, 5.71, 6.0999, 5.64, 5.91, 5.91, 4532889
2021-03-25T04:00:00Z, 5.63, 6.03, 5, 5.88, 5.88, 12074152
2021-03-24T04:00:00Z, 5.25, 7.2, 5.15, 6.1, 6.1, 180605039
2021-03-23T04:00:00Z, 4, 4.03, 3.65, 3.67, 3.67, 6067900
2021-03-22T04:00:00Z, 3.94, 4.01, 3.895, 3.9, 3.9, 502777
2021-03-19T04:00:00Z, 3.84, 3.97, 3.82, 3.9, 3.9, 520936
2021-03-18T04:00:00Z, 3.94, 3.99, 3.8013, 3.81, 3.81, 405678
2021-03-17T04:00:00Z, 3.85, 3.94, 3.81, 3.94, 3.94, 360152
2021-03-16T04:00:00Z, 3.91, 3.96, 3.82, 3.89, 3.89, 295015
2021-03-15T04:00:00Z, 3.98, 4.045, 3.85, 3.89, 3.89, 611154
2021-03-12T05:00:00Z, 3.91, 3.96, 3.81, 3.95, 3.95, 396625
2021-03-11T05:00:00Z, 3.82, 3.96, 3.78, 3.94, 3.94, 629414
2021-03-10T05:00:00Z, 3.83, 3.86, 3.69, 3.72, 3.72, 663923
2021-03-09T05:00:00Z, 3.55, 3.85, 3.54, 3.76, 3.76, 875408
2021-03-08T05:00:00Z, 3.73, 3.78, 3.46, 3.5, 3.5, 1368896
2021-03-05T05:00:00Z, 3.85, 3.88, 3.3901, 3.75, 3.75, 2171690
2021-03-04T05:00:00Z, 3.98, 4.1, 3.61, 3.71, 3.71, 2515734
2021-03-03T05:00:00Z, 4.05, 4.15, 3.9, 3.94, 3.94, 1052942
2021-03-02T05:00:00Z, 4.03, 4.135, 3.9, 4.04, 4.04, 834099
2021-03-01T05:00:00Z, 3.99, 4.08, 3.93, 4.04, 4.04, 631098
2021-02-26T05:00:00Z, 3.99, 4.047, 3.85, 3.96, 3.96, 870223
2021-02-25T05:00:00Z, 4.16, 4.19, 3.88, 3.98, 3.98, 1353163
2021-02-24T05:00:00Z, 4.22, 4.27, 4.05, 4.16, 4.16, 851558
2021-02-23T05:00:00Z, 4.24, 4.29, 3.94, 4.12, 4.12, 1322068
2021-02-22T05:00:00Z, 4.44, 4.5, 4.3, 4.3, 4.3, 860318
2021-02-19T05:00:00Z, 4.63, 4.7, 4.3, 4.31, 4.31, 1339758
2021-02-18T05:00:00Z, 4.5, 4.51, 4.24, 4.26, 4.26, 1033407
2021-02-17T05:00:00Z, 4.69, 4.75, 4.441, 4.54, 4.54, 629264
2021-02-16T05:00:00Z, 4.65, 4.82, 4.62, 4.69, 4.69, 976385
