Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.14, 14.23, 14.12, 14.14, 14.14, 1390532
2022-02-07T05:00:00Z, 14.07, 14.19, 14.01, 14.13, 14.13, 1911140
2022-02-04T05:00:00Z, 14.03, 14.1, 13.9, 14.04, 14.04, 1012983
2022-02-03T05:00:00Z, 14.25, 14.29, 14.1, 14.13, 14.13, 1465504
2022-02-02T05:00:00Z, 14.2, 14.36, 14.18, 14.29, 14.29, 1625023
2022-02-01T05:00:00Z, 14.29, 14.38, 14.0937, 14.18, 14.18, 1703461
2022-01-31T05:00:00Z, 14, 14.3299, 13.96, 14.29, 14.29, 1905992
2022-01-28T05:00:00Z, 13.75, 13.99, 13.715, 13.99, 13.99, 1837089
2022-01-27T05:00:00Z, 13.86, 13.99, 13.76, 13.8, 13.8, 2128466
2022-01-26T05:00:00Z, 13.795, 13.97, 13.67, 13.73, 13.73, 2899598
2022-01-25T05:00:00Z, 13.64, 13.87, 13.56, 13.68, 13.68, 2670824
2022-01-24T05:00:00Z, 13.84, 13.92, 13.5, 13.81, 13.81, 3676790
2022-01-21T05:00:00Z, 14.13, 14.14, 13.955, 14.02, 14.02, 2533985
2022-01-20T05:00:00Z, 14.24, 14.4066, 14.17, 14.18, 14.18, 1934903
2022-01-19T05:00:00Z, 14.09, 14.21, 13.985, 14.16, 14.16, 2034290
2022-01-18T05:00:00Z, 14, 14.095, 13.8, 14.05, 14.05, 3182785
2022-01-14T05:00:00Z, 14.02, 14.05, 13.77, 13.84, 13.84, 1732188
2022-01-13T05:00:00Z, 13.97, 14.09, 13.9343, 14.02, 14.02, 1765895
2022-01-12T05:00:00Z, 13.98, 14.02, 13.89, 13.94, 13.94, 3878126
2022-01-11T05:00:00Z, 14.01, 14.09, 13.9, 13.95, 13.95, 8905613
2022-01-10T05:00:00Z, 14.15, 14.16, 13.905, 14.02, 14.02, 3024290
2022-01-07T05:00:00Z, 14.07, 14.275, 14.02, 14.18, 14.18, 1688336
2022-01-06T05:00:00Z, 14.1, 14.29, 14.02, 14.08, 14.08, 3597379
2022-01-05T05:00:00Z, 14.29, 14.36, 14.115, 14.12, 14.12, 1549916
2022-01-04T05:00:00Z, 14.38, 14.42, 14.25, 14.29, 14.29, 1445006
2022-01-03T05:00:00Z, 14.46, 14.47, 14.205, 14.35, 14.35, 1060789
2021-12-31T05:00:00Z, 14.47, 14.53, 14.411, 14.45, 14.45, 1064296
2021-12-30T05:00:00Z, 14.3, 14.5, 14.29, 14.43, 14.43, 1257869
2021-12-29T05:00:00Z, 14.39, 14.47, 14.3, 14.45, 14.45, 1121236
2021-12-28T05:00:00Z, 14.45, 14.5, 14.39, 14.41, 14.41, 1819967
2021-12-27T05:00:00Z, 14.27, 14.41, 14.225, 14.4, 14.4, 828668
2021-12-23T05:00:00Z, 14.29, 14.37, 14.2501, 14.32, 14.32, 834847
2021-12-22T05:00:00Z, 14.1, 14.26, 14.05, 14.25, 14.25, 2643432
2021-12-21T05:00:00Z, 14.06, 14.265, 14.03, 14.12, 14.12, 3055110
2021-12-20T05:00:00Z, 13.78, 14.01, 13.77, 14, 14, 3001779
2021-12-17T05:00:00Z, 13.83, 14.04, 13.74, 13.92, 13.92, 3950330
2021-12-16T05:00:00Z, 13.78, 13.9163, 13.75, 13.83, 13.83, 2275305
2021-12-15T05:00:00Z, 13.6, 13.785, 13.44, 13.77, 13.77, 4063529
2021-12-14T05:00:00Z, 13.87, 13.9, 13.505, 13.66, 13.66, 6000804
2021-12-13T05:00:00Z, 13.81, 14.01, 13.81, 13.99, 13.99, 2048551
2021-12-10T05:00:00Z, 13.93, 14.01, 13.825, 13.88, 13.88, 1945937
2021-12-09T05:00:00Z, 14.01, 14.045, 13.87, 13.9, 13.9, 1090496
2021-12-08T05:00:00Z, 14.12, 14.2, 14.01, 14.03, 14.03, 2766765
2021-12-07T05:00:00Z, 13.94, 14.145, 13.92, 14.08, 14.08, 4577205
2021-12-06T05:00:00Z, 13.65, 13.89, 13.61, 13.84, 13.84, 2129873
2021-12-03T05:00:00Z, 13.6, 13.64, 13.45, 13.54, 13.54, 4609979
2021-12-02T05:00:00Z, 13.5, 13.66, 13.47, 13.56, 13.56, 1938120
2021-12-01T05:00:00Z, 13.68, 13.83, 13.43, 13.45, 13.45, 2977373
2021-11-30T05:00:00Z, 13.67, 13.78, 13.385, 13.53, 13.53, 3158132
2021-11-29T05:00:00Z, 13.79, 13.8, 13.615, 13.76, 13.76, 3835235
2021-11-26T05:00:00Z, 13.78, 13.83, 13.64, 13.7, 13.7, 1229426
2021-11-24T05:00:00Z, 13.88, 13.95, 13.795, 13.87, 13.87, 1344719
2021-11-23T05:00:00Z, 13.95, 14.01, 13.875, 13.91, 13.91, 1947872
2021-11-22T05:00:00Z, 14.22, 14.23, 13.99, 14, 14, 2999157
2021-11-19T05:00:00Z, 14.15, 14.24, 14.13, 14.2, 14.2, 2264098
2021-11-18T05:00:00Z, 14.12, 14.27, 14.035, 14.15, 14.15, 2906747
2021-11-17T05:00:00Z, 14.12, 14.14, 13.97, 14.11, 14.11, 2561489
2021-11-16T05:00:00Z, 14.29, 14.3799, 14.14, 14.15, 14.15, 2427800
2021-11-15T05:00:00Z, 14.28, 14.31, 14.15, 14.27, 14.27, 3278263
2021-11-12T05:00:00Z, 14.185, 14.24, 13.93, 14.2, 14.2, 2422155
2021-11-11T05:00:00Z, 14.3, 14.34, 13.96, 14.12, 14.12, 4119956
