Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.89, 9.89, 9.89, 9.89, 9.89, 7350
2022-02-07T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 1572
2022-02-04T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2022-02-03T05:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2022-02-02T05:00:00Z, 9.9, 9.99, 9.86, 9.99, 9.99, 101714
2022-02-01T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2022-01-31T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 902
2022-01-28T05:00:00Z, 9.88, 9.88, 9.88, 9.88, 9.88, 1512
2022-01-27T05:00:00Z, 9.89, 9.89, 9.89, 9.89, 9.89, 6180
2022-01-26T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2022-01-25T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2022-01-24T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 208
2022-01-21T05:00:00Z, 9.85, 9.94, 9.94, 9.94, 9.94, 51155
2022-01-20T05:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 0
2022-01-19T05:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 0
2022-01-18T05:00:00Z, 9.94, 9.94, 9.94, 9.94, 9.94, 0
2022-01-14T05:00:00Z, 10, 9.94, 9.93, 9.94, 9.94, 401
2022-01-13T05:00:00Z, 9.93, 9.93, 9.93, 9.93, 9.93, 300
2022-01-12T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-11T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-10T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-07T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-06T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-05T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-04T05:00:00Z, 10.01, 10.01, 10.01, 10.01, 10.01, 0
2022-01-03T05:00:00Z, 9.85, 10.01, 9.85, 10.01, 10.01, 200
2021-12-31T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-30T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-29T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-28T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-27T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-23T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-12-22T05:00:00Z, 9.92, 10.02, 9.9, 10.02, 10.02, 800
2021-12-21T05:00:00Z, 9.9418, 9.9418, 9.9418, 9.9418, 9.9418, 0
2021-12-20T05:00:00Z, 10.02, 9.965, 9.9418, 9.9418, 9.9418, 311
2021-12-17T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-16T05:00:00Z, 10.02, 9.98, 9.98, 9.98, 9.98, 1117
2021-12-15T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-14T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-13T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-10T05:00:00Z, 9.96, 9.98, 9.96, 9.96, 9.96, 10667
2021-12-09T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-12-08T05:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 200
2021-12-07T05:00:00Z, 10, 10.02, 9.88, 10.02, 10.02, 2200
2021-12-06T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-03T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-02T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-12-01T05:00:00Z, 10.01, 9.98, 9.98, 9.98, 9.98, 102
2021-11-30T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 220
2021-11-29T05:00:00Z, 9.965, 10.02, 10, 10, 10, 765
2021-11-26T05:00:00Z, 10, 10, 10, 10, 10, 573
2021-11-24T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 102
2021-11-23T05:00:00Z, 10, 10, 10, 10, 10, 246
2021-11-22T05:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 137
2021-11-19T05:00:00Z, 9.99, 10.005, 9.9901, 10.005, 10.005, 1765
2021-11-18T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-11-17T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 0
2021-11-16T05:00:00Z, 10.02, 10.02, 10.02, 10.02, 10.02, 200
2021-11-15T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-12T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-11T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-10T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-09T05:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-08T05:00:00Z, 9.97, 10, 10, 10, 10, 219
2021-11-05T04:00:00Z, 10, 10, 10, 10, 10, 3000
2021-11-04T04:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-03T04:00:00Z, 10, 10, 10, 10, 10, 0
2021-11-02T04:00:00Z, 9.94, 10, 9.94, 10, 10, 6968
2021-11-01T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-10-29T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 0
2021-10-28T04:00:00Z, 9.96, 9.96, 9.96, 9.96, 9.96, 253
2021-10-27T04:00:00Z, 9.94, 9.95, 9.94, 9.95, 9.95, 6601
2021-10-26T04:00:00Z, 9.95, 9.94, 9.94, 9.94, 9.94, 287
2021-10-25T04:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 374
2021-10-22T04:00:00Z, 9.93, 9.94, 9.89, 9.94, 9.94, 3000
2021-10-21T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-10-20T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-10-19T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-10-18T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-10-15T04:00:00Z, 9.99, 9.99, 9.9, 9.99, 9.99, 1105
2021-10-14T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-13T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-12T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 440
2021-10-11T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-10-08T04:00:00Z, 9.94, 9.99, 9.87, 9.99, 9.99, 3985
2021-10-07T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-06T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-05T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-04T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-10-01T04:00:00Z, 9.98, 9.98, 9.98, 9.98, 9.98, 0
2021-09-30T04:00:00Z, 9.95, 9.98, 9.95, 9.98, 9.98, 300
2021-09-29T04:00:00Z, 9.99, 9.99, 9.99, 9.99, 9.99, 0
2021-09-28T04:00:00Z, 9.99, 9.99, 9.9, 9.99, 9.99, 200
2021-09-27T04:00:00Z, 9.9506, 9.9506, 9.9506, 9.9506, 9.9506, 0
2021-09-24T04:00:00Z, 9.9, 9.9506, 9.9506, 9.9506, 9.9506, 300
2021-09-23T04:00:00Z, 9.88, 9.88, 9.88, 9.88, 9.88, 0
2021-09-22T04:00:00Z, 9.87, 9.88, 9.87, 9.88, 9.88, 984
2021-09-21T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-20T04:00:00Z, 9.9, 9.9, 9.85, 9.9, 9.9, 4053
2021-09-17T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-16T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-15T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-14T04:00:00Z, 9.95, 9.93, 9.89, 9.9, 9.9, 2300
2021-09-13T04:00:00Z, 9.865, 9.865, 9.865, 9.865, 9.865, 0
2021-09-10T04:00:00Z, 9.865, 9.865, 9.865, 9.865, 9.865, 0
2021-09-09T04:00:00Z, 9.865, 9.865, 9.865, 9.865, 9.865, 0
2021-09-08T04:00:00Z, 9.865, 9.865, 9.865, 9.865, 9.865, 0
2021-09-07T04:00:00Z, 9.79, 9.88, 9.865, 9.865, 9.865, 301
2021-09-03T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-02T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-09-01T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-31T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-30T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-27T04:00:00Z, 9.91, 9.91, 9.9, 9.9, 9.9, 2802
2021-08-26T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 1500
2021-08-25T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-24T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-23T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-20T04:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 0
2021-08-19T04:00:00Z, 9.9, 9.9, 9.89, 9.9, 9.9, 5515
2021-08-18T04:00:00Z, 9.91, 9.91, 9.91, 9.91, 9.91, 0
2021-08-17T04:00:00Z, 9.95, 9.99, 9.9, 9.91, 9.91, 4606
2021-08-16T04:00:00Z, 10, 10, 9.92, 10, 10, 275
2021-08-13T04:00:00Z, 10, 10, 10, 10, 10, 0
2021-08-12T04:00:00Z, 10, 10, 10, 10, 10, 0
2021-08-11T04:00:00Z, 10, 10, 10, 10, 10, 0
2021-08-10T04:00:00Z, 10, 10, 10, 10, 10, 0
