Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 85.84, 89.83, 85.3, 87.47, 87.47, 378473
2022-02-07T05:00:00Z, 90.67, 90.75, 84, 85.37, 85.37, 490877
2022-02-04T05:00:00Z, 92.31, 93.34, 88.12, 89.62, 89.62, 340395
2022-02-03T05:00:00Z, 92.6, 94.78, 90.4, 92.84, 92.84, 355683
2022-02-02T05:00:00Z, 96.01, 96.92, 91.53, 93.52, 93.52, 593237
2022-02-01T05:00:00Z, 95, 98.95, 89.54, 93.63, 93.63, 1043834
2022-01-31T05:00:00Z, 85.45, 88.78, 84.5, 88.44, 88.44, 412238
2022-01-28T05:00:00Z, 84.29, 85.98, 82.1, 85.8, 85.8, 418535
2022-01-27T05:00:00Z, 88, 88.23, 82.66, 83.88, 83.88, 544351
2022-01-26T05:00:00Z, 91.11, 92.3, 85.48, 86.61, 86.61, 283932
2022-01-25T05:00:00Z, 88.22, 90.705, 86.13, 87.91, 87.91, 310814
2022-01-24T05:00:00Z, 83.5, 91.6599, 81, 91.43, 91.43, 531509
2022-01-21T05:00:00Z, 87.77, 88.77, 84.46, 84.91, 84.91, 517863
2022-01-20T05:00:00Z, 92.04, 92.66, 88.2117, 88.59, 88.59, 334150
2022-01-19T05:00:00Z, 92.85, 94.3, 89.43, 90.29, 90.29, 323763
2022-01-18T05:00:00Z, 88.45, 92.96, 87.26, 92.28, 92.28, 412357
2022-01-14T05:00:00Z, 90.09, 91, 88, 90.76, 90.76, 542314
2022-01-13T05:00:00Z, 94.98, 95.2, 91.34, 91.63, 91.63, 314911
2022-01-12T05:00:00Z, 96.5, 99.23, 94.2, 94.67, 94.67, 394106
2022-01-11T05:00:00Z, 99.74, 100.8, 93.71, 95.04, 95.04, 582123
2022-01-10T05:00:00Z, 99.66, 100.065, 93.68, 98.88, 98.88, 562090
2022-01-07T05:00:00Z, 103, 104.08, 98.545, 100.58, 100.58, 652252
2022-01-06T05:00:00Z, 102.46, 105.63, 99.34, 103.21, 103.21, 684330
2022-01-05T05:00:00Z, 114.75, 115.2458, 102.01, 103.35, 103.35, 1142238
2022-01-04T05:00:00Z, 112.97, 116.6404, 112.62, 115.46, 115.46, 378111
2022-01-03T05:00:00Z, 122.75, 124.03, 110.71, 112.67, 112.67, 948131
2021-12-31T05:00:00Z, 116.95, 121.6139, 115.84, 119.85, 119.85, 595026
2021-12-30T05:00:00Z, 121.57, 122.68, 116.64, 116.95, 116.95, 435313
2021-12-29T05:00:00Z, 120.38, 123.52, 120.29, 121.82, 121.82, 309134
2021-12-28T05:00:00Z, 123.69, 125, 119.4, 120.33, 120.33, 506988
2021-12-27T05:00:00Z, 114.8, 123.26, 114.4, 121.78, 121.78, 1029796
2021-12-23T05:00:00Z, 108.52, 113.71, 108.33, 111.64, 111.64, 436020
2021-12-22T05:00:00Z, 106.54, 109.13, 106.54, 107.97, 107.97, 256227
2021-12-21T05:00:00Z, 103.92, 107.115, 102.79, 106.54, 106.54, 287590
2021-12-20T05:00:00Z, 102.68, 104.135, 97.58, 101.57, 101.57, 539045
2021-12-17T05:00:00Z, 102.5, 106.64, 101.15, 105.87, 105.87, 1607198
2021-12-16T05:00:00Z, 108.69, 111.595, 104.08, 104.37, 104.37, 435505
2021-12-15T05:00:00Z, 105.69, 107.27, 103.09, 107.24, 107.24, 362722
2021-12-14T05:00:00Z, 104.5, 106.88, 100.25, 104.24, 104.24, 435994
2021-12-13T05:00:00Z, 108.6, 110.47, 105.79, 106.09, 106.09, 408934
2021-12-10T05:00:00Z, 107.86, 110.95, 106.85, 107.87, 107.87, 450695
2021-12-09T05:00:00Z, 105.19, 109.25, 104.5, 106.71, 106.71, 313449
2021-12-08T05:00:00Z, 106.75, 108.4764, 104.31, 105.44, 105.44, 333863
2021-12-07T05:00:00Z, 105, 108.6485, 104.28, 106.08, 106.08, 285872
2021-12-06T05:00:00Z, 104.76, 105.93, 101.34, 102.78, 102.78, 318417
2021-12-03T05:00:00Z, 104.41, 105.67, 102.25, 103.74, 103.74, 285678
2021-12-02T05:00:00Z, 100.97, 104.9607, 99.25, 103.78, 103.78, 295252
2021-12-01T05:00:00Z, 105.95, 107.29, 99.83, 99.84, 99.84, 340320
2021-11-30T05:00:00Z, 104.81, 106.49, 100.96, 103.08, 103.08, 458497
2021-11-29T05:00:00Z, 109.29, 109.05, 106.4, 107.01, 107.01, 245095
2021-11-26T05:00:00Z, 106.97, 107.25, 102.21, 105.69, 105.69, 276645
2021-11-24T05:00:00Z, 108.43, 110.75, 107.475, 109.85, 109.85, 185918
2021-11-23T05:00:00Z, 108.49, 112.0699, 108.04, 110.15, 110.15, 237073
2021-11-22T05:00:00Z, 112.95, 115.51, 109.481, 109.5, 109.5, 338143
2021-11-19T05:00:00Z, 107.65, 110.3463, 106.0849, 110.04, 110.04, 261932
2021-11-18T05:00:00Z, 113.16, 114.5, 107.18, 108.74, 108.74, 517847
2021-11-17T05:00:00Z, 113, 113.95, 111.3535, 113.51, 113.51, 320709
2021-11-16T05:00:00Z, 109.5, 114.3, 109.46, 113.95, 113.95, 286038
2021-11-15T05:00:00Z, 111.56, 112, 109.24, 110.51, 110.51, 250941
2021-11-12T05:00:00Z, 110.31, 112.1, 109.45, 111.3, 111.3, 294582
2021-11-11T05:00:00Z, 108, 112.25, 108, 110.49, 110.49, 434703
2021-11-10T05:00:00Z, 110.31, 110.98, 105.47, 106.81, 106.81, 531469
2021-11-09T05:00:00Z, 112.99, 114.5975, 110.1224, 111.8, 111.8, 357041
2021-11-08T05:00:00Z, 111.49, 114.1513, 110.25, 112.04, 112.04, 678902
2021-11-05T04:00:00Z, 114.46, 116.79, 107.2, 110.01, 110.01, 837401
2021-11-04T04:00:00Z, 111.1, 114.58, 107.52, 113.84, 113.84, 691136
2021-11-03T04:00:00Z, 106.43, 112.59, 104.415, 110.46, 110.46, 917002
2021-11-02T04:00:00Z, 97.25, 106.6499, 90.85, 105.74, 105.74, 875443
2021-11-01T04:00:00Z, 94, 96.99, 92.53, 96.8, 96.8, 651756
2021-10-29T04:00:00Z, 92.13, 91.96, 87.29, 89.85, 89.85, 522561
2021-10-28T04:00:00Z, 88.56, 94.03, 87.77, 92.68, 92.68, 727689
2021-10-27T04:00:00Z, 88.4, 89.41, 86.93, 86.97, 86.97, 242542
2021-10-26T04:00:00Z, 90.52, 90.74, 88.57, 89.37, 89.37, 372727
2021-10-25T04:00:00Z, 89.37, 90.45, 88.51, 89.83, 89.83, 322766
2021-10-22T04:00:00Z, 89, 90.67, 87.345, 88.41, 88.41, 467021
2021-10-21T04:00:00Z, 85.64, 88.6078, 84.32, 87.97, 87.97, 338587
2021-10-20T04:00:00Z, 85.11, 85.99, 84.08, 85.34, 85.34, 227782
2021-10-19T04:00:00Z, 86.8, 87.045, 83.62, 85.05, 85.05, 335002
2021-10-18T04:00:00Z, 85.5, 87.36, 85.03, 85.69, 85.69, 360221
2021-10-15T04:00:00Z, 85.62, 86.21, 83.95, 85.46, 85.46, 320705
2021-10-14T04:00:00Z, 83.08, 84.91, 82.3714, 83.45, 83.45, 307506
2021-10-13T04:00:00Z, 86.44, 86.57, 81.82, 82.13, 82.13, 443659
2021-10-12T04:00:00Z, 88.7, 88.9, 86.25, 86.68, 86.68, 352831
2021-10-11T04:00:00Z, 88.06, 89.48, 86.927, 88.7, 88.7, 185657
2021-10-08T04:00:00Z, 89.5, 89.46, 86.8, 87.59, 87.59, 250298
2021-10-07T04:00:00Z, 91.3, 91.33, 86.58, 88.62, 88.62, 516806
2021-10-06T04:00:00Z, 87.17, 89.48, 85.87, 89.29, 89.29, 374262
2021-10-05T04:00:00Z, 84.4, 88, 83.33, 87.55, 87.55, 491606
2021-10-04T04:00:00Z, 85, 85.69, 83.1501, 84.54, 84.54, 325165
2021-10-01T04:00:00Z, 82.15, 85.58, 80.28, 84.94, 84.94, 719022
2021-09-30T04:00:00Z, 80, 83.4079, 79.48, 81.77, 81.77, 690783
2021-09-29T04:00:00Z, 78, 79.03, 74.5, 76.78, 76.78, 199465
2021-09-28T04:00:00Z, 79, 79.39, 76.92, 77.69, 77.69, 254191
2021-09-27T04:00:00Z, 76.89, 80.46, 76.68, 79.21, 79.21, 314432
2021-09-24T04:00:00Z, 75.82, 77.6, 75.33, 76.46, 76.46, 147389
2021-09-23T04:00:00Z, 75.78, 76.86, 75.0553, 76.13, 76.13, 314578
2021-09-22T04:00:00Z, 77.6, 78.06, 73.94, 75.1, 75.1, 377392
2021-09-21T04:00:00Z, 74.91, 77.7, 73.89, 77.22, 77.22, 362741
2021-09-20T04:00:00Z, 71.07, 74.23, 69.13, 73.89, 73.89, 405218
2021-09-17T04:00:00Z, 73.4, 75.39, 73.33, 73.87, 73.87, 710261
2021-09-16T04:00:00Z, 71.9, 73.385, 70.99, 73.24, 73.24, 412300
2021-09-15T04:00:00Z, 67.97, 72.47, 67.605, 71.61, 71.61, 380225
2021-09-14T04:00:00Z, 69.16, 69.65, 67, 67.92, 67.92, 191962
2021-09-13T04:00:00Z, 68.13, 69.9, 67.75, 69.12, 69.12, 276197
2021-09-10T04:00:00Z, 67.02, 68.11, 66.64, 67.62, 67.62, 212337
2021-09-09T04:00:00Z, 66.01, 67.005, 65.296, 66.12, 66.12, 223388
