Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 92.06, 93.27, 91.89, 92.62, 92.62, 1181544
2022-02-07T05:00:00Z, 91.5, 92.3, 91.46, 92, 92, 1296717
2022-02-04T05:00:00Z, 92.17, 92.5, 91.16, 91.54, 91.54, 1626182
2022-02-03T05:00:00Z, 92.64, 93.25, 92, 92.06, 92.06, 1226862
2022-02-02T05:00:00Z, 92.71, 93.01, 92.25, 92.95, 92.95, 1368752
2022-02-01T05:00:00Z, 91.82, 93.11, 91.86, 92.7, 92.7, 1215207
2022-01-31T05:00:00Z, 91.23, 92.37, 90.9, 91.98, 91.98, 1144745
2022-01-28T05:00:00Z, 89.82, 91.26, 89.65, 91.24, 91.24, 1030765
2022-01-27T05:00:00Z, 89.95, 90.345, 89.61, 89.79, 89.79, 1156029
2022-01-26T05:00:00Z, 90.01, 90.68, 89.51, 89.63, 89.63, 1625235
2022-01-25T05:00:00Z, 90.24, 90.37, 89.03, 89.89, 89.89, 931845
2022-01-24T05:00:00Z, 90.49, 90.65, 89.42, 89.95, 89.95, 2448373
2022-01-21T05:00:00Z, 91.01, 91.38, 90.45, 90.48, 90.48, 1760095
2022-01-20T05:00:00Z, 91.63, 91.98, 90.94, 91.01, 91.01, 1274848
2022-01-19T05:00:00Z, 92.19, 92.38, 91.42, 91.51, 91.51, 1140797
2022-01-18T05:00:00Z, 92.65, 92.84, 91.92, 91.98, 91.98, 2033865
2022-01-14T05:00:00Z, 92.6, 92.78, 92.33, 92.65, 92.65, 1375688
2022-01-13T05:00:00Z, 92.97, 93.3, 92.36, 92.47, 92.47, 1824625
2022-01-12T05:00:00Z, 93.41, 93.4, 92.73, 92.77, 92.77, 1570467
2022-01-11T05:00:00Z, 93.84, 93.91, 93.09, 93.25, 93.25, 1107287
2022-01-10T05:00:00Z, 93, 94.23, 92.69, 94.08, 94.08, 1792409
2022-01-07T05:00:00Z, 92.98, 93.35, 92.75, 93.18, 93.18, 1280840
2022-01-06T05:00:00Z, 93.06, 93.52, 92.63, 93, 93, 1718224
2022-01-05T05:00:00Z, 93.45, 93.76, 92.85, 92.97, 92.97, 2530220
2022-01-04T05:00:00Z, 93.03, 93.95, 92.91, 93.21, 93.21, 2188807
2022-01-03T05:00:00Z, 92.83, 93.45, 92.7, 93.19, 93.19, 1273210
2021-12-31T05:00:00Z, 92.9, 93.44, 92.585, 92.94, 92.94, 1043962
2021-12-30T05:00:00Z, 93.15, 93.725, 92.89, 92.9, 92.9, 1055729
2021-12-29T05:00:00Z, 92.68, 93.44, 92.52, 92.95, 92.95, 1093053
2021-12-28T05:00:00Z, 92.04, 93.2, 91.95, 92.67, 92.67, 1271086
2021-12-27T05:00:00Z, 91.34, 92.18, 91.24, 92.04, 92.04, 1099740
2021-12-23T05:00:00Z, 90.84, 92.025, 90.53, 91.23, 91.23, 1137571
2021-12-22T05:00:00Z, 91.11, 91.28, 90.28, 90.73, 90.73, 2128516
2021-12-21T05:00:00Z, 91.17, 91.51, 90.76, 90.91, 90.91, 2026824
2021-12-20T05:00:00Z, 91.54, 92.205, 90.995, 91.06, 91.06, 2464145
2021-12-17T05:00:00Z, 92.49, 92.6, 90.91, 91.8, 91.8, 2929640
2021-12-16T05:00:00Z, 92.84, 93.01, 92.06, 92.21, 92.21, 1803505
2021-12-15T05:00:00Z, 92.37, 92.85, 91.555, 92.85, 92.85, 2798169
2021-12-14T05:00:00Z, 90.58, 92.32, 90.13, 92, 92, 3752753
2021-12-13T05:00:00Z, 93.02, 94.0799, 89.5, 90.08, 90.08, 16780077
2021-12-10T05:00:00Z, 52.59, 53.245, 49.69, 49.94, 49.94, 824670
2021-12-09T05:00:00Z, 54.36, 54.93, 52.235, 52.75, 52.75, 349501
2021-12-08T05:00:00Z, 53.73, 54.95, 52.49, 54.71, 54.71, 698935
2021-12-07T05:00:00Z, 51.17, 53.025, 50.55, 52.66, 52.66, 544232
2021-12-06T05:00:00Z, 49.55, 50.67, 48.12, 50.07, 50.07, 490843
2021-12-03T05:00:00Z, 53.46, 53.91, 48.43, 49.55, 49.55, 779388
2021-12-02T05:00:00Z, 51.35, 53.215, 50.95, 53.17, 53.17, 494199
2021-12-01T05:00:00Z, 54.94, 55.39, 51.71, 51.92, 51.92, 789307
2021-11-30T05:00:00Z, 54.54, 55.23, 53.35, 54.49, 54.49, 752967
2021-11-29T05:00:00Z, 57.705, 57.83, 54.78, 54.96, 54.96, 510347
2021-11-26T05:00:00Z, 58.33, 58.62, 55.43, 57.42, 57.42, 319409
2021-11-24T05:00:00Z, 57.57, 59.18, 57.25, 58.96, 58.96, 286370
2021-11-23T05:00:00Z, 59, 59.29, 57.13, 58.53, 58.53, 359761
2021-11-22T05:00:00Z, 59.41, 59.97, 57.675, 59.32, 59.32, 392457
2021-11-19T05:00:00Z, 58.91, 59.91, 57.94, 59.36, 59.36, 532593
2021-11-18T05:00:00Z, 59.99, 60.61, 59, 59.23, 59.23, 411552
2021-11-17T05:00:00Z, 60.23, 60.49, 59.275, 59.94, 59.94, 277759
2021-11-16T05:00:00Z, 58.68, 60.63, 58.29, 60.52, 60.52, 384981
2021-11-15T05:00:00Z, 60.11, 60.48, 58.47, 58.85, 58.85, 277959
2021-11-12T05:00:00Z, 60, 60.1, 58.73, 59.98, 59.98, 383564
2021-11-11T05:00:00Z, 60.08, 60.72, 58.19, 59.28, 59.28, 432982
2021-11-10T05:00:00Z, 60.49, 61.25, 59.5, 60.17, 60.17, 373707
2021-11-09T05:00:00Z, 61.76, 62.27, 59.93, 60.09, 60.09, 321023
2021-11-08T05:00:00Z, 61.09, 63.105, 60.89, 61.69, 61.69, 380174
2021-11-05T04:00:00Z, 63.02, 64.61, 59.88, 60.91, 60.91, 603005
2021-11-04T04:00:00Z, 63.55, 64.395, 61.77, 63, 63, 427237
2021-11-03T04:00:00Z, 62.02, 64.16, 61.51, 63.44, 63.44, 552267
2021-11-02T04:00:00Z, 59.56, 62.94, 59.85, 62.9, 62.9, 654991
2021-11-01T04:00:00Z, 58.03, 60.67, 57.39, 59.76, 59.76, 792752
2021-10-29T04:00:00Z, 58.29, 59.39, 57.21, 57.39, 57.39, 542155
