Date, Open, High, Low, Close, Adj Close, Volume
2022-02-01T05:00:00Z, 0.43, 0.4799, 0.313, 0.4797, 0.4797, 6906
2022-01-31T05:00:00Z, 0.35, 0.35, 0.35, 0.35, 0.35, 0
2022-01-28T05:00:00Z, 0.43, 0.4449, 0.35, 0.35, 0.35, 81752
2022-01-27T05:00:00Z, 0.45495, 0.4721, 0.4, 0.4451, 0.4451, 231774
2022-01-26T05:00:00Z, 0.4799, 0.4799, 0.4722, 0.4722, 0.4722, 1100
2022-01-25T05:00:00Z, 0.4722, 0.472201, 0.4722, 0.472201, 0.472201, 2000
2022-01-24T05:00:00Z, 0.4696, 0.4781, 0.4382, 0.4723, 0.4723, 56900
2022-01-21T05:00:00Z, 0.4798, 0.4799, 0.433, 0.477, 0.477, 31191
2022-01-20T05:00:00Z, 0.48005, 0.4839, 0.475, 0.48, 0.48, 29788
2022-01-19T05:00:00Z, 0.49, 0.51995, 0.49, 0.49, 0.49, 2000
2022-01-18T05:00:00Z, 0.4848, 0.5001, 0.4779, 0.4839, 0.4839, 13162
2022-01-14T05:00:00Z, 0.4854, 0.4877, 0.4853, 0.4854, 0.4854, 2854
2022-01-13T05:00:00Z, 0.4886, 0.4896, 0.48, 0.4896, 0.4896, 63623
2022-01-12T05:00:00Z, 0.49, 0.52, 0.48, 0.4896, 0.4896, 116226
2022-01-11T05:00:00Z, 0.5299, 0.5299, 0.5299, 0.5299, 0.5299, 0
2022-01-10T05:00:00Z, 0.5, 0.5299, 0.5, 0.5299, 0.5299, 103653
2022-01-07T05:00:00Z, 0.5349, 0.539926, 0.52, 0.52, 0.52, 1580
2022-01-06T05:00:00Z, 0.5, 0.500748, 0.5, 0.5, 0.5, 66665
2022-01-05T05:00:00Z, 0.5, 0.537, 0.5, 0.5, 0.5, 54963
2022-01-04T05:00:00Z, 0.52, 0.5301, 0.52, 0.52, 0.52, 3412
2022-01-03T05:00:00Z, 0.501, 0.54, 0.5, 0.52, 0.52, 12830
2021-12-31T05:00:00Z, 0.53485, 0.53485, 0.53485, 0.53485, 0.53485, 0
2021-12-30T05:00:00Z, 0.5301, 0.55, 0.51, 0.53485, 0.53485, 22677
2021-12-29T05:00:00Z, 0.51, 0.51, 0.4994, 0.4994, 0.4994, 20560
2021-12-28T05:00:00Z, 0.5001, 0.52, 0.5, 0.52, 0.52, 9202
2021-12-27T05:00:00Z, 0.5, 0.5172, 0.499799, 0.5, 0.5, 11631
2021-12-23T05:00:00Z, 0.501, 0.501, 0.501, 0.501, 0.501, 0
2021-12-22T05:00:00Z, 0.501, 0.501, 0.5, 0.501, 0.501, 4300
2021-12-21T05:00:00Z, 0.5, 0.5214, 0.4799, 0.5, 0.5, 157759
2021-12-20T05:00:00Z, 0.5, 0.53, 0.4972, 0.4975, 0.4975, 20331
2021-12-17T05:00:00Z, 0.53, 0.548099, 0.52, 0.548099, 0.548099, 7166
2021-12-16T05:00:00Z, 0.55, 0.55, 0.55, 0.55, 0.55, 0
2021-12-15T05:00:00Z, 0.55, 0.5727, 0.5301, 0.55, 0.55, 7192
2021-12-14T05:00:00Z, 0.55, 0.56, 0.55, 0.55, 0.55, 29480
2021-12-13T05:00:00Z, 0.570201, 0.58, 0.57, 0.57, 0.57, 6620
2021-12-10T05:00:00Z, 0.5985, 0.600498, 0.5701, 0.5701, 0.5701, 2295
2021-12-09T05:00:00Z, 0.59, 0.6298, 0.5899, 0.59, 0.59, 129961
2021-12-08T05:00:00Z, 0.55635, 0.5725, 0.55, 0.57, 0.57, 206006
2021-12-07T05:00:00Z, 0.5599, 0.5699, 0.54, 0.5699, 0.5699, 12775
2021-12-06T05:00:00Z, 0.55, 0.55, 0.520201, 0.5401, 0.5401, 820
2021-12-03T05:00:00Z, 0.5522, 0.5522, 0.5522, 0.5522, 0.5522, 0
2021-12-02T05:00:00Z, 0.5505, 0.56, 0.52, 0.5522, 0.5522, 10784
2021-12-01T05:00:00Z, 0.5605, 0.618, 0.5605, 0.5605, 0.5605, 3605
2021-11-30T05:00:00Z, 0.618, 0.6198, 0.618, 0.618, 0.618, 700
2021-11-29T05:00:00Z, 0.62, 0.65, 0.56, 0.6401, 0.6401, 26775
2021-11-26T05:00:00Z, 0.67, 0.67, 0.67, 0.67, 0.67, 0
2021-11-24T05:00:00Z, 0.67, 0.67, 0.67, 0.67, 0.67, 0
2021-11-23T05:00:00Z, 0.6499, 0.6798, 0.6499, 0.67, 0.67, 17477
2021-11-22T05:00:00Z, 0.6101, 0.640051, 0.6101, 0.6102, 0.6102, 2610
2021-11-19T05:00:00Z, 0.62, 0.6601, 0.61, 0.6204, 0.6204, 22528
2021-11-18T05:00:00Z, 0.6354, 0.6354, 0.6354, 0.6354, 0.6354, 152
2021-11-17T05:00:00Z, 0.7, 0.8295, 0.7, 0.7, 0.7, 969
2021-11-16T05:00:00Z, 0.634996, 0.634996, 0.634996, 0.634996, 0.634996, 0
2021-11-15T05:00:00Z, 0.634996, 0.634996, 0.634996, 0.634996, 0.634996, 0
2021-11-12T05:00:00Z, 0.6336, 0.64, 0.6336, 0.634996, 0.634996, 6900
2021-11-11T05:00:00Z, 0.6601, 0.6601, 0.6601, 0.6601, 0.6601, 0
2021-11-10T05:00:00Z, 0.6601, 0.6601, 0.6601, 0.6601, 0.6601, 0
2021-11-09T05:00:00Z, 0.6325, 0.6601, 0.6601, 0.6601, 0.6601, 102
2021-11-08T05:00:00Z, 0.6315, 0.6315, 0.6315, 0.6315, 0.6315, 0
2021-11-05T04:00:00Z, 0.6401, 0.6401, 0.6315, 0.6315, 0.6315, 1000
2021-11-04T04:00:00Z, 0.6901, 0.6901, 0.6901, 0.6901, 0.6901, 0
2021-11-03T04:00:00Z, 0.6901, 0.6901, 0.6901, 0.6901, 0.6901, 720
2021-11-02T04:00:00Z, 0.6701, 0.69, 0.69, 0.69, 0.69, 300
2021-11-01T04:00:00Z, 0.6701, 0.715, 0.6701, 0.6701, 0.6701, 3062
2021-10-29T04:00:00Z, 0.69, 0.69, 0.69, 0.69, 0.69, 0
2021-10-28T04:00:00Z, 0.69, 0.69, 0.68, 0.69, 0.69, 529
2021-10-27T04:00:00Z, 0.6901, 0.69, 0.69, 0.69, 0.69, 500
2021-10-26T04:00:00Z, 0.65, 0.71, 0.648, 0.7, 0.7, 74047
2021-10-25T04:00:00Z, 0.6, 0.61, 0.57, 0.61, 0.61, 53990
2021-10-22T04:00:00Z, 0.6095, 0.6095, 0.6095, 0.6095, 0.6095, 0
2021-10-21T04:00:00Z, 0.6095, 0.6095, 0.6095, 0.6095, 0.6095, 0
2021-10-20T04:00:00Z, 0.6095, 0.6095, 0.6095, 0.6095, 0.6095, 0
2021-10-19T04:00:00Z, 0.53, 0.6095, 0.53, 0.6095, 0.6095, 1064
2021-10-18T04:00:00Z, 0.57505, 0.61, 0.5503, 0.5901, 0.5901, 55662
2021-10-15T04:00:00Z, 0.639, 0.639, 0.5699, 0.61, 0.61, 3267
2021-10-14T04:00:00Z, 0.648, 0.648, 0.6, 0.6, 0.6, 2900
