Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 9.97, 9.99, 9.97, 9.98, 9.98, 308738
2022-02-07T05:00:00Z, 9.97, 9.98, 9.97, 9.98, 9.98, 212695
2022-02-04T05:00:00Z, 9.97, 9.98, 9.97, 9.98, 9.98, 235086
2022-02-03T05:00:00Z, 9.96, 9.97, 9.96, 9.97, 9.97, 217503
2022-02-02T05:00:00Z, 9.95, 9.96, 9.95, 9.955, 9.955, 241226
2022-02-01T05:00:00Z, 9.95, 9.96, 9.94, 9.96, 9.96, 755785
2022-01-31T05:00:00Z, 9.94, 9.95, 9.93, 9.95, 9.95, 460919
2022-01-28T05:00:00Z, 9.81, 9.95, 9.8, 9.95, 9.95, 651373
2022-01-27T05:00:00Z, 9.72, 9.76, 9.72, 9.72, 9.72, 8180
2022-01-26T05:00:00Z, 9.8, 9.815, 9.72, 9.72, 9.72, 76147
2022-01-25T05:00:00Z, 9.81, 9.83, 9.8, 9.82, 9.82, 4794
2022-01-24T05:00:00Z, 9.85, 9.85, 9.81, 9.824, 9.824, 41232
2022-01-21T05:00:00Z, 9.85, 9.86, 9.85, 9.85, 9.85, 3851
2022-01-20T05:00:00Z, 9.85, 9.855, 9.85, 9.85, 9.85, 7130
2022-01-19T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 210
2022-01-18T05:00:00Z, 9.85, 9.8515, 9.8515, 9.8515, 9.8515, 113
2022-01-14T05:00:00Z, 9.87, 9.85, 9.85, 9.85, 9.85, 3100
2022-01-13T05:00:00Z, 9.88, 9.85, 9.85, 9.85, 9.85, 512
2022-01-12T05:00:00Z, 9.88, 9.8625, 9.85, 9.85, 9.85, 4214
2022-01-11T05:00:00Z, 9.89, 9.89, 9.88, 9.88, 9.88, 32405
2022-01-10T05:00:00Z, 9.88, 9.89, 9.86, 9.88, 9.88, 29223
2022-01-07T05:00:00Z, 9.88, 9.9, 9.88, 9.89, 9.89, 7358
2022-01-06T05:00:00Z, 9.89, 9.8833, 9.88, 9.8833, 9.8833, 30169
2022-01-05T05:00:00Z, 9.88, 9.88, 9.88, 9.88, 9.88, 107
2022-01-04T05:00:00Z, 9.88, 9.9, 9.86, 9.88, 9.88, 68365
2022-01-03T05:00:00Z, 9.89, 9.92, 9.87, 9.89, 9.89, 30510
2021-12-31T05:00:00Z, 9.88, 9.89, 9.88, 9.88, 9.88, 32978
2021-12-30T05:00:00Z, 9.88, 9.91, 9.88, 9.91, 9.91, 14680
2021-12-29T05:00:00Z, 9.88, 9.88, 9.88, 9.88, 9.88, 8219
2021-12-28T05:00:00Z, 9.88, 9.89, 9.88, 9.88, 9.88, 6237
2021-12-27T05:00:00Z, 9.91, 9.91, 9.87, 9.87, 9.87, 622
2021-12-23T05:00:00Z, 9.87, 9.87, 9.86, 9.87, 9.87, 46135
2021-12-22T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 4082
2021-12-21T05:00:00Z, 9.8883, 9.8883, 9.8883, 9.8883, 9.8883, 300
2021-12-20T05:00:00Z, 9.87, 9.88, 9.87, 9.87, 9.87, 8164
2021-12-17T05:00:00Z, 9.88, 9.89, 9.87, 9.89, 9.89, 56325
2021-12-16T05:00:00Z, 9.9, 9.91, 9.8701, 9.89, 9.89, 37052
2021-12-15T05:00:00Z, 9.9, 9.91, 9.9, 9.91, 9.91, 14951
2021-12-14T05:00:00Z, 9.9, 9.91, 9.91, 9.91, 9.91, 9920
2021-12-13T05:00:00Z, 9.91, 9.9199, 9.9, 9.91, 9.91, 94408
2021-12-10T05:00:00Z, 9.92, 9.92, 9.92, 9.92, 9.92, 5474
2021-12-09T05:00:00Z, 9.91, 9.93, 9.91, 9.93, 9.93, 53555
2021-12-08T05:00:00Z, 9.92, 9.93, 9.91, 9.91, 9.91, 189136
2021-12-07T05:00:00Z, 9.92, 9.93, 9.92, 9.93, 9.93, 19048
2021-12-06T05:00:00Z, 9.91, 9.93, 9.9, 9.93, 9.93, 40086
2021-12-03T05:00:00Z, 9.92, 9.915, 9.9, 9.9, 9.9, 4357
2021-12-02T05:00:00Z, 9.91, 9.915, 9.88, 9.9, 9.9, 51803
2021-12-01T05:00:00Z, 9.9, 9.9, 9.9, 9.9, 9.9, 2481
2021-11-30T05:00:00Z, 9.91, 9.93, 9.91, 9.93, 9.93, 52635
2021-11-29T05:00:00Z, 9.9, 9.91, 9.9, 9.9, 9.9, 5736
2021-11-26T05:00:00Z, 9.91, 9.91, 9.9, 9.9, 9.9, 6230
2021-11-24T05:00:00Z, 9.9, 9.92, 9.91, 9.91, 9.91, 3553
2021-11-23T05:00:00Z, 9.93, 9.93, 9.9, 9.93, 9.93, 4079
2021-11-22T05:00:00Z, 9.92, 9.925, 9.919, 9.92, 9.92, 14547
2021-11-19T05:00:00Z, 9.905, 9.91, 9.9, 9.91, 9.91, 25497
