Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.93, 2.05, 1.91, 2.02, 2.02, 65391
2022-02-07T05:00:00Z, 1.99, 2.03, 1.9, 1.93, 1.93, 78058
2022-02-04T05:00:00Z, 1.87, 1.962, 1.85, 1.94, 1.94, 61029
2022-02-03T05:00:00Z, 1.97, 1.98, 1.85, 1.86, 1.86, 136661
2022-02-02T05:00:00Z, 2.12, 2.22, 1.94, 1.97, 1.97, 143587
2022-02-01T05:00:00Z, 2.24, 2.2985, 2.19, 2.19, 2.19, 40892
2022-01-31T05:00:00Z, 2.02, 2.44, 2, 2.24, 2.24, 137094
2022-01-28T05:00:00Z, 2.03, 2.06, 1.87, 2.02, 2.02, 201149
2022-01-27T05:00:00Z, 2.04, 2.07, 2, 2.04, 2.04, 40105
2022-01-26T05:00:00Z, 2.16, 2.29, 2, 2.04, 2.04, 248930
2022-01-25T05:00:00Z, 2.22, 2.33, 2.1528, 2.18, 2.18, 31782
2022-01-24T05:00:00Z, 2.26, 2.3399, 2.1595, 2.27, 2.27, 133532
2022-01-21T05:00:00Z, 2.44, 2.47, 2, 2.35, 2.35, 272066
2022-01-20T05:00:00Z, 2.47, 2.57, 2.4, 2.49, 2.49, 96756
2022-01-19T05:00:00Z, 2.46, 2.505, 2.38, 2.49, 2.49, 119726
2022-01-18T05:00:00Z, 2.41, 2.51, 2.37, 2.44, 2.44, 126097
2022-01-14T05:00:00Z, 2.5, 2.58, 2.4, 2.5, 2.5, 103256
2022-01-13T05:00:00Z, 2.58, 2.64, 2.51, 2.58, 2.58, 434208
2022-01-12T05:00:00Z, 2.58, 2.675, 2.555, 2.62, 2.62, 136737
2022-01-11T05:00:00Z, 2.62, 2.65, 2.53, 2.57, 2.57, 129090
2022-01-10T05:00:00Z, 2.44, 2.62, 2.4, 2.56, 2.56, 216614
2022-01-07T05:00:00Z, 2.27, 2.61, 2.19, 2.5, 2.5, 184479
2022-01-06T05:00:00Z, 2.3, 2.615, 2.13, 2.24, 2.24, 257003
2022-01-05T05:00:00Z, 2.44, 2.4821, 2.27, 2.3, 2.3, 62939
