Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 8.76, 9.21, 8.74, 9.15, 9.15, 665731
2022-02-07T05:00:00Z, 8.95, 9.12, 8.65, 8.76, 8.76, 445193
2022-02-04T05:00:00Z, 9, 9.12, 8.6643, 8.86, 8.86, 376108
2022-02-03T05:00:00Z, 8.86, 9.15, 8.77, 9.03, 9.03, 460058
2022-02-02T05:00:00Z, 9.32, 9.43, 8.95, 9.02, 9.02, 341822
2022-02-01T05:00:00Z, 9.03, 9.35, 8.95, 9.32, 9.32, 391863
2022-01-31T05:00:00Z, 8.69, 9.075, 8.61, 8.98, 8.98, 421854
2022-01-28T05:00:00Z, 8.41, 8.68, 8.15, 8.66, 8.66, 910706
2022-01-27T05:00:00Z, 8.73, 8.91, 8.35, 8.36, 8.36, 1142550
2022-01-26T05:00:00Z, 8.56, 8.98, 8.46, 8.53, 8.53, 904903
2022-01-25T05:00:00Z, 8.4, 8.42, 8, 8.35, 8.35, 559542
2022-01-24T05:00:00Z, 8.27, 8.59, 8.07, 8.49, 8.49, 713369
2022-01-21T05:00:00Z, 9.26, 9.33, 8.5, 8.52, 8.52, 1245721
2022-01-20T05:00:00Z, 9.93, 10.28, 9.36, 9.37, 9.37, 836150
2022-01-19T05:00:00Z, 10.2, 10.3, 9.85, 9.93, 9.93, 349902
2022-01-18T05:00:00Z, 9.96, 10.11, 9.77, 9.97, 9.97, 474111
2022-01-14T05:00:00Z, 10.08, 10.13, 9.71, 10.02, 10.02, 335937
2022-01-13T05:00:00Z, 10.28, 10.4382, 10, 10.04, 10.04, 639488
2022-01-12T05:00:00Z, 10.08, 10.28, 9.92, 10.23, 10.23, 340919
2022-01-11T05:00:00Z, 9.86, 10.135, 9.61, 9.95, 9.95, 431789
2022-01-10T05:00:00Z, 10.07, 10.37, 9.65, 9.85, 9.85, 677373
2022-01-07T05:00:00Z, 10.59, 10.59, 9.93, 10.32, 10.32, 775536
2022-01-06T05:00:00Z, 11.1, 11.16, 10.3, 10.605, 10.605, 540480
2022-01-05T05:00:00Z, 10.79, 11.38, 10.73, 11.08, 11.08, 617811
2022-01-04T05:00:00Z, 10.52, 10.8799, 10.52, 10.77, 10.77, 386116
2022-01-03T05:00:00Z, 10.67, 10.7924, 10.55, 10.55, 10.55, 298928
2021-12-31T05:00:00Z, 10.56, 10.86, 10.38, 10.81, 10.81, 213347
2021-12-30T05:00:00Z, 10.4, 10.6, 10.36, 10.53, 10.53, 209135
2021-12-29T05:00:00Z, 10.38, 10.43, 10.01, 10.38, 10.38, 451712
2021-12-28T05:00:00Z, 10.24, 10.24, 9.98, 10.09, 10.09, 335033
2021-12-27T05:00:00Z, 10.17, 10.23, 9.89, 10.17, 10.17, 427356
2021-12-23T05:00:00Z, 9.54, 9.9, 9.39, 9.86, 9.86, 315569
2021-12-22T05:00:00Z, 9.27, 9.52, 9.16, 9.4, 9.4, 240409
2021-12-21T05:00:00Z, 9.45, 9.6, 9.18, 9.28, 9.28, 304160
2021-12-20T05:00:00Z, 9.46, 9.67, 9.16, 9.27, 9.27, 249617
2021-12-17T05:00:00Z, 9.42, 9.66, 9.2, 9.66, 9.66, 400460
2021-12-16T05:00:00Z, 9.4, 10, 9.33, 9.63, 9.63, 745377
2021-12-15T05:00:00Z, 9.35, 9.4, 8.725, 9.33, 9.33, 1436359
2021-12-14T05:00:00Z, 9.13, 9.38, 8.89, 9.18, 9.18, 748625
2021-12-13T05:00:00Z, 9.73, 9.87, 9.19, 9.23, 9.23, 736383
2021-12-10T05:00:00Z, 10.04, 10.08, 9.63, 9.75, 9.75, 334602
