Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1, 1, 0.9122, 0.96, 0.96, 540146
2022-02-07T05:00:00Z, 0.88755, 1.05, 0.875, 0.9803, 0.9803, 982543
2022-02-04T05:00:00Z, 0.8922, 0.94, 0.8701, 0.909, 0.909, 66094
2022-02-03T05:00:00Z, 0.88, 0.91, 0.821, 0.8696, 0.8696, 69872
2022-02-02T05:00:00Z, 0.93495, 0.95, 0.905, 0.9101, 0.9101, 33442
2022-02-01T05:00:00Z, 0.93, 0.95, 0.9023, 0.95, 0.95, 152074
2022-01-31T05:00:00Z, 0.8301, 0.9403, 0.82, 0.9403, 0.9403, 227693
2022-01-28T05:00:00Z, 0.78, 0.86, 0.78, 0.8391, 0.8391, 383282
2022-01-27T05:00:00Z, 0.79, 0.8, 0.7466, 0.7702, 0.7702, 105533
2022-01-26T05:00:00Z, 0.81, 0.83, 0.7801, 0.7953, 0.7953, 212075
2022-01-25T05:00:00Z, 0.7994, 0.82, 0.7596, 0.8156, 0.8156, 196204
2022-01-24T05:00:00Z, 0.75, 0.7967, 0.731101, 0.7614, 0.7614, 353198
2022-01-21T05:00:00Z, 0.7801, 0.795051, 0.731, 0.7638, 0.7638, 508007
2022-01-20T05:00:00Z, 0.79, 0.83, 0.7805, 0.8159, 0.8159, 251150
2022-01-19T05:00:00Z, 0.8, 0.82, 0.78, 0.813, 0.813, 351804
2022-01-18T05:00:00Z, 0.804, 0.82, 0.7802, 0.783, 0.783, 319125
2022-01-14T05:00:00Z, 0.795, 0.8275, 0.79, 0.8118, 0.8118, 388482
2022-01-13T05:00:00Z, 0.81, 0.8383, 0.8007, 0.815, 0.815, 541807
2022-01-12T05:00:00Z, 0.8799, 0.88, 0.803, 0.835, 0.835, 1045845
2022-01-11T05:00:00Z, 0.89, 0.9429, 0.89, 0.9001, 0.9001, 740910
2022-01-10T05:00:00Z, 0.8995, 0.944, 0.8835, 0.9399, 0.9399, 2067274
2022-01-07T05:00:00Z, 0.9845, 1.03, 0.8569, 1.01, 1.01, 9494833
2022-01-06T05:00:00Z, 1.05, 1.23, 1.04, 1.11, 1.11, 118605068
2022-01-05T05:00:00Z, 0.8497, 0.858, 0.79, 0.8293, 0.8293, 2841139
2022-01-04T05:00:00Z, 0.77, 0.9, 0.76, 0.8001, 0.8001, 1251217
2022-01-03T05:00:00Z, 0.7288, 0.76505, 0.72, 0.76505, 0.76505, 137944
2021-12-31T05:00:00Z, 0.7799, 0.786, 0.7005, 0.72, 0.72, 356308
2021-12-30T05:00:00Z, 0.75, 0.7928, 0.74, 0.7678, 0.7678, 351651
2021-12-29T05:00:00Z, 0.7899, 0.8, 0.68, 0.7245, 0.7245, 681164
2021-12-28T05:00:00Z, 0.79, 0.8, 0.752, 0.78, 0.78, 171667
2021-12-27T05:00:00Z, 0.82, 0.825999, 0.76, 0.793, 0.793, 245596
2021-12-23T05:00:00Z, 0.8399, 0.848, 0.8056, 0.8202, 0.8202, 224233
2021-12-22T05:00:00Z, 0.8464, 0.88, 0.82, 0.8333, 0.8333, 170848
2021-12-21T05:00:00Z, 0.87, 0.878, 0.86, 0.878, 0.878, 84303
2021-12-20T05:00:00Z, 0.84, 0.875, 0.825, 0.8443, 0.8443, 110141
2021-12-17T05:00:00Z, 0.87, 0.9, 0.85, 0.882, 0.882, 129738
