Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 65.055, 69.47, 64, 69.33, 69.33, 92317
2022-02-07T05:00:00Z, 64.57, 66.4856, 63.3, 65.56, 65.56, 50628
2022-02-04T05:00:00Z, 61.35, 64.31, 60.97, 63.32, 63.32, 61996
2022-02-03T05:00:00Z, 62.01, 64.47, 60.45, 61.85, 61.85, 84219
2022-02-02T05:00:00Z, 66.63, 67.9435, 62.38, 62.73, 62.73, 99613
2022-02-01T05:00:00Z, 64.71, 67.94, 63.97, 66.63, 66.63, 96246
2022-01-31T05:00:00Z, 64.5, 64.89, 63.07, 64.31, 64.31, 115909
2022-01-28T05:00:00Z, 64.66, 64.5, 61.28, 64.12, 64.12, 56273
2022-01-27T05:00:00Z, 66.75, 67.6217, 63.27, 63.3, 63.3, 65383
2022-01-26T05:00:00Z, 67.29, 68.37, 64.2601, 65.6, 65.6, 66088
2022-01-25T05:00:00Z, 63.35, 66.5, 62.51, 64.87, 64.87, 74814
2022-01-24T05:00:00Z, 60.57, 64.854, 58.7, 64.18, 64.18, 89846
2022-01-21T05:00:00Z, 63.35, 65.46, 62.18, 62.51, 62.51, 79187
2022-01-20T05:00:00Z, 63.31, 67.78, 62.98, 64.46, 64.46, 63960
2022-01-19T05:00:00Z, 69.3, 69.44, 64, 64.2, 64.2, 80556
2022-01-18T05:00:00Z, 70.62, 71.81, 68.67, 68.7, 68.7, 44976
2022-01-14T05:00:00Z, 68.21, 72.7326, 68, 71.91, 71.91, 64502
2022-01-13T05:00:00Z, 69.05, 71.0251, 67.1101, 69.89, 69.89, 59300
2022-01-12T05:00:00Z, 71.98, 73.2941, 68.79, 69, 69, 83214
2022-01-11T05:00:00Z, 68.96, 71.21, 68.96, 70.67, 70.67, 60235
2022-01-10T05:00:00Z, 66.72, 69.28, 65.34, 68.82, 68.82, 70925
2022-01-07T05:00:00Z, 65, 68.5, 64.85, 67.06, 67.06, 93957
2022-01-06T05:00:00Z, 66.19, 67.6, 62.01, 65.93, 65.93, 73467
2022-01-05T05:00:00Z, 66.12, 69.1, 64.74, 65, 65, 81379
2022-01-04T05:00:00Z, 69.5, 69.69, 65.86, 66.12, 66.12, 74809
2022-01-03T05:00:00Z, 71.69, 72.56, 69.3339, 69.5, 69.5, 72694
2021-12-31T05:00:00Z, 72.11, 74.63, 71.21, 71.32, 71.32, 69570
2021-12-30T05:00:00Z, 70.3, 72.53, 67.9006, 72.47, 72.47, 93946
2021-12-29T05:00:00Z, 70.02, 70.54, 63.56, 69.07, 69.07, 177716
2021-12-28T05:00:00Z, 72.16, 72.23, 68.41, 70.73, 70.73, 97722
2021-12-27T05:00:00Z, 68.01, 71.92, 68, 71.53, 71.53, 61366
2021-12-23T05:00:00Z, 66.22, 68.8708, 65.87, 67.76, 67.76, 68133
2021-12-22T05:00:00Z, 64.2, 66.83, 63.87, 65.87, 65.87, 73331
2021-12-21T05:00:00Z, 61.98, 64.7214, 61.17, 64.2, 64.2, 72079
2021-12-20T05:00:00Z, 60.16, 61.12, 58.98, 60.59, 60.59, 80187
2021-12-17T05:00:00Z, 59, 61.79, 57.6237, 61.46, 61.46, 178433
2021-12-16T05:00:00Z, 62.52, 63.23, 58.83, 59.66, 59.66, 106455
2021-12-15T05:00:00Z, 57.73, 61.83, 56.88, 61.42, 61.42, 101099
2021-12-14T05:00:00Z, 57.65, 59.83, 56.88, 58.96, 58.96, 93876
2021-12-13T05:00:00Z, 58.97, 59.63, 57.1, 58.45, 58.45, 83864
2021-12-10T05:00:00Z, 57.95, 59.8496, 57.9, 59.27, 59.27, 55973
2021-12-09T05:00:00Z, 58, 59.72, 56.65, 58.39, 58.39, 84845
2021-12-08T05:00:00Z, 58.23, 59.85, 57.84, 58.35, 58.35, 47118
2021-12-07T05:00:00Z, 58.71, 60.1128, 56.58, 59.09, 59.09, 152573
2021-12-06T05:00:00Z, 55.61, 57.34, 53.97, 56.86, 56.86, 206175
2021-12-03T05:00:00Z, 62.38, 61.25, 55.54, 56.39, 56.39, 114389
2021-12-02T05:00:00Z, 58.4, 61.12, 58.24, 61.08, 61.08, 76323
2021-12-01T05:00:00Z, 61.11, 63.37, 59.02, 59.39, 59.39, 96204
2021-11-30T05:00:00Z, 62, 62.575, 58.66, 59.43, 59.43, 265575
2021-11-29T05:00:00Z, 64.8, 68.23, 62.28, 62.56, 62.56, 102987
2021-11-26T05:00:00Z, 63.5, 63.71, 61, 62.73, 62.73, 44956
2021-11-24T05:00:00Z, 65.65, 67.2699, 63.55, 64.8, 64.8, 81742
2021-11-23T05:00:00Z, 67.82, 67.5166, 64.55, 66.12, 66.12, 107430
2021-11-22T05:00:00Z, 68.09, 69.34, 65.43, 67.06, 67.06, 117272
2021-11-19T05:00:00Z, 68.6, 70.89, 67.27, 67.65, 67.65, 94037
2021-11-18T05:00:00Z, 74.75, 74.75, 67.79, 69.3, 69.3, 182308
2021-11-17T05:00:00Z, 75.13, 78.195, 74.39, 75.27, 75.27, 65951
2021-11-16T05:00:00Z, 75.81, 77.04, 72.21, 75.13, 75.13, 112875
2021-11-15T05:00:00Z, 81.71, 84.885, 74.535, 75.81, 75.81, 147815
2021-11-12T05:00:00Z, 81.5, 81.5, 68.83, 78.43, 78.43, 248136
2021-11-11T05:00:00Z, 81, 83.66, 79.255, 82.46, 82.46, 72760
2021-11-10T05:00:00Z, 83.3, 84.69, 78.27, 78.29, 78.29, 114805
2021-11-09T05:00:00Z, 81.32, 86.35, 78.66, 84.83, 84.83, 126613
2021-11-08T05:00:00Z, 85.83, 86.995, 80.01, 80.5, 80.5, 149810
2021-11-05T04:00:00Z, 83.07, 86.92, 81.8, 85.44, 85.44, 110051
2021-11-04T04:00:00Z, 91.04, 91.9815, 79.3, 81.4, 81.4, 181814
2021-11-03T04:00:00Z, 84.2, 87.53, 82.0572, 87.34, 87.34, 152282
2021-11-02T04:00:00Z, 83.18, 85.395, 80.08, 83.17, 83.17, 138884
2021-11-01T04:00:00Z, 77.67, 84.05, 77.67, 82.17, 82.17, 215031
2021-10-29T04:00:00Z, 73.48, 77.55, 73.39, 77.49, 77.49, 211713
2021-10-28T04:00:00Z, 72.11, 74.16, 71.18, 73.48, 73.48, 108065
2021-10-27T04:00:00Z, 71.5, 73.21, 69.23, 70.58, 70.58, 96491
2021-10-26T04:00:00Z, 70.85, 73.7817, 70.77, 71.82, 71.82, 107744
2021-10-25T04:00:00Z, 71.79, 74.39, 67.39, 70.34, 70.34, 151492
2021-10-22T04:00:00Z, 67.63, 71.52, 66.6398, 70.48, 70.48, 108366
2021-10-21T04:00:00Z, 69.08, 69.49, 66.7, 67.62, 67.62, 125424
2021-10-20T04:00:00Z, 65.96, 69.53, 65.68, 68.58, 68.58, 84174
2021-10-19T04:00:00Z, 68, 68.9532, 64.281, 65.68, 65.68, 123175
