Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 14.97, 15.35, 14.8, 15.22, 15.22, 316757
2022-02-07T05:00:00Z, 14.6, 15.31, 14.46, 15.2, 15.2, 464748
2022-02-04T05:00:00Z, 14.59, 14.955, 14.26, 14.61, 14.61, 476121
2022-02-03T05:00:00Z, 14.51, 14.94, 14.47, 14.75, 14.75, 825090
2022-02-02T05:00:00Z, 15.46, 15.695, 14.48, 14.75, 14.75, 822980
2022-02-01T05:00:00Z, 15.42, 15.85, 15.01, 15.47, 15.47, 1251972
2022-01-31T05:00:00Z, 14.885, 15.39, 14.61, 15.36, 15.36, 658467
2022-01-28T05:00:00Z, 14.22, 14.87, 13.94, 14.86, 14.86, 1139162
2022-01-27T05:00:00Z, 16.19, 16.35, 14.17, 14.26, 14.26, 874687
2022-01-26T05:00:00Z, 15.46, 16.11, 15.1, 15.25, 15.25, 937063
2022-01-25T05:00:00Z, 14.53, 15.42, 14.35, 15.1, 15.1, 881890
2022-01-24T05:00:00Z, 13.98, 14.78, 13.1, 14.66, 14.66, 1802006
2022-01-21T05:00:00Z, 14.08, 14.71, 13.98, 13.99, 13.99, 1028585
2022-01-20T05:00:00Z, 15.5, 15.7, 14.22, 14.31, 14.31, 831201
2022-01-19T05:00:00Z, 15.09, 16.02, 14.91, 15.22, 15.22, 880652
2022-01-18T05:00:00Z, 15.52, 15.99, 14.83, 14.91, 14.91, 1152777
2022-01-14T05:00:00Z, 14.51, 16.23, 14.38, 16.07, 16.07, 1811240
2022-01-13T05:00:00Z, 14.39, 14.76, 13.93, 14.23, 14.23, 598310
2022-01-12T05:00:00Z, 15.45, 15.5704, 14.33, 14.39, 14.39, 520560
2022-01-11T05:00:00Z, 15.92, 16.08, 15.34, 15.44, 15.44, 687335
2022-01-10T05:00:00Z, 15.3, 16.015, 15.08, 15.88, 15.88, 877229
2022-01-07T05:00:00Z, 16.09, 16.44, 15.5, 15.71, 15.71, 1029883
2022-01-06T05:00:00Z, 15.65, 16.15, 15.38, 15.98, 15.98, 876989
2022-01-05T05:00:00Z, 16.21, 16.59, 15.54, 15.58, 15.58, 1403368
2022-01-04T05:00:00Z, 16.77, 16.91, 16.02, 16.27, 16.27, 572483
2022-01-03T05:00:00Z, 15.83, 16.93, 15.68, 16.89, 16.89, 825901
2021-12-31T05:00:00Z, 16.06, 16.55, 15.68, 15.76, 15.76, 324682
2021-12-30T05:00:00Z, 17.09, 17.39, 16.08, 16.12, 16.12, 495318
2021-12-29T05:00:00Z, 17.24, 17.47, 16.8895, 17.04, 17.04, 272804
2021-12-28T05:00:00Z, 17.15, 17.75, 17.14, 17.24, 17.24, 668135
