Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.74, 2.87, 2.69, 2.85, 2.85, 142396
2022-02-07T05:00:00Z, 2.85, 3.015, 2.73, 2.74, 2.74, 133230
2022-02-04T05:00:00Z, 2.74, 2.89, 2.715, 2.83, 2.83, 112213
2022-02-03T05:00:00Z, 2.75, 2.86, 2.74, 2.74, 2.74, 119361
2022-02-02T05:00:00Z, 2.95, 3.01, 2.78, 2.85, 2.85, 139045
2022-02-01T05:00:00Z, 2.88, 2.99, 2.79, 2.93, 2.93, 97721
2022-01-31T05:00:00Z, 2.74, 2.88, 2.68, 2.87, 2.87, 202379
2022-01-28T05:00:00Z, 2.52, 2.67, 2.43, 2.62, 2.62, 133819
2022-01-27T05:00:00Z, 2.55, 2.69, 2.47, 2.48, 2.48, 192509
2022-01-26T05:00:00Z, 2.72, 2.78, 2.53, 2.55, 2.55, 241994
2022-01-25T05:00:00Z, 2.8, 2.85, 2.63, 2.64, 2.64, 128972
2022-01-24T05:00:00Z, 2.61, 2.86, 2.47, 2.85, 2.85, 311815
2022-01-21T05:00:00Z, 2.8, 2.85, 2.68, 2.73, 2.73, 324831
2022-01-20T05:00:00Z, 3.12, 3.13, 2.87, 2.9, 2.9, 468683
2022-01-19T05:00:00Z, 3.13, 3.2, 3.02, 3.02, 3.02, 159843
2022-01-18T05:00:00Z, 3.15, 3.221, 3.1019, 3.13, 3.13, 193722
2022-01-14T05:00:00Z, 3.24, 3.2814, 3.07, 3.22, 3.22, 209694
2022-01-13T05:00:00Z, 3.4, 3.5, 3.24, 3.24, 3.24, 210316
2022-01-12T05:00:00Z, 3.45, 3.6, 3.4, 3.4, 3.4, 147112
2022-01-11T05:00:00Z, 3.42, 3.51, 3.3442, 3.42, 3.42, 99951
2022-01-10T05:00:00Z, 3.32, 3.435, 3.21, 3.39, 3.39, 370358
2022-01-07T05:00:00Z, 3.43, 3.5229, 3.33, 3.4, 3.4, 97619
2022-01-06T05:00:00Z, 3.45, 3.54, 3.3385, 3.44, 3.44, 131439
2022-01-05T05:00:00Z, 3.79, 3.86, 3.45, 3.49, 3.49, 186135
2022-01-04T05:00:00Z, 3.78, 3.872, 3.6286, 3.82, 3.82, 306782
2022-01-03T05:00:00Z, 3.78, 3.92, 3.77, 3.85, 3.85, 192194
2021-12-31T05:00:00Z, 3.98, 3.98, 3.76, 3.76, 3.76, 380997
2021-12-30T05:00:00Z, 3.6, 4.03, 3.51, 3.98, 3.98, 575080
2021-12-29T05:00:00Z, 3.74, 3.77, 3.49, 3.55, 3.55, 455170
2021-12-28T05:00:00Z, 3.71, 3.77, 3.55, 3.6, 3.6, 224420
2021-12-27T05:00:00Z, 3.89, 3.935, 3.5692, 3.71, 3.71, 396719
2021-12-23T05:00:00Z, 3.58, 3.78, 3.43, 3.77, 3.77, 305183
2021-12-22T05:00:00Z, 3.53, 3.57, 3.4555, 3.56, 3.56, 166637
2021-12-21T05:00:00Z, 3.42, 3.53, 3.3201, 3.53, 3.53, 177694
2021-12-20T05:00:00Z, 3.01, 3.45, 3.01, 3.41, 3.41, 651249
2021-12-17T05:00:00Z, 2.98, 3.15, 2.93, 3.11, 3.11, 268802
2021-12-16T05:00:00Z, 3.2, 3.28, 3.0147, 3.06, 3.06, 263825
2021-12-15T05:00:00Z, 3.07, 3.2145, 2.96, 3.19, 3.19, 262579
2021-12-14T05:00:00Z, 3.18, 3.19, 3.05, 3.13, 3.13, 204377
2021-12-13T05:00:00Z, 3.28, 3.291, 3.11, 3.18, 3.18, 213096
2021-12-10T05:00:00Z, 3.45, 3.5007, 3.26, 3.28, 3.28, 216509
2021-12-09T05:00:00Z, 3.62, 3.65, 3.43, 3.45, 3.45, 215121
2021-12-08T05:00:00Z, 3.54, 3.63, 3.49, 3.61, 3.61, 165679
2021-12-07T05:00:00Z, 3.37, 3.63, 3.37, 3.59, 3.59, 227669
2021-12-06T05:00:00Z, 3.15, 3.39, 3.1, 3.35, 3.35, 328676
2021-12-03T05:00:00Z, 3.37, 3.37, 3.15, 3.23, 3.23, 292201
2021-12-02T05:00:00Z, 3.31, 3.4299, 3.27, 3.34, 3.34, 231049
2021-12-01T05:00:00Z, 3.56, 3.64, 3.28, 3.29, 3.29, 330149
2021-11-30T05:00:00Z, 3.6, 3.65, 3.4, 3.55, 3.55, 289572
2021-11-29T05:00:00Z, 3.67, 3.75, 3.52, 3.61, 3.61, 176760
2021-11-26T05:00:00Z, 3.71, 3.75, 3.61, 3.66, 3.66, 174989
2021-11-24T05:00:00Z, 3.6, 3.84, 3.5817, 3.82, 3.82, 218429
2021-11-23T05:00:00Z, 3.62, 3.77, 3.52, 3.65, 3.65, 507799
2021-11-22T05:00:00Z, 3.83, 3.83, 3.5531, 3.61, 3.61, 460385
2021-11-19T05:00:00Z, 3.77, 3.95, 3.75, 3.81, 3.81, 453667
2021-11-18T05:00:00Z, 3.94, 4.005, 3.65, 3.81, 3.81, 678183
2021-11-17T05:00:00Z, 3.92, 4.09, 3.9, 3.94, 3.94, 367647
2021-11-16T05:00:00Z, 4.15, 4.13, 3.91, 3.93, 3.93, 432438
2021-11-15T05:00:00Z, 4.19, 4.26, 4.06, 4.11, 4.11, 279612
2021-11-12T05:00:00Z, 4, 4.21, 3.96, 4.2, 4.2, 524951
2021-11-11T05:00:00Z, 3.99, 4.05, 3.96, 4.01, 4.01, 568574
2021-11-10T05:00:00Z, 4.12, 4.145, 3.95, 3.96, 3.96, 658927
2021-11-09T05:00:00Z, 4.11, 4.19, 3.93, 4.14, 4.14, 1126513
2021-11-08T05:00:00Z, 4.47, 4.5, 4.13, 4.15, 4.15, 1173742
2021-11-05T04:00:00Z, 4.3, 4.68, 4.25, 4.39, 4.39, 1077735
