Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 26.98, 27.2406, 26.8001, 27.02, 27.02, 16812
2022-02-07T05:00:00Z, 26.7, 27.26, 26.6, 27.23, 27.23, 27195
2022-02-04T05:00:00Z, 26.71, 26.95, 26.58, 26.6, 26.6, 5028
2022-02-03T05:00:00Z, 26.99, 27.0467, 26.72, 26.765, 26.765, 6005
2022-02-02T05:00:00Z, 26.85, 27.14, 26.72, 26.72, 26.72, 9747
2022-02-01T05:00:00Z, 27.04, 27.09, 26.7901, 26.97, 26.97, 6842
2022-01-31T05:00:00Z, 26.67, 27.088, 26.6618, 26.99, 26.99, 8567
2022-01-28T05:00:00Z, 26.58, 27.01, 26.56, 26.56, 26.56, 8828
2022-01-27T05:00:00Z, 27.1, 27.34, 26.71, 26.77, 26.77, 12843
2022-01-26T05:00:00Z, 27.55, 27.59, 27.15, 27.269, 27.269, 11259
2022-01-25T05:00:00Z, 27.5, 27.585, 27.24, 27.28, 27.28, 8441
2022-01-24T05:00:00Z, 27.34, 27.77, 27.145, 27.77, 27.77, 15395
2022-01-21T05:00:00Z, 27.6, 27.9566, 27.51, 27.9296, 27.9296, 5938
2022-01-20T05:00:00Z, 27.63, 27.9314, 27.57, 27.63, 27.63, 16700
2022-01-19T05:00:00Z, 27.62, 27.877, 27.6001, 27.64, 27.64, 3751
2022-01-18T05:00:00Z, 27.6, 27.808, 27.55, 27.63, 27.63, 8974
2022-01-14T05:00:00Z, 27.79, 27.9, 27.71, 27.71, 27.71, 4177
2022-01-13T05:00:00Z, 27.88, 27.9, 27.63, 27.85, 27.85, 7692
2022-01-12T05:00:00Z, 27.84, 27.8976, 27.645, 27.8976, 27.8976, 4189
2022-01-11T05:00:00Z, 27.78, 28, 27.62, 27.86, 27.86, 9730
2022-01-10T05:00:00Z, 27.77, 27.81, 27.7, 27.7001, 27.7001, 4360
2022-01-07T05:00:00Z, 27.74, 28, 27.6, 27.87, 27.87, 8630
2022-01-06T05:00:00Z, 27.7, 27.89, 27.65, 27.845, 27.845, 3635
2022-01-05T05:00:00Z, 27.74, 27.96, 27.6, 27.7, 27.7, 10337
2022-01-04T05:00:00Z, 27.8, 28, 27.74, 27.96, 27.96, 6149
2022-01-03T05:00:00Z, 27.97, 28, 27.63, 27.73, 27.73, 11178
2021-12-31T05:00:00Z, 27.84, 28, 28, 28, 28, 1353
2021-12-30T05:00:00Z, 27.93, 28, 27.58, 28, 28, 3719
2021-12-29T05:00:00Z, 27.82, 27.99, 27.56, 27.96, 27.96, 3703
2021-12-28T05:00:00Z, 27.97, 27.98, 27.6, 27.93, 27.93, 4019
2021-12-27T05:00:00Z, 28, 28, 27.8, 27.97, 27.97, 4483
2021-12-23T05:00:00Z, 28.09, 28.09, 27.8, 28, 28, 6102
2021-12-22T05:00:00Z, 27.99, 28.12, 27.7, 28, 28, 8956
2021-12-21T05:00:00Z, 27.9, 28.05, 27.49, 28.03, 28.03, 5949
2021-12-20T05:00:00Z, 27.71, 27.9, 27.5764, 27.5764, 27.5764, 2679
2021-12-17T05:00:00Z, 27.89, 27.89, 27.53, 27.6004, 27.6004, 6038
2021-12-16T05:00:00Z, 27.6, 27.9987, 27.44, 27.99, 27.99, 8652
2021-12-15T05:00:00Z, 27.75, 28.07, 27.4901, 27.51, 27.51, 2661
2021-12-14T05:00:00Z, 27.7, 27.94, 27.46, 27.5, 27.5, 5502
2021-12-13T05:00:00Z, 28.15, 28.01, 27.66, 27.84, 27.84, 6697
2021-12-10T05:00:00Z, 28.03, 28.1896, 27.86, 28.0814, 28.0814, 3573
2021-12-09T05:00:00Z, 27.74, 27.92, 27.8216, 27.9, 27.9, 6685
2021-12-08T05:00:00Z, 27.8, 28.2, 27.62, 27.81, 27.81, 19593
2021-12-07T05:00:00Z, 27.71, 28.2646, 27.62, 28.2646, 28.2646, 15544
2021-12-06T05:00:00Z, 27.75, 27.8, 27.52, 27.6115, 27.6115, 7088
2021-12-03T05:00:00Z, 27.6, 27.7, 27.5101, 27.6, 27.6, 4515
2021-12-02T05:00:00Z, 27.54, 27.6, 27.4281, 27.496, 27.496, 3924
2021-12-01T05:00:00Z, 27.5, 28.09, 27.471, 27.59, 27.59, 12138
2021-11-30T05:00:00Z, 27.47, 27.85, 27.36, 27.5, 27.5, 11512
