Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 17.86, 18.18, 17.165, 18.12, 18.12, 1833300
2022-02-07T05:00:00Z, 17.62, 18.3517, 17.55, 18.02, 18.02, 1700620
2022-02-04T05:00:00Z, 16.85, 17.88, 16.7, 17.62, 17.62, 2353973
2022-02-03T05:00:00Z, 16.22, 17.3485, 16.14, 16.85, 16.85, 2409901
2022-02-02T05:00:00Z, 18.08, 18.16, 16.57, 16.67, 16.67, 2317252
2022-02-01T05:00:00Z, 16.73, 17.67, 16.6, 17.64, 17.64, 1995123
2022-01-31T05:00:00Z, 15.8, 16.72, 15.76, 16.66, 16.66, 2184242
2022-01-28T05:00:00Z, 14.71, 15.77, 14.12, 15.67, 15.67, 3756793
2022-01-27T05:00:00Z, 15.67, 15.8499, 14.59, 14.65, 14.65, 2183300
2022-01-26T05:00:00Z, 16.61, 16.73, 15.16, 15.45, 15.45, 3423964
2022-01-25T05:00:00Z, 15.25, 16.5, 15, 16.26, 16.26, 2994811
2022-01-24T05:00:00Z, 15.61, 15.76, 13.615, 15.74, 15.74, 8216515
2022-01-21T05:00:00Z, 17.86, 18, 15.93, 16.26, 16.26, 5508334
2022-01-20T05:00:00Z, 18.7, 19.22, 18, 18.03, 18.03, 2699895
2022-01-19T05:00:00Z, 18.79, 19.25, 18.43, 18.54, 18.54, 2463943
2022-01-18T05:00:00Z, 18.98, 19.93, 18.55, 18.57, 18.57, 2437500
2022-01-14T05:00:00Z, 18.41, 19.77, 18.36, 19.71, 19.71, 2732350
2022-01-13T05:00:00Z, 18.41, 20.35, 17.91, 18.75, 18.75, 5259712
2022-01-12T05:00:00Z, 19.56, 19.95, 18.36, 18.39, 18.39, 2408747
2022-01-11T05:00:00Z, 19.17, 19.9, 18.75, 19.56, 19.56, 2510518
2022-01-10T05:00:00Z, 18.5, 19.3, 17.85, 19.22, 19.22, 2866367
2022-01-07T05:00:00Z, 20.01, 20.01, 18.77, 18.84, 18.84, 2766136
2022-01-06T05:00:00Z, 19.81, 20.35, 18.86, 20.04, 20.04, 2470833
2022-01-05T05:00:00Z, 22.18, 22.29, 19.55, 19.6, 19.6, 3852000
2022-01-04T05:00:00Z, 22.63, 22.65, 21.82, 22.25, 22.25, 2279059
2022-01-03T05:00:00Z, 22.98, 23.42, 22.15, 22.48, 22.48, 2117360
2021-12-31T05:00:00Z, 22.88, 23.9999, 22.82, 22.87, 22.87, 2333824
2021-12-30T05:00:00Z, 22.59, 23.22, 22.23, 22.78, 22.78, 1972885
2021-12-29T05:00:00Z, 22.99, 23.1, 21.52, 22.49, 22.49, 2656278
2021-12-28T05:00:00Z, 23.77, 24.45, 23.16, 23.33, 23.33, 1816165
2021-12-27T05:00:00Z, 23.06, 23.91, 22.731, 23.91, 23.91, 1852298
2021-12-23T05:00:00Z, 22.41, 23.5, 22.37, 23.05, 23.05, 1774495
2021-12-22T05:00:00Z, 22.41, 23, 22.15, 22.69, 22.69, 1846825
2021-12-21T05:00:00Z, 21.19, 22.7, 21, 22.55, 22.55, 4071757
2021-12-20T05:00:00Z, 20.52, 21.4, 20.21, 21.06, 21.06, 3342909
2021-12-17T05:00:00Z, 19.29, 22.14, 19.235, 20.98, 20.98, 6533576
2021-12-16T05:00:00Z, 19.41, 20, 18.61, 19.67, 19.67, 2662752
2021-12-15T05:00:00Z, 18.35, 20.099, 18, 19.87, 19.87, 3425099
2021-12-14T05:00:00Z, 19.46, 19.47, 17.97, 18.01, 18.01, 6122433
2021-12-13T05:00:00Z, 20.1, 20.21, 19.28, 19.9, 19.9, 3317332
2021-12-10T05:00:00Z, 21.6, 21.9, 20.07, 20.13, 20.13, 4505769
2021-12-09T05:00:00Z, 21.55, 22.15, 20.845, 20.97, 20.97, 7993837
2021-12-08T05:00:00Z, 20.21, 21.13, 18.71, 20.83, 20.83, 2755136
2021-12-07T05:00:00Z, 19.28, 20.8627, 19.15, 20.21, 20.21, 3002426
2021-12-06T05:00:00Z, 18.3, 19.33, 17.3, 19.15, 19.15, 3073629
2021-12-03T05:00:00Z, 21.19, 21.24, 18.4, 18.67, 18.67, 6660543
