Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 2.8, 2.949, 2.71, 2.75, 2.75, 29987
2022-02-07T05:00:00Z, 2.65, 2.835, 2.658, 2.75, 2.75, 26300
2022-02-04T05:00:00Z, 2.7, 2.84, 2.7, 2.8, 2.8, 12589
2022-02-03T05:00:00Z, 2.84, 2.9599, 2.78, 2.79, 2.79, 15066
2022-02-02T05:00:00Z, 2.75, 2.89, 2.75, 2.84, 2.84, 20751
2022-02-01T05:00:00Z, 2.81, 2.88, 2.7, 2.73, 2.73, 25458
2022-01-31T05:00:00Z, 2.64, 2.84, 2.56, 2.71, 2.71, 19713
2022-01-28T05:00:00Z, 2.52, 2.63, 2.5, 2.56, 2.56, 34915
2022-01-27T05:00:00Z, 2.85, 2.84, 2.51, 2.54, 2.54, 65181
2022-01-26T05:00:00Z, 3, 3.021, 2.83, 2.83, 2.83, 84286
2022-01-25T05:00:00Z, 2.94, 3.01, 2.82, 2.95, 2.95, 71144
2022-01-24T05:00:00Z, 3, 3.08, 2.68, 2.96, 2.96, 252683
2022-01-21T05:00:00Z, 3.43, 3.47, 3.06, 3.16, 3.16, 546847
2022-01-20T05:00:00Z, 3.16, 4.35, 3.16, 3.54, 3.54, 4054831
2022-01-19T05:00:00Z, 3.31, 3.32, 3.11, 3.17, 3.17, 23683
2022-01-18T05:00:00Z, 3.23, 3.32, 3.1635, 3.31, 3.31, 6245
2022-01-14T05:00:00Z, 3.25, 3.32, 3.1353, 3.23, 3.23, 6557
2022-01-13T05:00:00Z, 3.34, 3.36, 3.2, 3.2, 3.2, 8563
2022-01-12T05:00:00Z, 3.3, 3.3799, 3.2, 3.25, 3.25, 10254
2022-01-11T05:00:00Z, 3.28, 3.45, 3.25, 3.25, 3.25, 16507
2022-01-10T05:00:00Z, 3.28, 3.32, 3.1501, 3.32, 3.32, 21580
2022-01-07T05:00:00Z, 3.26, 3.3, 3.1801, 3.28, 3.28, 9036
2022-01-06T05:00:00Z, 3.3, 3.38, 3.15, 3.26, 3.26, 25958
2022-01-05T05:00:00Z, 3.23, 3.5374, 3.22, 3.36, 3.36, 22149
2022-01-04T05:00:00Z, 3.35, 3.38, 3.19, 3.3, 3.3, 36054
2022-01-03T05:00:00Z, 3.4, 3.5, 3.35, 3.37, 3.37, 34937
2021-12-31T05:00:00Z, 3.38, 3.4747, 3.38, 3.4, 3.4, 26505
2021-12-30T05:00:00Z, 3.415, 3.59, 3.37, 3.46, 3.46, 26458
2021-12-29T05:00:00Z, 3.53, 3.58, 3.5, 3.5, 3.5, 18390
2021-12-28T05:00:00Z, 3.65, 3.75, 3.55, 3.55, 3.55, 312510
2021-12-27T05:00:00Z, 3.51, 3.73, 3.5, 3.61, 3.61, 202432
2021-12-23T05:00:00Z, 3.45, 3.5299, 3.4, 3.5, 3.5, 17223
2021-12-22T05:00:00Z, 3.49, 3.5281, 3.3301, 3.45, 3.45, 29771
2021-12-21T05:00:00Z, 3.36, 3.58, 3.31, 3.45, 3.45, 50091
2021-12-20T05:00:00Z, 3.3, 3.36, 3.1394, 3.29, 3.29, 15519
2021-12-17T05:00:00Z, 3.36, 3.36, 3.2102, 3.35, 3.35, 26621
2021-12-16T05:00:00Z, 3.36, 3.35, 3.17, 3.3, 3.3, 34922
2021-12-15T05:00:00Z, 3.04, 3.4, 3, 3.35, 3.35, 76602
2021-12-14T05:00:00Z, 3.16, 3.199, 3.075, 3.12, 3.12, 46021
2021-12-13T05:00:00Z, 3.16, 3.235, 3.13, 3.15, 3.15, 23279
2021-12-10T05:00:00Z, 3.23, 3.3, 3.1001, 3.28, 3.28, 13585
2021-12-09T05:00:00Z, 3.22, 3.3, 3.1659, 3.21, 3.21, 17269
2021-12-08T05:00:00Z, 3.19, 3.3, 3.19, 3.22, 3.22, 19022
2021-12-07T05:00:00Z, 3.11, 3.2, 3.04, 3.16, 3.16, 14512
2021-12-06T05:00:00Z, 2.93, 3.17, 2.9101, 3.11, 3.11, 14632
2021-12-03T05:00:00Z, 3, 3.085, 2.91, 3, 3, 32967
2021-12-02T05:00:00Z, 3.01, 3.09, 2.99, 3.04, 3.04, 16073
2021-12-01T05:00:00Z, 3.02, 3.05, 2.95, 3.01, 3.01, 30455
2021-11-30T05:00:00Z, 3, 3.07, 2.8807, 2.98, 2.98, 71006
2021-11-29T05:00:00Z, 2.98, 3.07, 2.9201, 3, 3, 37518
2021-11-26T05:00:00Z, 3, 3.05, 2.96, 3.04, 3.04, 8371
2021-11-24T05:00:00Z, 3.01, 3.11, 2.97, 3.05, 3.05, 8814
2021-11-23T05:00:00Z, 3.05, 3.12, 3, 3.02, 3.02, 32059
2021-11-22T05:00:00Z, 2.95, 3.07, 2.94, 3.05, 3.05, 6927
2021-11-19T05:00:00Z, 3.03, 3.1, 2.95, 3.05, 3.05, 14518
2021-11-18T05:00:00Z, 3.14, 3.16, 2.9947, 3.05, 3.05, 52222
2021-11-17T05:00:00Z, 3.08, 3.2, 3, 3.14, 3.14, 42789
2021-11-16T05:00:00Z, 2.99, 3.07, 2.9101, 3.03, 3.03, 58582
2021-11-15T05:00:00Z, 2.99, 3.02, 2.8962, 2.98, 2.98, 35489
2021-11-12T05:00:00Z, 2.95, 3.05, 2.91, 3.04, 3.04, 40667
2021-11-11T05:00:00Z, 2.89, 2.97, 2.81, 2.96, 2.96, 82957
2021-11-10T05:00:00Z, 2.9, 2.96, 2.7715, 2.89, 2.89, 135401
2021-11-09T05:00:00Z, 2.96, 3.02, 2.8, 3, 3, 36771
2021-11-08T05:00:00Z, 2.8, 2.88, 2.75, 2.88, 2.88, 123893
2021-11-05T04:00:00Z, 2.9, 3.03, 2.79, 2.8, 2.8, 420624
2021-11-04T04:00:00Z, 3.21, 3.38, 3.0914, 3.11, 3.11, 177689
2021-11-03T04:00:00Z, 3.45, 3.4554, 3.04, 3.18, 3.18, 356838
2021-11-02T04:00:00Z, 3.23, 4.15, 3.17, 3.45, 3.45, 5950020
2021-11-01T04:00:00Z, 3.25, 3.28, 3.16, 3.22, 3.22, 46553
2021-10-29T04:00:00Z, 3.18, 3.2347, 3.07, 3.15, 3.15, 15782
2021-10-28T04:00:00Z, 3.16, 3.25, 3.07, 3.18, 3.18, 39584
