Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 29.5, 30.76, 29.26, 30.71, 30.71, 158737
2022-02-07T05:00:00Z, 29, 29.44, 28.6, 29.26, 29.26, 254936
2022-02-04T05:00:00Z, 29.08, 29.45, 28.6, 29.07, 29.07, 274786
2022-02-03T05:00:00Z, 29.8, 30.26, 29.051, 29.14, 29.14, 268356
2022-02-02T05:00:00Z, 31.22, 31.46, 30.08, 30.19, 30.19, 272300
2022-02-01T05:00:00Z, 31.7, 32, 30.87, 31.15, 31.15, 272503
2022-01-31T05:00:00Z, 30.82, 31.69, 30.34, 31.36, 31.36, 268311
2022-01-28T05:00:00Z, 28.69, 31.2, 28.33, 31.16, 31.16, 507598
2022-01-27T05:00:00Z, 30.13, 30.99, 28.14, 28.23, 28.23, 334665
2022-01-26T05:00:00Z, 31.55, 31.93, 29.67, 30, 30, 536488
2022-01-25T05:00:00Z, 30.46, 31.09, 29.64, 30.74, 30.74, 278094
2022-01-24T05:00:00Z, 28.31, 30.83, 28.26, 30.75, 30.75, 1212488
2022-01-21T05:00:00Z, 30.31, 30.95, 28.585, 29.08, 29.08, 543489
2022-01-20T05:00:00Z, 30.9, 31.56, 30.49, 30.63, 30.63, 260117
2022-01-19T05:00:00Z, 31.02, 31.69, 29.9, 30.46, 30.46, 434075
2022-01-18T05:00:00Z, 32.79, 32.9599, 30.78, 30.97, 30.97, 376081
2022-01-14T05:00:00Z, 31.43, 32.76, 30.96, 32.72, 32.72, 512875
2022-01-13T05:00:00Z, 32.18, 32.68, 31.32, 31.48, 31.48, 376999
2022-01-12T05:00:00Z, 29.59, 31.56, 29.42, 31.51, 31.51, 488345
2022-01-11T05:00:00Z, 29.2, 29.82, 28.71, 29.09, 29.09, 176578
2022-01-10T05:00:00Z, 28.63, 29.21, 28.134, 29.14, 29.14, 404148
2022-01-07T05:00:00Z, 30.69, 30.98, 28.96, 29.04, 29.04, 216736
2022-01-06T05:00:00Z, 30.2, 30.56, 29.77, 30.25, 30.25, 284663
