Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 0.9168, 0.95, 0.86, 0.8928, 0.8928, 221774
2022-02-07T05:00:00Z, 0.8979, 0.99, 0.8808, 0.9168, 0.9168, 367894
2022-02-04T05:00:00Z, 0.86, 0.9198, 0.8518, 0.8979, 0.8979, 131513
2022-02-03T05:00:00Z, 0.9055, 0.9418, 0.8479, 0.8909, 0.8909, 292435
2022-02-02T05:00:00Z, 0.9617, 0.9925, 0.9001, 0.9098, 0.9098, 265796
2022-02-01T05:00:00Z, 0.9819, 1.05, 0.9334, 1, 1, 249934
2022-01-31T05:00:00Z, 0.913, 0.995, 0.89, 0.9829, 0.9829, 284879
2022-01-28T05:00:00Z, 0.91, 0.93, 0.85, 0.9228, 0.9228, 398150
2022-01-27T05:00:00Z, 0.93, 0.94, 0.83, 0.8899, 0.8899, 419264
2022-01-26T05:00:00Z, 0.9618, 1, 0.9201, 0.9322, 0.9322, 766736
2022-01-25T05:00:00Z, 0.93005, 0.97, 0.9, 0.9618, 0.9618, 449357
2022-01-24T05:00:00Z, 0.8715, 0.9496, 0.8595, 0.9496, 0.9496, 985042
2022-01-21T05:00:00Z, 0.85, 0.93, 0.8121, 0.8787, 0.8787, 1132406
2022-01-20T05:00:00Z, 0.84, 0.86, 0.7812, 0.8179, 0.8179, 537929
2022-01-19T05:00:00Z, 0.91, 0.924, 0.813, 0.84, 0.84, 1077253
2022-01-18T05:00:00Z, 0.966, 0.99, 0.86, 0.9013, 0.9013, 1140159
2022-01-14T05:00:00Z, 0.966, 1.02, 0.897, 0.9998, 0.9998, 601823
2022-01-13T05:00:00Z, 1.03, 1.05, 0.95, 0.9589, 0.9589, 962288
2022-01-12T05:00:00Z, 0.991, 1.06, 0.97, 1.03, 1.03, 1315395
2022-01-11T05:00:00Z, 0.9755, 0.9919, 0.9294, 0.9556, 0.9556, 564312
2022-01-10T05:00:00Z, 0.99, 1.02, 0.96, 0.9755, 0.9755, 1213732
2022-01-07T05:00:00Z, 1.21, 1.2263, 0.98, 1.04, 1.04, 2378959
2022-01-06T05:00:00Z, 1.58, 1.6, 1.2, 1.21, 1.21, 2728996
2022-01-05T05:00:00Z, 1.71, 1.88, 1.71, 1.76, 1.76, 947019
2022-01-04T05:00:00Z, 1.83, 1.8762, 1.68, 1.7, 1.7, 364628
