Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.49, 7.53, 7.32, 7.52, 7.52, 114108
2022-02-07T05:00:00Z, 7.19, 7.53, 7.09, 7.36, 7.36, 228899
2022-02-04T05:00:00Z, 7.05, 7.14, 6.93, 7.05, 7.05, 131299
2022-02-03T05:00:00Z, 7.14, 7.34, 7.08, 7.1, 7.1, 223948
2022-02-02T05:00:00Z, 7.56, 7.6, 7.31, 7.39, 7.39, 165623
2022-02-01T05:00:00Z, 7.48, 7.6964, 7.36, 7.47, 7.47, 193885
2022-01-31T05:00:00Z, 7.12, 7.5, 7.05, 7.49, 7.49, 184229
2022-01-28T05:00:00Z, 6.71, 7.07, 6.47, 7.06, 7.06, 302000
2022-01-27T05:00:00Z, 7.18, 7.25, 6.74, 6.76, 6.76, 243512
2022-01-26T05:00:00Z, 7.38, 7.515, 7, 7.11, 7.11, 162722
2022-01-25T05:00:00Z, 7.14, 7.34, 7.09, 7.2, 7.2, 210781
2022-01-24T05:00:00Z, 7.39, 7.47, 6.9304, 7.45, 7.45, 280014
2022-01-21T05:00:00Z, 7.51, 7.92, 7.46, 7.54, 7.54, 194506
2022-01-20T05:00:00Z, 7.82, 8.14, 7.66, 7.67, 7.67, 176272
2022-01-19T05:00:00Z, 8.15, 8.27, 7.8058, 7.81, 7.81, 163673
2022-01-18T05:00:00Z, 8.27, 8.45, 8.08, 8.13, 8.13, 171928
2022-01-14T05:00:00Z, 8.45, 8.56, 8.29, 8.54, 8.54, 130170
2022-01-13T05:00:00Z, 9.02, 9.11, 8.43, 8.45, 8.45, 273887
2022-01-12T05:00:00Z, 8.88, 9.14, 8.73, 8.89, 8.89, 206040
2022-01-11T05:00:00Z, 8.85, 9.04, 8.72, 8.84, 8.84, 203653
2022-01-10T05:00:00Z, 8.3, 8.89, 8.13, 8.87, 8.87, 409260
2022-01-07T05:00:00Z, 8.6, 8.675, 8.35, 8.41, 8.41, 165227
2022-01-06T05:00:00Z, 8.73, 9.09, 8.51, 8.6, 8.6, 163700
2022-01-05T05:00:00Z, 9.02, 9.3, 8.63, 8.67, 8.67, 187092
2022-01-04T05:00:00Z, 9.18, 9.24, 8.8, 9.15, 9.15, 373760
2022-01-03T05:00:00Z, 9.09, 9.13, 8.86, 9.05, 9.05, 145412
2021-12-31T05:00:00Z, 8.64, 9.1, 8.61, 8.81, 8.81, 458697
2021-12-30T05:00:00Z, 8.6, 8.81, 8.56, 8.64, 8.64, 143215
2021-12-29T05:00:00Z, 8.61, 8.7, 8.48, 8.56, 8.56, 149967
2021-12-28T05:00:00Z, 8.68, 8.77, 8.56, 8.59, 8.59, 128627
2021-12-27T05:00:00Z, 8.77, 8.89, 8.64, 8.77, 8.77, 150828
2021-12-23T05:00:00Z, 8.55, 8.9494, 8.53, 8.8, 8.8, 253242
2021-12-22T05:00:00Z, 8.47, 8.63, 8.33, 8.54, 8.54, 205946
2021-12-21T05:00:00Z, 8.3, 8.65, 8.26, 8.63, 8.63, 295640
2021-12-20T05:00:00Z, 8, 8.1599, 7.83, 8.08, 8.08, 228317
2021-12-17T05:00:00Z, 7.91, 8.3, 7.83, 8.2, 8.2, 315309
2021-12-16T05:00:00Z, 8.37, 8.45, 7.75, 7.83, 7.83, 202043
