Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 31.68, 32.22, 31.53, 32.06, 32.06, 369282
2022-02-07T05:00:00Z, 32.12, 32.35, 31.42, 31.68, 31.68, 926296
2022-02-04T05:00:00Z, 31.55, 32.22, 31.35, 32, 32, 496395
2022-02-03T05:00:00Z, 32.06, 32.38, 31.61, 31.67, 31.67, 433258
2022-02-02T05:00:00Z, 32.67, 32.75, 32.18, 32.51, 32.51, 384852
2022-02-01T05:00:00Z, 32.68, 32.81, 32.06, 32.51, 32.51, 358376
2022-01-31T05:00:00Z, 31.5, 32.65, 31.42, 32.63, 32.63, 560868
2022-01-28T05:00:00Z, 31.63, 31.7407, 30.92, 31.44, 31.44, 542234
2022-01-27T05:00:00Z, 32.41, 32.62, 31.78, 31.87, 31.87, 611594
2022-01-26T05:00:00Z, 32.78, 33.0803, 31.67, 32.03, 32.03, 750825
2022-01-25T05:00:00Z, 32.45, 32.91, 32.2, 32.41, 32.41, 659095
2022-01-24T05:00:00Z, 31.65, 32.98, 31.23, 32.89, 32.89, 900217
2022-01-21T05:00:00Z, 32.85, 32.9393, 32.03, 32.26, 32.26, 714301
2022-01-20T05:00:00Z, 33.66, 34.08, 32.8, 32.85, 32.85, 1047128
2022-01-19T05:00:00Z, 32.49, 33.77, 32.33, 33.43, 33.43, 672436
2022-01-18T05:00:00Z, 32.5, 32.78, 31.96, 32.28, 32.28, 701101
2022-01-14T05:00:00Z, 32.92, 33.2585, 32.83, 33.05, 33.05, 572347
2022-01-13T05:00:00Z, 33.83, 34.03, 32.97, 33.18, 33.18, 1030847
2022-01-12T05:00:00Z, 33.75, 34.43, 33.73, 34.24, 34.24, 565139
2022-01-11T05:00:00Z, 33.91, 34.35, 33.71, 33.73, 33.73, 619156
2022-01-10T05:00:00Z, 33.75, 34.1, 33.38, 33.84, 33.84, 654354
2022-01-07T05:00:00Z, 33.98, 34.56, 33.85, 34.13, 34.13, 982043
2022-01-06T05:00:00Z, 34.29, 34.75, 33.78, 34.11, 34.11, 753921
2022-01-05T05:00:00Z, 35.25, 35.23, 34, 34.48, 34.48, 1056032
2022-01-04T05:00:00Z, 35.495, 35.97, 34.67, 35.19, 35.19, 614520
2022-01-03T05:00:00Z, 36.34, 36.5247, 35.251, 35.61, 35.61, 572135
2021-12-31T05:00:00Z, 36.18, 36.34, 35.75, 35.76, 35.76, 303088
2021-12-30T05:00:00Z, 35.9, 36.4, 35.62, 36.09, 36.09, 464280
2021-12-29T05:00:00Z, 35.78, 35.94, 35.11, 35.36, 35.36, 369254
2021-12-28T05:00:00Z, 35.19, 35.94, 35.15, 35.78, 35.78, 502274
2021-12-27T05:00:00Z, 35.81, 35.98, 35, 35.37, 35.37, 469353
2021-12-23T05:00:00Z, 36.01, 36.2, 35.66, 35.95, 35.95, 394885
2021-12-22T05:00:00Z, 35.97, 36.42, 35.68, 36.16, 36.16, 732232
2021-12-21T05:00:00Z, 36.12, 36.44, 35.4273, 36.15, 36.15, 612068
2021-12-20T05:00:00Z, 35.95, 36.01, 35.26, 35.66, 35.66, 527533
2021-12-17T05:00:00Z, 36.18, 36.88, 35.7602, 36.53, 36.53, 888835
2021-12-16T05:00:00Z, 37.25, 37.32, 35.77, 36.24, 36.24, 725218
2021-12-15T05:00:00Z, 36.4, 37.29, 35.89, 37.16, 37.16, 426263
2021-12-14T05:00:00Z, 36.75, 37.1099, 36.005, 36.45, 36.45, 388171
2021-12-13T05:00:00Z, 37, 37.38, 36.73, 37.14, 37.14, 446551
2021-12-10T05:00:00Z, 37.49, 37.95, 36.77, 36.96, 36.96, 563387
2021-12-09T05:00:00Z, 38.26, 38.39, 37.35, 37.57, 37.57, 393207
2021-12-08T05:00:00Z, 38.5, 38.78, 38.15, 38.42, 38.42, 191686
2021-12-07T05:00:00Z, 38.5, 39.41, 38.32, 38.55, 38.55, 579577
2021-12-06T05:00:00Z, 37.46, 38.48, 37.05, 37.97, 37.97, 398374
2021-12-03T05:00:00Z, 38.07, 38.37, 36.34, 37.39, 37.39, 438309
2021-12-02T05:00:00Z, 37.51, 38.4783, 37.25, 38.05, 38.05, 500939
2021-12-01T05:00:00Z, 38.71, 39.39, 37.51, 37.57, 37.57, 866880
2021-11-30T05:00:00Z, 38.67, 38.91, 37.8601, 38.36, 38.36, 470526
2021-11-29T05:00:00Z, 38.93, 39.355, 38.41, 38.88, 38.88, 354589
2021-11-26T05:00:00Z, 38.76, 39.21, 38.3, 38.75, 38.75, 231588
2021-11-24T05:00:00Z, 38.95, 39.78, 38.29, 39.46, 39.46, 323449
2021-11-23T05:00:00Z, 39.83, 39.88, 38.9, 39.14, 39.14, 442626
2021-11-22T05:00:00Z, 40.65, 40.899, 39.5207, 39.9, 39.9, 821304
2021-11-19T05:00:00Z, 39.91, 40.5, 39.6799, 40.46, 40.46, 397153
2021-11-18T05:00:00Z, 40.37, 40.46, 39.5, 39.8, 39.8, 390411
2021-11-17T05:00:00Z, 39.69, 40.425, 39.61, 40.37, 40.37, 290024
2021-11-16T05:00:00Z, 40.53, 40.82, 39.38, 39.76, 39.76, 460201
2021-11-15T05:00:00Z, 40.95, 41.32, 40.09, 40.62, 40.62, 451458
