Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 87.66, 89.2, 86.23, 88.85, 88.85, 542293
2022-02-07T05:00:00Z, 86.77, 88.49, 85.7106, 87.33, 87.33, 470138
2022-02-04T05:00:00Z, 84.96, 86.97, 83.94, 86.3, 86.3, 475855
2022-02-03T05:00:00Z, 85.17, 86.39, 84.55, 85.11, 85.11, 345885
2022-02-02T05:00:00Z, 86, 87.15, 84.9201, 86.72, 86.72, 860673
2022-02-01T05:00:00Z, 84.89, 85.75, 83.44, 85.58, 85.58, 511409
2022-01-31T05:00:00Z, 78.94, 84.61, 78.4129, 84.34, 84.34, 722000
2022-01-28T05:00:00Z, 77, 79.18, 75.01, 79.18, 79.18, 604142
2022-01-27T05:00:00Z, 81.56, 82.34, 76.3, 76.38, 76.38, 756192
2022-01-26T05:00:00Z, 81.19, 83, 78.78, 80.2, 80.2, 695146
2022-01-25T05:00:00Z, 79.06, 81.01, 77.86, 79.32, 79.32, 974659
2022-01-24T05:00:00Z, 76.11, 81.83, 74.05, 81.67, 81.67, 938500
2022-01-21T05:00:00Z, 78.61, 80.94, 77.36, 77.67, 77.67, 612523
2022-01-20T05:00:00Z, 81.51, 83.13, 79.72, 79.76, 79.76, 848165
2022-01-19T05:00:00Z, 81.95, 82.62, 78.06, 80.7, 80.7, 710364
2022-01-18T05:00:00Z, 85.58, 86.57, 81.11, 81.31, 81.31, 441464
2022-01-14T05:00:00Z, 87.19, 88.82, 85.51, 87.57, 87.57, 462360
2022-01-13T05:00:00Z, 93.73, 95.75, 87.55, 87.79, 87.79, 619543
2022-01-12T05:00:00Z, 95.74, 95.94, 92.57, 93.88, 93.88, 375705
2022-01-11T05:00:00Z, 91.54, 94.39, 90.28, 94.19, 94.19, 512874
2022-01-10T05:00:00Z, 92.06, 92.795, 87.89, 91.6, 91.6, 584945
2022-01-07T05:00:00Z, 94.95, 95.73, 92.64, 93.59, 93.59, 576380
2022-01-06T05:00:00Z, 94.51, 97.79, 92.13, 95.26, 95.26, 622336
2022-01-05T05:00:00Z, 102.59, 103.83, 94.64, 95.28, 95.28, 1273995
2022-01-04T05:00:00Z, 102.97, 104.01, 99.88, 103.69, 103.69, 640533
2022-01-03T05:00:00Z, 103.98, 104.64, 101.35, 103.81, 103.81, 1099769
2021-12-31T05:00:00Z, 102.72, 104.38, 102.81, 103.11, 103.11, 467883
2021-12-30T05:00:00Z, 102.45, 104.53, 101.65, 103.18, 103.18, 283619
2021-12-29T05:00:00Z, 101.32, 103.385, 101.19, 102.73, 102.73, 200205
2021-12-28T05:00:00Z, 102.98, 104.33, 101.685, 102.77, 102.77, 388775
2021-12-27T05:00:00Z, 101.96, 103.82, 100.66, 102.89, 102.89, 357933
2021-12-23T05:00:00Z, 100.09, 101.32, 99.21, 100.98, 100.98, 261995
2021-12-22T05:00:00Z, 97.51, 99.7199, 97.4, 99.48, 99.48, 359590
2021-12-21T05:00:00Z, 96.37, 98.9, 95.53, 98.61, 98.61, 617191
2021-12-20T05:00:00Z, 93.35, 97.22, 93.1, 94.82, 94.82, 721730
2021-12-17T05:00:00Z, 91.77, 95.65, 89.455, 94.81, 94.81, 1556064
2021-12-16T05:00:00Z, 100.58, 101.32, 92.79, 92.98, 92.98, 632955
2021-12-15T05:00:00Z, 97.48, 100.6599, 94.84, 99.77, 99.77, 696561
2021-12-14T05:00:00Z, 99.19, 100, 96.5, 96.9, 96.9, 751673
2021-12-13T05:00:00Z, 103.38, 103.38, 99.24, 100.51, 100.51, 642809
2021-12-10T05:00:00Z, 105.98, 106.46, 102.37, 102.51, 102.51, 447922
2021-12-09T05:00:00Z, 109.29, 110.38, 104.01, 104.55, 104.55, 460207
2021-12-08T05:00:00Z, 107.92, 110.57, 106.9, 110.03, 110.03, 273031
2021-12-07T05:00:00Z, 108, 110.72, 107.47, 108.66, 108.66, 614804
2021-12-06T05:00:00Z, 106.3, 106.61, 102.59, 105.39, 105.39, 590147
2021-12-03T05:00:00Z, 109.69, 109.75, 104.03, 106.33, 106.33, 797051
2021-12-02T05:00:00Z, 110.24, 113.04, 108.92, 109.38, 109.38, 793913
2021-12-01T05:00:00Z, 118.14, 118.13, 112.35, 113.1, 113.1, 422299
