Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 15.18, 15.49, 14.9, 15.12, 15.12, 1480655
2022-02-07T05:00:00Z, 14.85, 15.185, 14.78, 15.02, 15.02, 1730395
2022-02-04T05:00:00Z, 14.99, 15.06, 14.625, 14.9, 14.9, 2373593
2022-02-03T05:00:00Z, 15.58, 15.9, 15.415, 15.42, 15.42, 1739163
2022-02-02T05:00:00Z, 16.35, 16.41, 15.6, 15.79, 15.79, 2366275
2022-02-01T05:00:00Z, 16.56, 16.86, 16.35, 16.42, 16.42, 1863755
2022-01-31T05:00:00Z, 15.47, 16.58, 15.43, 16.56, 16.56, 2280848
2022-01-28T05:00:00Z, 15.19, 15.23, 14.605, 15.15, 15.15, 1857227
2022-01-27T05:00:00Z, 15.57, 15.95, 15.195, 15.29, 15.29, 2303653
2022-01-26T05:00:00Z, 15.18, 15.74, 14.95, 15.16, 15.16, 2674706
2022-01-25T05:00:00Z, 14.58, 14.96, 14.32, 14.86, 14.86, 1918301
2022-01-24T05:00:00Z, 14.53, 14.77, 14.09, 14.51, 14.51, 3118872
2022-01-21T05:00:00Z, 15.01, 15.465, 14.8, 15.09, 15.09, 4228052
2022-01-20T05:00:00Z, 14.49, 15.315, 14.33, 14.94, 14.94, 2733056
2022-01-19T05:00:00Z, 14.21, 14.41, 13.89, 13.96, 13.96, 1433925
2022-01-18T05:00:00Z, 13.89, 14.2, 13.729, 13.8, 13.8, 1810232
2022-01-14T05:00:00Z, 13.96, 14.33, 13.81, 14.32, 14.32, 1462819
2022-01-13T05:00:00Z, 13.8, 14.52, 13.72, 14.15, 14.15, 2866937
2022-01-12T05:00:00Z, 13.53, 13.94, 13.39, 13.94, 13.94, 2452564
2022-01-11T05:00:00Z, 12.55, 13.245, 12.51, 13.24, 13.24, 1874423
2022-01-10T05:00:00Z, 12.6, 12.66, 12.18, 12.53, 12.53, 2030406
2022-01-07T05:00:00Z, 12.31, 12.88, 12.3, 12.8, 12.8, 2012019
2022-01-06T05:00:00Z, 11.72, 12.2, 11.31, 12.18, 12.18, 2945541
2022-01-05T05:00:00Z, 12.6, 12.95, 11.78, 11.8, 11.8, 2499650
2022-01-04T05:00:00Z, 12.89, 13.12, 12.755, 12.9, 12.9, 1744699
2022-01-03T05:00:00Z, 12.88, 13.455, 12.67, 12.99, 12.99, 2171137
2021-12-31T05:00:00Z, 13.27, 13.565, 13.14, 13.2, 13.2, 776583
2021-12-30T05:00:00Z, 12.89, 13.26, 12.85, 13.18, 13.18, 1694677
