Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 21.525, 21.95, 21.525, 21.75, 21.75, 28474
2022-02-07T05:00:00Z, 21.6, 21.74, 21.5, 21.74, 21.74, 6138
2022-02-04T05:00:00Z, 21.5, 21.5, 21.46, 21.5, 21.5, 9558
2022-02-03T05:00:00Z, 21.5, 21.5, 21.5, 21.5, 21.5, 0
2022-02-02T05:00:00Z, 21.5, 21.925, 21.5, 21.5, 21.5, 779
2022-02-01T05:00:00Z, 21.5, 21.75, 21.17, 21.5, 21.5, 1886
2022-01-31T05:00:00Z, 21.6, 21.97, 21.4, 21.4, 21.4, 1437
2022-01-28T05:00:00Z, 21.5, 21.87, 21.1, 21.87, 21.87, 873
2022-01-27T05:00:00Z, 21.45, 21.865, 21, 21.5, 21.5, 11429
2022-01-26T05:00:00Z, 24.09, 23, 21, 21.45, 21.45, 6614
2022-01-25T05:00:00Z, 20.65, 20.75, 20.4, 20.575, 20.575, 6669
2022-01-24T05:00:00Z, 20.6, 21.4, 21.4, 21.4, 21.4, 580
2022-01-21T05:00:00Z, 21, 21.52, 20.775, 20.775, 20.775, 7911
2022-01-20T05:00:00Z, 21.5, 22.025, 21.45, 21.45, 21.45, 8291
2022-01-19T05:00:00Z, 21.5, 22.47, 21.5, 22.47, 22.47, 2875
2022-01-18T05:00:00Z, 22, 22.505, 21.5, 21.55, 21.55, 6387
2022-01-14T05:00:00Z, 22.25, 22.5, 22, 22.5, 22.5, 1374
2022-01-13T05:00:00Z, 22.03, 22.6, 22.03, 22.15, 22.15, 1005
2022-01-12T05:00:00Z, 22.75, 22.25, 22.05, 22.05, 22.05, 2678
2022-01-11T05:00:00Z, 22.3, 22.5, 22.2, 22.2001, 22.2001, 6539
2022-01-10T05:00:00Z, 22.25, 22.25, 22.25, 22.25, 22.25, 1163
2022-01-07T05:00:00Z, 22.38, 23, 22.25, 22.25, 22.25, 1974
2022-01-06T05:00:00Z, 22.86, 23, 22.4757, 23, 23, 2861
2022-01-05T05:00:00Z, 22.31, 22.98, 22.93, 22.955, 22.955, 926
2022-01-04T05:00:00Z, 22.68, 23.005, 22.55, 22.99, 22.99, 4830
2022-01-03T05:00:00Z, 22.72, 24.25, 22.72, 23.21, 23.21, 6492
2021-12-31T05:00:00Z, 23.97, 24, 22.55, 22.7702, 22.7702, 3154
2021-12-30T05:00:00Z, 23.9, 24.3, 22.36, 24.3, 24.3, 2172
2021-12-29T05:00:00Z, 24.3, 24.0075, 23.95, 23.975, 23.975, 512
2021-12-28T05:00:00Z, 22.5, 24.3, 22.5, 24.3, 24.3, 2240
2021-12-27T05:00:00Z, 23.1, 23.1, 22.5, 22.5, 22.5, 2091
2021-12-23T05:00:00Z, 23.46, 23.5, 22.4, 22.45, 22.45, 10628
2021-12-22T05:00:00Z, 24.2, 24.2, 24.2, 24.2, 24.2, 0
2021-12-21T05:00:00Z, 23.9, 24.2385, 23.26, 24.2, 24.2, 8714
2021-12-20T05:00:00Z, 24.25, 24.3, 24.22, 24.3, 24.3, 9720
2021-12-17T05:00:00Z, 23.28, 23.28, 23.28, 23.28, 23.28, 0
2021-12-16T05:00:00Z, 23.28, 23.28, 23.28, 23.28, 23.28, 149
2021-12-15T05:00:00Z, 24.29, 24.29, 24.29, 24.29, 24.29, 163
2021-12-14T05:00:00Z, 23.3, 24.75, 23.7, 24.3175, 24.3175, 10427
2021-12-13T05:00:00Z, 24.74, 24.74, 24.74, 24.74, 24.74, 669
2021-12-10T05:00:00Z, 24.75, 24.75, 24.74, 24.749, 24.749, 2016
2021-12-09T05:00:00Z, 22.3, 23.9, 22.1, 23.9, 23.9, 3013
2021-12-08T05:00:00Z, 23.85, 22.35, 22.35, 22.35, 22.35, 1416
2021-12-07T05:00:00Z, 22.1, 23, 22.2, 22.2, 22.2, 3243
2021-12-06T05:00:00Z, 23.25, 23.42, 22.05, 22.25, 22.25, 3736
2021-12-03T05:00:00Z, 22.45, 23.3999, 21.75, 23.365, 23.365, 3812
2021-12-02T05:00:00Z, 25.2, 23.76, 20, 23, 23, 7870
2021-12-01T05:00:00Z, 24, 24, 24, 24, 24, 0
2021-11-30T05:00:00Z, 25, 25.0001, 24, 24, 24, 1998
