Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 3.67, 3.99, 3.63, 3.94, 3.94, 1844914
2022-02-07T05:00:00Z, 3.46, 3.79, 3.45, 3.75, 3.75, 1777317
2022-02-04T05:00:00Z, 3.58, 3.64, 3.31, 3.48, 3.48, 2300677
2022-02-03T05:00:00Z, 3.45, 3.69, 3.42, 3.55, 3.55, 2373628
2022-02-02T05:00:00Z, 3.8, 3.87, 3.545, 3.61, 3.61, 2236622
2022-02-01T05:00:00Z, 3.81, 3.93, 3.73, 3.82, 3.82, 1876298
2022-01-31T05:00:00Z, 3.42, 3.77, 3.385, 3.77, 3.77, 2164469
2022-01-28T05:00:00Z, 3.21, 3.38, 3.1, 3.36, 3.36, 2029968
2022-01-27T05:00:00Z, 3.57, 3.58, 3.25, 3.26, 3.26, 1930189
2022-01-26T05:00:00Z, 3.8, 3.84, 3.395, 3.44, 3.44, 2681515
2022-01-25T05:00:00Z, 3.63, 3.81, 3.52, 3.7, 3.7, 2589873
2022-01-24T05:00:00Z, 3.26, 3.85, 3.03, 3.77, 3.77, 7944660
2022-01-21T05:00:00Z, 3.6, 3.68, 3.38, 3.41, 3.41, 3696613
2022-01-20T05:00:00Z, 3.78, 4, 3.63, 3.66, 3.66, 2414106
2022-01-19T05:00:00Z, 3.83, 3.94, 3.71, 3.73, 3.73, 2552661
2022-01-18T05:00:00Z, 4.02, 4.0642, 3.8, 3.81, 3.81, 2332727
2022-01-14T05:00:00Z, 4.19, 4.365, 3.94, 4.11, 4.11, 2247875
2022-01-13T05:00:00Z, 4.63, 4.66, 4.13, 4.18, 4.18, 3185275
2022-01-12T05:00:00Z, 4.59, 4.775, 4.4306, 4.6, 4.6, 5185893
2022-01-11T05:00:00Z, 3.67, 4.73, 3.6413, 4.58, 4.58, 15468125
2022-01-10T05:00:00Z, 3.53, 3.65, 3.37, 3.6, 3.6, 3477607
2022-01-07T05:00:00Z, 3.64, 3.84, 3.58, 3.58, 3.58, 2034200
2022-01-06T05:00:00Z, 3.66, 3.792, 3.51, 3.64, 3.64, 2719276
2022-01-05T05:00:00Z, 3.94, 3.92, 3.69, 3.69, 3.69, 3229534
2022-01-04T05:00:00Z, 4.38, 4.4, 3.91, 3.92, 3.92, 3672716
2022-01-03T05:00:00Z, 4.28, 4.48, 4.21, 4.37, 4.37, 2430680
2021-12-31T05:00:00Z, 4.15, 4.29, 4.13, 4.22, 4.22, 2059178
2021-12-30T05:00:00Z, 3.93, 4.23, 3.91, 4.16, 4.16, 2311499
2021-12-29T05:00:00Z, 4.06, 4.07, 3.9, 3.93, 3.93, 2085774
2021-12-28T05:00:00Z, 4.23, 4.28, 4.06, 4.08, 4.08, 1688770
2021-12-27T05:00:00Z, 4.21, 4.32, 4.18, 4.22, 4.22, 1424439
2021-12-23T05:00:00Z, 4.11, 4.2, 4, 4.2, 4.2, 1892404
2021-12-22T05:00:00Z, 4.16, 4.26, 4.07, 4.11, 4.11, 2051499
2021-12-21T05:00:00Z, 4.25, 4.33, 4.05, 4.15, 4.15, 6088200
2021-12-20T05:00:00Z, 4.08, 4.29, 4, 4.25, 4.25, 3556845
2021-12-17T05:00:00Z, 4.2, 4.31, 4, 4.09, 4.09, 7254818
2021-12-16T05:00:00Z, 4.54, 4.61, 4.24, 4.29, 4.29, 2261596
2021-12-15T05:00:00Z, 4.38, 4.47, 4.135, 4.46, 4.46, 2917280
2021-12-14T05:00:00Z, 4.54, 4.6, 4.37, 4.48, 4.48, 1690274
2021-12-13T05:00:00Z, 4.64, 4.68, 4.425, 4.61, 4.61, 1867881
2021-12-10T05:00:00Z, 4.72, 4.84, 4.565, 4.66, 4.66, 1793397
2021-12-09T05:00:00Z, 5.08, 5.075, 4.67, 4.7, 4.7, 1679675
2021-12-08T05:00:00Z, 4.86, 5.09, 4.68, 5.03, 5.03, 1677792
2021-12-07T05:00:00Z, 4.54, 4.93, 4.53, 4.85, 4.85, 2464649
2021-12-06T05:00:00Z, 4.25, 4.51, 4.15, 4.36, 4.36, 2650052
2021-12-03T05:00:00Z, 4.5, 4.57, 4.17, 4.39, 4.39, 3591398
2021-12-02T05:00:00Z, 4.62, 4.89, 4.41, 4.6, 4.6, 2693882
2021-12-01T05:00:00Z, 5.38, 5.44, 4.61, 4.62, 4.62, 2986906
2021-11-30T05:00:00Z, 5.41, 5.5275, 5.14, 5.36, 5.36, 3232610
2021-11-29T05:00:00Z, 5.73, 5.75, 5.4, 5.46, 5.46, 2435751
2021-11-26T05:00:00Z, 5.25, 5.62, 5.2, 5.56, 5.56, 1491184
2021-11-24T05:00:00Z, 5.29, 5.52, 5.13, 5.45, 5.45, 2311261
2021-11-23T05:00:00Z, 4.91, 5.37, 4.85, 5.36, 5.36, 5176715
2021-11-22T05:00:00Z, 5.35, 5.39, 4.9, 4.96, 4.96, 4015472
2021-11-19T05:00:00Z, 5.72, 5.85, 5.3101, 5.33, 5.33, 2913029
2021-11-18T05:00:00Z, 6.14, 6.16, 5.48, 5.78, 5.78, 4407229
2021-11-17T05:00:00Z, 6.41, 6.695, 6.18, 6.2, 6.2, 1479783
2021-11-16T05:00:00Z, 6.57, 6.63, 6.265, 6.49, 6.49, 1351724
2021-11-15T05:00:00Z, 6.53, 6.89, 6.46, 6.6, 6.6, 1769487
2021-11-12T05:00:00Z, 6.49, 6.63, 6.32, 6.49, 6.49, 2372366
2021-11-11T05:00:00Z, 7.13, 7.54, 6.3, 6.48, 6.48, 5118005
2021-11-10T05:00:00Z, 7.415, 7.45, 6.83, 7.03, 7.03, 6479125
2021-11-09T05:00:00Z, 7.25, 7.54, 7.25, 7.48, 7.48, 1708811
2021-11-08T05:00:00Z, 6.78, 7.27, 6.74, 7.26, 7.26, 1479842
2021-11-05T04:00:00Z, 7.04, 7.13, 6.74, 6.83, 6.83, 1431174
2021-11-04T04:00:00Z, 7.21, 7.27, 7.01, 7.08, 7.08, 1332505
2021-11-03T04:00:00Z, 7.28, 7.32, 7.13, 7.2, 7.2, 1525200
2021-11-02T04:00:00Z, 7.46, 7.5, 7.18, 7.27, 7.27, 1188267
2021-11-01T04:00:00Z, 7.36, 7.6, 7.25, 7.43, 7.43, 1806986
2021-10-29T04:00:00Z, 6.95, 7.42, 6.91, 7.36, 7.36, 2405436
2021-10-28T04:00:00Z, 6.72, 7.1399, 6.72, 6.97, 6.97, 1925920
2021-10-27T04:00:00Z, 6.65, 6.72, 6.38, 6.62, 6.62, 1322375
2021-10-26T04:00:00Z, 6.58, 7.06, 6.52, 6.64, 6.64, 1777987
2021-10-25T04:00:00Z, 6.24, 6.61, 6.11, 6.57, 6.57, 1309825
2021-10-22T04:00:00Z, 6.6, 6.69, 6.19, 6.2, 6.2, 1966753
2021-10-21T04:00:00Z, 6.51, 6.8, 6.46, 6.71, 6.71, 981953
2021-10-20T04:00:00Z, 6.39, 6.52, 6.32, 6.5, 6.5, 895265
2021-10-19T04:00:00Z, 6.35, 6.41, 6.15, 6.32, 6.32, 1305102
2021-10-18T04:00:00Z, 6.25, 6.4, 6.07, 6.33, 6.33, 1116330
2021-10-15T04:00:00Z, 6.5, 6.6, 6.195, 6.21, 6.21, 1127104
2021-10-14T04:00:00Z, 6.445, 6.61, 6.31, 6.4, 6.4, 1447132
2021-10-13T04:00:00Z, 6.33, 6.48, 6.17, 6.47, 6.47, 1308942
2021-10-12T04:00:00Z, 6.27, 6.37, 6.18, 6.27, 6.27, 1044864
2021-10-11T04:00:00Z, 6.16, 6.5088, 6.09, 6.26, 6.26, 1058968
2021-10-08T04:00:00Z, 6.5, 6.58, 6.19, 6.21, 6.21, 1730394
2021-10-07T04:00:00Z, 6.61, 6.79, 6.4, 6.45, 6.45, 1251920
2021-10-06T04:00:00Z, 6.48, 6.62, 6.31, 6.56, 6.56, 1004406
2021-10-05T04:00:00Z, 6.56, 6.67, 6.41, 6.57, 6.57, 890075
2021-10-04T04:00:00Z, 6.85, 6.936, 6.44, 6.55, 6.55, 1369895
2021-10-01T04:00:00Z, 6.94, 7, 6.58, 6.93, 6.93, 1262690
2021-09-30T04:00:00Z, 6.87, 6.96, 6.725, 6.86, 6.86, 988991
2021-09-29T04:00:00Z, 7.19, 7.25, 6.83, 6.85, 6.85, 1488934
2021-09-28T04:00:00Z, 7.5, 7.56, 7.1, 7.14, 7.14, 1198143
2021-09-27T04:00:00Z, 7.51, 7.71, 7.405, 7.63, 7.63, 981429
2021-09-24T04:00:00Z, 7.79, 7.8322, 7.51, 7.55, 7.55, 985293
2021-09-23T04:00:00Z, 7.92, 8.12, 7.77, 7.86, 7.86, 1021216
2021-09-22T04:00:00Z, 7.81, 8.05, 7.73, 7.9, 7.9, 929638
2021-09-21T04:00:00Z, 7.6, 7.83, 7.48, 7.66, 7.66, 1547530
2021-09-20T04:00:00Z, 7.63, 7.785, 7.45, 7.57, 7.57, 1964229
2021-09-17T04:00:00Z, 7.52, 8.08, 7.331, 8, 8, 8468527
2021-09-16T04:00:00Z, 7.88, 8.13, 7.271, 7.39, 7.39, 2782402
2021-09-15T04:00:00Z, 8.19, 8.23, 7.88, 8.02, 8.02, 1625462
2021-09-14T04:00:00Z, 8.32, 8.64, 8.1, 8.19, 8.19, 1152330
2021-09-13T04:00:00Z, 8.15, 8.32, 7.96, 8.22, 8.22, 1060033
2021-09-10T04:00:00Z, 8.45, 8.5881, 8.17, 8.19, 8.19, 855725
2021-09-09T04:00:00Z, 8.15, 8.53, 8.0801, 8.44, 8.44, 888886
2021-09-08T04:00:00Z, 8.32, 8.37, 7.92, 8.15, 8.15, 1049279
2021-09-07T04:00:00Z, 8.81, 9.08, 8.23, 8.23, 8.23, 2221629
2021-09-03T04:00:00Z, 8.44, 8.82, 8.44, 8.74, 8.74, 1818105
2021-09-02T04:00:00Z, 8.34, 8.53, 8.22, 8.53, 8.53, 1912030
2021-09-01T04:00:00Z, 8.13, 8.54, 8.04, 8.35, 8.35, 2503862
2021-08-31T04:00:00Z, 8.06, 8.13, 7.7, 8.1, 8.1, 3555872
2021-08-30T04:00:00Z, 7.82, 8.32, 7.78, 8.04, 8.04, 2178434
2021-08-27T04:00:00Z, 7.55, 8.01, 7.5261, 7.8, 7.8, 1890316
2021-08-26T04:00:00Z, 7.13, 7.54, 7.03, 7.5, 7.5, 1857717
2021-08-25T04:00:00Z, 7.24, 7.395, 7.02, 7.21, 7.21, 1146272
2021-08-24T04:00:00Z, 7.15, 7.33, 7.03, 7.26, 7.26, 1566041
2021-08-23T04:00:00Z, 7.08, 7.22, 6.86, 6.96, 6.96, 2809205
2021-08-20T04:00:00Z, 6.84, 7.18, 6.7901, 6.91, 6.91, 2197498
2021-08-19T04:00:00Z, 7.04, 7.07, 6.7, 6.87, 6.87, 3503789
2021-08-18T04:00:00Z, 7.32, 7.38, 7.03, 7.16, 7.16, 2387525
2021-08-17T04:00:00Z, 7.56, 7.67, 7.1, 7.29, 7.29, 3188044
2021-08-16T04:00:00Z, 8.78, 8.88, 7.53, 7.55, 7.55, 5114678
2021-08-13T04:00:00Z, 9.01, 9.1, 8.69, 8.9, 8.9, 2950730
2021-08-12T04:00:00Z, 9.14, 9.31, 9.02, 9.09, 9.09, 1455952
2021-08-11T04:00:00Z, 8.93, 9.18, 8.73, 9.16, 9.16, 2090432
2021-08-10T04:00:00Z, 8.92, 9.28, 8.37, 9.21, 9.21, 2867703
2021-08-09T04:00:00Z, 8.73, 9.32, 8.61, 9.09, 9.09, 3127013
2021-08-06T04:00:00Z, 8.22, 8.77, 8.17, 8.7, 8.7, 2000842
2021-08-05T04:00:00Z, 8, 8.34, 7.97, 8.17, 8.17, 1144070
2021-08-04T04:00:00Z, 7.81, 8.16, 7.71, 8.12, 8.12, 1606042
2021-08-03T04:00:00Z, 8.03, 8.06, 7.71, 7.75, 7.75, 1395357
2021-08-02T04:00:00Z, 8.1, 8.15, 7.85, 7.99, 7.99, 1520476
2021-07-30T04:00:00Z, 8.07, 8.37, 7.95, 8.05, 8.05, 2817191
2021-07-29T04:00:00Z, 8.62, 8.66, 8.15, 8.25, 8.25, 1880775
2021-07-28T04:00:00Z, 8.66, 8.7, 8.4507, 8.54, 8.54, 981936
2021-07-27T04:00:00Z, 8.8, 8.91, 8.3813, 8.58, 8.58, 1160875
2021-07-26T04:00:00Z, 8.52, 9.14, 8.5, 8.82, 8.82, 1224101
2021-07-23T04:00:00Z, 8.7, 8.8, 8.46, 8.69, 8.69, 932325
2021-07-22T04:00:00Z, 8.77, 8.85, 8.5501, 8.72, 8.72, 872507
2021-07-21T04:00:00Z, 8.56, 8.9, 8.52, 8.83, 8.83, 1028005
2021-07-20T04:00:00Z, 8.71, 8.83, 8.21, 8.51, 8.51, 2102159
2021-07-19T04:00:00Z, 8.19, 8.9, 7.93, 8.87, 8.87, 4061082
2021-07-16T04:00:00Z, 8.25, 8.64, 8.08, 8.49, 8.49, 2632296
2021-07-15T04:00:00Z, 8.23, 8.47, 7.96, 8.1, 8.1, 2876374
2021-07-14T04:00:00Z, 9.06, 9.1, 8.14, 8.19, 8.19, 3879957
2021-07-13T04:00:00Z, 9.4, 9.4482, 8.94, 9.01, 9.01, 1926518
2021-07-12T04:00:00Z, 9.48, 9.5047, 9.15, 9.43, 9.43, 785671
2021-07-09T04:00:00Z, 9.38, 9.54, 9.18, 9.47, 9.47, 1031229
2021-07-08T04:00:00Z, 8.88, 9.57, 8.82, 9.32, 9.32, 2474540
2021-07-07T04:00:00Z, 9.7, 9.77, 9.08, 9.17, 9.17, 3855602
2021-07-06T04:00:00Z, 10.19, 10.25, 9.61, 9.62, 9.62, 4506260
2021-07-02T04:00:00Z, 10.35, 10.4756, 9.88, 10.03, 10.03, 2263538
2021-07-01T04:00:00Z, 10.51, 10.88, 10.35, 10.42, 10.42, 2907104
2021-06-30T04:00:00Z, 10.62, 11.2, 10.25, 11.08, 11.08, 4315795
2021-06-29T04:00:00Z, 10.09, 10.9, 9.95, 10.63, 10.63, 5011854
2021-06-28T04:00:00Z, 10.05, 10.26, 9.62, 9.68, 9.68, 5318370
2021-06-25T04:00:00Z, 10.05, 10.15, 9.67, 9.91, 9.91, 1864937
2021-06-24T04:00:00Z, 10.23, 10.28, 10.03, 10.09, 10.09, 1950533
2021-06-23T04:00:00Z, 10.365, 10.44, 10.1, 10.21, 10.21, 1739920
2021-06-22T04:00:00Z, 10.4, 10.5499, 10.26, 10.3, 10.3, 870301
2021-06-21T04:00:00Z, 10.65, 10.75, 10.31, 10.38, 10.38, 1156815
2021-06-18T04:00:00Z, 10.99, 11.03, 10.5, 10.64, 10.64, 1893426
2021-06-17T04:00:00Z, 11.35, 11.47, 11.02, 11.08, 11.08, 788043
2021-06-16T04:00:00Z, 11.34, 11.89, 11.17, 11.28, 11.28, 1287650
2021-06-15T04:00:00Z, 12.09, 12.1499, 11.22, 11.26, 11.26, 2125220
2021-06-14T04:00:00Z, 12.365, 12.84, 11.84, 12.31, 12.31, 2627397
2021-06-11T04:00:00Z, 12.3, 12.53, 11.54, 11.87, 11.87, 1880742
2021-06-10T04:00:00Z, 12.84, 13.57, 11.91, 12.39, 12.39, 7839786
2021-06-09T04:00:00Z, 11.28, 12.68, 11.02, 12, 12, 11118279
2021-06-08T04:00:00Z, 11.6, 11.695, 10.99, 11, 11, 1326164
2021-06-07T04:00:00Z, 10.97, 11.78, 10.65, 11.55, 11.55, 1228534
2021-06-04T04:00:00Z, 10.94, 11.14, 10.38, 10.65, 10.65, 1129371
2021-06-03T04:00:00Z, 11.95, 11.96, 10.8101, 10.94, 10.94, 1585761
2021-06-02T04:00:00Z, 11.25, 12.49, 11.15, 11.99, 11.99, 1924918
