Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 7.52, 7.57, 7.42, 7.53, 7.53, 48381
2022-02-07T05:00:00Z, 7.58, 7.65, 7.45, 7.48, 7.48, 104039
2022-02-04T05:00:00Z, 7.53, 7.68, 7.45, 7.66, 7.66, 109121
2022-02-03T05:00:00Z, 7.76, 7.7918, 7.5675, 7.61, 7.61, 107123
2022-02-02T05:00:00Z, 7.87, 7.95, 7.6071, 7.78, 7.78, 224437
2022-02-01T05:00:00Z, 8.33, 8.255, 7.93, 7.95, 7.95, 132821
2022-01-31T05:00:00Z, 8.03, 8.21, 7.9221, 8.21, 8.21, 67057
2022-01-28T05:00:00Z, 7.94, 8.05, 7.521, 8.03, 8.03, 94301
2022-01-27T05:00:00Z, 7.85, 7.94, 7.7623, 7.86, 7.86, 64539
2022-01-26T05:00:00Z, 8.06, 8.21, 7.76, 7.8, 7.8, 67115
2022-01-25T05:00:00Z, 7.86, 8.09, 7.785, 7.93, 7.93, 99415
2022-01-24T05:00:00Z, 7.81, 8.3, 7.76, 8.21, 8.21, 191101
2022-01-21T05:00:00Z, 7.9, 8.35, 7.83, 7.89, 7.89, 377872
2022-01-20T05:00:00Z, 8.12, 8.26, 8, 8, 8, 221275
2022-01-19T05:00:00Z, 8.16, 8.35, 7.97, 8.27, 8.27, 194031
2022-01-18T05:00:00Z, 8.36, 8.47, 8.25, 8.32, 8.32, 144845
2022-01-14T05:00:00Z, 8.66, 8.92, 8.36, 8.46, 8.46, 94304
2022-01-13T05:00:00Z, 8.35, 8.94, 8.27, 8.9, 8.9, 242322
2022-01-12T05:00:00Z, 8.36, 8.48, 8.17, 8.18, 8.18, 101130
2022-01-11T05:00:00Z, 8.33, 8.42, 8.11, 8.41, 8.41, 71553
2022-01-10T05:00:00Z, 8.34, 8.42, 8.22, 8.37, 8.37, 65052
2022-01-07T05:00:00Z, 8.67, 8.8, 8.46, 8.5, 8.5, 82683
2022-01-06T05:00:00Z, 8.35, 8.8, 8.01, 8.74, 8.74, 110850
2022-01-05T05:00:00Z, 8.7, 8.75, 8.36, 8.39, 8.39, 67393
