Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 10.03, 10.035, 10.03, 10.035, 10.035, 5182
2022-02-07T05:00:00Z, 10.02, 10.04, 10.01, 10.03, 10.03, 5330
2022-02-04T05:00:00Z, 10.01, 10.03, 10.01, 10.03, 10.03, 10896
2022-02-03T05:00:00Z, 10.01, 10.02, 10.01, 10.02, 10.02, 8176
2022-02-02T05:00:00Z, 10.01, 10.02, 10.0093, 10.0142, 10.0142, 3182
2022-02-01T05:00:00Z, 10.01, 10.02, 10, 10.01, 10.01, 3486
2022-01-31T05:00:00Z, 10.01, 10.02, 10, 10.005, 10.005, 7103
2022-01-28T05:00:00Z, 9.99, 10.015, 9.99, 10, 10, 13812
2022-01-27T05:00:00Z, 10.01, 10.03, 10, 10, 10, 12283
2022-01-26T05:00:00Z, 10.01, 10.02, 9.99, 10.015, 10.015, 18553
2022-01-25T05:00:00Z, 9.99, 10.0048, 9.99, 10.0001, 10.0001, 7874
2022-01-24T05:00:00Z, 9.99, 9.998, 9.99, 9.998, 9.998, 21612
2022-01-21T05:00:00Z, 9.99, 10, 9.98, 9.99, 9.99, 16452
2022-01-20T05:00:00Z, 9.98, 10.0013, 9.98, 9.99, 9.99, 6495
2022-01-19T05:00:00Z, 10.01, 10.02, 9.99, 10.005, 10.005, 47484
2022-01-18T05:00:00Z, 9.98, 10.03, 9.98, 10.0012, 10.0012, 11278
2022-01-14T05:00:00Z, 9.98, 10.0241, 9.99, 10.02, 10.02, 8498
2022-01-13T05:00:00Z, 9.98, 10.01, 9.9902, 9.9902, 9.9902, 28088
2022-01-12T05:00:00Z, 10, 10.015, 10.0001, 10.015, 10.015, 3271
2022-01-11T05:00:00Z, 9.99, 10.02, 10, 10.01, 10.01, 4395
2022-01-10T05:00:00Z, 9.99, 10.025, 9.99, 10.01, 10.01, 18909
2022-01-07T05:00:00Z, 9.99, 10.01, 10, 10.005, 10.005, 4716
2022-01-06T05:00:00Z, 10.02, 10.0201, 10, 10, 10, 10567
2022-01-05T05:00:00Z, 10.02, 10.02, 10, 10.015, 10.015, 3281
2022-01-04T05:00:00Z, 10.02, 10.02, 9.99, 9.99, 9.99, 7027
2022-01-03T05:00:00Z, 10.02, 10.04, 9.9998, 10.03, 10.03, 61956
2021-12-31T05:00:00Z, 9.99, 10.03, 9.98, 10.01, 10.01, 24958
2021-12-30T05:00:00Z, 10.01, 10.03, 9.9806, 9.9806, 9.9806, 41575
2021-12-29T05:00:00Z, 10, 10.003, 9.9998, 10.003, 10.003, 11423
2021-12-28T05:00:00Z, 9.99, 9.995, 9.96, 9.995, 9.995, 14290
2021-12-27T05:00:00Z, 9.98, 9.995, 9.97, 9.97, 9.97, 7794
2021-12-23T05:00:00Z, 9.99, 9.9915, 9.97, 9.99, 9.99, 34305
2021-12-22T05:00:00Z, 9.97, 9.98, 9.97, 9.98, 9.98, 18638
2021-12-21T05:00:00Z, 9.98, 9.98, 9.97, 9.97, 9.97, 2871
2021-12-20T05:00:00Z, 9.95, 9.985, 9.95, 9.9786, 9.9786, 2055
2021-12-17T05:00:00Z, 9.97, 9.96, 9.95, 9.96, 9.96, 1954
2021-12-16T05:00:00Z, 9.96, 9.984, 9.96, 9.984, 9.984, 1342
2021-12-15T05:00:00Z, 9.98, 9.99, 9.98, 9.99, 9.99, 1323
2021-12-14T05:00:00Z, 9.94, 9.98, 9.94, 9.9701, 9.9701, 7700
2021-12-13T05:00:00Z, 9.95, 9.9783, 9.97, 9.97, 9.97, 5298
