Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 1.95, 2.01, 1.81, 1.81, 1.81, 260421
2022-02-07T05:00:00Z, 1.91, 2.07, 1.9, 1.94, 1.94, 252064
2022-02-04T05:00:00Z, 1.83, 1.93, 1.81, 1.91, 1.91, 238373
2022-02-03T05:00:00Z, 2.05, 2.08, 1.82, 1.83, 1.83, 318543
2022-02-02T05:00:00Z, 2.15, 2.22, 2.04, 2.07, 2.07, 192818
2022-02-01T05:00:00Z, 2.13, 2.19, 2.02, 2.15, 2.15, 214692
2022-01-31T05:00:00Z, 1.88, 2.12, 1.85, 2.12, 2.12, 619934
2022-01-28T05:00:00Z, 1.75, 1.83, 1.63, 1.83, 1.83, 346194
2022-01-27T05:00:00Z, 1.95, 1.9691, 1.71, 1.74, 1.74, 620166
2022-01-26T05:00:00Z, 2.12, 2.14, 1.93, 1.94, 1.94, 215705
2022-01-25T05:00:00Z, 2.05, 2.12, 1.93, 2.06, 2.06, 298608
2022-01-24T05:00:00Z, 1.97, 2.11, 1.85, 2.09, 2.09, 521233
2022-01-21T05:00:00Z, 2.03, 2.07, 1.9301, 2.02, 2.02, 510080
2022-01-20T05:00:00Z, 2.15, 2.2, 2, 2.01, 2.01, 431701
2022-01-19T05:00:00Z, 2.14, 2.15, 2.08, 2.12, 2.12, 478937
2022-01-18T05:00:00Z, 2.1, 2.2399, 2.05, 2.13, 2.13, 654684
2022-01-14T05:00:00Z, 2.24, 2.259, 2.05, 2.12, 2.12, 1252332
2022-01-13T05:00:00Z, 2.36, 2.43, 2.25, 2.26, 2.26, 287878
2022-01-12T05:00:00Z, 2.5, 2.54, 2.31, 2.33, 2.33, 417229
2022-01-11T05:00:00Z, 2.42, 2.575, 2.38, 2.48, 2.48, 513995
2022-01-10T05:00:00Z, 2.63, 2.64, 2.39, 2.42, 2.42, 533096
2022-01-07T05:00:00Z, 2.64, 2.83, 2.6, 2.63, 2.63, 317811
2022-01-06T05:00:00Z, 2.73, 2.76, 2.55, 2.63, 2.63, 216856
2022-01-05T05:00:00Z, 3.04, 3.07, 2.68, 2.7, 2.7, 680596
2022-01-04T05:00:00Z, 3, 3.08, 2.85, 2.88, 2.88, 363482
2022-01-03T05:00:00Z, 3.08, 3.14, 2.93, 2.93, 2.93, 379918
2021-12-31T05:00:00Z, 3.03, 3.1, 2.96, 3.03, 3.03, 362307
2021-12-30T05:00:00Z, 3.12, 3.25, 3.01, 3.02, 3.02, 647781
2021-12-29T05:00:00Z, 3.04, 3.16, 2.99, 3.13, 3.13, 569931
2021-12-28T05:00:00Z, 3.05, 3.125, 2.9542, 3.04, 3.04, 558079
2021-12-27T05:00:00Z, 3.14, 3.18, 3.01, 3.04, 3.04, 376567
2021-12-23T05:00:00Z, 3.11, 3.23, 3.04, 3.18, 3.18, 514749
2021-12-22T05:00:00Z, 3.1, 3.2056, 3.035, 3.06, 3.06, 279993
2021-12-21T05:00:00Z, 3.15, 3.29, 3.07, 3.1, 3.1, 363954
2021-12-20T05:00:00Z, 3.16, 3.24, 3.1, 3.11, 3.11, 269560
2021-12-17T05:00:00Z, 3.18, 3.41, 3.09, 3.24, 3.24, 660494
2021-12-16T05:00:00Z, 3.26, 3.42, 3.16, 3.22, 3.22, 487695
2021-12-15T05:00:00Z, 3.13, 3.36, 2.94, 3.27, 3.27, 519539
2021-12-14T05:00:00Z, 3.25, 3.32, 3.1, 3.12, 3.12, 231558
2021-12-13T05:00:00Z, 3.36, 3.36, 3.1, 3.26, 3.26, 339671
2021-12-10T05:00:00Z, 3.52, 3.6, 3.325, 3.36, 3.36, 243461
2021-12-09T05:00:00Z, 3.4, 3.81, 3.3893, 3.49, 3.49, 408817
2021-12-08T05:00:00Z, 3.29, 3.59, 3.27, 3.4, 3.4, 405812
2021-12-07T05:00:00Z, 3.41, 3.55, 3.25, 3.28, 3.28, 759770
2021-12-06T05:00:00Z, 3.05, 3.52, 2.96, 3.38, 3.38, 972494
2021-12-03T05:00:00Z, 3.71, 3.74, 2.85, 2.87, 2.87, 1289074
2021-12-02T05:00:00Z, 3.52, 3.98, 3.39, 3.71, 3.71, 1104622
2021-12-01T05:00:00Z, 3.7, 3.97, 3.38, 3.38, 3.38, 2614498
2021-11-30T05:00:00Z, 3.97, 4, 3.53, 3.59, 3.59, 1893154
2021-11-29T05:00:00Z, 4.31, 4.335, 3.935, 3.95, 3.95, 976217
2021-11-26T05:00:00Z, 4.57, 4.61, 4.18, 4.34, 4.34, 320570
2021-11-24T05:00:00Z, 4.75, 4.73, 4.5, 4.64, 4.64, 205396
2021-11-23T05:00:00Z, 4.82, 4.88, 4.55, 4.71, 4.71, 317429
2021-11-22T05:00:00Z, 5.07, 5.12, 4.55, 4.57, 4.57, 674572
2021-11-19T05:00:00Z, 5.1, 5.27, 5.01, 5.06, 5.06, 285108
2021-11-18T05:00:00Z, 5.29, 5.37, 5, 5.09, 5.09, 338887
2021-11-17T05:00:00Z, 5.19, 5.39, 5.12, 5.25, 5.25, 258198
2021-11-16T05:00:00Z, 5.18, 5.31, 5.12, 5.19, 5.19, 271289
2021-11-15T05:00:00Z, 5.52, 5.67, 5.17, 5.19, 5.19, 1456396
2021-11-12T05:00:00Z, 5.6, 5.81, 5.32, 5.56, 5.56, 373748
2021-11-11T05:00:00Z, 5.65, 5.68, 5.52, 5.59, 5.59, 307040
2021-11-10T05:00:00Z, 5.85, 5.95, 5.61, 5.66, 5.66, 370996
2021-11-09T05:00:00Z, 6.14, 6.17, 5.84, 5.87, 5.87, 256617
2021-11-08T05:00:00Z, 5.83, 6.23, 5.82, 6.14, 6.14, 247181
2021-11-05T04:00:00Z, 6.11, 6.3, 5.75, 5.82, 5.82, 435718
2021-11-04T04:00:00Z, 6.31, 6.35, 6.12, 6.14, 6.14, 426598
2021-11-03T04:00:00Z, 6.24, 6.37, 6.1201, 6.25, 6.25, 624798
2021-11-02T04:00:00Z, 6.32, 6.48, 6.02, 6.22, 6.22, 822563
2021-11-01T04:00:00Z, 5.59, 6.51, 5.5618, 6.29, 6.29, 1914056
2021-10-29T04:00:00Z, 5.24, 5.31, 5.12, 5.18, 5.18, 156079
2021-10-28T04:00:00Z, 5.17, 5.365, 5.11, 5.18, 5.18, 177335
2021-10-27T04:00:00Z, 5.37, 5.41, 5.15, 5.18, 5.18, 170461
2021-10-26T04:00:00Z, 5.2, 5.5, 5.08, 5.36, 5.36, 277478
