Date, Open, High, Low, Close, Adj Close, Volume
2022-02-08T05:00:00Z, 16.35, 17.22, 16.11, 17.2, 17.2, 4074825
2022-02-07T05:00:00Z, 15.19, 16.47, 15.135, 16.38, 16.38, 3115187
2022-02-04T05:00:00Z, 14.85, 15.39, 14.68, 15.21, 15.21, 1995541
2022-02-03T05:00:00Z, 14.8, 15.12, 14.62, 14.95, 14.95, 1883187
2022-02-02T05:00:00Z, 15.25, 15.38, 14.75, 15.06, 15.06, 1924507
2022-02-01T05:00:00Z, 15.49, 15.785, 15.02, 15.33, 15.33, 2326234
2022-01-31T05:00:00Z, 14.85, 15.49, 14.83, 15.45, 15.45, 2338833
2022-01-28T05:00:00Z, 14.06, 14.88, 13.9, 14.87, 14.87, 2281537
2022-01-27T05:00:00Z, 15.09, 15.45, 14.1, 14.12, 14.12, 2646449
2022-01-26T05:00:00Z, 14.83, 16.13, 14.8, 14.99, 14.99, 5284443
2022-01-25T05:00:00Z, 14.05, 14.855, 13.81, 14.65, 14.65, 3019223
2022-01-24T05:00:00Z, 13.35, 14.39, 12.86, 14.26, 14.26, 5168401
2022-01-21T05:00:00Z, 13.74, 14.01, 13.355, 13.78, 13.78, 4466487
2022-01-20T05:00:00Z, 14.65, 14.6986, 13.9, 13.98, 13.98, 3123984
2022-01-19T05:00:00Z, 14.69, 15.39, 14.495, 14.54, 14.54, 4926658
2022-01-18T05:00:00Z, 15.19, 15.6, 14.49, 14.57, 14.57, 3898905
2022-01-14T05:00:00Z, 15.7, 15.76, 14.72, 15.48, 15.48, 5837566
2022-01-13T05:00:00Z, 16.84, 17.2, 16.07, 16.15, 16.15, 6135070
2022-01-12T05:00:00Z, 16.7, 17.26, 16.155, 16.69, 16.69, 10079265
2022-01-11T05:00:00Z, 14.38, 17.35, 14.16, 16.43, 16.43, 20951940
2022-01-10T05:00:00Z, 12.3, 14.825, 12.25, 14.78, 14.78, 15082697
2022-01-07T05:00:00Z, 12.35, 12.57, 11.555, 11.56, 11.56, 3419377
2022-01-06T05:00:00Z, 12.74, 12.89, 12.2, 12.42, 12.42, 2379062
2022-01-05T05:00:00Z, 13.7, 13.8099, 12.55, 12.66, 12.66, 3056130
2022-01-04T05:00:00Z, 14.02, 14.11, 13.515, 13.72, 13.72, 2320162
2022-01-03T05:00:00Z, 13.89, 14.105, 13.55, 14.07, 14.07, 2791898
2021-12-31T05:00:00Z, 13.8, 14.18, 13.75, 13.85, 13.85, 2354216
2021-12-30T05:00:00Z, 13.69, 13.995, 13.57, 13.79, 13.79, 2194942
2021-12-29T05:00:00Z, 13.68, 13.73, 13.45, 13.7, 13.7, 1333884
2021-12-28T05:00:00Z, 13.75, 14.07, 13.63, 13.65, 13.65, 1686848
2021-12-27T05:00:00Z, 13.9, 14.0589, 13.66, 13.83, 13.83, 1759261
2021-12-23T05:00:00Z, 13.79, 14.11, 13.6, 13.92, 13.92, 1908403
2021-12-22T05:00:00Z, 13.43, 14.045, 13.2, 13.84, 13.84, 2065476
2021-12-21T05:00:00Z, 13.22, 13.495, 12.88, 13.48, 13.48, 2072422
