Date, Open, High, Low, Close, Adj Close, Volume
2022-02-02T05:00:00Z, 9.85, 9.87, 9.84, 9.87, 9.87, 694
2022-02-07T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 0
2022-02-04T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 0
2022-02-03T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 0
2022-02-02T05:00:00Z, 9.85, 9.87, 9.84, 9.87, 9.87, 694
2022-02-01T05:00:00Z, 9.87, 9.88, 9.84, 9.84, 9.84, 125766
2022-01-31T05:00:00Z, 9.88, 9.87, 9.84, 9.86, 9.86, 104149
2022-01-28T05:00:00Z, 9.88, 9.8699, 9.8699, 9.8699, 9.8699, 171
2022-01-27T05:00:00Z, 9.84, 9.855, 9.84, 9.8401, 9.8401, 75789
2022-01-26T05:00:00Z, 9.88, 9.84, 9.84, 9.84, 9.84, 26112
2022-01-25T05:00:00Z, 9.88, 9.87, 9.84, 9.84, 9.84, 6972
2022-01-24T05:00:00Z, 9.87, 9.87, 9.87, 9.87, 9.87, 0
2022-01-21T05:00:00Z, 9.86, 9.87, 9.79, 9.87, 9.87, 60164
2022-01-20T05:00:00Z, 9.93, 9.99, 9.82, 9.86, 9.86, 55575
2022-01-19T05:00:00Z, 9.84, 9.88, 9.84, 9.88, 9.88, 4810
2022-01-18T05:00:00Z, 9.84, 9.9, 9.84, 9.84, 9.84, 202772
2022-01-14T05:00:00Z, 9.86, 9.87, 9.84, 9.85, 9.85, 165473
2022-01-13T05:00:00Z, 9.87, 10.03, 9.86, 9.86, 9.86, 24094
2022-01-12T05:00:00Z, 9.86, 9.9, 9.86, 9.9, 9.9, 1020
2022-01-11T05:00:00Z, 9.88, 10.58, 9.87, 9.89, 9.89, 26517
2022-01-10T05:00:00Z, 11, 10, 9.87, 9.88, 9.88, 458761
2022-01-07T05:00:00Z, 9.85, 9.92, 9.85, 9.92, 9.92, 142189
2022-01-06T05:00:00Z, 9.86, 9.87, 9.84, 9.84, 9.84, 48781
2022-01-05T05:00:00Z, 9.9, 9.93, 9.84, 9.865, 9.865, 177164
2022-01-04T05:00:00Z, 10.13, 9.8833, 9.82, 9.8416, 9.8416, 10794
2022-01-03T05:00:00Z, 4.09, 10.33, 4.09, 9.85, 9.85, 101499
2021-12-31T05:00:00Z, 9.83, 9.83, 9.83, 9.83, 9.83, 100021
